,Document,Page,Sentence
0,Afghanistan_2014_National%20Cybersecurity%20Strategy%20of%20Afghanistan%20%28November2014%29.pdf,1,"Islamic Republic of Afghanistan, Ministry of Communications and IT National Cyber Security Strategy of Afghanistan, ( NCSA, ), "
1,Afghanistan_2014_National%20Cybersecurity%20Strategy%20of%20Afghanistan%20%28November2014%29.pdf,1,"Prevention – Protection – Safety – Resiliency VERSION CONTROL, "
2,Afghanistan_2014_National%20Cybersecurity%20Strategy%20of%20Afghanistan%20%28November2014%29.pdf,1,"0 Information Systems, Security Directorate, -­‐, MCIT, ZMARIALAI, WAFA, "
3,Afghanistan_2014_National%20Cybersecurity%20Strategy%20of%20Afghanistan%20%28November2014%29.pdf,2,"About National Cybersecurity Strategy of Afghanistan, ( NCSA ) In late 2001, after the establishment of the interim government, Afghanistan stepped into new horizons of political and socio-economic rehabilitation and reconstruction"
4,Afghanistan_2014_National%20Cybersecurity%20Strategy%20of%20Afghanistan%20%28November2014%29.pdf,2," The subsequent transitional and the elected Afghan government introduced new legislations, which assisted private companies to make investments in the country and provide various services, including telecommunications and ICT services, for the people of Afghanistan"
5,Afghanistan_2014_National%20Cybersecurity%20Strategy%20of%20Afghanistan%20%28November2014%29.pdf,2,", The Ministry of Communications and Information Technology ( MCIT ), was the first among The sectoral government entities in Afghanistan to design new strategies and policies enabling private sector to make huge investment in the telecommunication and IT sectors"
6,Afghanistan_2014_National%20Cybersecurity%20Strategy%20of%20Afghanistan%20%28November2014%29.pdf,2," In 2009, MCIT established the first Cyber Emergency Response Team, (, CERT ) in Afghanistan, and it was officially named as AFCERT"
7,Afghanistan_2014_National%20Cybersecurity%20Strategy%20of%20Afghanistan%20%28November2014%29.pdf,2, The mandate of AFCERT was to fight against cyber threats and crimes and provide awareness and solutions on cyber security to the government and private sector
8,Afghanistan_2014_National%20Cybersecurity%20Strategy%20of%20Afghanistan%20%28November2014%29.pdf,2," In its first two years of operation, AFCERT submitted an official report to the MCIT senior management regarding an upsurge in the cyber and electronic crimes in the country"
9,Afghanistan_2014_National%20Cybersecurity%20Strategy%20of%20Afghanistan%20%28November2014%29.pdf,2," In order to fight the said crimes, it was vital to conduct a risk assessment of all government ICT infrastructures and come up with a solution to mitigate those risks"
10,Afghanistan_2014_National%20Cybersecurity%20Strategy%20of%20Afghanistan%20%28November2014%29.pdf,2," Afcert’S proposal on preparing a draft of Cyber Security Strategy for the country was accepted by the MCIT and ICT Council and, to this end, the MCIT and ICT Council established a committee"
11,Afghanistan_2014_National%20Cybersecurity%20Strategy%20of%20Afghanistan%20%28November2014%29.pdf,2," In 2012, the first awareness workshop on drafting the NCSA was held in ICTI Institute, supported And funded by the US Department of Commerce"
12,Afghanistan_2014_National%20Cybersecurity%20Strategy%20of%20Afghanistan%20%28November2014%29.pdf,2,", It was a 4 day workshop and all government CIOs ICT heads, private sector and academia participated and studied and analyzed various strategies from different countries"
