,Document,Page,Sentence
0,Albania_2014_StrategjiaperMbrojtjenKibernetike.pdf,1,R E R E R E R E R E R E R R - I R S S 
1,Albania_2014_StrategjiaperMbrojtjenKibernetike.pdf,1,"( CYBER DEFENSE, ) "
2,Albania_2014_StrategjiaperMbrojtjenKibernetike.pdf,2,", The Cyber Defense Strategy, | Ministry of Defense, "
3,Albania_2014_StrategjiaperMbrojtjenKibernetike.pdf,2,"The National Security Strategy states that `` Albania ranks among the countries where telecommunication development, internet access and computerization of society is progressing very soon"
4,Albania_2014_StrategjiaperMbrojtjenKibernetike.pdf,2," The growth of communication is an added value in economic development and social, but at the same time it exposes it to the dangers of nature"
5,Albania_2014_StrategjiaperMbrojtjenKibernetike.pdf,2, Cybernetics with state and non-state actors
6,Albania_2014_StrategjiaperMbrojtjenKibernetike.pdf,2," Cyberattacks have the potential for it severely damaged the exchange of information in public institutions, telecommunications and financial and banking system causing interruption of vital services"
7,Albania_2014_StrategjiaperMbrojtjenKibernetike.pdf,2,1 Increasing digital assets are an integral part of military operations
8,Albania_2014_StrategjiaperMbrojtjenKibernetike.pdf,2," Meanwhile, the rise of work dependence on digital assets creates cyber security"
9,Albania_2014_StrategjiaperMbrojtjenKibernetike.pdf,2,", with Cyber Security will mean the conditions in which cyber space2 is protected, about accidental or deliberate events which consist in taking and transferring data, modifying them, destroying or blocking illegal data, communication and information systems"
10,Albania_2014_StrategjiaperMbrojtjenKibernetike.pdf,2," Due to inadequate measures, security"
11,Albania_2014_StrategjiaperMbrojtjenKibernetike.pdf,2," The digital space of cyberspace is the fifth field of military operations in the world, along with air sea land and space"
12,Albania_2014_StrategjiaperMbrojtjenKibernetike.pdf,2," Communication and information technology enables the Ministry of Defense and Armed Forces, ( MM / FA, ) Efficiency in Command Control, ( C2, ) support logistics and other services that are supported on communication systems and information"
13,Albania_2014_StrategjiaperMbrojtjenKibernetike.pdf,2," This strategy, promoted by the MoD aims to maintain an electronic operating environment safe, reliable and reliable, which supports the safety of MM / AF structures and enhances the benefits of the digital environment for them"
14,Albania_2014_StrategjiaperMbrojtjenKibernetike.pdf,2," Setting standards for safe use of cyber space, encouraging a comprehensive implementation, security assurance and progress on MOI structures and systems of interconnection and information, ( SEN, )"
15,Albania_2014_StrategjiaperMbrojtjenKibernetike.pdf,2," The Cyber Security Strategy describes the current challenges in system security issues, Interconnection and Information, (, SNI, ) and key points in order to cope with these challenges"
