,Document,Page,Sentence
0,Australia_2016_Cyber-Strategy.pdf,1,"Enabling innovation growth & prosperity, "
1,Australia_2016_Cyber-Strategy.pdf,2,"Australia’S Cyber Security Strategy, © Commonwealth of Australia, 2016ISBN 978-1-925238-61-7, Australia’s Cyber Security Strategy, ( Hardcopy, ), ISBN 978-1-925238-62-4, Australia’s Cyber Security Strategy, ( PDF ), ISBN 978-1-925238-60-0, Australia’s Cyber Security Strategy, ( HTML, ), Copyright Notice, "
2,Australia_2016_Cyber-Strategy.pdf,2,"With the exception of the Commonwealth Coat of Arms, this work is licensed under a Creative Commons Attribution 4"
3,Australia_2016_Cyber-Strategy.pdf,2,0 International licence ( CC BY 4
4,Australia_2016_Cyber-Strategy.pdf,2,0 ) ( http //creativecommons
5,Australia_2016_Cyber-Strategy.pdf,2,"Wherever a third party holds copyright in this material, the copyright remains with that party"
6,Australia_2016_Cyber-Strategy.pdf,2, Their permission may be required to use the material
7,Australia_2016_Cyber-Strategy.pdf,2,"This publication should be attributed as follows: Commonwealth of Australia, Department of the Prime Minister and Cabinet Australia’s Cyber Security StrategyUse of the Coat of ArmsThe terms under which the Coat of Arms can be used are detailed"
8,Australia_2016_Cyber-Strategy.pdf,2, On the following website
9,Australia_2016_Cyber-Strategy.pdf,2,Enquiries regarding this licence and any other use of this document are welcome at The Department of the Prime Minister and Cabinet at www
10,Australia_2016_Cyber-Strategy.pdf,3,"Australia’S CYBER SECURITY STRATEGY AT A GLANCE THE CYBER LANDSCAPE, "
11,Australia_2016_Cyber-Strategy.pdf,3,A NATIONAL CYBER PARTNERSHIP 
12,Australia_2016_Cyber-Strategy.pdf,3,Global RESPONSIBILITY AND INFLUENCE 
13,Australia_2016_Cyber-Strategy.pdf,3,A CYBER SMART NATION 
14,Australia_2016_Cyber-Strategy.pdf,4,"Australia’S CYBER SECURITY STRATEGY, | 1 "
15,Australia_2016_Cyber-Strategy.pdf,4,"If we are to fully realise the social, economic and strategic benefits of being online, we must ensure the administration of the Internet continues to be governed by those who use it—not dominated by governments"
16,Australia_2016_Cyber-Strategy.pdf,4," Equally, cyberspace cannot be allowed to become a lawless domain"
17,Australia_2016_Cyber-Strategy.pdf,4, Both Government and the private sector have vital roles to play
18,Australia_2016_Cyber-Strategy.pdf,4,", While governments can take the lead in facilitating innovation and providing security"
19,Australia_2016_Cyber-Strategy.pdf,4, Businesses need to ensure their cyber security practices are robust and up to date
20,Australia_2016_Cyber-Strategy.pdf,4,", Australia and Australians are targets for malicious actors—including"
21,Australia_2016_Cyber-Strategy.pdf,4, Serious and organised criminal syndicates and foreign adversaries—who are all using cyberspace to further their aims and attack our interests
22,Australia_2016_Cyber-Strategy.pdf,4, The scale and reach of malicious cyber activity affecting Australian public and private sector organisations and individuals is unprecedented
23,Australia_2016_Cyber-Strategy.pdf,4, The rate of compromise is increasing and the methods used by malicious actors are rapidly evolving
24,Australia_2016_Cyber-Strategy.pdf,4, Australian Government has a duty to protect our nation from cyber attack and to ensure that we can defend our interests in cyberspace
25,Australia_2016_Cyber-Strategy.pdf,4," We must safeguard against criminality, espionage, sabotage and unfair competition"
26,Australia_2016_Cyber-Strategy.pdf,4, This Cyber Security Strategy sets out my Government’s philosophy and program for meeting the dual challenges of the digital age—advancing and protecting our interests
27,Australia_2016_Cyber-Strategy.pdf,4,", The maintenance of our security online and the protection of freedom online are not only compatible but reinforce each other"
28,Australia_2016_Cyber-Strategy.pdf,4," A secure cyberspace provides trust and confidence for individuals, business and the public sector to share ideas, collaborate and innovate"
29,Australia_2016_Cyber-Strategy.pdf,4, The Internet is transforming how we socialise and do business in ways its founders could not have imagined
30,Australia_2016_Cyber-Strategy.pdf,4," It is changing how we are entertained and informed, affecting almost every aspect of our lives"
31,Australia_2016_Cyber-Strategy.pdf,4," The need for an open, free and secure Internet goes far beyond economics"
32,Australia_2016_Cyber-Strategy.pdf,4, It is important for ensuring public and financial accountability and strengthening democratic institutions
33,Australia_2016_Cyber-Strategy.pdf,4, It underpins freedom of expression and reinforces safe and vibrant communities
34,Australia_2016_Cyber-Strategy.pdf,4," Australia and its allies will work together internationally to promote norms of behaviour that are consistent with a free, open and secure Internet"
35,Australia_2016_Cyber-Strategy.pdf,4, These norms include that states should not knowingly conduct or support cyber-enabled intellectual property theft
36,Australia_2016_Cyber-Strategy.pdf,4,", We need to do this, while redoubling our efforts to counter 2 "
37,Australia_2016_Cyber-Strategy.pdf,5,"The spread of propaganda online, which incites extremist and terrorist violence"
38,Australia_2016_Cyber-Strategy.pdf,5," As the Snowden disclosures demonstrate, often the most damaging risk to government or business online security is not ‘malware’ but ‘warmware’"
39,Australia_2016_Cyber-Strategy.pdf,5, The ability of a trusted insider to cause massive disruption to a network or to use legitimate access to obtain classified material and then illegally disclose it
40,Australia_2016_Cyber-Strategy.pdf,5," Technical solutions are important, but cultural change will be most effective in mitigating this form of cyber attack"
41,Australia_2016_Cyber-Strategy.pdf,5, As businesses and governments
42,Australia_2016_Cyber-Strategy.pdf,5," We must better, educate and empower our employees to use sound practices online"
43,Australia_2016_Cyber-Strategy.pdf,5, This Strategy seeks to promote an improved institutional cyber culture and raise awareness of cyber practice across government and business to enable all Australians to be secure
44,Australia_2016_Cyber-Strategy.pdf,5," The Strategy complements the key elements of my Government’s Economic Plan—helping, the transition to a new and more diverse economy, which is fuelled by innovation, the opening of new markets and more investment in Australian enterprise"
45,Australia_2016_Cyber-Strategy.pdf,5," The cyber security industry is in its relative infancy, but undergoing rapid growth"
46,Australia_2016_Cyber-Strategy.pdf,5, Australia is well placed to be a leader in cyber security
47,Australia_2016_Cyber-Strategy.pdf,5, We can use technology as a means to manage the threats and risks that come with being online and interconnected—and to grow
48,Australia_2016_Cyber-Strategy.pdf,5,"With, the Innovation and Science Agenda and the Defence Industry Plan"
49,Australia_2016_Cyber-Strategy.pdf,5," This Strategy will help bring more Australian technologies to market prepare our children for the jobs of the future by boosting science, technology engineering and mathematics, ( STEM ) participation and support and create innovative Australian companies"
50,Australia_2016_Cyber-Strategy.pdf,5," Most importantly, this Strategy will play a key role in securing Australia in the 21st Century"
51,Australia_2016_Cyber-Strategy.pdf,5, It also represents a significant investment in cyber security
52,Australia_2016_Cyber-Strategy.pdf,5, The Government will invest more than $ 230 million over four years to enhance Australia’s cyber security capability and deliver new initiatives
53,Australia_2016_Cyber-Strategy.pdf,5," This complements the significant investment in cyber security outlined in the 2016 Defence White Paper, boosting Defence cyber capabilities by up to $ 400 million over the next decade"
54,Australia_2016_Cyber-Strategy.pdf,5,"The Government will show leadership locally, regionally and globally"
55,Australia_2016_Cyber-Strategy.pdf,5, I will designate a Minister Assisting the Prime Minister on cyber security and appoint a Special Adviser on Cyber Security in my Department
56,Australia_2016_Cyber-Strategy.pdf,5, The Government’s lead on cyber security policy
57,Australia_2016_Cyber-Strategy.pdf,5,", The Minister for Foreign Affairs, will also appoint Australia’s first"
58,Australia_2016_Cyber-Strategy.pdf,5, Cyber Ambassador and the Department of Defence will continue to lead the co-location of the Government’s operational cyber security capabilities in the Australian Cyber Security
59,Australia_2016_Cyber-Strategy.pdf,5,"This new structure will ensure cyber security is given the attention it demands in an age where cyber opportunities and threats must be considered together and must be addressed proactively, not simply as a reaction to the inevitability of future cyber events"
60,Australia_2016_Cyber-Strategy.pdf,5," This Strategy will develop partnerships between the Australian, public and private sectors, support home-grown cyber security capabilities and promote international cyber cooperation"
61,Australia_2016_Cyber-Strategy.pdf,5," We will change and adapt when needed, to stay, competitive and influential in the constantly changing technology"
62,Australia_2016_Cyber-Strategy.pdf,5,"I look forward to working with governments both at home and abroad, the private sector and the community to strengthen trust online and together, better realise Australia’s, digital potential"
63,Australia_2016_Cyber-Strategy.pdf,6,"The, Hon, Malcolm Turnbull MP, Prime Minister 21 April 2016, AUSTRALIA’S CYBER SECURITY STRATEGY, | 3 "
64,Australia_2016_Cyber-Strategy.pdf,6,Strong cyber security is a fundamental element of our growth and prosperity in a global economy
65,Australia_2016_Cyber-Strategy.pdf,6, It is also vital for our national security
66,Australia_2016_Cyber-Strategy.pdf,6," It requires partnership involving governments, the private sector and the community"
67,Australia_2016_Cyber-Strategy.pdf,6,"Being connected is now essential, creating new opportunities for innovation and growth for all Australians"
68,Australia_2016_Cyber-Strategy.pdf,6," To be competitive, businesses need to be online"
69,Australia_2016_Cyber-Strategy.pdf,6,", But this also brings risks"
70,Australia_2016_Cyber-Strategy.pdf,6, Australia is increasingly a target for cybercrime and espionage
71,Australia_2016_Cyber-Strategy.pdf,6," All of us— governments, businesses and individuals— need to work together to build resilience to cyber security threats and to make the most of opportunities online"
72,Australia_2016_Cyber-Strategy.pdf,6," Australia needs to innovate and further diversify its economy—to access, new markets and new forms of wealth creation"
73,Australia_2016_Cyber-Strategy.pdf,6," We must embrace disruptive technologies, those that have the potential to fundamentally change traditional business models and the way people live and work"
74,Australia_2016_Cyber-Strategy.pdf,6, They will open up new possibilities for agile businesses in ways as yet unimagined
75,Australia_2016_Cyber-Strategy.pdf,6,", But the potential of digital technologies depends on the extent to which we can trust the Internet and cyberspace"
76,Australia_2016_Cyber-Strategy.pdf,6, Getting cyber security right will mean we capture more of the opportunities the connected world offers
77,Australia_2016_Cyber-Strategy.pdf,6, It will also make Australia a preferred place to do business
78,Australia_2016_Cyber-Strategy.pdf,6," This, in turn, will boost our national prosperity"
79,Australia_2016_Cyber-Strategy.pdf,6, We can also expand our cyber security businesses and export capability
80,Australia_2016_Cyber-Strategy.pdf,6, Cyber security is built on a solid foundation
81,Australia_2016_Cyber-Strategy.pdf,6, Our past investment has been strong
82,Australia_2016_Cyber-Strategy.pdf,6," Recent Government initiatives, such as the Australian Cyber Security Centre have lifted Government capabilities to a new level"
83,Australia_2016_Cyber-Strategy.pdf,6," Many of our larger businesses, particularly banks and telecommunications companies, have strong cyber security capabilities"
84,Australia_2016_Cyber-Strategy.pdf,6, Our future work will build on this
85,Australia_2016_Cyber-Strategy.pdf,6,We must also do more
86,Australia_2016_Cyber-Strategy.pdf,6," If an organisation is connected to the Internet, it is vulnerable to compromise"
87,Australia_2016_Cyber-Strategy.pdf,6,", As people and systems become ever more interconnected"
88,Australia_2016_Cyber-Strategy.pdf,6, The quantity and value of information held online has increased
89,Australia_2016_Cyber-Strategy.pdf,6,", So have efforts to steal and exploit that information harming our economy, privacy and safety"
90,Australia_2016_Cyber-Strategy.pdf,6, Cyberspace and the dynamic opportunities it offers is under persistent threat
91,Australia_2016_Cyber-Strategy.pdf,6, Cyber activity is a security challenge for all Australians
92,Australia_2016_Cyber-Strategy.pdf,6, Australian organisations across the public and private sectors have been compromised by state-sponsored or non-state actors
93,Australia_2016_Cyber-Strategy.pdf,6," Large multinational companies and government organisations have been targeted, losing substantial amounts of sensitive commercial and personal information or incurring major damage to their business and reputation"
94,Australia_2016_Cyber-Strategy.pdf,6,To grow our cyber security capabilities to anticipate and respond to cyber threats
95,Australia_2016_Cyber-Strategy.pdf,6, We must address our shortage of cyber security professionals
96,Australia_2016_Cyber-Strategy.pdf,6," It is critical that we build our nation’s stock of cyber security skills, which are becoming increasingly essential for life and work in our connected world"
97,Australia_2016_Cyber-Strategy.pdf,6,"Ultimately to deal with all these challenges, we must elevate cyber security as an issue of national importance"
98,Australia_2016_Cyber-Strategy.pdf,6, Leadership will be critical to achieving this goal
99,Australia_2016_Cyber-Strategy.pdf,7,"The Australian Government will take a lead role and, in partnership with others, promote action to protect our online security"
100,Australia_2016_Cyber-Strategy.pdf,7," Much of our digital infrastructure is owned by the private sector, so securing Australia’s cyberspace must also be a shared responsibility"
101,Australia_2016_Cyber-Strategy.pdf,7, It will be important that businesses and the research community work with governments and other stakeholders to improve our cyber defences and create solutions to shared problems
102,Australia_2016_Cyber-Strategy.pdf,7,A STRATEGY TO SECURE OUR PROSPERITY IN A CONNECTED
103,Australia_2016_Cyber-Strategy.pdf,7," Worldthe Government is committed to enabling innovation, growth and prosperity for all Australians through strong cyber security"
104,Australia_2016_Cyber-Strategy.pdf,7," This is in line with the Australian Government’s broader National Innovation and Science Agenda to help to create a modern, dynamic, 21st Century economy for Australia"
105,Australia_2016_Cyber-Strategy.pdf,7,This Strategy establishes five themes of action
106,Australia_2016_Cyber-Strategy.pdf,7, For Australia’s cyber security over the next four years to 2020:1
107,Australia_2016_Cyber-Strategy.pdf,7,", A national cyber partnership, "
108,Australia_2016_Cyber-Strategy.pdf,7,", Strong cyber defences "
109,Australia_2016_Cyber-Strategy.pdf,7,", Global responsibility and influence "
110,Australia_2016_Cyber-Strategy.pdf,7, Growth and innovation 
111,Australia_2016_Cyber-Strategy.pdf,7,", A cyber smart nation "
112,Australia_2016_Cyber-Strategy.pdf,7,Each theme is supported by actions
113,Australia_2016_Cyber-Strategy.pdf,7, The Government will take to improve our cyber security and ensure Australia can continue to grow and prosper today and to seize opportunities for tomorrow
114,Australia_2016_Cyber-Strategy.pdf,7," Recognising that cyberspace is dynamic, the Strategy’s initiatives will be reviewed and updated annually, and the Strategy reviewed and updated every four years"
115,Australia_2016_Cyber-Strategy.pdf,7, Some actions are already underway and will be ongoing
116,Australia_2016_Cyber-Strategy.pdf,7," Others are new and will be co- designed with stakeholders from the private sector, research, community and international partners"
117,Australia_2016_Cyber-Strategy.pdf,7, Many of these actions also rely on working with all Australians—because
118,Australia_2016_Cyber-Strategy.pdf,7, We all have a part to play in enhancing our security and confidence in Australia as a modern economy and trusted place to do business
119,Australia_2016_Cyber-Strategy.pdf,7,"The ideas that underpin this Strategy were drawn from a classified Cyber Security Review, led by the Department of the Prime Minister and Cabinet"
120,Australia_2016_Cyber-Strategy.pdf,7," The Department, through the new position of a Special Adviser on Cyber Security, will lead implementation of this Strategy for the Government in its central responsibility for cyber security, policy"
121,Australia_2016_Cyber-Strategy.pdf,7,"Ultimately all of us—governments businesses, communities and individuals—need to tackle cyber security threats to make the most of online opportunities"
122,Australia_2016_Cyber-Strategy.pdf,7," This Strategy charts a new way forward for Australia’s cyber future, one that is creative, collaborative and adaptable"
123,Australia_2016_Cyber-Strategy.pdf,8," Cyber SECURITY STRATEGY, | 5 "
124,Australia_2016_Cyber-Strategy.pdf,8," Together, the Australian Government and business leaders will jointly drive Australia’s cyber security setting the strategic agenda through annual Cyber Security meetings"
125,Australia_2016_Cyber-Strategy.pdf,8, Hosted by the Prime Minister and comprising leaders from business and the research community
126,Australia_2016_Cyber-Strategy.pdf,8, The meetings will align the key initiatives in this Strategy and tackle emerging cyber security issues
127,Australia_2016_Cyber-Strategy.pdf,8, A Minister Assisting the Prime Minister on cyber security will also underpin this effort
128,Australia_2016_Cyber-Strategy.pdf,8,We will streamline the cyber security governance for Commonwealth Government agencies and clearly identify lead responsibilities
129,Australia_2016_Cyber-Strategy.pdf,8, The Australian Cyber Security Centre will be relocated to a facility that allows the centre to grow and enables the Government and the private sector to work more effectively
130,Australia_2016_Cyber-Strategy.pdf,8,We will also sponsor research to better understand the costs of malicious cyber activity to the Australian economy
131,Australia_2016_Cyber-Strategy.pdf,8, To ensure organisations have local information to inform their investment and risk management decisions for cyber security
132,Australia_2016_Cyber-Strategy.pdf,8,"STRONG CYBER DEFENCES, Australia’s networks and systems will be increasingly resilient to attack and hard to compromise"
133,Australia_2016_Cyber-Strategy.pdf,8," We will better detect, deter and respond to cyber security threats and better anticipate risks"
134,Australia_2016_Cyber-Strategy.pdf,8," Australian governments and the private sector will work together to share more information, including from classified sources, exchanging information on threats and responses through joint cyber threat sharing centres in key capital cities and an online cyber threat sharing portal"
135,Australia_2016_Cyber-Strategy.pdf,8, We will jointly exercise our response to be better prepared for cyber attacks
136,Australia_2016_Cyber-Strategy.pdf,8, The Government will invest in agencies in the Australian Cyber Security Centre
137,Australia_2016_Cyber-Strategy.pdf,8," We will increase the capacity of the national Computer Emergency Response Team, (, CERT, ), Australia to work with Australian businesses, in particular those providing national critical services"
138,Australia_2016_Cyber-Strategy.pdf,8," We will also improve the Australian Signals, Directorate’s ability to detect cyber security vulnerabilities"
139,Australia_2016_Cyber-Strategy.pdf,8, This will complement the investment in cyber capabilities being made through the 2016 Defence White Paper
140,Australia_2016_Cyber-Strategy.pdf,9,"The Government will improve its capacity to tackle cybercrime by increasing the number of specialists, conducting threat, detection and awareness, technical analysis and forensic assessments of cybercrime in the Australian Crime"
141,Australia_2016_Cyber-Strategy.pdf,9, Commission and the Australian Federal Police
142,Australia_2016_Cyber-Strategy.pdf,9,Australia will raise the bar on cyber security
143,Australia_2016_Cyber-Strategy.pdf,9, Organisations in both the public and private sectors need to better understand cyber risks and have stronger cyber defences
144,Australia_2016_Cyber-Strategy.pdf,9, Cyber security is too often viewed as simply an IT
145,Australia_2016_Cyber-Strategy.pdf,9, Issue—It belongs at the centre of business strategy for organisations across the public and private sectors
146,Australia_2016_Cyber-Strategy.pdf,9," Governments, businesses and the research community will co-design national voluntary cyber security guidelines to promote good practice that all organisations can use"
147,Australia_2016_Cyber-Strategy.pdf,9, These will be based on world class strategies developed by the Australian Signals Directorate and aligned with international standards where possible
148,Australia_2016_Cyber-Strategy.pdf,9," Voluntary cyber security governance, ‘health checks’ will also help organisations understand their cyber security, strengths and gaps"
149,Australia_2016_Cyber-Strategy.pdf,9," Australia will work with its international partners to champion an open, free and secure Internet"
150,Australia_2016_Cyber-Strategy.pdf,9, We will work together to address cyber security threats and highlight the opportunities a free Internet presents for the global economy
151,Australia_2016_Cyber-Strategy.pdf,9," This work will be enhanced through the appointment of a Cyber Ambassador, who will identify opportunities for practical international cooperation and ensure Australia has a coordinated, consistent and influential voice on international"
152,Australia_2016_Cyber-Strategy.pdf,9,"Australia supports a cyberspace in which states abide by international law and their behaviour is supported and reinforced by agreed norms—or standards for appropriate conduct—and, practical confidence building measures that reduce the risk of conflict"
153,Australia_2016_Cyber-Strategy.pdf,9," Most cybercrime targeting Australians originates overseas, so the Government will partner with international Law enforcement, intelligence agencies and other computer emergency response teams"
154,Australia_2016_Cyber-Strategy.pdf,9, This will build cyber capacity to prevent and shut down safe havens for cyber criminals
155,Australia_2016_Cyber-Strategy.pdf,9," Assistance will also enable our international partners, particularly in the Indo- Pacific region, to develop their institutional capacity to tackle cyber security"
156,Australia_2016_Cyber-Strategy.pdf,10," AUSTRALIA’S CYBER SECURITY STRATEGY, | 7 "
157,Australia_2016_Cyber-Strategy.pdf,10, Cyberspace presents enormous opportunities for all Australian organisations
158,Australia_2016_Cyber-Strategy.pdf,10, The Internet is an essential tool for businesses of all sizes
159,Australia_2016_Cyber-Strategy.pdf,10," It delivers existing services and products, as well as enabling the development of innovative technologies and new commercial opportunities"
160,Australia_2016_Cyber-Strategy.pdf,10," Equally, it underpins transformative change in the public, research and non-profit sectors"
161,Australia_2016_Cyber-Strategy.pdf,10," The Asia-Pacific region, disruptive business models and the technologies that enable them—such as big data analytics mobile Internet, the Internet of Things and cloud computing—could, create up to US $ 625 billion in economic activity per year by 2030, representing 12 per cent of the region’s total projected GDP"
162,Australia_2016_Cyber-Strategy.pdf,10," The Government’s commitment to cyber security will help businesses to diversify and develop new markets, laying the foundations for a prosperous future"
163,Australia_2016_Cyber-Strategy.pdf,10, To take advantage of the growing global market for cyber security services
164,Australia_2016_Cyber-Strategy.pdf,10, The Government will also support Australia’s cyber security sector to expand and promote their capabilities to the global market
165,Australia_2016_Cyber-Strategy.pdf,10, Domestically strong cyber security services will encourage trust and confidence in Australian businesses operating online
166,Australia_2016_Cyber-Strategy.pdf,10," With better focused cyber security, research and development that responds to the needs of industry And governments, Australia will generate investment and jobs and enhance our national cyber security"
167,Australia_2016_Cyber-Strategy.pdf,10, It will also make Australia a more attractive destination for business
168,Australia_2016_Cyber-Strategy.pdf,10, Australia will position itself as a location for cyber security innovation by establishing a Cyber Security Growth Centre through the National Innovation and Science Agenda
169,Australia_2016_Cyber-Strategy.pdf,10,", Creating a national network of research and innovation"
170,Australia_2016_Cyber-Strategy.pdf,10," The Growth Centre will bring together Australian governments, businesses, start-ups and the research community to define and prioritise cyber security challenges that are both critical to national success and those for which Australia has a leading ability to build globally competitive solutions"
171,Australia_2016_Cyber-Strategy.pdf,10, The Growth Centre will also link to existing cyber security innovation hubs
172,Australia_2016_Cyber-Strategy.pdf,10," The Growth Centre and its network will help strengthen our cyber defences, as well as growing business opportunities and creating jobs"
173,Australia_2016_Cyber-Strategy.pdf,10," This includes, through its connection with other initiatives in this Strategy, such as the joint cyber threat sharing centres"
174,Australia_2016_Cyber-Strategy.pdf,10,Also through the National Innovation and Science Agenda
175,Australia_2016_Cyber-Strategy.pdf,10," The Government is boosting the capacity of Data61—the Commonwealth, Scientific and Industrial Research Organisation’s ( CSIRO ) digital powerhouse—to propel cyber security innovation, with a particular focus on support for cyber security start-ups and technical capability 8"
176,Australia_2016_Cyber-Strategy.pdf,11,Development internally and through Data61’s partnerships with universities
177,Australia_2016_Cyber-Strategy.pdf,11,", This will include a cyber specific PhD scholarship program with recipients spending time with Data61"
178,Australia_2016_Cyber-Strategy.pdf,11," These initiatives complement other initiatives in the Government’s National Innovation and Science Agenda, which will also support cyber security businesses to grow and prosper"
179,Australia_2016_Cyber-Strategy.pdf,11," Similarly, all Australian innovations will benefit from improved protection from cyber- enabled intellectual property theft"
180,Australia_2016_Cyber-Strategy.pdf,11,A CYBER SMART NATION Underpinning the success of the other four themes in this Strategy is Australia’s commitment to addressing the critical shortage of skilled cyber security professionals
181,Australia_2016_Cyber-Strategy.pdf,11," Building on the Government’s existing science technology Engineering and mathematics ( STEM ), related initiatives"
182,Australia_2016_Cyber-Strategy.pdf,11," We will tackle this major problem through all levels of the education system, starting with the most urgent need in the tertiary sector"
183,Australia_2016_Cyber-Strategy.pdf,11," The Government, together with the academic and research community and businesses, will co-design a model and then establish academic centres of cyber security excellence in universities to ensure graduates have the right skills and expertise"
184,Australia_2016_Cyber-Strategy.pdf,11," The centres of excellence will link with others around the world and also link with other initiatives in this Strategy, such as the joint cyber threat sharing centres and the Cyber Security Growth"
185,Australia_2016_Cyber-Strategy.pdf,11," Governments, businesses and the research community will also work together to fix the cyber security skills pipeline to ensure more children at school study, relevant subjects and to enable people at all stages of their careers to develop cyber security"
186,Australia_2016_Cyber-Strategy.pdf,11,The Government will also further improve national cyber security awareness and work to ensure all Australians understand the risks and benefits of the Internet and how to protect themselves online through sustained joint public-private awareness initiatives and education
187,Australia_2016_Cyber-Strategy.pdf,12,"Australia’S CYBER SECURITY STRATEGY, | 9 "
188,Australia_2016_Cyber-Strategy.pdf,12,"Australia’S CYBER SECURITY STRATEGY AT A GLANCEA NATIONAL CYBER PARTNERSHIP, Governments, businesses and the research community together advance Australia’s cyber security"
189,Australia_2016_Cyber-Strategy.pdf,12," Co-Leadership, The Government and business leaders take the lead on co-designed national cyber security initiatives, including through the Prime Minister, holding annual cyber security meetings with business leaders"
190,Australia_2016_Cyber-Strategy.pdf,12, The Government clearly identifies lead responsibilities and relocates the Australian Cyber Security Centre to engage with business
191,Australia_2016_Cyber-Strategy.pdf,12, The Government sponsors research to better understand the cost of malicious cyber activities to the economy
192,Australia_2016_Cyber-Strategy.pdf,12, Australia’S networks and systems are hard to compromise and resilient to cyber attacks
193,Australia_2016_Cyber-Strategy.pdf,12," Australia actively promotes an open, free and secure cyberspace"
194,Australia_2016_Cyber-Strategy.pdf,12," Australian businesses grow and prosper through cyber security, innovation"
195,Australia_2016_Cyber-Strategy.pdf,13,"Priority actions Detect, deter and respond, Open, jointly, operated cyber threat sharing centres and an online cyber threat"
196,Australia_2016_Cyber-Strategy.pdf,13," Tackle cyber threats with improved intelligence, analytic and response capability"
197,Australia_2016_Cyber-Strategy.pdf,13," The bar Co-design voluntary cyber security governance, ‘health checks’, national good practice, guidelines, conduct joint exercisers and develop and leverage advanced technology to make Australia a harder target against cyber threats"
198,Australia_2016_Cyber-Strategy.pdf,13, Cyber security assessments of Government agencies
199,Australia_2016_Cyber-Strategy.pdf,13,"Priority actions Champion an open, free and secure Internet Advocate to retain an open, free and secure Internet in the Indo-Pacific region and globally"
200,Australia_2016_Cyber-Strategy.pdf,13,"Shut down safe havens, Partner internationally to shut down safe havens and prevent cybercrime and other malicious cyber activity"
201,Australia_2016_Cyber-Strategy.pdf,13,Build capacity Help Build capacity in our region and globally against malicious cyber activities
202,Australia_2016_Cyber-Strategy.pdf,13,"Priority actions Enable cyber security innovation, Drive investment in cyber security; innovation through the Cyber Security Growth Centre and innovation network to strengthen cyber defences, grow our economy and create jobs"
203,Australia_2016_Cyber-Strategy.pdf,13,Enable cyber security businesses to develop and expand Support
204,Australia_2016_Cyber-Strategy.pdf,13, New businesses and promote the export of Australian cyber security products and services
205,Australia_2016_Cyber-Strategy.pdf,13,"Enable cyber security, research and development Ensure our cyber security R & D is responsive to the challenges"
206,Australia_2016_Cyber-Strategy.pdf,13, Australians have the cyber security skills and knowledge to thrive in the digital age
207,Australia_2016_Cyber-Strategy.pdf,13,"Priority actions Develop the right skills and expertise Address cyber security skills shortages to develop a highly-skilled cyber security workforce, starting with academic centres of cyber security excellence and increasing diversity"
208,Australia_2016_Cyber-Strategy.pdf,13,Raise national cyber security awareness
209,Australia_2016_Cyber-Strategy.pdf,13," Lift all Australians’ awareness of cyber risks and benefits through sustained joint public-private national awareness-raising, initiatives"
210,Australia_2016_Cyber-Strategy.pdf,14,“The Cyber Security Strategy underscores the powerful potential sparked by the cyber phenomenon
211,Australia_2016_Cyber-Strategy.pdf,14," That potential revolves not just around Australia’s national security, but equally around its economic wellbeing"
212,Australia_2016_Cyber-Strategy.pdf,14," It is unlocked by tackling these issues square on by getting to grips with them in partnership across government, industry, academia and society, and in mastering their complexities and seizing their inherent possibilities"
213,Australia_2016_Cyber-Strategy.pdf,14, A member of the Cyber Security Review’s Independent Panel of Experts12 
214,Australia_2016_Cyber-Strategy.pdf,16,"Australia’S CYBER SECURITY STRATEGY, | 13 "
215,Australia_2016_Cyber-Strategy.pdf,16,CYBERSPACE - IS A WORLD OF OPPORTUNITY
216,Australia_2016_Cyber-Strategy.pdf,16,", The Internet based economy is growing twice as fast as the rest of the global economy"
217,Australia_2016_Cyber-Strategy.pdf,16, This is driven by a combination of surging business innovation and increased connectivity
