,Document,Page,Sentence
0,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,1,"Austrian Cyber Security Strategy, "
1,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,2,"Austrian Cyber Security Strategy, "
2,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,3,"Publishing information, Media owner publisher, editor, Federal Chancellery of the Republic of Austria Department, IV Coordination, "
3,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,3,"Division, IV/6 Security Policy Affairs "
4,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,3,"Graphic design, Federal Chancellery |, ARGE, Grafik, Printing BM"
5,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,4,"2 Opportunities and risks in cyber space, 3 Principles"
6,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,4,"5 Fields of action and measures, Field of action, 1 structures and processes; Field of action; 2; governance, Field of action; 3; cooperation between the government economy and society; Field of action; 4; protection of critical infrastructures; Field of action; 5 awareness raising and training Field of action; 6; Research and development Field of action - 7 international cooperation, 6 Implementation, "
7,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,5,The digital revolution has been gaining ground in all spheres of life of the modern world
8,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,5," And more than ever, post-industrial societies and highly developed countries are taking advantage of cyber space for their technological, economic, social, cultural, scientific and political"
9,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,5," Digital infrastructures are becoming the backbone of a successful economy, a vibrant research community, a transparent state as well as a free society"
10,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,5,", The development of modern information and communication technologies"
11,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,5," Above all, the Internet has transformed our social and economic life radically"
12,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,5," In Austria about three quarters of the population use the Internet regularly, and half of this group does so on a daily basis"
13,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,5," The economy depends increasingly on effective digital infrastructures with regard to its technological, further development and the efficiency of internal procedures"
14,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,5," The public administration does no longer rely exclusively on traditional channels of service delivery, but considers the Internet indispensable for reaching out to the general public"
15,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,5, The citizens must have confidence that their data will be received by the addressees fast and reliably
16,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,5,", An open and free Internet"
17,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,5," The protection of personal data, as well as the integrity of interconnected networks, are the basis for global prosperity, security and the promotion of human rights"
18,Austria_2013_130415_strategie_cybersicherheit_en_web.pdf,5," Effective digital infrastructures are a prerequisite for providing services of general inter- est, such as energy, water and transport, to the population"
