,Document,Page,Sentence
0,Azerbaijan_2004_Orig.pdf,1,Official Web Site of the President of Azerbaijan DOCUMENTS Orders Azerbaijan 
1,Azerbaijan_2004_Orig.pdf,1, Page 1 of 12 
2,Azerbaijan_2004_Orig.pdf,1,Official web-site of the President of Azerbaijan
3,Azerbaijan_2004_Orig.pdf,1, official web page 
4,Azerbaijan_2004_Orig.pdf,1,"Information in the Republic of Azerbaijan, community development in 2014-2020 NATIONAL STRATEGY, for"
5,Azerbaijan_2004_Orig.pdf,1," 02 April 2014, 22:05 "
6,Azerbaijan_2004_Orig.pdf,1,"President of the Republic of Azerbaijan, By the Order of April 2, 2014 Approved"
7,Azerbaijan_2004_Orig.pdf,1,"The main directions of the future development strategy of the Azerbaijan Republic are non-oil sector, the achievement of sustainable economic growth and progress through the development of the economy and the diversification of the economy"
8,Azerbaijan_2004_Orig.pdf,1," This purpose our country's gross domestic product, as well as the state budget Reduction of the natural resources factor in the formation and the supremacy of the non-oil factor, making strong motivation for expanding the application mechanisms to create and develop"
9,Azerbaijan_2004_Orig.pdf,1,Existing resources and geographical positions
10,Azerbaijan_2004_Orig.pdf,1, Socio-Economic of all regions
11,Azerbaijan_2004_Orig.pdf,1," Of the Republic of Azerbaijan, ensuring the development of modern requirements and the competitiveness of our economy upgrading will create a decent place for national products in the world"
12,Azerbaijan_2004_Orig.pdf,1,"These goals Approved by the Decree of the President of the Republic of Azerbaijan of December 29, 2012 800 ( hereinafter, the Concept ) in the `` Azerbaijan 2020"
13,Azerbaijan_2004_Orig.pdf,1, A Look into the Future'' Development Concept
14,Azerbaijan_2004_Orig.pdf,1,The main goal in the Concept is mainly in the Republic of Azerbaijan
15,Azerbaijan_2004_Orig.pdf,1," For the next eight or ten years, Increasing the gross domestic product by 2 times due to the development of the non-oil sector and the increase the implementation of innovation-based and knowledge-based economy in the republic"
16,Azerbaijan_2004_Orig.pdf,1,One of the main pillars of such development is information and communication technologies
17,Azerbaijan_2004_Orig.pdf,1," ( hereinafter, ICT, ), "
18,Azerbaijan_2004_Orig.pdf,1,"Modern and multi-purpose infrastructure, such as the new economic sector, with a high growth rate of ICT, as well as a leading force of comprehensive socio-economic progress"
19,Azerbaijan_2004_Orig.pdf,1,"Today OIC, is to ensure the sustainable and sustainable development of the republic, its intellectual potential, empowerment, business advancement, Corruption, poverty and unemployment reductions is considered as a convenient tool for the development of transparency and democracy in society"
20,Azerbaijan_2004_Orig.pdf,1,"ICT, public-private partnership that creates new values in public administration, education, health, business banking has become an important part of economic relations"
21,Azerbaijan_2004_Orig.pdf,1," Ideas on the internet and more the availability of freedom of speech, electronic newspapers and magazines, extensive domestic and external social networks, the spread of ICTs to the society"
22,Azerbaijan_2004_Orig.pdf,1,In order to achieve the key goal set out in the concept the ICT sector will be 4-4
23,Azerbaijan_2004_Orig.pdf,1,"5 in the next Decade, time, expansion, ICT, economic capacity building community ICT needs payment, is required"
