,Document,Page,Sentence
0,Bangladesh_10041_41196.pdf,1,Iwrvw bs wW G-1 
1,Bangladesh_10041_41196.pdf,1,"Ghijevi gvP 11, 2014 "
2,Bangladesh_10041_41196.pdf,1,Wvk UwjhvMvhvM I Z_chyw gYvjq 
3,Bangladesh_10041_41196.pdf,1,"Z, I hvMv hvM chyw wefvM ( AvBwmwU-1 kvLv ) "
4,Bangladesh_10041_41196.pdf,1,Zvwil 03 gvP 2014 wLt 
5,Bangladesh_10041_41196.pdf,1,K wbim b vector 
6,Bangladesh_10041_41196.pdf,1,"Bnv me mvavi Yi Yi Yi K, "
7,Bangladesh_10041_41196.pdf,1,"Iv, cwZi Av `k g "
8,Bangladesh_10041_41196.pdf,2,"Evolution: R RU Awzwi gvP, 11, 2014 NATIONAL "
9,Bangladesh_10041_41196.pdf,2,"Technologies, ( ICTs, ), The two types of infrastructure, jointly support, essential services in sectors such as communications, emergency services, energy finance, food government, health, transport and water"
10,Bangladesh_10041_41196.pdf,2," Therefore, to achieve our economic security and democratic objectives, we require reliable physical and digital infrastructure"
11,Bangladesh_10041_41196.pdf,2," Physical assets increasingly depend upon the reliable functioning of the digital infrastructure or critical information infrastructure, (, CII ) to deliver services and to conduct business"
12,Bangladesh_10041_41196.pdf,2," Consequently, significant disruption to CII could have an immediate and debilitating impact that reaches far beyond the ICT sector and affects the ability of a nation to perform its essential missions in multiple sectors"
13,Bangladesh_10041_41196.pdf,2," Therefore, critical information, infrastructure protection, ( CIIP ), is everyones responsibility"
14,Bangladesh_10041_41196.pdf,2,This document is The National Cybersecurity Strategy of Bangladesh
15,Bangladesh_10041_41196.pdf,2," It is one of the long-term measures for protecting our cyber world against security, threats, risks and challenges to national security"
16,Bangladesh_10041_41196.pdf,2, The Strategy addresses the countrys national security strategy
17,Bangladesh_10041_41196.pdf,2, The purpose of this document is to create a coherent vision for 2021 keeping Bangladesh secure and prosperous by coordinating government private sector citizens and international cyberspace defense efforts
18,Bangladesh_10041_41196.pdf,2, This National Cybersecurity Strategy outlines a framework for organizing and prioritizing efforts to manage risks to our cyberspace or critical information infrastructure
19,Bangladesh_10041_41196.pdf,2, To achieve the aforesaid goals above this Strategy significantly raises the profile of cybersecurity within our governments and defines clear roles and responsibilities
20,Bangladesh_10041_41196.pdf,2, Cognizant of the shared Nature of cyber vulnerabilities
