,Document,Page,Sentence
0,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,1,"Belgium BELGIQUE BELGIUM, BELGIEN "
1,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2,Recognize the cyber threat Improve safety Can respond to incidents CMR Additional information from 18-12-2012 1/17 
2,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2,Our society and economy have become very dependent on information and communication technology that actuaround forms the basis for the operation of business processes and also in vital sectors
3,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2,That is why the availability and good honest operation of these IT systems are crucial
4,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2," Belgium, as a knowledge society has become very vulnerable because of the rapid technological evolution"
5,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2,Economic and political espionage in cyberspace pose a danger to the scientific and economic potential of our country
6,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2," Also, the continuity of social activities"
7,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2," Cyberspace is jeopardized by unauthorized intrusion, maintenance or deactivation of ICT infrastructure"
8,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2, The cyber threat is real
9,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2,Money and power remain the prime objective of the criminals
10,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2," Their objective, however, are increasing"
11,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2,"The required knowledge and tools will be more accessible, resulting in a worrying increase in the number of cyber security incidents With a national cyber security strategy"
12,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2, Belgium sets three strategic objectives for the guarantee
13,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2, Cyber security in Belgium o strive for a safe and reliable cyberspace
14,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2," With respect for fundamental rights and values of modern society, o strive for optimal security and protection of critical infrastructures and government systems against the cyber threat, developing own cyber security capabilities for an independent security policy and an appropriate one response to security incidents"
15,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2, The approach to realize the three above mentioned strategic objectives translates into different ones action lines
16,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2, Cyber security must be dealt with centrally and integrated by a central body
17,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2,"This requires clear agreements between and an important commitment from, the various national partners"
18,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2," Situate with government, private sector and academia'All aspects of safety are needed bid in an optimistic national and international cooperation, Starting from the existing legislation"
19,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2, A legal framework must be created with attention to a balance between the rights and freedoms of the citizen and the necessary interventions of the government
20,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2," The cyber threat in general, but also specifically against the government systems and critical infrastructures, must be continuously monitored"
21,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2, Incidents must be consistent and to be coordinated handling
22,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2, The capacity must be strengthened for this purpose
23,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2," Standard safety standards and guidelines will be drawn up to protect CT systems, improve"
24,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2,"Information and sensitization of citizens, companies, national important infrastructures as well"
25,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2, The government is a must
26,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,2," A joint action by various actors is also involved in incidents of a criminal nature or cybercrime required to keep the impact of the incident as limited as possible, as well as the perpetrators can trace and bring it to justice"
27,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,3,Cmr Additional information From 18-12-2012 2/17 
28,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,3," On the basis of the necessary training and information campaigns, expertise and knowledge related to cyber to increase security among the various actors who stay in cyberspace'The technological development must be encouraged in order to provide safe access to cyberspace"
29,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,3," Cyber Security Strategy, "
30,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,4,Cmr Additional information From 18-12-2012 3/17 
31,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,4," CONTENT, SUMMARY 1 CONTENTS3 1, THE CYBER THREATING, 4 1"
32,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,4,"1, Our society and our economy depend on ICT"
33,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,4, Our country is vulnerable
34,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,4," The cyber threat is real: 5 2 STRATEGIC OBJECTIVES, 8 3 APPROACH AND ACTION TERMS"
35,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,4,"1, Centralized cyber security and integrated approach"
36,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,4,2 Creation of a legal framework
37,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,4,3 Monitor the cyber threat permanently
38,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,4,"4, Improve protection against the disruption or abuse of information systems"
39,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,4,5 Strengthen the capacity to respond to cyber incidents
40,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,4,"7, Contributing to the expansion of cyber security, expertise and knowledge"
41,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,4,"8 Encourage technological development, 13 ANNEX 1, DEFINITIONS, 14, ANNEX Z, ACRON, |, EMEN, 15, ANNEX 3, PROTECTION OF CRITICAL INFRASTRUCTURES; 16 Cyber Security Strategy; "
42,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,5,Cmr Additional information from 18-12-2012 4/17 
