,Document,Page,Sentence
0,BosniaHerzegovina_2014_akcioni_plan2014.pdf,1,"To protect children and to prevent violence against children through information-communication technologies in Bosnia and Herzegovina, "
1,BosniaHerzegovina_2014_akcioni_plan2014.pdf,2,"Action Plan for the Protection of Children and Prevention of Violence against Children through Information and Communication Technologies in Bosnia and Herzegovina for The period 2014-2015 was made in line with the Strategy for Combating Trafficking in Human Beings in Bosnia and Herzegovina, ( 2013-2015 ) enacted on 43 Session of the Council of Ministers of Bosnia and Herzegovina held on 26"
2,BosniaHerzegovina_2014_akcioni_plan2014.pdf,2, ( Proactive Protection ) contains Strategic Measure D
3,BosniaHerzegovina_2014_akcioni_plan2014.pdf,2,"'' Improving the system of protection against child pornography and pedophilia'' by which plans to `` provide effective mechanisms for protection against child pornography and other Forms of sexual exploitation and child abuse through information and communication technologies, `` "
4,BosniaHerzegovina_2014_akcioni_plan2014.pdf,2," The Strategy explains in the following way: `` Unlimited'' cyber space, `` and availability information at any moment from any point of the planet certainly represents a crucial benefit to civilization"
5,BosniaHerzegovina_2014_akcioni_plan2014.pdf,2, This situation has its own negative trends and consequences
6,BosniaHerzegovina_2014_akcioni_plan2014.pdf,2,"Namely precisely this unlimited space, availability and partial anonymity allows deviations the various forms in which the formal social control, services and law enforcement services are not navel in everyday activities"
7,BosniaHerzegovina_2014_akcioni_plan2014.pdf,2,"Children, like ``, Curious category'' of the population of each country"
8,BosniaHerzegovina_2014_akcioni_plan2014.pdf,2, Very often comes in danger of becoming victims of various abuses of the aforementioned
9,BosniaHerzegovina_2014_akcioni_plan2014.pdf,2,"It is therefore necessary to define a specific measure within this Stretegija Action Plan for Implementation of the Strategy for Combating Trafficking in Persons in Bosnia and Herzegovina, ( 2013-2015 ) as Activity D"
10,BosniaHerzegovina_2014_akcioni_plan2014.pdf,2," Adoption of the Action Plan for the Protection of Children and the Prevention of Violence against Children through Information and Communication Technologies, "
