,Document,Page,Sentence
0,Brazil_2012_Orig_EGTI_2013-2015_v1.pdf,2,", PRESIDENT OF THE REPUBLIC, Dilma Vana Rousseff, Linhares MINISTRY OF THE MINISTRY OF PLANNING BUDGET AND MANAGEMENT Minister, Miriam Belchior SECRETARY OF LOGISTICS AND INFORMATION TECHNOLOGY, Delfino Natal de Souza DEPARTMENT OF GOVERNMENT, ELECTRONIC Joo Batista Ferri de Oliveira, DEPARTMENT OF SYSTEMS OF INFORMATION, Corinth Meffe DEPARTMENT OF Network SERVICES, Jacob Batista de Castro, Junior TEACHING TEAM DA EGTI Adriano Csar de Oliveira MP, Ana Carolina R"
1,Brazil_2012_Orig_EGTI_2013-2015_v1.pdf,2,"de Castro, MP, Cludia Roos, Diehl MP, Everson Lopes de Aguiar MP Fbio Gomes Barros MP Joo Alberto Muniz, Gaspar MP, Katia Macarini MP, Leandro Bahia MP, Tiago Chaves Oliveira Mp, Roberto Shayer Lyra MP, Ulisses Campoi Martins Rosa MP, Vinicius Eloy dos Reis MP SUPPORT TEAM Workshop Participants and Meetings, Complementary, Alexandre Palhares Ribeiro MPA Alionsimo, Lobo Souza Jnior MI Amrico Borghi MP, Ana Vitoria Piaggio Albuquerque MDA Celson, Carlos Martins Junior SDH, Csar Gonalves do Bomfim MP Daniel Moser Lopes MPS, Daniel Rangel, Carlos da Silva MEC, Daniel Rogrio Miranda, Pontes SDH, Daniel Troncoso MP, David Fagundes, MP, Denio Morele, MME Denise, Barros de Sousa Nogueira MEC, Dualceu Cortez, D'avis, MD, Edson Marques, MTE Eduardo Viola, MS Fernanda Lobato MP, Fernando Fonseca MDIC, Fraide Sales, SG / PR Gitia Albuquerque da Cruz, MTE Graziano, Lima, Pires, MJ, Gustavo Vieira de Macedo, MC Heber, Fialho, Maia Junior MDS, Jean Carlo Galdino Rodrigues SPM Jos Romildo Arajo de Andrade, MT Joyce, Lustosa, Belga MP, Juliana de Albuquerque Gonalves MAP Laureano Struck MP, Leonardo Boselli da Motta MP"
2,Brazil_2012_Orig_EGTI_2013-2015_v1.pdf,2," Lucas Souto MDIC Luis Eduardo Barreiro, SEP, Luis Felipe Salin, Monteiro MC Maria Elda de Sousa MCTI, Maria Emlia Matheus Evora, SG, /, PR, Maria Pereira de Freitas, MF, Newton Vieira MP, Niagara Moreira MP, Paulo Cesar Kluge, MinC, Paulo Roberto de Souza, Lemos, MTur, Rafael Ferreira, Luz MRE, Raimundo R"
3,Brazil_2012_Orig_EGTI_2013-2015_v1.pdf,2,"Costa Filho Schools, Ranrio Vieira IPHAN Reigned, Aben-Athar, SEP, Roberto Wagner de Carvalho, Arajo ME Sandro de Oliveira, Araujo MCTI, Srgio, Arajo Correia, Lima, MS Seyr Lemos de Souza, MP Valeria, Carla Curado Ribeiro MD, Vanderson, Covre, Rocha, MME Vanessa, Rezende, MCTI, Vitor, Alexandre Kessler de Almeida MP"
4,Brazil_2012_Orig_EGTI_2013-2015_v1.pdf,2," Wesley Lira SDH Zaira Rocha by Novais Coelho, MME COLLABORATION, Ademir Dias, Lima, UNIRIO, Ana Mendonca, SG, /, PR, Andr Campos, FIOCRUZ, Antonella Donato, STM, Carlos Eduardo Araujo Vieira MP, Diana Santos, MPDFT, Eleidimar, Odlia, Isaque da Silva MP, Erica Jordana, Bento, Viana Cruz ME Francisco Edmundo Andrade, CD, Frederico Palma, MDS Halisson, Gomides, ITI, Joo, Souza, Neto, ECT Josiane Borges das Neves, Guimaraes IFB Marcelo Almeida Gomes de Sousa MDIC Marcelo Jos Ruiz CIASC, /, SC, Marcus Vinicius da Costa SERPRO Reni, Elisa da Silva Pontes, IFMT Sebastio Figueiredo de Morais, Filho MDIC, Sergio Tadeu Neiva, Carvalho, Mp, Srgio Soares da Silva INEP Planning Ministry Budget and Management 2012"
5,Brazil_2012_Orig_EGTI_2013-2015_v1.pdf,2,"Any part of this publication may be reproduced, provided the source is mentioned"
6,Brazil_2012_Orig_EGTI_2013-2015_v1.pdf,2, According to the license guidelines
7,Brazil_2012_Orig_EGTI_2013-2015_v1.pdf,2, Creative Commons ( CC BY-NC-ND 3
8,Brazil_2012_Orig_EGTI_2013-2015_v1.pdf,2,"0 ) Available at http // www, The General Technology Strategy"
9,Brazil_2012_Orig_EGTI_2013-2015_v1.pdf,2, Work of the SISP 2013/2015 Information was licensed with a Creative License
10,Brazil_2012_Orig_EGTI_2013-2015_v1.pdf,2," Commons Attribution NonCommercial, Non-Derived 3"
11,Brazil_2012_Orig_EGTI_2013-2015_v1.pdf,2,"0 Brazil, Bibliographic Normalization, DIBIB, /, CODIN, /, SPOA Ministry of Planning, Budget and Management"
12,Brazil_2012_Orig_EGTI_2013-2015_v1.pdf,2,"Secretariat of Logistics and Information, Technology"
13,Brazil_2012_Orig_EGTI_2013-2015_v1.pdf,2,", SISP, General Information Technology Strategy, 2013-2015 version 1"
14,Brazil_2012_Orig_EGTI_2013-2015_v1.pdf,2,"0 / Ministry of Planning, Budget and Management Secretariat of Logistics and Information"
15,Brazil_2012_Orig_EGTI_2013-2015_v1.pdf,2,"- Braslia MP, / SLTI, 2012, 69 p, "
