,Document,Page,Sentence
0,Brunei_2010_unpan042980.pdf,1,What does the future hold? 
1,Brunei_2010_unpan042980.pdf,1,"Haji Mohidin Haji Mus E-Government and Implementation Unit, ( IT and E-Government ) Prime Ministers Office, Brunei, Darussalam INTERNATIONAL CONFERENCE, PMO AND OECDIKOREA POLICY CENTRE, e-Government and Administrative Simplication, 11-13 May 2010"
2,Brunei_2010_unpan042980.pdf,2," I, The Radisson Hotel, Brunei, Darussalam"
3,Brunei_2010_unpan042980.pdf,2,"Why e-Government, The journey so far Institutional Structure, "
4,Brunei_2010_unpan042980.pdf,2,E-Government Strategic Plan 2009-20104 
5,Brunei_2010_unpan042980.pdf,2,Citizen survey 2009 and Brunei world ranking 
6,Brunei_2010_unpan042980.pdf,3,"The way forward: 2010 Action Plan, 20092014 (, The outcome, ) "
7,Brunei_2010_unpan042980.pdf,3," Capital City Area, Population, Official religion, Civil servants, Labor force GDP per Capita Maj or exports Saurce Information department, ( 2009, 21 edition "
8,Brunei_2010_unpan042980.pdf,3,You' @ 2010: Ten 
9,Brunei_2010_unpan042980.pdf,3,"`` ma fi a-'' m VI: I ALMM Seri Begawan Town 5,765 square km, est 406,200 people, ( 2009 ) Male 215,000, Female191,2oo 57 % ( 20 to 54 years old, )"
10,Brunei_2010_unpan042980.pdf,3,"46: 757 ( as of 30 Nov, 2009 PSD, ) Male 23,511, Female 23246, 188, 800 (, 2008 ) MaIe-114"
11,Brunei_2010_unpan042980.pdf,3,"400, (, BDK12009, 21 ``, ed ), BND, 51,300, (, 2008, BDK12009,2Ied, ), "
12,Brunei_2010_unpan042980.pdf,3,") Public Service Department, ( "
13,Brunei_2010_unpan042980.pdf,3,) Department of Ecanomic Planning and Develupment ( 
14,Brunei_2010_unpan042980.pdf,4,"National Vision, / Brunei, Insight 2035 ) "
15,Brunei_2010_unpan042980.pdf,4,"0, The National Vision known as Wawasan Brunei 2035 aims to make Brunei Darussalam by 2035 as a nation, Widely reco nized for the accomplishment of its educated and highly skilled peop e, as measured by the highest international standards"
16,Brunei_2010_unpan042980.pdf,4," > Quality of life, that is among the top 10 nations in the world, > A dynamic and sustainable economy with income per capita within the top 10 countries in the world 0 In National Development Plan, ( NDP, ) 2007-2012"
17,Brunei_2010_unpan042980.pdf,4," The ICT sector is allocated a total scheme, value of about BND 1"
18,Brunei_2010_unpan042980.pdf,4,1 billion or about 12
19,Brunei_2010_unpan042980.pdf,4,1 percent of the total development allocation
20,Brunei_2010_unpan042980.pdf,4, The major bulk of the ICT sector allocation is under the e-Government initiatives
21,Brunei_2010_unpan042980.pdf,4,"0, ICT sector to focus on >, Integrating e-Government programmes to enable the provision of quality online customer services"
22,Brunei_2010_unpan042980.pdf,5, > Enhance the local SMEs through e-Business and > Building human and institutional capacity in ICT
23,Brunei_2010_unpan042980.pdf,5, To modernize the Civil Service in meeting the public service delivery expectations and managing the challenging demands of a dynamic environment through increased usage of ICT In short
24,Brunei_2010_unpan042980.pdf,5,", Delivering Government Services efficiently & Effectively through the use of "
25,Brunei_2010_unpan042980.pdf,5,"Target GROUPS - ( STAKEHOLDERS, ) CITIZEN, "
26,Brunei_2010_unpan042980.pdf,6,National IT Strategic IT2000 & beyond 2000 
27,Brunei_2010_unpan042980.pdf,6,"E-Government Strategic Framework for Action, 2001-2005 ( wave 1 ) E-Government Review, Report,2006 (, wave 2 ) "
