,Document,Page,Sentence
0,CZECH REPUBLIC.pdf,1,"National Security Authority, National Cyber Security Centre, "
1,CZECH REPUBLIC.pdf,1,"National CYBER SECURITY STRATEGY, "
2,CZECH REPUBLIC.pdf,1,Of THE CZECH REPUBLIC 
3,CZECH REPUBLIC.pdf,2,"For THE PERIOD FROM 2015 TO 2020, "
4,CZECH REPUBLIC.pdf,2,"9 Challenges, 11, Main goals; 16 Implementation, 21 List of abbreviations; 22 Glossary 23; "
5,CZECH REPUBLIC.pdf,3,Foreword Human actions and activities are increasingly moving from the physical environment to cyberspace
6,CZECH REPUBLIC.pdf,3," Information and communication technologies have, during the last decade, changed almost every aspect of our lives by significantly facilitating communication or sharing and access to information and services"
7,CZECH REPUBLIC.pdf,3," This phenomenon, however, makes our society more vulnerable, and cyber security thus becomes one of the most important challenges that the state must respond to"
8,CZECH REPUBLIC.pdf,3," Since 2011, the National Security Authority has been operating as the coordinator and national authority in the field of cyber security in the Czech Republic"
9,CZECH REPUBLIC.pdf,3," During that period, we have achieved, inter alia, two important milestones identified by the previous Cyber Security Strategy of the Czech Republic for the period of 2012 to 2015"
10,CZECH REPUBLIC.pdf,3," Adoption of the Act on Cyber Security1 and opening in May 2014 of the National Cyber Security Centre, including a fully operational Government Computer Emergency Response Team for cyber security incidents handling Other objectives set out in the above strategy, can also be considered to have been met"
11,CZECH REPUBLIC.pdf,3," The Czech Republic regularly participates in several international cyber security exercises, has successfully launched the mapping of critical information infrastructure and of important information systems and established cooperation with stakeholders at both the national and international levels"
12,CZECH REPUBLIC.pdf,3, It can therefore be concluded that the previous strategy has been successfully implemented and the level of cyber security in the Czech Republic has significantly increased since 2012
13,CZECH REPUBLIC.pdf,3,", With the approaching expiration of the Cyber Security Strategy of the Czech Republic for the period of 2012 to 2015 and Having fulfilled all main objectives and tasks, the National Security Authority undertook to develop a new National Cyber Security Strategy for the period from 2015 to 2020, which would constitute a major breakthrough in the Czech Republic's approach to cyber security"
14,CZECH REPUBLIC.pdf,3, 1 Act on Cyber Security and Change of Related Acts ( No
15,CZECH REPUBLIC.pdf,3, 181/2014 Coll GovCERT 
16,CZECH REPUBLIC.pdf,4,"Compared to the previous strategy, we are now moving from the building of basic capacities necessary to guarantee an elementary level of cyber security towards its deeper and enhanced mode of development"
17,CZECH REPUBLIC.pdf,4, Publishing this new national strategy
18,CZECH REPUBLIC.pdf,4, We define the Czech Republic's visions and priorities in the field of ensuring cyber security
19,CZECH REPUBLIC.pdf,4," The Czech Republic will face many cyber security threats and risks in the years to come, and our networks and systems must always remain stable and secure"
20,CZECH REPUBLIC.pdf,4," The new strategy therefore determines how to achieve such condition and identifies the ways and tools the Czech Republic shall use to reduce the risks and to mitigate threats arising from cyberspace, without any limitation to the benefits derived from its use"
21,CZECH REPUBLIC.pdf,4, Cyber security cannot be achieved without deep mutual trust and cooperation between the public sector and the rest of the society
22,CZECH REPUBLIC.pdf,4," Although the National Security Authority of the Czech Republic has become the national authority for cyber security, this does not relieve any public or private entity, including individuals of their overall responsibility and role in ensuring cyber security"
23,CZECH REPUBLIC.pdf,4," Only by working together can we create a truly open and secure cyberspace, where we all shall prosper"
24,CZECH REPUBLIC.pdf,4," Duan, Navrtil director "
25,CZECH REPUBLIC.pdf,5,Cyber security is continuously gaining on importance and already represents one of the determinative factors of the Czech Republics security environment
26,CZECH REPUBLIC.pdf,5," Cyber security comprises a sum of organizational political, legal, technical and educational measures and tools aiming to provide a secure, protected and resilient cyberspace in the Czech Republic"
27,CZECH REPUBLIC.pdf,5," For the benefit of both public and private sectors, as well as for the general public"
28,CZECH REPUBLIC.pdf,5,", Cyber security helps to identify, evaluate and resolve cyber threats, to reduce cyber risks and to eliminate impacts of cyber attacks, cyber crime, cyber terrorism and cyber espionage by enhancing confidentiality, integrity and Availability of data information systems and other elements of information and communication infrastructure"
29,CZECH REPUBLIC.pdf,5," The main purpose of cyber security is protection of cyber space to allow the individuals right to informational self-determination to be realized, Introduction "
30,CZECH REPUBLIC.pdf,5,Ensuring cyber security of a state constitutes one of the key challenges of the present day
31,CZECH REPUBLIC.pdf,5, The public and private sectors' dependence on information and communication technologies becomes ever more obvious
32,CZECH REPUBLIC.pdf,5, Information sharing and protection are crucial for the protection of security and economic interests of the state and its citizens
33,CZECH REPUBLIC.pdf,5,", Whilst the general public is mostly concerned about their personal data, abuse or afraid of losing money and data"
34,CZECH REPUBLIC.pdf,5, Cyber security as such encompasses much more
35,CZECH REPUBLIC.pdf,5," Major risks include cyber espionage, (, industrial, military, political or other ), ever more often carried out directly by governments or their security agencies, organized crime in cyberspace, hacktivism, intentional disinformation campaigns with political or military objectives, and even in the future"
36,CZECH REPUBLIC.pdf,5," Beside cyber attacks, frequently motivated by financial benefit"
37,CZECH REPUBLIC.pdf,5," Cyber security, can also be compromised by unintended disruptions of network security and integrity due to, for instance, human factor, failures or natural disasters"
38,CZECH REPUBLIC.pdf,5, The state must be able to effectively react to all current and future challenges posed by the always changing threats originating in the dynamically evolving cyberspace and thereby guarantee the latters security and reliability GovCERT 
39,CZECH REPUBLIC.pdf,6,"Due to the open and publicly accessible nature of the Internet, characterized by absence of geographical borders, security and protection of cyberspace demand a proactive approach not only from the state but also from its citizens"
40,CZECH REPUBLIC.pdf,6," Although the state constantly builds and increases relevant national capacities, its efforts will not reach the necessary level of efficiency without cooperation with private sector and academia, nor without intensive international cooperation and in particular, involvement of individuals"
41,CZECH REPUBLIC.pdf,6," This National Cyber Security Strategy of the Czech Republic for the period from 2015, 2020 ( hereinafter Strategy, ) constitutesa, fundamental conceptual document of the Czech Government for the given field, reflecting security interests and principles as defined in the Security Strategy of the Czech Republic"
42,CZECH REPUBLIC.pdf,6,"It, shall serve as A base document for development of legislation, policies or standards, guidelines and other recommendations related to cyberspace protection and security"
43,CZECH REPUBLIC.pdf,6," The Strategy follows the logical framework provided by the Methodology for Public Strategies, Development and other relevant recommendations"
44,CZECH REPUBLIC.pdf,6," The document first outlines the Czech Republics vision of the cyber security field beyond the temporal scope of the Strategy, ( 2015 2020 ), and defines the basic principles followed by the state in view of ensuring its cyber security"
45,CZECH REPUBLIC.pdf,6, The subsequent text identifies concrete challenges in the cyber security field faced by the Czech Republic and international community as a whole of which the Czech Republic forms part
46,CZECH REPUBLIC.pdf,6," Finally, main strategic goals are presented that must be achieved in order to respond to those challenges and which shall serve as a basis for a detailed Action Plan for the Cyber Security in the Czech Republic for the period from 2015 to 2020 ( hereinafter Action Plan, ) "
47,CZECH REPUBLIC.pdf,7,"Visions, The Czech Republic shall create conditions within cyberspace for a smoothly functioning "
48,CZECH REPUBLIC.pdf,7,The Czech Republic shall aim at a continuous development of cyber security expertise and of capabilities to resist the newest cyber threats
49,CZECH REPUBLIC.pdf,7," At the same time, it shall support and develop the prevention and early warning capacities of the state security forces, The Czech Republic as a modern Central European country and an active member of the European Union"
50,CZECH REPUBLIC.pdf,7," ( EU ), the North Atlantic Treaty Organisation, (, NATO, ), the United Nations ( UN ) and other international organizations shall aspire to play a leading role in the cyber security field within its region and in Europe"
51,CZECH REPUBLIC.pdf,7," The Czech Republic shall actively support its international partners in preventing and solving cyber attacks, the membership in international organizations and from the collective defence within the NATO and promote security in other states"
52,CZECH REPUBLIC.pdf,7, Its commitments arising 
53,CZECH REPUBLIC.pdf,7,"The Czech Republic shall, through its membership in international organizations, actively promote cyber security and defence cooperation and dialogue among Central European countries"
54,CZECH REPUBLIC.pdf,7," The Czech Republic shall effectively secure not only individual elements of its critical information infrastructure, ( hereinafter, CII ), but also ensure the overall security of networks and cyberspace used by its population, which are essential to the latters economic and social interests"
55,CZECH REPUBLIC.pdf,7," The Czech Republic shall particularly focus on securing industrial control systems included in the CII and within a few years, shall become one of the leading nations in this area by virtue of the expertise and knowledge acquired"
56,CZECH REPUBLIC.pdf,8,"The Czech Republic, namely GovCERT"
57,CZECH REPUBLIC.pdf,8,"CZ2, shall seek to build trust and develop an efficient cooperation model with the national CERT3, while at the same time functioning as an umbrella authority for other Czech CERT/CSIRT teams and promoting creation and development of thereof within CII entities"
58,CZECH REPUBLIC.pdf,8," The Czech Republic shall cooperate with private sector and academia in research and information and communication development activities concerning security of technologies, technologies, production,, "
59,CZECH REPUBLIC.pdf,8,The Czech Republic shall strive to ensure maximum cyberspace security
60,CZECH REPUBLIC.pdf,8," In parallel, it shall support high research, development and implementation, thereby contributing to technological advancement in the Czech Republic, with a view to increasing its competitiveness and creating optimal conditions for local and international investments, to which a functional information infrastructure is crucial"
61,CZECH REPUBLIC.pdf,8, The Czech Republic shall encourage development of an information society culture through awareness raising among its citizens and private sector subjects
62,CZECH REPUBLIC.pdf,8, They shall have free access to information society services and to information on responsible behaviour and use of information
63,CZECH REPUBLIC.pdf,8, The citizens shall be protected from malicious impacts of cyber attacks that could negatively affect quality of their lives and their trust in the state
64,CZECH REPUBLIC.pdf,8,CZ is the government coordination unit for rapid reaction to cyber incidents
65,CZECH REPUBLIC.pdf,8," ( Government CERT- Computer Emergency Respponse Team ), which is subordinated to the National Security Authority, namely the National Cyber Security Centre"
66,CZECH REPUBLIC.pdf,8, 3 National CERT is the national coordination unit for rapid reaction to cyber incidents
67,CZECH REPUBLIC.pdf,8," ( national CSIRT Computer Security Incident Response Team ), which performs its function on the basis of a Memorandum concluded with the National Security Authority"
68,CZECH REPUBLIC.pdf,9,"Principles; Protection of fundamental human rights and freedoms and of the democratic rule of law, principles; "
69,CZECH REPUBLIC.pdf,9,"In ensuring cyber security, the Czech Republic abides by fundamental human rights, democratic principles and values"
70,CZECH REPUBLIC.pdf,9," It respects the Internets, open and neutral character, safeguards the freedom of expression, personal data protection and the privacy rights"
71,CZECH REPUBLIC.pdf,9, It therefore strives for a maximal openness in access to information and for a minimal interference in individuals and private entities
72,CZECH REPUBLIC.pdf,9," Protection of the rights pertaining to informational self-determination constitutes one of the basic principles of the National Security, Authoritys ( hereinafter NSA ) activities in the cyber security field, Comprehensive approach to cyber security based on principles of subsidiarity and cooperation"
73,CZECH REPUBLIC.pdf,9," The Strategy follows the principle of indivisible security, the Czech Republics, cyber security security"
74,CZECH REPUBLIC.pdf,9," The Czech Republic therefore addresses its cyber security in a complex manner as a closely inter-related phenomenon from global, namely Euro-Atlantic cyber "
75,CZECH REPUBLIC.pdf,9,The NSA is the primary national authority for cyber security
76,CZECH REPUBLIC.pdf,9," As such, it coordinates cyber security related activities and provides guidance to other entities concerned"
77,CZECH REPUBLIC.pdf,9," The NSA decides on proposals and guidelines for prevention and solution measures in respect of cyber security incidents and ongoing cyber attacks, Taking into account the complexity of cyber security and defence and with the aim of facilitating the stakeholders, cooperation, promoting synergies of their efforts and avoiding unnecessary Duplications, the Czech Republic shall apply the subsidiarity principle and coordinate activities at the national level4 "
78,CZECH REPUBLIC.pdf,9,"4, The subsidiarity principle also underlies the Act on Cyber Security, which sets out responsibilities of a system administrator or operator in respect of system or network security and divides the cyberspace responsibilities between the government and national CERTs GovCERT "
79,CZECH REPUBLIC.pdf,10,"Trust building and cooperation among public and private sector and civil society, The state and its agencies cannot bear the sole responsibility for cyber security"
80,CZECH REPUBLIC.pdf,10," An active cooperation of the Czech Republic's citizens, private legal persons and individual entrepreneurs is needed"
81,CZECH REPUBLIC.pdf,10," Cyberspace, and particularly a part of the CII, are largely owned and operated by the private sector"
82,CZECH REPUBLIC.pdf,10, The security policy for this area is therefore based on inclusive cooperation between the public and the private sectors
83,CZECH REPUBLIC.pdf,10," Civil society, as well as with academia"
84,CZECH REPUBLIC.pdf,10, A trustworthy environment enabling cooperation is crucial
85,CZECH REPUBLIC.pdf,10," Trust among the state, private subjects and civil society in general is essential in order to provide cyber security efficiently"
86,CZECH REPUBLIC.pdf,10," Due to the increasingly blurred lines between internal and external threats and risks, and hence between internal and external security"
87,CZECH REPUBLIC.pdf,10," The Czech Republic shall aim at coordination of activities and enhance mutual trust among stakeholders, both at the national and international levels"
88,CZECH REPUBLIC.pdf,10, Cyber security capacity building 
89,CZECH REPUBLIC.pdf,10,"Considering the societys substantial reliance on information and communication technologies and the constantly changing nature of cyber threats and risks, the cyber security of the Czech Republic depends on a continuous development of a robust and resilient information infrastructure, but also on the society as a whole"
90,CZECH REPUBLIC.pdf,10," The Czech Republic therefore increases its investments in research and development in the cyber security field (, including of its own cyber security technologies ), as well as in training and education of the end users i"
91,CZECH REPUBLIC.pdf,10," the Czech Republic's population, In the context of ensuring cyber security, the Czech Republic builds and continuously enhances the national expert capacities and reinforces the existing structures and cooperation procedures relied on to fight cybercrime"
92,CZECH REPUBLIC.pdf,10, Strengthening cooperation between law enforcement bodies and agencies responsible for cyber security in the Czech Republic constitutes thus one of the priorities
93,CZECH REPUBLIC.pdf,11,The Czech Republic as a potential test bed As a country using advanced security technologies employed also by other countries
94,CZECH REPUBLIC.pdf,11," The Czech Republic may be targeted as a test bed for a major attack on our allies or states with a greater strategic importance and which use the same technologies, security mechanisms and procedures"
95,CZECH REPUBLIC.pdf,11,"Lack of the publics, trust in the state, The publics, trust in states as entities, ensuring cyber security and in their security structures, has significantly decreased recently"
96,CZECH REPUBLIC.pdf,11, Without trust and voluntary participation of the Czech citizens and the private sector
97,CZECH REPUBLIC.pdf,11," However, the whole concept of cyber security loses its meaning "
98,CZECH REPUBLIC.pdf,11,Increased number of Internet and ICT users and increased criticality of technology failures
99,CZECH REPUBLIC.pdf,11," The increasing number of Internet users ( about 67 % of Czech households are online5 ) and ICT users, together with the increasing ICT dependency of the public and private sectors"
100,CZECH REPUBLIC.pdf,11, ( 97 % of Czech companies are online6
101,CZECH REPUBLIC.pdf,11," ) carry an increased criticality of such technologies' potential failure, especially when CII and important information systems ( hereinafter, IIS ) are involved"
102,CZECH REPUBLIC.pdf,11,"Amount of mobile malware increasing, along with the number of mobile devices users, Few smartphone and tablet users use at least basic security tools"
103,CZECH REPUBLIC.pdf,11," This gap is exploited by hackers, as the increasing amount of malware and number of attacks aimed at such devices show"
104,CZECH REPUBLIC.pdf,11, Every year 5 Czech Statistical Office Information society in figures 2014 available at www
105,CZECH REPUBLIC.pdf,11," Data quoted for year, 2013"
106,CZECH REPUBLIC.pdf,11,", 6 EEIP, independent study, Czech Internet Economy from 2013 available at www"
107,CZECH REPUBLIC.pdf,12,Possible information exfiltration through a hardware backdoor The increasing number of technology users and providers carries the risk of backdoors intentionally planted into the hardware
108,CZECH REPUBLIC.pdf,12," Those may subsequently be misused, e"
109,CZECH REPUBLIC.pdf,12," for strategic, personal or sensitive data, tracking and mining "
110,CZECH REPUBLIC.pdf,12,"While the number of online devices is expanding, most users ignore the necessary digital hygiene i"
111,CZECH REPUBLIC.pdf,12, how to behave online and how to secure the devices they use
112,CZECH REPUBLIC.pdf,12," The Internet of Things concept amplifies this challenge, while traditional electronic devices, such as personal computers and laptops automatically connote antivirus software, firewalls, etc"
113,CZECH REPUBLIC.pdf,12," it is not so with other smart equipment like TV sets, refrigerators etc"
