,Document,Page,Sentence
0,Canada_2010_cbr-scrt-strtgy-eng.pdf,1,"Canadas Cyber Security Strategy, "
1,Canada_2010_cbr-scrt-strtgy-eng.pdf,2,For a stronger and more prosperous Canada 
2,Canada_2010_cbr-scrt-strtgy-eng.pdf,2," Her Majesty the Queen in Right of Canada, 2010 "
3,Canada_2010_cbr-scrt-strtgy-eng.pdf,3,"C, a n, a d, a s C y b e r S e c: u r! I t y S, t r, a t, e g y, F, o r, a S t, r, o n g e r, a n d M, o r e P r, o s; p e r, o? U s C a n, a d, a Message from the Minister "
4,Canada_2010_cbr-scrt-strtgy-eng.pdf,3,"Canadians, personal and professional lives have gone digital"
5,Canada_2010_cbr-scrt-strtgy-eng.pdf,3, We live work and play in cyberspace
6,Canada_2010_cbr-scrt-strtgy-eng.pdf,3," Canadians use the Internet, computers, cell phones and mobile devices every day to talk, email text and twitter with family friends and colleagues"
7,Canada_2010_cbr-scrt-strtgy-eng.pdf,3," We do business online everyday from banking to shopping, to accessing government services, and we do it from wherever we happen to be"
8,Canada_2010_cbr-scrt-strtgy-eng.pdf,3, Digital infrastructure makes all this possible and also keeps essential services up and running
9,Canada_2010_cbr-scrt-strtgy-eng.pdf,3," Canadians, individuals, industry and governments are embracing the many advantages that cyberspace offers and our economy and quality of life are the better for it"
10,Canada_2010_cbr-scrt-strtgy-eng.pdf,3, But our increasing reliance on cyber technologies makes us more vulnerable to those who attack our digital infrastructure to undermine our national security
11,Canada_2010_cbr-scrt-strtgy-eng.pdf,3," Economic prosperity and way of life: Our systems are an attractive target for foreign, military and intelligence services, criminals and terrorist networks"
12,Canada_2010_cbr-scrt-strtgy-eng.pdf,3," These groups are breaking into our computer systems, searching through our files and causing our systems to crash"
13,Canada_2010_cbr-scrt-strtgy-eng.pdf,3," They are stealing our industrial and national security secrets and our personal identities We dont see them, we dont hear them and we dont always catch them"
14,Canada_2010_cbr-scrt-strtgy-eng.pdf,3, At times they are mere nuisances
15,Canada_2010_cbr-scrt-strtgy-eng.pdf,3," At other times they present real threats to our families, companies and to our country Canadas"
16,Canada_2010_cbr-scrt-strtgy-eng.pdf,3, Cyber Security Strategy is our plan for meeting the cyber threat
17,Canada_2010_cbr-scrt-strtgy-eng.pdf,3," It delivers on the Governments 2010 Speech from the Throne commitment to work with provinces, terri- tories and the private sector, to implement a cyber security strategy to protect our digital infrastructure"
18,Canada_2010_cbr-scrt-strtgy-eng.pdf,3, It leverages the partnerships being established under the National Strategy and Action Plan for Critical Infrastructure and supports the ongoing efforts by our law enforcement community to work with partners and international allies in cracking down on those who use the Internet for crime and illegal activities
19,Canada_2010_cbr-scrt-strtgy-eng.pdf,3, Canadas Cyber Security Strategy is a cornerstone of our Governments
20,Canada_2010_cbr-scrt-strtgy-eng.pdf,3," Commitment to keep Canada, including our cyberspace, safe, secure and prosperous"
21,Canada_2010_cbr-scrt-strtgy-eng.pdf,3, The Honourable Vic Toews P 
22,Canada_2010_cbr-scrt-strtgy-eng.pdf,3,"Minister of Public Safety, "
23,Canada_2010_cbr-scrt-strtgy-eng.pdf,4,"C, a n, a d, a s C y b e r S e c: u r! I t y S, t r, a t, e g y, F, o r, a S t, r, o n g e r, a n d M, o r e P r, o s; p e r, o"
24,Canada_2010_cbr-scrt-strtgy-eng.pdf,4," U s C a n, a d, a Introduction, "
25,Canada_2010_cbr-scrt-strtgy-eng.pdf,4,Cyberspace is the electronic world created by interconnected networks of information technology and the information on those networks
26,Canada_2010_cbr-scrt-strtgy-eng.pdf,4," It is a global commons, where more than 1"
27,Canada_2010_cbr-scrt-strtgy-eng.pdf,4,"7 billion people are linked together to exchange ideas, services and friendship"
28,Canada_2010_cbr-scrt-strtgy-eng.pdf,4," The Canadian economy relies heavily on the Internet, Canadian online sales"
29,Canada_2010_cbr-scrt-strtgy-eng.pdf,4, In 2007 were estimated at $ 62
30,Canada_2010_cbr-scrt-strtgy-eng.pdf,4,7 billion 1 and Canadians are embracing cyberspace
31,Canada_2010_cbr-scrt-strtgy-eng.pdf,4," 74 % of Canadian households had In 2007, 87 % of Canadian businesses used the Internet paid Internet service in 2008, 2 "
32,Canada_2010_cbr-scrt-strtgy-eng.pdf,4,"Canadian businesses are moving quickly to adopt the most modern digital applications, including next generation and mobile technologies"
33,Canada_2010_cbr-scrt-strtgy-eng.pdf,4, Canadas governments have also become increasingly dependent on the Internet
34,Canada_2010_cbr-scrt-strtgy-eng.pdf,4, The federal Government alone now offers more than 130 commonly used
35,Canada_2010_cbr-scrt-strtgy-eng.pdf,4," Services online, including tax returns, employment insurance forms and student loan applications"
36,Canada_2010_cbr-scrt-strtgy-eng.pdf,4, Our success in cyberspace is one of our greatest national assets
37,Canada_2010_cbr-scrt-strtgy-eng.pdf,4, Protecting this success means protecting our cyber systems against malicious misuse and other destructive attacks
