,Document,Page,Sentence
0,Chile_NCSP%20%28ENG%29.pdf,2,"N A T I O N, A L CYBERSECURITY, P, O L, I C Y "
1,Chile_NCSP%20%28ENG%29.pdf,2,"The National Cybersecurity Policy is under a Creative Commons, Attribution-ShareAlike 4"
2,Chile_NCSP%20%28ENG%29.pdf,2,"National CYBERSECURITY POLICY, ( NCSP, ), 2017-2022 "
3,Chile_NCSP%20%28ENG%29.pdf,3,Why there is need for a national cybersecurity policy? 
4,Chile_NCSP%20%28ENG%29.pdf,3,"Current status of cybersecurity regulations, institutions risk overview, "
5,Chile_NCSP%20%28ENG%29.pdf,3,Policy objectives by 2022: 
6,Chile_NCSP%20%28ENG%29.pdf,3,Roles and institutional structure required to develop a national cybersecurity policy
7,Chile_NCSP%20%28ENG%29.pdf,3,Public policy measures - 2017-2018 
8,Chile_NCSP%20%28ENG%29.pdf,3,"Annex N 1 Standards and institutions involved in cybersecurity in Chile, Annex N 2 Risk and threat overview"
9,Chile_NCSP%20%28ENG%29.pdf,4,"National CYBERSECURITY POLICY, ( NCSP, ), 2017-2022 "
10,Chile_NCSP%20%28ENG%29.pdf,5,"A Cyber-Security Policy for Chile, "
11,Chile_NCSP%20%28ENG%29.pdf,5,"Nformation and communication technologies ( ICTs ), are a set of tools like no other in history that has helped people and has improved organizational interaction, economic operations and both private and public communications"
12,Chile_NCSP%20%28ENG%29.pdf,5, Their impact has been deep and broad in our society and their reach extends day by day
13,Chile_NCSP%20%28ENG%29.pdf,5, Access to the Internet has grown a 45
14,Chile_NCSP%20%28ENG%29.pdf,5,3 % in the last two years from a 52
15,Chile_NCSP%20%28ENG%29.pdf,5,2 % by 2014 to 73
16,Chile_NCSP%20%28ENG%29.pdf,5,8 % by March of 2016
17,Chile_NCSP%20%28ENG%29.pdf,5, Our national digital economy has grown around 11 % in the same period from 34 billion dollars in 2014 to 39 billion dollars in 2015
18,Chile_NCSP%20%28ENG%29.pdf,5, This impact has transformed also the way our people use and understand technology
19,Chile_NCSP%20%28ENG%29.pdf,5," The ICTs have had a social effect, with no precedents in history, allowing our citizens to get informed to organize themselves and to participate from social life"
20,Chile_NCSP%20%28ENG%29.pdf,5,", Particularly our children and adolescents, make intensive use of social networks"
21,Chile_NCSP%20%28ENG%29.pdf,5," A transformation of this magnitude brings forth important challenges for our State, as it is imperative that all of this technology and its potential is used mainly to serve our people"
22,Chile_NCSP%20%28ENG%29.pdf,5," We need to democra- tize the usage of the Internet and to transform it into a tool for inclusion, efficiency and certainty by ensuring the security and privacy of all those who use it"
23,Chile_NCSP%20%28ENG%29.pdf,5," Chile must stay up-to-date in security matters as any mistake, or any successful breach to our systems may harm our peoples, welfare or our rights"
24,Chile_NCSP%20%28ENG%29.pdf,5," It may negatively affect our interests or it may hinder, or even impede the operation of critical services for the country"
25,Chile_NCSP%20%28ENG%29.pdf,5," Listening to this demand, my government program included the development of a Digital Security Strategy in order to protect both private and public interests in the digital realm"
26,Chile_NCSP%20%28ENG%29.pdf,5," This commitment was confirmed in November 2015 when we presented the Digital Agenda 2020, wherein it was announced"
