,Document,Page,Sentence
0,China_2006.pdf,1,"The National Medium- and Long-Term Program for Science and Technology Development, ( 2006- "
1,China_2006.pdf,1,"The Peoples Republic of China, "
2,China_2006.pdf,2," Guiding Principles, Development Goals and Overall Deployment, 1 Guiding Principles; 2 Development Objectives, 3"
3,China_2006.pdf,2," Overall Deployment III, Main Areas and Priority Topics; Energy "
4,China_2006.pdf,2,"( 1 ) Industrial energy efficiency, "
5,China_2006.pdf,2,"( 2 ) Clean efficient coal development and utilization, coal, liquefaction and gasification-based co-generation"
6,China_2006.pdf,2,( 3 ) Oil and gas prospecting development and utilization under complex geological conditions
7,China_2006.pdf,2,( 4 ) Low-cost large-scale development and utilization of renewable energy resources
8,China_2006.pdf,2,"( 5 ) Super large-scale electric power, transmission and distribution and power grid safeguards"
9,China_2006.pdf,2,Water and Mineral Resources 
10,China_2006.pdf,2,( 6 ) Optimized distribution and comprehensive development and utilization of water resources
11,China_2006.pdf,2,"( 7 ) Comprehensive water conservation, ( 8 ) Seawater, desalination (, 9 ) Resources, prospecting for additional reserves, ( 10 ), Efficient development and utilization of mineral resources; ( 11 ), Efficient development and utilization of maritime resources; ( 12 ), Comprehensive zoning of resources, The Environment, "
12,China_2006.pdf,2,"( 13 ) Comprehensive pollutant control and waste recycling, ( 14 ), Functional restoration and reconstruction of ecosystems in ecologically vulnerable areas"
13,China_2006.pdf,2,"( 15 ) Maritime, ecological and environmental protection, ( 16 ) Global environmental change, watch and response strategies: Agriculture, (, 17, ), Germplasm development, preservation, innovation and targeted cultivation of new varieties; "
14,China_2006.pdf,2,"( 18 ) Healthy farming practices in domestic animals, poultry and aquatic products, ( 19 ), Deep processing and advanced storage and shipping of farm produce and associated epidemic disease prevention and control"
15,China_2006.pdf,3," ( 20 ) Integrated development and utilization of agro-forest biomass, (, 21 ) Agro-forest, ecological safety and modern forestry, "
16,China_2006.pdf,3," ( 22 ) Development and production of environment-friendly fertilizers, herbicides and pesticides, and ecoagriculture "
17,China_2006.pdf,3,"( 23 ) Multifunctional farm equipment and facilities, ( 24 ) Precision, farming and associated informatization ( 25 ), Modern dairy industry Manufacturing industry"
18,China_2006.pdf,3,"( 26 ) Basic and generic parts and components: ( 27 ), Digital and intelligent design and manufacturing; ( 28 ) Green, automated process industry and corresponding equipment, ( 29 ) Recycling, iron and steel process techniques and equipment, ( 30 ), Large-scale marine engineering technologies and equipment"
19,China_2006.pdf,3," ( 31 ) Basic raw materials, ( 32 ), Next-generation information, functional materials and components; ( 33, ) Key accessory materials and engineering processes for defense, industry, 6"
20,China_2006.pdf,3,", Transportation Sector, (, 34, ) Transport, infrastructure, construction and maintenance technologies and equipment"
21,China_2006.pdf,3,"(: 35 ), High-speed rail transport system, ( 36 ) Energy, efficient and new, energy-based Automobiles, ( 37 ), Efficient transport technologies and equipment; ( 38 ), Intelligent traffic control systems, ( 39 ) Transport safety and emergency safeguard Information, Industry and Modern Service Industry, ( 40 ), Enabling Information technology and major application software for modern service industry; "
22,China_2006.pdf,3,"( 41 ) Major next-generation internet technologies and services; ( 42 ) High performance, dependable computers, ( 43 ) Sensor networks and intelligent information, processing, ( 44 ), Digital media content platforms, ( 45 ), High definition, large flat-panel display ( 46 ), Core application, oriented information, security Population And Health ( 47 ), Safe contraception and family planning and birth defects, prevention and treatment"
23,China_2006.pdf,3,"( 48 ) Prevention and treatment of cardiovascular and cerebrovascular diseases, malignancies and other major non-infectious diseases, ( 49 ) Prevention and treatment of common frequently-occurring diseases in urban and rural communities"
24,China_2006.pdf,3,"( 50 ) Traditional Chinese Medicine, impartation and innovation, ( 51 ), Advanced medical equipment and bio-medicinal materials, Urbanization and City Development; "
25,China_2006.pdf,4," ( 52 ) Urban planning and dynamic monitoring, ( 53 ), Uplifting urban functions and space efficiency, ( 54 ) Architecture, energy efficiency and green buildings, ( 55 ) Urban, ecological, residential environment and quality control, ( 56 ) Urban information platforms, Public Security, "
26,China_2006.pdf,4,"( 57 ) National public security, emergency information platforms, ( 58, ), Major workplace accidents, warning and rescue (; 59 ) Food safety and entry-exit quarantine, ( 60 ), Major public emergency prevention and quick response: ( 61 ) Biosafety measures, ( 62 ), Major natural disasters, prevention and Preparedness, National Defense, "
27,China_2006.pdf,4," Frontier Technologies, Biotechnology "
28,China_2006.pdf,4,"( 1 ) Target identification technology, ( 2 ), Plant-animal varieties and drug molecular design technology, (, 3 ) Gene manipulation and protein engineering technology, ( 4 ) Stem cell based human tissue engineering technology, ( 5 ), Next-generation industrial biotechnology Information Technology; "
29,China_2006.pdf,4,"( 6 ) Intelligent sensing technology, ( 7 ), Ad hoc network technology, ( 8, ) Virtual reality; technology, Advanced Materials, Technology, "
30,China_2006.pdf,4,"( 9 ) Intelligent materials and structural technology, ( 10 ), High-temperature superconducting technology, (, 11 ), Efficient energy, material technology, Advanced Manufacturing Technology, "
31,China_2006.pdf,4,"( 12 ) Extreme manufacturing technology, ( 13 ), Intelligent service, robotics, (, 14 ) Service life, prediction technology for major products and facilities, Advanced Energy Technology; "
32,China_2006.pdf,5,"( 15 ) Hydrogen and fuel cell technology, ( 16 ) Distributive energy supply technology, ( 17, ), Fast neutron, reactor technology, "
33,China_2006.pdf,5,", (, 18, ) Magnetic contained fusion technology; "
34,China_2006.pdf,5,"( 19 ) 3-D marine environment monitoring technology, ( 20 ) Ocean floor based multi-parameter, fast sounding technology, ( 21 ), Natural gas, hydrate exploitation, technology, (, 22, ) Deep-sea operation technology; "
35,China_2006.pdf,5,"( 1 ) Basic disciplines, ( 2 ) Cross and emerging disciplines, Frontier Scientific Issues, "
36,China_2006.pdf,5,"( 1 ) Quantitative study and systematic integration of life process, ( 2 ), Condensed matters and novel effects"
37,China_2006.pdf,5," ( 3 ) Matters deep inner structures and physical laws at a cosmological scale, ( 4 ) Core mathematics and its application in cross-disciplines, ( 5 ) Earth system process and associated resources, environment and disasters effects"
38,China_2006.pdf,5,"( 6 ) Chemical process in creating and transforming new matters, ( 7 ) Brain and cognitive sciences, ( 8 ), Innovation in scientific experiments, observational methods, techniques and equipment; "
39,China_2006.pdf,5,"Basic Research in Response to Major National Strategic Needs: ( 1 ) Biological foundations of human health and diseases, ( 2 ) Crop genetic improvement and scientific issues in sustainable agricultural development"
40,China_2006.pdf,5,"( 3 ) Human activities and their impacts on the Earth system, (, 4 ), Global change and regional response"
41,China_2006.pdf,5," ( 5 ) Complex systems, disaster formation prediction and control; ( 6 ) Key scientific issues in sustainable energy development, ( 7 ) New principles and methodologies for materials, design and fabrication, (, 8, ) Scientific basis of manufacturing under extreme environmental conditions"
42,China_2006.pdf,5, ( 9 ) Major mechanical issues
43,China_2006.pdf,5," In aeronautics and space science, ( 10 ) Scientific basis for the development of information technology, Major Scientific Research Programs, "
44,China_2006.pdf,6,"( 1 ) Protein studies, ( 2 ), Quantum regulation studies, "
45,China_2006.pdf,6," (, 3 ), Nanometer studies, ( 4, ) Growth and reproduction studies, Reform of the S & T System and the Construction of a National Innovation System Supporting and Encouraging Enterprises to Become the Main Player in Technological Innovation, "
46,China_2006.pdf,6,"Deepening the Institutional Reform and Establishing a Modern Research Institute System, "
47,China_2006.pdf,6,Advancing the S & T Management System Reform Vigorously Pushing Forward the Construction of a National Innovation System with Chinese Characteristics
48,China_2006.pdf,6,Major Policies and Measures 
49,China_2006.pdf,6,"Financial and Taxation Policies Encouraging Technological Innovation at the Enterprise Level, "
50,China_2006.pdf,6,Strengthening Assimilation and Absorption of imported technologies and re- innovation 
51,China_2006.pdf,6,"Government Procurement, Favoring Indigenous Innovation, "
52,China_2006.pdf,6,"Intellectual Property Rights Strategy and Technology Standards, Strategy, Financial Policies, Encouraging Innovation and Pioneering Accelerating industrialization of high technologies and diffusion of advanced appropriate technologies"
53,China_2006.pdf,6,Perfecting the mechanism for combining defense and civilian sectors and making defense part of civilian sector 
54,China_2006.pdf,6,"Expanding international and regional S & T cooperation and exchanges, Improving scientific and cultural literacy of the entire nation and building a social environment conducive to S & T innovation"
55,China_2006.pdf,7,"S & T Input and S & T Infrastructure Platforms, Establishing a diversified, multi-channel S & T input system, "
56,China_2006.pdf,7, Readjusting and optimizing input structures and raising the cost-effectiveness of S & T expenditures
57,China_2006.pdf,7,"Strengthening the construction of S & T infrastructure platforms, 4"
58,China_2006.pdf,7,", Establishing a mechanism for sharing S & T infrastructure platforms, Talented Workforce, Buildup, "
59,China_2006.pdf,7,"Accelerating the nurturing of a contingent of world caliber experts Bringing into full play the important role of education in cultivating innovative talents, 3"
60,China_2006.pdf,7," Supporting enterprises, efforts in nurturing and attracting S & T talents"
61,China_2006.pdf,7, Intensifying efforts in attracting high caliber talents from overseas Creating a cultural environment conducive to the Nurturing of Innovative Talents
62,China_2006.pdf,7, The 16th National Congress of the Chinese Communist Party commissioned the formulation of an outline for a national medium- and long-term program for science and technology development
63,China_2006.pdf,7, In the context of the full-fledged construction of a well-to-do society and accelerating the socialist modernization drive and the State Council has hereby prepared the following outline in compliance with the request Preface 
64,China_2006.pdf,7,"Since the founding of the Peoples Republic of China, especially since the introduction of the policy of reform and opening to the outside world, the nations socialist modernization drive has attained universally acknowledged achievements"
65,China_2006.pdf,7," However, one has to be keenly aware that the nation is and will remain at a primary stage of socialism for a long time to come"
66,China_2006.pdf,7," In our effort to build a well-to-do society, we are faced with both rare historic opportunities and grave challenges"
67,China_2006.pdf,7, The nations economic growth shows an excessive dependence on the consumption of energy and resources with high associated environmental costs
68,China_2006.pdf,7," The economic structure is irrational, characterized by a frail agricultural base and lagging high-tech industry and modern service industry and firms lack core competitiveness and their economic returns are yet to be improved as a result of weak indigenous innovation capability"
69,China_2006.pdf,7," There are a whole range of problems concerning employment, distribution, health care and national security that need prompt, solution"
70,China_2006.pdf,7, The nation will be for a long period of time under enormous pressures from developed nations who possess economic and S & T superiority
71,China_2006.pdf,7," In order to grasp the opportunities and meet the challenges, we must make all-round efforts, including coordinated overall development, deepening the system, reform, improving democracy and the rule of law and reinforcing social management"
72,China_2006.pdf,7," At the same time, we need to depend even more heavily on S & T, progress and innovation in order to achieve substantial gains in productivity and advance the overall economic and social development in a coordinated and sustainable manner"
73,China_2006.pdf,7," As the premier productive forces, science and technology are a concentrated reflection and a major hallmark of advanced productivity"
74,China_2006.pdf,7, In the 21st century
75,China_2006.pdf,8, The new science and technology 
76,China_2006.pdf,8,"revolution is rapidly unfolding and gestating significant new breakthroughs, which will profoundly change the economic and social visages"
77,China_2006.pdf,8, Science and technology still in the ascendant will continue to be the dominant driving force for economic growth
78,China_2006.pdf,8," Rapid advances in life, science and biotechnology will play a key role in improving quality of life"
79,China_2006.pdf,8," Renewed efforts in energy, science and technology will open up new avenues for addressing global energy and environmental issues and exciting new breakthroughs in nanometer, science and nanotechnology will usher in a profound technology"
80,China_2006.pdf,8,", Exciting breakthroughs in basic research fields will create whole new horizons for science and technology, development and economic growth"
