,Document,Page,Sentence
0,Colombia_2011_articles-3510_documento.pdf,1,"National Council on Economic and Social Policy Republic of Colombia, "
1,Colombia_2011_articles-3510_documento.pdf,1,Ministry of the Interior and Justice Ministry of Foreign Affairs 
2,Colombia_2011_articles-3510_documento.pdf,1,"Ministry of Information and Communication Technologies, Department of Security Administration, "
3,Colombia_2011_articles-3510_documento.pdf,1,Office of the Attorney General 
4,Colombia_2011_articles-3510_documento.pdf,1, July 14Th of 2011 
5,Colombia_2011_articles-3510_documento.pdf,2,"The purpose of this document is to generate policy guidelines on cybersecurity1 and cyberdefense2, with the aim of developing a national strategy to counter the rise in cyber threats that have significant impact on the country"
6,Colombia_2011_articles-3510_documento.pdf,2," In addition, it examines past experiences both within the country and abroad, as well as the country's legal framework on the subject"
7,Colombia_2011_articles-3510_documento.pdf,2,The core issue hinges on the fact that the states current capacity to confront cyber threats is hampered by weaknesses and the lack of a national strategy in this area
8,Colombia_2011_articles-3510_documento.pdf,2,", Based on the foregoing"
9,Colombia_2011_articles-3510_documento.pdf,2, The causes and effects have been identified from which to develop prevention and control policies against the increase in cyber threats
10,Colombia_2011_articles-3510_documento.pdf,2," In order to enable the strategy's implementation, this document offers specific recommendations for entities directly and indirectly involved in this issue"
11,Colombia_2011_articles-3510_documento.pdf,2, This was the position that the Colombian government adopted when it included this issue in the Plan
12,Colombia_2011_articles-3510_documento.pdf,2," Vive Digital [ Live Digital Plan ] within the framework of the 2010-2014 National Development Plan, Prosperity for All "
13,Colombia_2011_articles-3510_documento.pdf,2,"Keywords: Cyber threat, cyberspace, cyberdefense cybersecurity, information, security, critical infrastructure, CERT, ColCERT, "
14,Colombia_2011_articles-3510_documento.pdf,2,The states capacity to minimize the level of exposure of its citizens to cyber threats or incidents The states capacity to prevent and counter any cyber threat or incident that undermines national sovereignty
15,Colombia_2011_articles-3510_documento.pdf,4,"Background 2 National Framework, International Framework ANALYSIS, 13, Core Problem Effects of the Core Problem OBJECTIVES, Overarching Objective 16, Specific Objectives; "
16,Colombia_2011_articles-3510_documento.pdf,5,The use of information and communication technologies brings with it changes and permanent threats and has become one of the cornerstones of the globalized world
17,Colombia_2011_articles-3510_documento.pdf,5," At the same time, the evolution of these technologies has brought an increase in the use of technological resources for criminal purposes"
18,Colombia_2011_articles-3510_documento.pdf,5," All over the world, The continual evolution, spread and sophistication of cyber attacks, as well as technological convergence,3, highlight the need to adopt measures and controls to protect the state from these new threats"
19,Colombia_2011_articles-3510_documento.pdf,5," The increased capacity to commit crime in cyberspace, as well as the use of new technologies to generate cyber threats, constitute a common concern for all countries, given that they significantly impact information security in both public and private spheres, including civil society"
20,Colombia_2011_articles-3510_documento.pdf,5, Tackling the issues of cybersecurity and cyberdefense entails a commitment on the part of the national government to guarantee information security
21,Colombia_2011_articles-3510_documento.pdf,5," Therefore, although this document aims to provide a policy framework for the issues of cybersecurity and cyberdefense in particular, the entities involved will be responsible for developing that framework and creating mechanisms by which to ensure information, security nationwide"
22,Colombia_2011_articles-3510_documento.pdf,5," To achieve the foregoing, consideration will be given to technical rules and national and international standards, as well as international initiatives on protection of critical infrastructure and cybersecurity"
23,Colombia_2011_articles-3510_documento.pdf,5," Bearing in mind that the government needs to be aware of and act comprehensively against, cyber threats, a strategy is needed"
24,Colombia_2011_articles-3510_documento.pdf,5, That includes the creation of appropriate bodies to perform the task of providing cybersecurity and cyberdefense against any cyber threats or incident that could 
25,Colombia_2011_articles-3510_documento.pdf,5,Technological convergence is the tendency for different technological systems to evolve towards performing similar tasks
26,Colombia_2011_articles-3510_documento.pdf,5," Convergence can refer to previously separate technologies such as voice, ( and telephony features, ) data, ( and productivity applications ) and video that now share resources and interact with each other"
27,Colombia_2011_articles-3510_documento.pdf,5," Synergistically ( Jenkins, Henry ( 2006 ) Convergence, Culture, New York, University Press, New York, ), A potential cause of an unwanted incident which may result in harm to a system or organization ( ISO/IEC, 13335-1:2004 ) "
28,Colombia_2011_articles-3510_documento.pdf,6,"Compromise information,5 impair the country's critical infrastructure and jeopardize the security and defense of the state"
29,Colombia_2011_articles-3510_documento.pdf,6," The adoption of a national policy on cybersecurity and cyberdefense, involving all sectors of society under the leadership of the Ministry of Defense and in coordination with other state entities, is an imperative of the highest priority"
30,Colombia_2011_articles-3510_documento.pdf,6, This document identifies as the overarching objective of this policy
31,Colombia_2011_articles-3510_documento.pdf,6, The strengthening of the states capacity to confront cyber threats to its security and defense
32,Colombia_2011_articles-3510_documento.pdf,6," It also defines three specific objectives: 1 ) To implement appropriate mechanisms to prevent, provide assistance, control and offer recommendations on cyber incidents"
33,Colombia_2011_articles-3510_documento.pdf,6," And/Or emergencies for protecting the country's critical infrastructure, 2 ) To design and execute specialized cybersecurity and cyberdefense training plans and 3 ) To strengthen the legal framework and law enforcement in this area"
34,Colombia_2011_articles-3510_documento.pdf,6,"This document sets out a plan of action for putting into effect the policy on cybersecurity and cyberdefense, which will be entrusted to the entities involved"
35,Colombia_2011_articles-3510_documento.pdf,6,"In April 2007, the government of Estonia sustained what is generally regarded as the biggest cyber attack in history"
36,Colombia_2011_articles-3510_documento.pdf,6," It affected the office of the president, the parliament, most ministries, political parties and two major banks"
37,Colombia_2011_articles-3510_documento.pdf,6, The attack triggered a crisis that necessitated the intervention of the international community and alerted NATO
38,Colombia_2011_articles-3510_documento.pdf,6," As a result, in August 2008, NATO launched the Cooperative Cyber Defence Centre of Excellence, ( CCD COE ), whose mission is to protect the Organization's members from attacks of this type, provide training to military personnel, conduct research on electronic defense techniques and develop a legal framework for Pursuing this activity, "
39,Colombia_2011_articles-3510_documento.pdf,6,"Cyber threat, The appearance of a potential or actual situation in which an agent has the capacity to produce a cyber attack against the population, territory and political organization of the state"
40,Colombia_2011_articles-3510_documento.pdf,6," ( Ministry Of Defense, Colombia, ) Cyber incident, One or a series of unexpected or unwanted cybersecurity"
41,Colombia_2011_articles-3510_documento.pdf,6," Events that have a significant probability of compromising the operations of an entity or threatening information, security"
42,Colombia_2011_articles-3510_documento.pdf,6," ( Ministry Of Defense, Colombia, ) "
43,Colombia_2011_articles-3510_documento.pdf,7,There are two other significant cyber attacks that are also worth mentioning
44,Colombia_2011_articles-3510_documento.pdf,7," The first was against the United States in July 2009, when a series of attacks affected, the White House, the Department of Homeland Security, (, DHS ), the Department of Defense, the Federal Aviation Administration and the Federal Trade Commission"
45,Colombia_2011_articles-3510_documento.pdf,7," The other event was that reported by Spain's Guardia Civil in March 2010 when it dismantled one of the largest so-called zombie computer networks,7, known as the mariposa ( or butterfly ) botnet8, composed of more than 13 million infected IP addresses9, distributed across 190"
46,Colombia_2011_articles-3510_documento.pdf,7, Colombia was the fifth worst-affected country by this network
47,Colombia_2011_articles-3510_documento.pdf,7,Table 1 Latin American countries worst affected by a zombie network in March 2010 Source www
48,Colombia_2011_articles-3510_documento.pdf,7,"Report to Congressional Requesters, United States Government Accountability, Office March 2010, http //www"
49,Colombia_2011_articles-3510_documento.pdf,7,"Term used to refer to personal computers, which, after being infected by some type of malware, can be used by a third party to carry out hostile activities"
50,Colombia_2011_articles-3510_documento.pdf,7," This use occurs without the consent or knowledge of the machine's user, The name given to a network of computers that combines their resources to perform a common task and shares the workload among all the computers, ( FireEye, Arbornet ), A botnet's originator can control the infected computers/servers Remotely, usually through a means such as IRC, Newer versions of these botnets are focusing on control environments via HTTP, greatly simplifying control of these machines"
51,Colombia_2011_articles-3510_documento.pdf,7, Their purposes are usually nefarious
52,Colombia_2011_articles-3510_documento.pdf,7," A numerical label assigned logically and hierarchically to the interface ( communication/connection element, ) of a device ("
