,Document,Page,Sentence
0,Croatia%20CR%20NCSS%20EN.pdf,1,Cyber SECURITY STRATEGY OF 
1,Croatia%20CR%20NCSS%20EN.pdf,1,"The REPUBLIC OF CROATIA, "
2,Croatia%20CR%20NCSS%20EN.pdf,1,"Zagreb: 7 October 2015, ( Official Gazette No 108/2015 ) "
3,Croatia%20CR%20NCSS%20EN.pdf,2,General GOALS OF THE STRATEGY - 
4,Croatia%20CR%20NCSS%20EN.pdf,2,"Sectors OF THE SOCIETY AND FORMS OF COOPERATION OF CYBER SECURITY STAKEHOLDERS, "
5,Croatia%20CR%20NCSS%20EN.pdf,2,"1, Electronic communication and information infrastructure and services 1 Public electronic communications ( A ) "
6,Croatia%20CR%20NCSS%20EN.pdf,2,"2 E-Government ( B, ) "
7,Croatia%20CR%20NCSS%20EN.pdf,2,"3, Electronic financial services, ( C ) "
8,Croatia%20CR%20NCSS%20EN.pdf,2,"2 Critical communication and information infrastructure and cyber crisis management, ( D, ), 3 Cybercrime, ( E ) "
9,Croatia%20CR%20NCSS%20EN.pdf,2,"Interrelations OF THE AREAS OF CYBER SECURITY, 1 Protection of information, (, F, ), "
10,Croatia%20CR%20NCSS%20EN.pdf,2,"2, Technical coordination in the treatment of computer security incidents, ( G ) 3 International cooperation, ( H, ), "
11,Croatia%20CR%20NCSS%20EN.pdf,2,"4, Education, research development and raising security awareness in cyberspace ( I ) "
12,Croatia%20CR%20NCSS%20EN.pdf,2,Implementation OF THE STRATEGY - 
13,Croatia%20CR%20NCSS%20EN.pdf,2,Appendix TERMS AND ACRONYMS 
14,Croatia%20CR%20NCSS%20EN.pdf,3,Nowhere has technological development been more dynamic and comprehensive than in the area of communication and information technology
15,Croatia%20CR%20NCSS%20EN.pdf,3," The focus has always been on the rapid development and introduction of new services and products, while the security-related aspects usually had little influence on the broad acceptance of new technologies"
16,Croatia%20CR%20NCSS%20EN.pdf,3," The life cycles of modern-day information systems from the process of planning, introduction and usage to their withdrawal from use are very short, which often makes their systematic testing impossible and is most commonly applied as an exception"
17,Croatia%20CR%20NCSS%20EN.pdf,3," In expressly prescribed cases, Users usually have minimal knowledge of the technology they are using and the technology is applied in such a way"
18,Croatia%20CR%20NCSS%20EN.pdf,3," That makes it very hard to estimate the security characteristics of the majority of commercial products regarding the protection of user data, confidentiality and privacy"
19,Croatia%20CR%20NCSS%20EN.pdf,3," Due to that users, attitude towards the communication and information technology is based almost exclusively on blind confidence"
20,Croatia%20CR%20NCSS%20EN.pdf,3, Modern societies are deeply imbued with communication and information
21,Croatia%20CR%20NCSS%20EN.pdf,3," People are nowadays connected using various technologies for the transmission of text image and sound, including the increasing Internet of Things"
22,Croatia%20CR%20NCSS%20EN.pdf,3," ( IoT ) trend, While a deviation in the normal functioning of a certain kind of communication and information system could go unnoticed"
23,Croatia%20CR%20NCSS%20EN.pdf,3, Improper operation of some other systems could have harsh consequences for the functioning of the State
24,Croatia%20CR%20NCSS%20EN.pdf,3," It can cause loss of life, damage to health, great material damage, pollution of the environment and the disturbance of other functionalities essential for the proper functioning of the society as a whole"
25,Croatia%20CR%20NCSS%20EN.pdf,3," From the beginning of the development of communication and information technologies, until the present day, deviations in their proper functioning have occurred due to different reasons from human error or malicious action to technological error or organizational omission"
26,Croatia%20CR%20NCSS%20EN.pdf,3," The creation of the Internet and connecting a number of communication and information systems of the public, academic and economic sectors, as well as citizens, created the contemporary cyberspace composed not only of this interconnected infrastructure, but also of the ever growing amounts of available information and users"
27,Croatia%20CR%20NCSS%20EN.pdf,3," Communicating increasingly among themselves using a growing number of different services, some completely new, some traditional, but in a new virtual form"
28,Croatia%20CR%20NCSS%20EN.pdf,3, Deviations in the proper operation of these interconnected systems or their parts are no longer merely technical difficulties
29,Croatia%20CR%20NCSS%20EN.pdf,3, They pose a danger with a global security
30,Croatia%20CR%20NCSS%20EN.pdf,3, Modern societies counter them with a range of activities and measures collectively called cyber security
31,Croatia%20CR%20NCSS%20EN.pdf,3, The term cyber entered the Croatian legal system upon the ratification of the Budapest Convention on Cybercrime1 back in 2002
32,Croatia%20CR%20NCSS%20EN.pdf,3," Following from that, the term cyber is most 1 Act on the Ratification of the Convention on Cybercrime, ( Official Gazette No 09/02 ) and Act on the Ratification of the Additional Protocol to the Convention on Cybercrime"
