,Document,Page,Sentence
0,Danish_NCSS.pdf,1,"A STRONGER AND MORE SECURE DIGITAL DENMARK, Digital Strategy, 2016-2020 "
1,Danish_NCSS.pdf,1,"The Government / Locat Government, Denmark, / Danish Regions, / dk, /, www"
2,Danish_NCSS.pdf,2,"A STRONGER AND MORE SECURE DIGITAL DENMARK, The Digital strategy, 2016-2020 May 2016"
3,Danish_NCSS.pdf,2," Enquiries about this publication should be addressed to Agency for Digitisation, Landgreven 4 Post box 2193 1017"
4,Danish_NCSS.pdf,2," Copenhagen K, Denmark, Telephone +45, 33, 92, 80, 00 www"
5,Danish_NCSS.pdf,2,"dk E-mail, digst @ digst, Graphic design, GeelmuydenKiese Front page photo Shutterstock Printed by GP, Tryk & Zeuner Grafisk A/S, Copies printed 3,000, ISBN 978-87-87353-88-5"
6,Danish_NCSS.pdf,2,Electronic publication ISBN 978-87-87353-89-2 
7,Danish_NCSS.pdf,2,"Download the publication from Danish Ministry of Finance Local Government, Denmark and Danish Regions www"
8,Danish_NCSS.pdf,3,"A STRONGER AND MORE SECURE DIGITAL DENMARK, We must seize the digital opportunities, Denmark, on the way, THE DIGITAL STRATEGY, 15 years of digital strategies, VISION AND GOALS"
9,Danish_NCSS.pdf,3,"Digital SOLUTIONS MUST BE EASY-TO-USE, QUICK AND ENSURE HIGH QUALITY 1"
10,Danish_NCSS.pdf,3,", A user-friendly and simple digital public sector 2"
11,Danish_NCSS.pdf,3,", Better use of data and quicker case processing, 3"
12,Danish_NCSS.pdf,3,", Better and more cohesive welfare services"
13,Danish_NCSS.pdf,3," Digitisation MUST PROVIDE GOOD CONDITIONS FOR GROWTH, 4"
14,Danish_NCSS.pdf,3,", Better framework for the business community, 5"
15,Danish_NCSS.pdf,3, Public sector data as a growth driver 6
16,Danish_NCSS.pdf,3,", An efficient utilities, sector SECURITY AND CONFIDENCE MUST BE IN FOCUS AT ALL TIMES"
17,Danish_NCSS.pdf,3," The public sector protects data, 8"
18,Danish_NCSS.pdf,3,", Robust digital infrastructure, 9"
19,Danish_NCSS.pdf,3," Digitisation for everyone, PROGRESS MANAGEMENT AND ONGOING ADAPTATION"
20,Danish_NCSS.pdf,4,"A, STRONGER AND MORE SECURE DIGITAL, DENMARK, Denmark and the world are facing funda- mental changes"
21,Danish_NCSS.pdf,4," Rapid, ongoing digital de- velopments are already changing the way in which we live"
22,Danish_NCSS.pdf,4, The way we run our busi- nesses and the way our public services and welfare services are delivered
23,Danish_NCSS.pdf,4," Technological developments have always played a role in altering the way in which we live, and new technologies have given us, op- portunities, that not many of us would want to do"
24,Danish_NCSS.pdf,4,", The invention of the automo- bile, gave us far more mobility and flexibility"
25,Danish_NCSS.pdf,4, Automation of processing and packaging processes within the food industry
26,Danish_NCSS.pdf,4, Improved opportunities within supply and flexible con- sumption
27,Danish_NCSS.pdf,4, Old job functions have become defunct and new ones have appeared in their place
28,Danish_NCSS.pdf,4, We have seen it all before
29,Danish_NCSS.pdf,4,", However, the rate and evolutionary power of technological developments will accelerate in the years to come"
30,Danish_NCSS.pdf,4," Digital development will be so fast, profound and unpredictable that it will challenge and change society in ways"
31,Danish_NCSS.pdf,4, We cannot even begin to imagine What the future will bring is now more un- certain than ever
32,Danish_NCSS.pdf,4," Artificial intelligence, nano and biotechnologies, and the widespread use of Big Data are already at our doorstep"
33,Danish_NCSS.pdf,4,", So the future is now not tomorrow"
34,Danish_NCSS.pdf,4, The new technologies provide a multitude of opportunities
35,Danish_NCSS.pdf,4,", However, this develop- ment also challenges society and demands change and transition"
36,Danish_NCSS.pdf,4," It is not whether or not the changes will happen, but how, as a society, we are prepared to adapt and to exploit the opportunities offered by the new technologies to produce more pros-, perity and welfare, while still preserving the uniquely Danish sense of security and confi- dence"
37,Danish_NCSS.pdf,4," In each other and in society, Digital Denmark, Just as globalisation digitisation raises many difficult questions"
38,Danish_NCSS.pdf,4," In a number of ar- eas, Denmark is well prepared for what the future will bring"
39,Danish_NCSS.pdf,4," However, in other areas we still have a lot to learn"
40,Danish_NCSS.pdf,4," Therefore, the pub- lic sector must work closely with the Danish business community stakeholder organisa- "
41,Danish_NCSS.pdf,5,"A STRONGER AND MORE SECURE DIGITAL, DENMARK"
42,Danish_NCSS.pdf,5, to establish the basis for a flexible and adaptive society ready for an ever more digitised world
43,Danish_NCSS.pdf,5, The Digital Strategy 2016-2020 sets the course for Danish public sector digitisation efforts and their interaction with business- es and industry
44,Danish_NCSS.pdf,5," Jointly with the businesses and public institutions at local, regional and central-government levels, which, on a daily basis, take advantage of the opportunities provided by digitisation"
45,Danish_NCSS.pdf,5, This strategy will help build the basis for a strong and secure digital Denmark
46,Danish_NCSS.pdf,5," Some initiatives are being launched, now"
47,Danish_NCSS.pdf,5, Others will be defined or adjusted up until 2020 in response to the opportunities and challenges ahead
48,Danish_NCSS.pdf,5," Therefore, this strategy will fully equip citizens, public employees and businesses for the digital, Denmark of the future, The Government, Local Government, Denmark and Danish Regions WHO IS PARTICIPATING"
49,Danish_NCSS.pdf,5,"The government Digital Strategies concern the authorities at all levels of government, from state to regions to municipalities i"
