,Document,Page,Sentence
0,Egypt_2012.pdf,2,National ICT Strategy - 2012-2017 
1,Egypt_2012.pdf,3,"Towards a Digital Society and Knowledge-based Economy, "
2,Egypt_2012.pdf,3,Message from the Minister 
3,Egypt_2012.pdf,3,"The world is witnessing a revolution in information and communications technology, ( ICT ), the scope of which stretches far beyond the realm of the sector"
4,Egypt_2012.pdf,3, No country seeking real sustainable development and progress can hope to achieve these aims without a strong ICT sector in place to drive the necessary change
5,Egypt_2012.pdf,3," In the midst of this revolution in information and communications technology, Egypt witnessed a different kind of revolution at the beginning of 2011, a peaceful, popular political and social revolution"
6,Egypt_2012.pdf,3, In the 25 January Revolution
7,Egypt_2012.pdf,3," Ict tools and systems and the use of social networks in particular, played a major role in events"
8,Egypt_2012.pdf,3," This revolution changed not only Egypts future path, but also the way Egyptians view"
9,Egypt_2012.pdf,3, Ict tools and systems which have created an important platform for expression of views and in public affairs
10,Egypt_2012.pdf,3, Various factors have contributed to boosting the role of the internet in politics
11,Egypt_2012.pdf,3," Internet access has expanded significantly over recent years among all sectors of society, particularly among youth"
12,Egypt_2012.pdf,3," Indeed, there has been a clear transformation in internet usage patterns across the Arab world in recent years, with a marked increase in use of the internet as a means and arena for political activity"
13,Egypt_2012.pdf,3, The ICT sector in the next phase should focus on adapting ICTs to find solutions to issues of concern to the community
14,Egypt_2012.pdf,3," While this process has indeed already begun, the sector should develop a community vision based on the principle that development should occur not only in the public service sector, but also in the managerial approach of the state and its constituent bodies"
15,Egypt_2012.pdf,3," This will allow Egypt to achieve a transformation embracing digital citizenship in a technological society that, in its own way, will be as impressive and far reaching as the change brought about by the 25 January Revolution"
16,Egypt_2012.pdf,3," I am looking forward to supporting the start of a new era for the ICT sector in Egypt, building on past successes and lessons learnt"
17,Egypt_2012.pdf,3, I am confident that more Egyptians will join the information community working together to establish the foundations of a new economy based on knowledge and sustainable development
18,Egypt_2012.pdf,3," There are, of course, numerous factors to consider in maximizing the role of the ICT sector"
19,Egypt_2012.pdf,3," - In this new strategy, we have therefore addressed a broad range of actions in a framework of collective action, targeting greater success and progress for the Egyptian ICT sector and for the other sectors of the economy"
20,Egypt_2012.pdf,3," I would like to express my gratitude at being offered the opportunity to take over the leadership of the Ministry of Communications and Information Technology, ( MCIT ) at such a critical stage in Egypts history"
21,Egypt_2012.pdf,3," I am pleased to present the National ICT Strategy for 2012-2017, which results from the vision and efforts of an integrated team working in collaboration with various actors in the community"
22,Egypt_2012.pdf,4," I am honored to present this document to you on behalf of the ministry and to be part of the team responsible for not only supporting the future development of the national ICT sector, but also for shaping up new Egypt, "
23,Egypt_2012.pdf,4,"The Ministry of Communications and Information Technology presents its sincere appreciation and gratitude to each of the following departments for their contribution to the enrichment of this document through various programs, recommendations and feedback, The Information Infrastructure, Division, Telecommunications and Resources, Department, Central Department of Engineering Affairs, Information, Documentation And Decision Support Center, International Relations, Division, Egypt, ICT for Development, ICTs for People with Disabilities, Initiative Legislation, Committee and Technical Bureau of the Minister of Communications and Information Technology"
24,Egypt_2012.pdf,4, Much appreciation is due also to all organizations affiliated with the ministry that have contributed to enriching this strategy
25,Egypt_2012.pdf,4," Through various programs and projects, the National Telecommunication Regulatory Authority, ( NTRA, ), the Egyptian National Post Organization, ( ENPO, ), the Information Technology Industry, Development Agency, ( ITIDA ), the Technology, Innovation and Entrepreneurship Center, ( TIEC ), the Center for Documentation of Cultural and Natural Heritage, ( Cultnat ) the Information Technology Institute, ( ITI ) and the National Telecommunication Institute ( NTI ) Special thanks are extended to the members of the ICT Strategy Formulation Committee for their continuous support, guidance and feedback"
26,Egypt_2012.pdf,4," It is our duty to express our gratitude to all ministries of the Arab Republic of Egypt that took part in crystallizing the framework, as well as many of the ideas and concepts included in the document"
27,Egypt_2012.pdf,4," Special thanks to the experts and representatives of civil society, the media and the private sector, who reviewed the document and contributed by guiding us at various stages of the project"
28,Egypt_2012.pdf,4," Finally, we present our thanks and appreciation to the members of the Transport Committee of the Peoples Assembly who provided us with a valuable opportunity to display the outline of the strategy and offered useful and constructive feedback"
29,Egypt_2012.pdf,4," We hope that we have succeeded in presenting our views in a transparent and clear manner and that this document will contribute to boosting work and achievement in Egypts, promising and ambitious ICT sector"
30,Egypt_2012.pdf,5,"The Ministry of Communications and Information Technology is working to support an Egyptian ICT sector that plays an active role in facilitating the achievement of political, social and economic goals during the current stage of democratic transition in Egypt"
31,Egypt_2012.pdf,5," Mcit therefore, aims to build on Egyptians, positive view of ICT tools and systems adapting and developing them to serve the requirements of a democratic society"
32,Egypt_2012.pdf,5," This will include the development of applications that support digital citizenship, opening avenues for community participation in social issues and protecting freedoms and social justice, Vision Towards digital citizenship and an advanced knowledge-based economy and a smooth transition to democracy Mission To develop a democratic, knowledge-based society that supports A strong Egyptian economy and is based on equitable access to information and communications services, guaranteeing the digital rights of citizens and the development of a national industry based on human talent and creativity"
33,Egypt_2012.pdf,5," To achieve this mission, four strategic objectives have been identified: Supporting the democratic transition "
34,Egypt_2012.pdf,5,"Promoting digital citizenship and information society, Promoting sustainable development, "
35,Egypt_2012.pdf,5,"Strengthening the national economy, "
36,Egypt_2012.pdf,5,The National ICT Strategy for 2012-2017 focuses on a number of quantitative targets related to important indicators
37,Egypt_2012.pdf,5, With regard to supporting the democratic transition and promoting the information community and digital citizenship
38,Egypt_2012.pdf,5," The aims are to raise the number of high-speed internet subscribers in Egypt to 13 million by 2015 to have personal computers in at least 40 % of Egyptian households within five years and to establish a national network of 1,000 Technology Homes On the development front, targets include Providing all schools and educational institutions with high-speed internet access promoting the use of electronic signature applications in three government agencies, raising the volume of e-commerce by 20 %, increasing the proportion of e- banking customers using online or mobile banking to 30 % and improving Egypts ranking in The field of Arabic, digital content by increasing the number of trusted websites by 8-10 % With regard to strengthening the economy, the targets are to maintain ICT sector growth rates of 7-10 % over the next five years, while increasing the sectors contribution to national income to 5 % to raise revenues generated from outsourcing services, to $ 2"
