,Document,Page,Sentence
0,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,1,Ministry of Economic Affairs and Communication 
1,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,2,Analysis of current situation - 
2,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,2,Principles of ensuring cyber security 
3,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,2,General objective of the strategy for 2017 
4,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,2,"Parties related to the strategy, "
5,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,3,"The Cyber Security Strategy 2014-2017 is the basic document for planning Estonias cyber security and a part of Estonias, broader security strategy"
6,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,3," The strategy highlights important recent developments, assesses threats to Estonias cyber security and presents measures to manage threats"
7,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,3, This strategy continues the implementation of many of the goals found in the Cyber Security Strategy 2008-2013
8,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,3," However, new threats and needs which were not covered by the previous strategy have also been added"
9,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,3,Analysis OF CURRENT SITUATION - 
10,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,3,"In 2009, a Cyber Security Council was added to the Security Committee of the Government of the Republic, whose main task is to support strategic level inter-agency co-operation and oversee the implementation of Cyber Security Strategy objectives"
11,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,3,"In 2010, by a decision of the Government of the Republic, the Estonian Informatics Centre was given government agency status"
12,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,3,", The renamed Estonian Information System Authority, ( Riigi, Infossteemi, Amet hereinafter, RIA ) received additional powers and resources for organising protection of the states, information and communication technology"
13,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,3," ( hereinafter ICT ) infrastructure and exercising supervision over the security of information systems, the purposes of organising the protection of infrastructure, the Department of Critical Information Infrastructure Protection, ( hereinafter CIIP ), was formed within the RIA"
14,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,3," In early 2010, the RIA launched the critical information infrastructure, ( hereinafter, CII ) mapping, project, which identified the dependencies of vital services on information systems"
15,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,3, On the basis of the mapping security requirements for vital information systems necessary for the functioning of the state were developed
16,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,3, A CIIP commission was formed to promote public-private cooperation
17,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,3," The purpose of the commission, which brings together cyber security and IT managers from vital services agencies is to exchange operational information, identify problems and make suggestions for improving the cyber security of the country's critical infrastructure"
18,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4,"In 2012: the cybercrime investigation, capabilities of the Police and Border Guard Board ( hereinafter PBGB ), were consolidated into a single department"
19,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4," In addition, officials dealing with cybercrime and digital evidence, management procedures from various units in the prefectures were consolidated into cybercrime and digital evidence"
20,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4, Services that were established in prefectures in 2013
21,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4,", The PBGB is also engaged in raising awareness regarding cyber threats, which, among other things, has resulted in the creation of the positions for web- constables"
22,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4, A web-constable is tasked with raising people's awareness about the security of the Internet and protecting children and young people
23,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4,", The Estonian Internal Security Service strengthened its investigative capabilities in order to prevent threats to national security, including cyber attacks and espionage"
24,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4,"The creation of the Estonian Defence Leagues Cyber Unit, ( hereinafter EDL CU ), which took place as a result of collaboration between the public, private and third-sector, has been instrumental in ensuring national defence"
25,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4, The expertise of EDL CU volunteers is applied to improve the security of Estonian state agencies and companies
26,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4," Information systems through coordinated exercises, testing of solutions, training etc"
27,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4, The EDL CU can also be engaged to support civilian institutions and protect critical infrastructure in a crisis
28,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4,", Domestic and international cyber security training exercises have also played an important role in the development and assessment of cyber security capabilities"
29,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4,", The Government of the Republics, cyber defence headquarters exercise Cyber Fever'' and NATO Crisis Management Exercise"
30,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4, Cmx 2012 took place in 2012
31,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4," The NATO Cooperative Cyber Defence Centre of Excellence, ( NATO, CCD, COE, ) exercise"
32,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4, Locked Shields takes place in Estonia
33,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4, The NATO cyber defence exercise Cyber Coalition has also been hosted in Estonia
34,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4, Defence Forces has also created a Cyber Range to support cyber defence
35,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4," Related training Range is used to carry out the aforementioned cyber exercises, organise domestic exercises and in the instruction provided by universities, "
36,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4,"In the field of cyber security, the main provider of training and awareness-raising is the Information Technology Foundation for Education, ( hereinafter, HITSA ), formerly known as the Tiger Leap Foundation"
37,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4," Hitsa training is offered to pre-schoolers well as older children, while also involving parents and teachers in the process"
38,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4," A state-private partnership project was launched in 2013 to raise the skills and security awareness of smart device users, developers and vendors"
39,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,4," In cooperation between Tallinn, University of Technology, (, TUT, ) and "
40,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,5,"The University of Tartu, the international Masters programme in Cyber Security was opened in 2009, with 50 students accepted into the programme"
41,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,5,In 2014 TUT in cooperation with the Estonian Centre 2CENTRE opened a Masters programme in Digital Forensics
42,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,5," Centre of Excellence is part of the European Unions network of 2CENTRE competency centres, where professionals are trained in the fight against cybercrime and continuation training is arranged for them"
43,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,5,Estonia has successfully cooperated with other ICT-advanced countries and international organizations in the field of cyber security
44,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,5, An active role in shaping cyber security policy led to the establishment of the NATO Cooperative Cyber Defence Centre of Excellence in Estonia
45,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,5," Estonia has contributed to cyber security becoming part of NATO and European Union policy and other countries, interest towards Estonias experience in cyber security has grown significantly"
46,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,5," Cyber security related cooperation has been successful on the regional level between the Nordic countries and the Baltic States, as well as with other strategic partners and like-minded countries"
47,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,5, Estonia is also participating in newer forms of cooperation
48,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,5," The Freedom Online Coalition, the United Nations Group of Governmental Experts, the OSCE informal working group on developing confidence building measures in cyberspace, Friends of the Presidency of the European Union and others Trends"
49,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,5,The continued rapid development of 
50,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,5,"Globalization, the drastic increase in data volumes and the growing number of different types of equipment connected to data networks have an impact on daily life, the economy and the functioning of the state"
51,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,5," On the one hand, this level of ICT development will contribute to the improved availability and usability of services, enhance transparency and citizen participation in governance and cut public, as well as private sector costs"
52,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,5," On the other hand, the increasing importance of technology is accompanied by an increase in the states, growing dependence on already entrenched, e-solutions and cements the expectation of technology operating seamlessly"
53,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,5," In addition, the Internet is becoming increasingly accessible, the number of users continues to grow and with new technological solutions and services such as the `` Internet of things'' and cloud computing"
54,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,5, The number of potential vectors for attacks along with the complexity of attacks is growing
55,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,6,"Social processes are also becoming increasingly dependent on a growing number of information technology resources and in the future, attention must be drawn to the fact that society at large, and each individual in particular, will be able to maintain control over the corresponding processes"
56,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,6," Otherwise, there is potential for information technologies to reduce the role of humans in the decision-making process, and processes may become self-regulatory"
57,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,6," ( technological singularity, ) "
58,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,6,"The main threat is cybercrime, and its growth is reflected by the significant development of cyber criminals skills and their increased ability to carry out organized attacks"
59,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,6," An integral part of the processing of crimes is the collection and handling of digital evidence, which poses new challenges to the procedural and digital forensics capabilities of the police"
60,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,6,"National cyber security is affected by the actors operating in cyberspace, with their various skills targets and motivations"
61,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,6, It is often difficult to distinguish between the actors or determine their relationship to national or international organizations
62,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,6," The number of state actors in cyberspace that are involved in cyber espionage, targeted at computers connected to the Internet, as well as closed networks, continues to grow, with their aim being to collect information on both national security, as well as economic interests"
63,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,6, The amount and activeness of states capable of cyber-attacks are increasing
64,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,6,"In addition to the activation of state actors, the ability of politically motivated individuals and groups with limited means to organize their activities using social networks and carry out denial of service and other types of attacks is growing as well"
65,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,6,"Meaningful and effective cooperation between the public and private sector in the development of cyber security organisation, as well as in preventing and resolving cyber incidents, is becoming increasingly unavoidable"
66,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,6," National defence and internal security are dependent on the private sectors, infrastructure and resources, while at the same time the state can assist vital service providers and guarantors of national critical information infrastructure"
67,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,6," As a coordinator and balancer of various interests, "
68,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,7,"The main cyber security risks arise from the extensive and growing dependence on ICT infrastructure and e-services by the Estonian state, the economy and the population"
69,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,7," Therefore, the key fields on which the Cyber Security Strategy focuses are ensuring vital services combating cybercrime more effectively and advancing national defence capabilities"
70,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,7," Additional supporting activities will include shaping the legal framework, promoting international cooperation and communication, raising awareness and ensuring specialist education, as well as the development of technical solutions"
71,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,7," In the case of vital services, cross-border information technology interdependencies have emerged and securing them is no longer dependent solely on parties based in Estonia"
72,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,7, Estonian state has no option for effectively supervising services or parts of services which are provided outside of the Republic of Estonia
73,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,7," All vital services and their dependencies must be mapped, alternatives must be developed and operational"
74,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,7, Readiness to implement them must be achieved
75,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,7, The preservation of data and information systems that are essential to the functioning of society must be ensured in both the public and private sectors
76,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,7," The timely detection of and response to, cyber threats, threatening the state society and the individual must be ensured"
77,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,7,"Cybercrime undermines the functioning of the economic space, reduces trust in digital services and in a worst-case scenario, could lead to incidents causing loss of life"
78,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,7,", Competent personnel and modern technical tools are needed in order to ensure prevention, detection and prosecuting of cybercrime"
