,Document,Page,Sentence
0,FRANCE.pdf,1,"French, NatioNal digital security stRatEgy, "
1,FRANCE.pdf,3,France is fully committed to the digital transition
2,FRANCE.pdf,3,", Boasting a highly connected population, buoyed by sustained growth in its digital economy"
3,FRANCE.pdf,3," France draws on talents and strengths on the cutting edge of European and global innovation, Yet the digital universe is also a locale for competition and confrontation"
4,FRANCE.pdf,3," Cyberspace has become a new domain for unfair competition and espionage, disinformation and propaganda, terrorism and criminality"
5,FRANCE.pdf,3," The Actions to promote the digital Republic planned by the French government are intended to promote our values, our economy and protect our citizens"
6,FRANCE.pdf,3," By reinforcing digital security, we favour the development of a cyberspace that provides a sustainable source of growth and opportunities for French companies, thus asserting our democratic values and safeguarding our citizens, digital lives and personal data"
7,FRANCE.pdf,3, I have high ambitions in this regard
8,FRANCE.pdf,3," The national digital security strategy must be founded, in particular on training and international cooperation"
9,FRANCE.pdf,3," It must be supported by the entire national community, the government and the public sector at national and local levels, businesses and, more broadly, all our countrymen"
10,FRANCE.pdf,3, This is each and all of us concern Meeting the security challenges of the digital world is a key to our collective success
11,FRANCE.pdf,3, I hope that this national digital security strategy will launch a new dynamic that will simultaneously provide better protection and unfetter our energies 
12,FRANCE.pdf,3,"Manuel Valls, Prime Minister "
13,FRANCE.pdf,3," Foreword from Manuel Valls, Prime Minister of France, French national digital security strategy"
14,FRANCE.pdf,4,"French, NatioNal digital sECuRity, "
15,FRANCE.pdf,4,The digitalisation of French society 
16,FRANCE.pdf,4,Is accelerating with relentless 
17,FRANCE.pdf,4,"Growth in digital services, products "
18,FRANCE.pdf,4, This has become a national issue
19,FRANCE.pdf,4," The digital transition favours innovation and growth, yet it simultaneously carries risks for the State, economic stakeholders and citizens"
20,FRANCE.pdf,4," Cybercrime, espionage, propaganda, sabotage and excessive exploitation of personal data"
21,FRANCE.pdf,4,"Threaten digital trust and security, "
22,FRANCE.pdf,4,"Thus, calling for a collective, "
23,FRANCE.pdf,4,Coordinated response based on five 
24,FRANCE.pdf,5," # Fundamental interests, defence and security of State information systems and critical, infrastruc- tures major cybersecurity crisis By developing autonomous strategic thinking, sup- ported"
25,FRANCE.pdf,5," By world-class technical expertise, France will ensure the ongoing defence of its fundamental inte- rests in cyberspace"
26,FRANCE.pdf,5," In parallel, France will continue to reinforce the security of its critical networks and its resilience in case of a major cyberattack by expanding cooperation with private stakeholders at national and international levels"
27,FRANCE.pdf,5," # Digital trust, privacy, personal data, cybermale-, volence, "
28,FRANCE.pdf,5,"For cyberspace to remain safe for businesses of all sizes and for individuals, protective measures and remedial actions will be adopted"
29,FRANCE.pdf,5," Protection will be based on public authorities, heightened vigilance, regar- ding, the use of personal data and the development of a range of digital security products tailored to the gene- ral"
30,FRANCE.pdf,5," Remedial actions will be structured around aid to victims of cybermalevolence, providing technical and legal assistance"
31,FRANCE.pdf,5," # Awareness, raising initial training, continuing education, "
32,FRANCE.pdf,5,Individuals still lack sufficient awareness of the risks associated with the digitalisation of society
33,FRANCE.pdf,5, This is why steps will be taken to raise the awareness of school- children and students
34,FRANCE.pdf,5, In addition to meet increasing demands from the public and private sector
35,FRANCE.pdf,5," Training of experts in this domain will be enhanced # Environment of digital technology, businesses, industrial policy, export and internationalisation"
36,FRANCE.pdf,5," The growth of digital markets worldwide, together with the associated security imperatives, constitutes an opportunity to differentiate French digital products and services that have a security level adapted to their uses"
37,FRANCE.pdf,5,", By supporting investment, innovation and exports, but also via public procurement"
38,FRANCE.pdf,5," The State will develop a favourable environment for French companies in the digital sector, offering secure products and services # Europe"
39,FRANCE.pdf,5," Digital strategic autonomy, cyberspace stability, "
40,FRANCE.pdf,5,The regulation of international relations in cybers- pace has become a major issue
41,FRANCE.pdf,5," France, along with like- minded Member States, will promote a road map for European digital strategic autonomy"
42,FRANCE.pdf,5," France will also fortify its influence in international bodies and provi- de support to the least-protected countries, with their consent to build their cybersecurity capabilities, the- reby, contributing to the overall stability of cyberspace"
43,FRANCE.pdf,5, Digital security underpins the digital Republic project
44,FRANCE.pdf,5," In this regard, the State plays a major role in elaborating this strategy and in launching a dy- namic that must now be maintained by digital-sec- tor professionals, public and private decision-ma-, kers and citizens"
45,FRANCE.pdf,7,"Fundamental interests, defence and security of State information systems and critical infrastructures; major cybersecurity crisis, Page 13, "
46,FRANCE.pdf,7,"Digital trust, privacy, personal data, cybermalevolence, Page 19, "
47,FRANCE.pdf,7,"Awareness raising initial training, continuing education, Page 25, "
48,FRANCE.pdf,7,"Environment of digital technology, businesses, industrial policy, export and internationalisation, Page 29, "
49,FRANCE.pdf,7,"Europe, digital strategic autonomy, cyberspace stability, Page 37, "
50,FRANCE.pdf,9,French nATIOnAL DIGITAL SecUrITY STrATeGY iNtRoduCtioN iNtRoduCtioN 
51,FRANCE.pdf,9,France is going through its digital transition
52,FRANCE.pdf,9, Networks are omnipresent in the functioning of the State economic activity and the daily lives of citizens
53,FRANCE.pdf,9," Digital technology engenders new uses, new products and new services and is therefore a factor of innovation"
54,FRANCE.pdf,9, It leads to transformation in most trades
55,FRANCE.pdf,9," It transforms sectors of activity and bu- sinesses, giving them more flexibility and competi- tiveness"
56,FRANCE.pdf,9, Boosted by digital support
57,FRANCE.pdf,9, These sectors are simultaneously more exposed to digital threats
58,FRANCE.pdf,9,", Doing without digital technology or the lack of access to it, results in a form of economic and social exclusion"
59,FRANCE.pdf,9," Similarly, the sovereignty of a State that does not have the autonomy required in the digital sector would be threatened For digital technology to remain an area of freedom, exchanges and growth"
60,FRANCE.pdf,9, Trust and security must be established and defended
61,FRANCE.pdf,9, Only through a collaborative and coordinated effort
62,FRANCE.pdf,9," Can this objec- tive be attained, * *, "
63,FRANCE.pdf,9,"An initial cybersecurity strategy was developed in France in early 2010 and was published in early 2011 shortly after the discovery of a cyberattack, the inten- tion of which was to spy on the economic and finance ministries"
64,FRANCE.pdf,9," The attackers who had been acting for se- veral months had taken control of the core of one of the ministerial networks and were regularly collecting political, economic and financial information"
65,FRANCE.pdf,9,"This type of cyberattack targets - many French, bu- sinesses of all sizes in all sectors of activity"
66,FRANCE.pdf,9," Businesses - are also the target of all types of fraud, such as malware infection"
67,FRANCE.pdf,9, That makes the business files unusable until a ransom is paid by means that are difficult to trace
68,FRANCE.pdf,9," In parallel computer system, intrusions aimed at stealing personal information, ( identity, identification, data on commercial websites and bank details, ) are on the rise"
69,FRANCE.pdf,9, Most of the times
70,FRANCE.pdf,9," It concerns criminals, com- mitting crimes that are identical to those known in the material world, such as theft, fraud and blackmail, but in an industrialised manner, with less risk of being identified and prosecuted"
71,FRANCE.pdf,9, Organised crime has seized the opportunity provided by electronic communication
72,FRANCE.pdf,9, Their technical capabilities are increasing to the point where they are now capable of carrying out acts of sabotage or taking production tools hostage for themselves or through subcontracting by hybridisation
