,Document,Page,Sentence
0,Finland_2013_s_Cyber_Security_Strategy.pdf,1,"Finlands Cyber security Strategy, "
1,Finland_2013_s_Cyber_Security_Strategy.pdf,1,"Finlands CYBER SECURITY STRATEGY, "
2,Finland_2013_s_Cyber_Security_Strategy.pdf,2,"Vision FOR CYBER SECURITY, "
3,Finland_2013_s_Cyber_Security_Strategy.pdf,2,"Cyber SECURITY MANAGEMENT AND THE NATIONAL APPROACH STRATEGIC GUIDELINES FOR CYBER SECURITY, "
4,Finland_2013_s_Cyber_Security_Strategy.pdf,2,"Appendix 1 TERMS AND DEFINITIONS, "
5,Finland_2013_s_Cyber_Security_Strategy.pdf,2,"The BACKGROUND DOSSIER OF THE SECURITY COMMITTEE Secretariat of the Security Committee, Southern Makasiinikatu 8 PO BOX, 31, FIN-00131, HELSINKI, FINLAND, social security, "
6,Finland_2013_s_Cyber_Security_Strategy.pdf,2,"Layout Tiina Takala/Ministry of Defence Print Forssa print 2013, ISBN 978-951-25-2437-2 nid"
7,Finland_2013_s_Cyber_Security_Strategy.pdf,2," ISBN, 978-951-25-2438-9, pdf "
8,Finland_2013_s_Cyber_Security_Strategy.pdf,2,"Finlands CYBER SECURITY STRATEGY, "
9,Finland_2013_s_Cyber_Security_Strategy.pdf,3,Cyber security means the desired 
10,Finland_2013_s_Cyber_Security_Strategy.pdf,3,End state in which the cyber domain is reliable and in which its functioning is ensured
11,Finland_2013_s_Cyber_Security_Strategy.pdf,3,Ensuring the security of society is a key task of the government authorities and the vital functions of our society must be secured in all situations
12,Finland_2013_s_Cyber_Security_Strategy.pdf,3," As an information society, Finland relies on information, networks and systems and consequently, is extremely vulnerable to disturbances which affect their functioning"
13,Finland_2013_s_Cyber_Security_Strategy.pdf,3," An international term for this interdependent multipurpose electronic data processing environment is the cyber domain, Societys growing information intensity, the increase of foreign ownership and out- sourcing integration between information and communications technologies"
14,Finland_2013_s_Cyber_Security_Strategy.pdf,3," The use of open networks, as well as the growing reliance on electricity, have set totally new require- ments for securing societys vital functions in normal conditions during serious distur- bances in normal conditions and in emergency conditions"
15,Finland_2013_s_Cyber_Security_Strategy.pdf,3," Threats against the cyber domain have increasingly serious repercussions for individ-, uals businesses and society in general"
16,Finland_2013_s_Cyber_Security_Strategy.pdf,3," The perpetrators are more professional than be- fore, and today the threats even include state actors"
17,Finland_2013_s_Cyber_Security_Strategy.pdf,3, Cyber attacks can be used as a means of political and economic pressure
18,Finland_2013_s_Cyber_Security_Strategy.pdf,3," In a serious crisis, pressure can be exerted as an instru- ment of influence alongside traditional means of military force"
19,Finland_2013_s_Cyber_Security_Strategy.pdf,3, The cyber domain should also be seen as a possibility and a resource
