,Document,Page,Sentence
0,GHANA.pdf,1,"Ghana, National Cyber Security Policy & Strategy, "
1,GHANA.pdf,2,Final Draft handed over to Ministry of Communications 
2,GHANA.pdf,2,"Final version, after Validation Workshop "
3,GHANA.pdf,2,"2 | P, a g e N, a t, i o n, a l C y b e r S e c"
4,GHANA.pdf,3," U r! I t y P, o l, i c y & S, t r a t, e g y "
5,GHANA.pdf,3, SECTION ONE BACKGROUND I
6,GHANA.pdf,3, CHALLENGES: DEVELOPMENTS WITH FOCUS ON THE POLICY Overview i
7,GHANA.pdf,3," Global Activities on Cyber Security, Regional Initiatives, iii"
8,GHANA.pdf,3," NEED FOR POLICY, III"
9,GHANA.pdf,3,", RELEVANT PROVISION, ICT4AD SECTION: TWO: CYBER SECURITY POLICY INTRODUCTION DEFINITIONS, CNII SECTORS FOR GHANA POLICY CONTEXT I"
10,GHANA.pdf,3," POLICY Statement, Legislative & Regulatory Framework, Cyber Security Technology Framework, Culture of security and Capacity Building, Research & Development towards Self-Reliance, Compliance and Enforcement, Child Online Protection, 3 | P, a g e N, a t i o n, a l, C y b e r S e c"
11,GHANA.pdf,3," U r, i t y P, o l, i c y & S, t r a t e g y "
12,GHANA.pdf,4,"Cyber Security, Emergency Readiness, International Cooperation, SECTION THREE NATIONAL CYBER SECURITY STRATEGY; c"
13,GHANA.pdf,4, STRATEGIC ACTIONS FOR POLICY THRUST I
14,GHANA.pdf,4, Strategy Implementation Timelines i
15,GHANA.pdf,4," Specific Initiatives APPENDIX National Cyber Security Policy; Working Group, National Cyber Security Awareness Program, National Cyber Security Center ( NCSC ), National Cyber Security Council, ( Ncscc ) National Cyber Security Crisis Management Plan, ( NCSCMP, ), National Computer Security Incidence Response Team, (, National CSIRT, ) "
16,GHANA.pdf,4,"4 | P, a g e N, a t i o n, a l C y b e r S e c"
17,GHANA.pdf,5," U r! I t y P, o l, i c y & S, t r, a t, e g y "
18,GHANA.pdf,5," GLOSSARY GLOSSARY; GLOSSARY GLOSSARY Africa, Union AU Commonwealth, Cyber Initiative, CCI Computer Emergency Response, Team CERT Council for Scientific and Industrial Research, CSIR Computer Security Incidence Response Team, CSIRT, Critical National Information Infrastructure, CNII Criminal Investigation Department, CID COP Child Online Protection, EOCO Economic and Organized Crime, Office, Electronic Transactions, Act, ETA Forum of Incident Response and Security Teams; FIRST, Ghanaian Academic and Research Network, GARNET, ICT4AD Information and Communication Technology for Accelerated Development"
19,GHANA.pdf,5," Itu International telecommunications Union IMPACT Multilateral Partnership against Cyber Threat, ISOC/IEC International Organization for Standardization, / International Electrotechnical, Commission LI Legislative Instrument, 5 |, P, a g e N, a t"
20,GHANA.pdf,5," I o n, a l C y b e r S e c"
21,GHANA.pdf,5," U r! I t y P, o l, i c y & S, t r a t e g y "
22,GHANA.pdf,6,"Mda NCA NITA NitaCERT NCSAW, NCSC, NCSCC, NCSPWG, NCSCMP, PKI, R & D, SIM UNECA, WG, "
23,GHANA.pdf,6,"Ministries, Departments and Agencies, National Communications Authority, National Information Technology Agency, NITA, Computer Emergency Response Team, National Cyber Security Awareness Program, National Cyber Security Center National Cyber Security Council, National Cyber Security Working Group, National Cyber Security Crisis Management Plan, Public Key Infrastructure, Research and Development, Subscriber Identification, Module United Nations Economic Commission for Africa, Working Group, 6 | P, a g e N, a t, i o n, a l C y b e r S e c"
24,GHANA.pdf,7," U r! I t y P, o l, i c y & S, t r, a t, e g y, "
25,GHANA.pdf,7,", EXECUTIVE, SUMMARY, EXECUTIVE, SUMMARY, EXECUTIVE, SUMMARY, EXECUTIVE SUMMARY"
26,GHANA.pdf,7," The expansion of Internet access in Africa, representing the largest growth in the world, means more people today have access to Internet, with its attendant risks of attack from people with disruptive tendencies to defraud other Internet users and commit cybercrimes"
27,GHANA.pdf,7," These disruptive activities by cyber criminals has caused the debate on cyber security to be on the top of the agenda for almost every country, and many countries are strategizing on how to combat the cyber criminals"
28,GHANA.pdf,7, Several global initiatives are also addressing cyber crime and enhancement of cyber security
29,GHANA.pdf,7, The ITUs IMPACT program is providing several member countries early warning on cyber crimes and is helping these member countries secure their cyber space
30,GHANA.pdf,7," The Commonwealth Cyber Initiative, ( CCI ), is another initiative that seeks to help commonwealth countries adopt efficient cyber security policies and Infrastructure"
31,GHANA.pdf,7," At the continental level, the African ( AU ) has developed a cyber security convention which was ratified by African Presidents"
32,GHANA.pdf,7, The cyber menace in Ghana has been more of cyber fraud
33,GHANA.pdf,7,", The popular sakawa, where cyber criminals defraud unsuspecting Internet users of large sums of money in Ghana and abroad remains prevalent because of inadequate laws on cyber crime to prosecute cyber criminals"
34,GHANA.pdf,7, The Electronic Transaction Act ( 2008
35,GHANA.pdf,7, ) has provisions for law enforcement agencies to fight cyber crime
36,GHANA.pdf,7," However, this is not adequate for law enforcement in the fight against cyber crime, as there are legal gaps caused by rapidly change in the cyber landscape"
37,GHANA.pdf,7," There is, however, the need to fully address all aspects of cyber security and apply a multi-stakeholder approach to fighting the cyber menace"
38,GHANA.pdf,7," Several initiatives are on-going to address the cyber menace, all of which need to be brought under one umbrella for Ghana"
