,Document,Page,Sentence
0,Georgia_2012_National%20Cyber%20Security%20Strategy%20of%20Georgia_ENG.pdf,1,"Cyber Security Strategy of Georgia, "
1,Georgia_2012_National%20Cyber%20Security%20Strategy%20of%20Georgia_ENG.pdf,2,The Government of Georgia publishes its Cyber Security Strategy for the first time
2,Georgia_2012_National%20Cyber%20Security%20Strategy%20of%20Georgia_ENG.pdf,2, Large-Scale cyber attacks launched by Russia against Georgia in August 2008 have clearly demonstrated that the national security of Georgia cannot be achieved without ensuring security of its cyberspace
3,Georgia_2012_National%20Cyber%20Security%20Strategy%20of%20Georgia_ENG.pdf,2, In the course of the Russian-Georgian war
4,Georgia_2012_National%20Cyber%20Security%20Strategy%20of%20Georgia_ENG.pdf,2, Russian Federation engaged in targeted and massive cyber attacks against Georgia alongside land aerial and naval assault
5,Georgia_2012_National%20Cyber%20Security%20Strategy%20of%20Georgia_ENG.pdf,2," These attacks showed that the protection of cyberspace is as important for national security as land, maritime and air defenses"
6,Georgia_2012_National%20Cyber%20Security%20Strategy%20of%20Georgia_ENG.pdf,2," The Georgian Cyber Security Strategy is a principal document outlining state policy in the area of cyber-security, reflecting strategic goals and guiding principles and laying down action plans and tasks"
7,Georgia_2012_National%20Cyber%20Security%20Strategy%20of%20Georgia_ENG.pdf,2," Based on this Strategy, the Government of Georgia will undertake actions facilitating safe operation of state agencies, private sector and the public in cyberspace, secure electronic transactions and unhindered functioning of Georgian economy and business"
8,Georgia_2012_National%20Cyber%20Security%20Strategy%20of%20Georgia_ENG.pdf,2, The Georgian Cyber Security Strategy represents a part of the package of conceptual and strategic documents developed in the framework of the National Security Review process
9,Georgia_2012_National%20Cyber%20Security%20Strategy%20of%20Georgia_ENG.pdf,2," Consequently, the Strategy is based upon the Threat Assessment Document for 2010-2013 and the National Security Concept of Georgia"
10,Georgia_2012_National%20Cyber%20Security%20Strategy%20of%20Georgia_ENG.pdf,2," The Strategy has been developed by the Permanent Inter-agency Commission under the auspices of the National Security Council tasked to coordinate drafting national security, strategic documents"
