,Document,Page,Sentence
0,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,1,"Cyber Security Strategy for Germany, "
1,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,3,"Basic principles of the Cyber Security Strategy, Strategic objectives and measures - "
2,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,4,"Cyberspace includes all information infrastructures accessible via the Internet, beyond all territorial boundaries"
3,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,4," In Germany, all players of social and economic life use the possibilities provided by cyberspace"
4,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,4, As part of an increasingly inter- connected world
5,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,4," The state, critical infrastructures, businesses and citizens in Germany depend on the reliable functioning of information and communication technology and the Internet"
6,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,4,"Malfunctioning IT products and components, the break-down of information infrastructures or serious"
7,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,4," Cyber attacks may have a considerable negative impact on the performance of technology, businesses and the administration, and hence on Germanys social lifelines"
8,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,4," The availability of cyberspace and the integrity, authen- ticity and confidentiality of data in cyberspace have become vital questions of the 21st century"
9,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,4," Ensuring cyber security has thus turned into a central challenge for the state, business and society both at national and international level"
10,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,4, The Cyber Security Strategy is intended to improve the framework conditions in this area
11,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,5,"In recent years, attacks against information infrastructures have become ever more frequent and complex, while at the same time perpetrators have become more professional"
12,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,5, Cyber attacks are launched both from Germany and abroad
13,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,5," Given the openness and extent of cyberspace, it is possible to conduct covert attacks and misuse vulnerable systems as tools for an attack"
14,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,5, In view of technologically sophisticated malware
15,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,5, The possibilities of responding to and retracing an attack are rather limited
16,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,5, Often attacks give no clue as to the identity and the background of the attacker
17,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,5, Terrorists and spies use cyberspace as a place for their activities and do not stop at state borders
18,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,5, Military operations can also be behind such attacks
19,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,5,"The trend to develop information systems for industry on the basis of standard components and connect them to cyberspace, which is motivated mainly by economic concerns, entails new vulnerabilities"
20,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,5, Experience with the Stuxnet virus shows that important industrial infrastructures are no longer exempted from targeted
21,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,5,"Given the increasing complexity and vulnerability of information infrastructures, the cyber security situation will remain critical"
22,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,5, Also in the future
23,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,5," In Germany, the public and the private sector, as well as society at large, are all equally affected by targeted or coincidental"
24,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,6,"Ensuring cyber security enforcing rights and protecting critical information infrastructures require major efforts by the state, both at national level and in cooperation with international partners"
25,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,6," Given the shared responsibilities of the state, the industry and the society, a cyber security strategy will only be successful if all players act as partners and fulfil their tasks"
26,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,6, The same applies to the international context
27,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,6,"Since IT systems are interconnected in global networks, incidents in other coun- tries information"
28,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,6, Infrastructures may also indirectly affect Germany
29,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,6, For this rea- son
30,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,6, Strengthening cyber security also requires the enforcement of international rules of conduct standards and norms
31,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,6, Only a mix of domestic and external policy measures will be appropriate for the dimension of the problem
32,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,6, Cyber security can be improved by enhancing the framework conditions for drawing up com- mon minimum standards
33,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,6, ( code of conduct ) with allies and partners
34,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,6, Fighting the rapid growth of cybercrime requires close cooperation between law enforcement authorities worldwide
35,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,6,"Basic principles of the Cyber Security Strategy, The Federal Government aims at making a substantial contribution to a secure cyberspace, thus maintaining and promoting economic and social prosperity in Germany"
36,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,6," Cyber security in Germany must be ensured at a level commensurate with the importance and protection required by interlinked information, infra- structures without hampering the opportunities and the utilization of the cyber-"
37,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,6," In this context, the level of cyber security reached is the sum of all national and international measures taken to protect the availability of information and communications technology and the integrity, authenticity and confidentiality of data in cyberspace"
38,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,7,Cyber security must be based on a comprehensive approach
39,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,7, This requires even more intensive information sharing and coordination
40,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,7, The Cyber Security Strat- egy mainly focuses on civilian approaches and measures
41,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,7, They are complemented by measures taken by the Bundeswehr1 to protect its capabilities and measures based on mandates to make cyber security a part of Germanys preventive security strategy
42,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,7," Given the global nature of information and communications technology, international coordination and appropriate networks focusing on foreign and security policy aspects are indispensable"
43,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,7," This includes cooperation not only in the United Nations, but also in the EU"
44,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,7," The Council of Europe, NATO, the G8, the OSCE and other multinational organizations"
45,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,7, The aim is to ensure the coherence and capabilities of the international community to protect cyberspace
46,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,7,"Armed Forces ( Bundeswehr, ) "
47,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,8,Strategic objectives and measures 
48,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,8,"With the present Cyber Security Strategy, the Federal Government adapts meas- ures to the current threats on the basis of the structures established by the CIP implementation plan and the implementation plan for the federal administration"
49,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,8, The Federal Government will specifically focus on ten strategic areas: Protection of critical information infrastructures; 
50,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,8,The protection of critical information infrastructures is the main priority of cyber security
51,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,8, They are a central component of nearly all critical infrastructures and become increasingly important
52,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,8, The public and the private sector must cre- ate an enhanced strategic and organizational basis for closer coordination based on intensified information
53,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,8," To this end, cooperation established by the CIP implementation plan is systematically extended and legal commitments to "
54,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,9,"Enhance, the binding nature of the CIP implementation plan are examined"
55,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,9," The participation of the National Cyber Security Council (, cf"
56,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,9," objective 5 ), the in- tegration of additional sectors is examined and the introduction of new relevant technologies is considered to a greater extent"
57,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,9, Whether and where protective measures have to be made mandatory and whether and where additional powers are required in case of specific threats have to be clarified too
58,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,9," Furthermore, we will examine the necessity of harmonizing rules to maintain critical infrastructures during IT crises "
59,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,9,"Secure IT systems in Germany, "
60,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,9,Infrastructure protection requires more security with regard to IT
