,Document,Page,Sentence
0,Greek_National_Cyber_Strategy%20IN%20GREEK_ver%202.pdf,2, NATIONAL STRATEGY FOR THE GENERAL BUDGET REVISION - 2 
1,Greek_National_Cyber_Strategy%20IN%20GREEK_ver%202.pdf,3, NATIONAL STRATEGY FOR THE GENERAL BUDGET REVISION 2 TABLE OF CONTENTS 
2,Greek_National_Cyber_Strategy%20IN%20GREEK_ver%202.pdf,3,General PRINCIPLES AND OBJECTIVES: 
3,Greek_National_Cyber_Strategy%20IN%20GREEK_ver%202.pdf,3,"Framework OF ACTIONS, STRATEGIC OBJECTIVES, "
4,Greek_National_Cyber_Strategy%20IN%20GREEK_ver%202.pdf,3,"Definition of Bodies involved in the National Strategy Cyber-security Impressions of stakeholders, "
5,Greek_National_Cyber_Strategy%20IN%20GREEK_ver%202.pdf,3,"Recording and Improving Existing Institutional Framework National Cyber Emergency Plan, "
6,Greek_National_Cyber_Strategy%20IN%20GREEK_ver%202.pdf,3,Defining Basic Safety Requirements: 
7,Greek_National_Cyber_Strategy%20IN%20GREEK_ver%202.pdf,3,"Sensitization of users, citizens "
8,Greek_National_Cyber_Strategy%20IN%20GREEK_ver%202.pdf,3,Reliable Information Sharing Mechanisms - 
9,Greek_National_Cyber_Strategy%20IN%20GREEK_ver%202.pdf,3,And Academic Education Programs 
10,Greek_National_Cyber_Strategy%20IN%20GREEK_ver%202.pdf,3,"Collaborations at International Level, "
11,Greek_National_Cyber_Strategy%20IN%20GREEK_ver%202.pdf,3,Evaluation and Review of the National Strategy EPILOGUE 
12,Greek_National_Cyber_Strategy%20IN%20GREEK_ver%202.pdf,4, NATIONAL STRATEGY FOR THE GENERAL BUDGET REVISION - 2 
13,Greek_National_Cyber_Strategy%20IN%20GREEK_ver%202.pdf,4,"This document describes the National Cyber Security Strategy, through which the central planning of the Greek state develops in the area of cyber security"
14,Greek_National_Cyber_Strategy%20IN%20GREEK_ver%202.pdf,4,"As the use of the Internet and Information Technology and Communications is constantly increasing in every aspect of its activities, the public and the private sector, particular attention should be paid to creating a secure Internet, environment, infrastructure and services which will stimulate citizens' confidence and lead them to Further use of new digital products and services"
