,Document,Page,Sentence
0,Hungary_2013_HU_NCSS.pdf,1, 1139/2013 ( 21 March ) on the National Cyber Security Strategy of Hungary
1,Hungary_2013_HU_NCSS.pdf,1," The Government hereby approves the National Cyber Security Strategy of Hungary laid down in Annex No, The Government"
2,Hungary_2013_HU_NCSS.pdf,1, Instructs the state secretary heading the Prime Ministers Office to take the necessary action to establish the National Cyber Security Coordination Council Person in charge
3,Hungary_2013_HU_NCSS.pdf,1," State secretary heading the Prime Ministers Office, supported by the ministers with the relevant responsibilities and powers Deadline 30 June 2013"
4,Hungary_2013_HU_NCSS.pdf,1, The Government instructs the state secretary heading the Prime Ministers Office to prepare a work and action plan for implementing the tasks defined in the National Cyber Security Strategy of Hungary Person in charge
5,Hungary_2013_HU_NCSS.pdf,1," State secretary heading the Prime Ministers Office, supported by the ministers with the relevant responsibilities and powers, Deadline 30 June 2013"
6,Hungary_2013_HU_NCSS.pdf,1, This decision shall come into force on the day after its publication
7,Hungary_2013_HU_NCSS.pdf,1, Viktor Orbn Prime Minister ( Signed ) 
8,Hungary_2013_HU_NCSS.pdf,2,Annex 1 to Government Decision No
9,Hungary_2013_HU_NCSS.pdf,2, 1139/2013 ( 21 March ) 
10,Hungary_2013_HU_NCSS.pdf,2,"National Cyber Security Strategy of Hungary, In accordance with the principles of the Fundamental Law and based on the review of the relevant values and interests and on the analysis of the security environment of the cyberspace"
11,Hungary_2013_HU_NCSS.pdf,2," The purpose of this Strategy is to determine national objectives and strategic directions, tasks and comprehensive government tools which enable Hungary to enforce its national interests in the Hungarian cyberspace within the context of the global cyberspace"
12,Hungary_2013_HU_NCSS.pdf,2," The strategy aims at developing a free and secure cyberspace and protecting national sovereignty in the national and international context, which has undergone a significant change due to the emergence of the cyberspace, a new medium, which has become a key factor in the 21st century"
13,Hungary_2013_HU_NCSS.pdf,2," Furthermore, it aims at protecting the activities and guaranteeing the security of national economy and society securely, adapting technological to facilitate economic growth and establishing international cooperation in this regard, in line with Hungarys national interests"
14,Hungary_2013_HU_NCSS.pdf,2," This Strategy indicates that Hungary is ready to perform and take responsibility for cyberspace protection tasks and intends to develop the Hungarian cyberspace as a key element of Hungarian economic and social life into a free, secure and innovative environment"
15,Hungary_2013_HU_NCSS.pdf,2, By way of efficient protective measures based on prevention
16,Hungary_2013_HU_NCSS.pdf,2," The primary objective is to manage the threats and risks emerging in and coming from the cyberspace, as well as to reinforce government coordination and measures"
17,Hungary_2013_HU_NCSS.pdf,2,"This Strategy reflects the basic values enshrined in the Fundamental Law of Hungary, specifically freedom, security, rule of law, international and European cooperation in a separate field within security and economic policy"
18,Hungary_2013_HU_NCSS.pdf,2," It is a document of cyber security for national data assets as part of national assets derived from Section 38 of the Fundamental Law, as well as for the related critical infrastructures"
19,Hungary_2013_HU_NCSS.pdf,2,", In accordance with the Hungarian National Security Strategy, accepted by Government Decision No"
20,Hungary_2013_HU_NCSS.pdf,2, 1035/2012 ( 21 February
21,Hungary_2013_HU_NCSS.pdf,2," ) and based thereupon, the Strategy elaborates the government efforts and responsibility laid down in Section 31 thereof"
22,Hungary_2013_HU_NCSS.pdf,2," Its roots date back to the Budapest Convention, adopted in 2001 ( Convention on Cybercrime, ), an international agreement defining internationally recognised principles used as a reference"
23,Hungary_2013_HU_NCSS.pdf,2," At the same time, the Strategy is in conformity with the recommendations of the European Parliament for the Member States included in Decision No"
