,Document,Page,Sentence
0,Iceland_2015_NationalCyberSecuritySummary.pdf,1,"Icelandic National Cyber Security, "
1,Iceland_2015_NationalCyberSecuritySummary.pdf,1,"Strategy 20152026 Plan of action: 20152018 Summary in English, "
2,Iceland_2015_NationalCyberSecuritySummary.pdf,1,"Of the Icelandic National Cyber Security Strategy, approved by the Minister of the Interior, "
3,Iceland_2015_NationalCyberSecuritySummary.pdf,1,Ministry of the Interior 
4,Iceland_2015_NationalCyberSecuritySummary.pdf,2,"Future vision and strategy regarding cyber security, 3 Future Vision, 2026 3 Main strategy aims 3 Introduction, 4 Strategy and action in Iceland Taking the initiative on security, 5 Review of the strategy and action plan"
5,Iceland_2015_NationalCyberSecuritySummary.pdf,3,"Future vision and strategy regarding cyber security: This is a summary of Icelands Future Vision, 2026 on National Cyber Security and Main Strategy Aims"
6,Iceland_2015_NationalCyberSecuritySummary.pdf,3," The Introduction describes the work of the task force, which prepared the strategy and action plan subsequently presenting a survey of various cyber security threats and stressing the importance of tackling them"
7,Iceland_2015_NationalCyberSecuritySummary.pdf,3, This is followed by a discussion of how well Iceland is prepared to deal with these threats and what can be done to take the initiative and use cyber security as a means of promoting progress and welfare
8,Iceland_2015_NationalCyberSecuritySummary.pdf,3,"Iceland should have an Internet culture that is sound, promotes human rights, protects the individual and respects freedom of action to support economic prosperity and development"
9,Iceland_2015_NationalCyberSecuritySummary.pdf,3," Security in cyber space should be one of the main cornerstones of economic prosperity in Iceland, resting on a foundation of sophisticated awareness of security issues and adequate legislation"
10,Iceland_2015_NationalCyberSecuritySummary.pdf,3," At the same time, Iceland must be prepared to tackle cybercrime, respond to cyber-threats and take measures to prevent espionage and the abuse of personal and commercial data"
11,Iceland_2015_NationalCyberSecuritySummary.pdf,3,", The public enterprises and government should have the knowledge skills "
12,Iceland_2015_NationalCyberSecuritySummary.pdf,3,"And equipment needed to cope with cyber security, threats"
13,Iceland_2015_NationalCyberSecuritySummary.pdf,3," Key factors in enhanced resilience are greater capacity in the fields of assessment, preparedness and response"
14,Iceland_2015_NationalCyberSecuritySummary.pdf,3, The aim is to raise the resilience of Icelands information systems and their preparedness to a level comparable with that of the other Nordic countries
15,Iceland_2015_NationalCyberSecuritySummary.pdf,3," This should be done through, amongst other things, improving capacity in threat assessment, enhanced cooperation and making security concerns an integral part of the maintenance of cyber systems"
