,Document,Page,Sentence
0,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,2,"Context, People, Economy and State Guiding Principles; "
1,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,2,National Cyber Security Strategy Securing our Digital Future 
2,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,3,"The National Cyber Security Strategy, ( 2015-2017 ), sets out how Ireland will engage with a dynamic and challenging aspect of developments in digital technology, setting out the Government's approach to facilitating the resilient, safe and secure operation of computer networks and associated infrastructure used by Irish citizens and Businesses, The development and proliferation of Information and Communications Technology ( ICTs ), has resulted in dramatic improvements in quality of life, the delivery of new and innovative services and sweeping changes in the way in which businesses operate"
3,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,3," However, the growing use of these technologies has resulted in society becoming to a degree dependent on the ongoing operation and resilience of these systems"
4,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,3, A range of threats have emerged to the safe and secure operation of ICT networks emanating from a diverse set of sources
5,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,3," These threats can be loosely categorised as hacking, cyber- crime, hacktivism and cyber espionage"
6,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,3," Equally reliance on these networks and systems has led to risks engendered by human error, software and equipment failures and even extreme weather events"
7,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,3," This document engages with these various threats and hazards, sets out the high level strategic goals that form the basis of national policy in this area and establishes the measures that will be taken in respect of each "
8,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,3,"In particular, the Strategy includes the establishment of the National Cyber Security Centre within the Department of Communications, Energy and Natural Resources and details how that body will engage with its three primary areas of responsibility, government networks, personal and business systems and the protection of critical national infrastructure"
9,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,3," This will build on the existing Computer Security Incident Response Team, (, CSIRT-IE ) established in late 2011 "
10,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,3,National Cyber Security Strategy Securing our Digital Future 
11,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,4,"The National Cyber Security Strategy, ( 2015-2017 ), sets out how Ireland will engage with a dynamic and challenging aspect of developments in digital technology"
12,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,4,", The use of internet technologies and ICT"
13,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,4," More generally, to enable government, business and individuals to deliver participate and inform themselves has been transformative"
14,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,4, But has also opened up vectors for new types of attack
15,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,4," The fact that the digital domain encompasses all information infrastructures accessible via the Internet, ( or otherwise, ) and transcends territorial boundaries makes this arena far more complex and potentially dangerous than would otherwise be the case"
16,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,4,"In 2013, the World Economic Forum identified cyber-related threats as one of the highest of all global risks, from both the perspective of impact and likelihood1, a finding mirrored in the 2014 National Risk"
17,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,4, The State critical at a national 
18,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,4,"Infrastructure, businesses and citizens depend upon the reliable functioning of information and communication technologies and of the Internet"
19,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,4," Disruption to these systems, regardless of the source poses a direct threat to the functioning of the State and the economy and can have profound effects on the daily life of Millions of citizens, The Internet, is already critical to the economic and social well-being of the State"
20,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,4," Moreover, it possesses enormous potential to make an even greater contribution to economic and social development"
21,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,4, Any threat to its resilience and security therefore requires a robust and coherent response both nationally and at an EU and international 
22,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,4,"This Strategy presents a cross-government framework for ensuring cyberspace, remains safe, secure and reliable, with an emphasis on task-sharing and building trust relationships between the State, public and private partners, academia and civil society"
23,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,4,National Cyber Security Strategy Securing our Digital Future 
24,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,5,"As events and technology continue to evolve, flexibility will be necessary and will be reflected in an adaptive and flexible implementation of the Strategy"
25,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,5, National Cyber Security Strategy Securing our Digital Future 
