,Document,Page,Sentence
0,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,3,"Presidency of the Council of Ministers, NATIONAL STRATEGIC FRAMEWORK FOR CYBERSPACE, SECURITY"
1,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,3," E Presidency of the Council of Ministers, NATIONAL STRATEGIC FRAMEWORK FOR CYBERSPACE SECURITY"
2,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,5,Foreword 5 Executive Summary 
3,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,5,"Chapter1 vThe Nature and the Evolving Trends ofthe CyberThreat and ofthe Vulnerabilities, ofthe National ICF Infrastructures, Chapter 2 Tools and Procedures to Strengthen National Cyber Defence Capability; 19 Annex1 Public Stakeholders Roles and Mandates; 27"
4,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,7," Annex 2 Glossary ofcybersecurity, 40"
5,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,7, The advent of the Internet marks our time
6,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,7," Cyberspace has increasingly become the domain through which the citizensfandamental liberties of information, expression and association are fullled"
7,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,7, The transparency of public policies is pursued and the efciency of public administrations is stimulated
8,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,7, Growth and innovation are attained
9,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,7, In this global virtual arena
10,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,7, ) billions ofconnections are set everyday across geographical borders
11,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,7, ) knowledge is shared ) and the world
12,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,7, As we know it is redesigned at an unprecedented speed
13,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,7, The securig/ and the prosperity of any Country increasingly ) depend on the protection of the
14,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,7," I CT networks that hast this evergrowing wealth, ofknowledge and connections, and it is therefore more and more compelling to ensure in cyberspace the respect of the rights and duties already preserved in the civil society ) in the economicfahric of the society ) and in the International Community"
15,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,7," The digital arena is not a space outside of the lam, and it is our duty to guarantee that also in this domain, the democratic principles anal values in which we believe are uphold and the norms preserving individual libertieg equality andeeaom are sagaarded"
16,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,7," Likewise, it is only in an environment, 0ftmst and mutual respect that it will be possible to fully reap the opportunities of growth orered by digital platforms and to secure the development of an open, safe and reliable cyberspacefor"
17,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,7," The hene t of our nancial system, our companies and our consumers, The everincreasing reliance ofmodern societies on cyberspace, implies that the harm occurring in case of a disruption of the ICT inastmctnre or in the event ofattacles carried out throughout the ICT networks"
18,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,7, Could he dreadful at the least
19,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,7," Threats can stem om any point of the world wide web and they often hit the weakest links ) such as the most vulnerable individuals and the least protected computer systems, and ICT networks"
