,Document,Page,Sentence
0,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,1,"National CYBER SECURITY STRATEGY, "
1,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,2,"Establishment of a robust Governance framework to support the cyber security landscape, | 23, Maintenance of an effective legal framework and enforcement capabilities to investigate and prosecute cybercrimes | 23 Legal protection in cyberspace, | 24 Public education and awareness, |, 24 Jamaicans are knowledgeable and aware of the Cyber risks, as well as the actions to be taken regarding cyber security, | 24 Measures are implemented to protect vulnerable groups in cyberspace, | 24"
2,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,2,"Jamaica has a culture of cyber security, | 24 IMPLEMENTATION AND REVIEW | 26 "
3,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,2,Glossary OF TERMS | 30 
4,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,2,List OF ACRONYMS | 04 
5,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,2,"Executive SUMMARY |, 05 "
6,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,2,"Introduction | 07 National development and the role of ICT | 09, The Threat of Cybercrime and its impact on National Security"
7,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,2," Cyber Incidents in Jamaica, | 11 Facing the challenge: | 11"
8,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,2,"Existing Cyber Security related efforts, | 13 Links with other Policies and Programmes, | 14 GUIDING PRINCIPLES, | 16 "
9,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,2,"Strategy OBJECTIVES: | 19 Technical measures, | 20 Critical infrastructure systems are resilient in the face of current and future cyber threats"
10,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,2, | 20 National capability for ensuring timely and effective response to cyber incidents is established and maintained
11,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,2," A risk based approach is applied in establishing IT and information security standards, policies and guidelines for ICT infrastructure and cyber security, governance, | 21 Leveraging regional and international partnerships, | 22 Human resource and capacity building, | 22, An available pool of skilled and knowledgeable professionals in the Field of Information Security is maintained"
12,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,2, Jamaica has an active and dynamic culture of research and development
13,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,2," | 22 Legal and regulatory |, 23"
14,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,2,Jamaica is a safe place to do business
15,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,3,The Jamaican National Cyber Security Strategy was developed with the technical support of the Cyber Security Program of the Organization of American States
16,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,3," This eff ort was made possible thanks to the fi nancial contributions of the Governments of Canada, the United Kingdom and the United States of America"
17,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,4," Several other organizations provided their input and guidance into this project, including, among others, the Commonwealth Cybercrime Initiative, the Commonwealth Telecommunication Organization and the Global Cyber Security Capacity Centre of University of Oxford "
18,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,4,"Bring Your Own Device ( BYOD ), "
19,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,4,"Business Process Outsourcing ( BPO, ) "
20,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,4,"Communication Forensics and Cybercrime Unit ( CFCU ) Cyber Incident Response Team, (, CIRT, ), "
21,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,4,"Government of Jamaica, (, GOJ ) "
