,Document,Page,Sentence
0,Japan_2015_cs-strategy-en.pdf,1,"Provisional Translation, as of September 4, 2015 CYBERSECURITY STRATEGY"
1,Japan_2015_cs-strategy-en.pdf,1,The GOVERNMENT OF JAPAN 
2,Japan_2015_cs-strategy-en.pdf,3,"Introduction Understanding on Cyberspace, "
3,Japan_2015_cs-strategy-en.pdf,3,"Policy Measures towards Achieving the Objective, Visions and Objective Basic Principles; Benefits of Cyberspace, Increasing Threats in Cyberspace, Assurance of the Free Flow of Information, The Rule of Law, Openness, Self-governance, Collaboration among Multi-stakeholders, Improvement of Socio-Economic Vitality and Sustainable Development; "
4,Japan_2015_cs-strategy-en.pdf,3,1 Creation of Secured IoT Systems; 
5,Japan_2015_cs-strategy-en.pdf,3,"2 Promotion Of Enterprise Management, with a Security Mindset, "
6,Japan_2015_cs-strategy-en.pdf,3,"3 Improvement of Cybersecurity Business Environment, Building a Safe and Secure Society for the People, "
7,Japan_2015_cs-strategy-en.pdf,3,1; Measures for the Protection of the People and Society; 
8,Japan_2015_cs-strategy-en.pdf,3,"2; Measures for Critical Information, Infrastructure Protection, "
9,Japan_2015_cs-strategy-en.pdf,3,"3 Measures for the Protection of Governmental Bodies, Peace and Stability of the International Community and Japans National Security, "
10,Japan_2015_cs-strategy-en.pdf,3,"1, Ensuring Japans National Security"
11,Japan_2015_cs-strategy-en.pdf,3,"2, Building Peace and Stability of the International Community, "
12,Japan_2015_cs-strategy-en.pdf,3,"3 Cooperation and Collaboration with Countries around the World, Cross-Cutting Approaches to Cybersecurity "
13,Japan_2015_cs-strategy-en.pdf,3,"1 Advancement of R & D, "
14,Japan_2015_cs-strategy-en.pdf,3,"2 Development and Assurance of Cybersecurity, Workforce Promotion And Implementation of Cybersecurity Strategy Plan Process and Review "
15,Japan_2015_cs-strategy-en.pdf,4,"From the late 20th Century to the early 21st Century, the world experienced irreversible and revolutionary transformations"
16,Japan_2015_cs-strategy-en.pdf,4,", As Gutenbergs invention of letterpress printing induced the explosion of knowledge"
17,Japan_2015_cs-strategy-en.pdf,4, The invention and spread of computers and the Internet have enabled people to discuss and share thoughts throughout the world without geographic and time constraints
18,Japan_2015_cs-strategy-en.pdf,4,", Composed of countless computers, sensors and actuators that have been networked by information and communications technologies"
19,Japan_2015_cs-strategy-en.pdf,4, Cyberspace has greatly expanded the activities of people in physical space
20,Japan_2015_cs-strategy-en.pdf,4," The free and interactive exchanges of ideas and opinions in cyberspace, based on digital messages and information sent from every part of the world constitute the foundation of a global democratic society"
21,Japan_2015_cs-strategy-en.pdf,4, Technological innovations has become a frontier of economic growth
22,Japan_2015_cs-strategy-en.pdf,4,", Additionally, the digital space sparking a cascade of new business models and In this new sphere of cyberspace, however, malicious activities are prevailing"
23,Japan_2015_cs-strategy-en.pdf,4,", Stealing personal business and organizational information and assets has been increasingly persistent"
24,Japan_2015_cs-strategy-en.pdf,4," There are also growing threats against national safety and security, governmental bodies and business operators, which provide mission- critical information infrastructure necessary for the peoples daily lives and economic activities have been exposed to cyber attacks"
25,Japan_2015_cs-strategy-en.pdf,4, That would risk their business operations and continuity
26,Japan_2015_cs-strategy-en.pdf,4," In light of such malicious activities, the greatest challenge is how to best counter these threats and protect intellectual properties that are the fruits of the creativities and inspirations of individuals and businesses, while ensuring and maintaining the free flow of information that is the backbone of democracy"
27,Japan_2015_cs-strategy-en.pdf,4," The safe and secure living environment of the people, economic and social prosperity and peace"
28,Japan_2015_cs-strategy-en.pdf,4," Under these circumstances, Japan enacted the Basic Act on Cybersecurity in November 2014"
29,Japan_2015_cs-strategy-en.pdf,4," This Act prescribes the concept of cybersecurity and defines the roles and responsibilities of the Government, local governments and other relevant stakeholders"
30,Japan_2015_cs-strategy-en.pdf,4, It also designates the Cybersecurity Strategic Headquarters as the command and control body of national cybersecurity and gives strong authorities such as making recommendations to national administrative organs to the Cybersecurity Strategic Headquarters
31,Japan_2015_cs-strategy-en.pdf,4, This mission document is to be formulated pursuant to the Basic Act that prescribes the Governments
32,Japan_2015_cs-strategy-en.pdf,4, Responsibility to establish the Cybersecurity Strategy
33,Japan_2015_cs-strategy-en.pdf,4,", Looking towards the Games of the XXXII Olympiad and the Tokyo 2020 Paralympic Games, ( hereinafter, Tokyo, 2020 Olympic and Paralympic Games ) and the prospects further ahead for the early 2020s"
34,Japan_2015_cs-strategy-en.pdf,4, This strategy outlines the basic 
35,Japan_2015_cs-strategy-en.pdf,5, directions of Japans cybersecurity policy for the coming three years: approximately
