,Document,Page,Sentence
0,Jordan_2012_NIACSS.pdf,1,Ministry of Information and Communications Technology 
1,Jordan_2012_NIACSS.pdf,1,National Information Assurance and Cyber 
2,Jordan_2012_NIACSS.pdf,2,"National Information Assurance and Cyber Security Strategy, ( NIACSS ) 2012 Acknowledgement "
3,Jordan_2012_NIACSS.pdf,2,This document would not have been possible without the support of many people Document Review
4,Jordan_2012_NIACSS.pdf,2,"Initiated by Minister of ICT, "
5,Jordan_2012_NIACSS.pdf,2,"Cnip program NITC (, Dr"
6,Jordan_2012_NIACSS.pdf,2,Is added by SPI Adv 
7,Jordan_2012_NIACSS.pdf,2,"Review by Minister of ICT, "
8,Jordan_2012_NIACSS.pdf,2,"Review by Timothy Bloechl on V2 Review by GM & SPI, Adv"
9,Jordan_2012_NIACSS.pdf,2," NITC Review by PS, Dir"
10,Jordan_2012_NIACSS.pdf,2," MoICT Review by PS, Dir"
11,Jordan_2012_NIACSS.pdf,2, and GM NITC Final Draft October 16th
12,Jordan_2012_NIACSS.pdf,2,"Review by Minister of ICT, "
13,Jordan_2012_NIACSS.pdf,2,"Please direct inquiries about this strategy if any to the following point of contact Organization: National Information Technology Center, (, NITC, ), Name, Dr"
14,Jordan_2012_NIACSS.pdf,2," Ahmed Otoom, Title DGs Advisor for the Implementation of E-Gov"
15,Jordan_2012_NIACSS.pdf,2," Information Strategies and Policies, Email, ahmad"
16,Jordan_2012_NIACSS.pdf,2,"jo, Telephone (, +962, 65300269, ), Fax, (, +962, 65300277"
17,Jordan_2012_NIACSS.pdf,2,Page 2 of 20 
18,Jordan_2012_NIACSS.pdf,3,"National Information Assurance and Cyber Security Strategy, ( NIACSS ) 2012 Table of Contents - 1 "
19,Jordan_2012_NIACSS.pdf,3,"National Information Security priorities, "
20,Jordan_2012_NIACSS.pdf,3,"National Computer Emergency Response Team, (, JOCERT, ) "
21,Jordan_2012_NIACSS.pdf,3,"Security Awareness and Capacity Building Program Develop National Information, Security Standards and Policies"
22,Jordan_2012_NIACSS.pdf,3,Legal and Regulatory Regime 
23,Jordan_2012_NIACSS.pdf,3,National Encryption System - 
24,Jordan_2012_NIACSS.pdf,3,"International Information Security Cooperation Program, "
25,Jordan_2012_NIACSS.pdf,3,Securing National Information Systems and Networks 
26,Jordan_2012_NIACSS.pdf,3,Network and Communication Security 
27,Jordan_2012_NIACSS.pdf,3,"Electro-Magnetic Emissions ( Radiations, ) Security, "
28,Jordan_2012_NIACSS.pdf,3,"Critical National Infrastructure Protection, ( CNIP ) Program, "
29,Jordan_2012_NIACSS.pdf,3,Page 3 of 20 
30,Jordan_2012_NIACSS.pdf,4,"National Information Assurance and Cyber Security Strategy, ( NIACSS, ), 2012 E X E C"
31,Jordan_2012_NIACSS.pdf,4," U T I V E S? U M M A R Y, Jordanian Government organizations and private sector have different approaches to ensure the security of their information systems and critical information infrastructures"
32,Jordan_2012_NIACSS.pdf,4," However, these approaches are generally basic, not systematic subjective, have no clear definition or boundaries are not thorough, do not meet international standards and do not deal effectively with threats emerging from cyberspace"
33,Jordan_2012_NIACSS.pdf,4," Moreover, cyber security efforts across Jordanian Government organizations and private sector are not consolidated and risks are not addressed at the national level"
34,Jordan_2012_NIACSS.pdf,4," The revolution in information and communication technologies, powerful personal computers, high-bandwidth and wireless networking technologies, widespread use of the internet and the high volume of information exchanged over the internet and local networks make it very difficult within currently adopted, approaches to obtain and maintain the desired level of Information security"
35,Jordan_2012_NIACSS.pdf,4," The weaknesses in current approaches, coupled with rapid advancements in technology, place national networks at higher risks"
36,Jordan_2012_NIACSS.pdf,4, The nation needs secure and reliable national information infrastructures which are resilient to malicious attack or arbitrary disruption to maintain a high level of trust in these systems across government
37,Jordan_2012_NIACSS.pdf,4," With the private sector and within the citizenry Government of Jordan recognizes the challenges posed by malevolent actors, access to cyberspace"
38,Jordan_2012_NIACSS.pdf,4, Reports of cyber-attacks and their impact are a routine daily occurrence around the world
39,Jordan_2012_NIACSS.pdf,4," Furthermore, while we know what is known from these reports, the high probability of unreported or unknown attacks or intrusions causes even greater concern"
40,Jordan_2012_NIACSS.pdf,4, These challenges require coordinated and focused efforts from all government organizations and strong partnerships between the public and private sectors and with our citizens
41,Jordan_2012_NIACSS.pdf,4, These challenges requires all information assurance and security plans and activities adhere to a nationwide strategy to guarantee consistency and successful implementation of a coordinated and effective cyber defense
