,Document,Page,Sentence
0,LUXEMBOURG_NCSS.pdf,1,"National CYBERSECURITY STRATEGY II, "
1,LUXEMBOURG_NCSS.pdf,2,"National CYBERSECURITY STRATEGY II, "
2,LUXEMBOURG_NCSS.pdf,3,Approved and made enforceable by the Government Council on 27 
3,LUXEMBOURG_NCSS.pdf,3,FOREWORD OF THE PRIME MINISTER MINISTER OF STATE
4,LUXEMBOURG_NCSS.pdf,3, You have in your hands the second version of the national cybersecurity strategy approved by the Government on 27th March 2015
5,LUXEMBOURG_NCSS.pdf,3," The task force in charge of revising the first version of 2012 operated under the authority of the High Commissioner for National Protection and was composed of representatives of the States, Information Technology Centre, the government CERT the Department of Media and Communications"
6,LUXEMBOURG_NCSS.pdf,3," The Ministry of the Government Communications Centre, the Intelligence Service, the Grand Ducal Police Force and the Army"
7,LUXEMBOURG_NCSS.pdf,3," First of all, the task force assessed the impact of the strat- egy, which was adopted in 2012 and then made the amendments that were required in light of the conclusions Of this assessment"
8,LUXEMBOURG_NCSS.pdf,3,", The introduction of seven objectives, complemented by action plans resulting in specific timelines and the identification of actors responsible for the implementation of approximately forty different actions, should ensure adequate implementation of this new national cybersecurity strategy by the end of 2017, the Economy, "
9,LUXEMBOURG_NCSS.pdf,3,The adaptation of this strategic document is in line with the focus areas that were defined in 2012 and reflects Luxembourgs willingness and even determination to provide the country with electronic communication infrastructures that meet international security standards
10,LUXEMBOURG_NCSS.pdf,3, It is a prerequisite for the development of a digital society
11,LUXEMBOURG_NCSS.pdf,3," In the same spirit of the Digital Ltzebuerg initiative as having a safe technological environment will build up the trust of citizens and companies in these technologies, and this will in turn ensure that our countrys objectives of economic growth are met"
12,LUXEMBOURG_NCSS.pdf,4,Foreword of the Prime Minister Minister of State 
13,LUXEMBOURG_NCSS.pdf,4,9 Situational Analysis of the Cybersecurity Strategy
14,LUXEMBOURG_NCSS.pdf,4, I 11 Axis 1 Ensuring the Operational Protection of Communication and Information Processing Infrastructures and Information Systems; 
15,LUXEMBOURG_NCSS.pdf,4,"11 Preventive, Operational Strand, "
16,LUXEMBOURG_NCSS.pdf,4,"11 Defensive Operational Strand Axis 2, Modernising the legal framework, 13 Legal monitoring Axis 3, Developing national and international cooperation Axis 4"
17,LUXEMBOURG_NCSS.pdf,4," Informing educating and raising awareness about the risks involved, Objectives of educating, informing and raising the awareness of end users, "
18,LUXEMBOURG_NCSS.pdf,4,"16 Objectives of educating, informing and raising the awareness of service providers Axis 5 Developing and implementing norms and binding standards"
19,LUXEMBOURG_NCSS.pdf,4," I, in the Image of Other National Strategies - "
20,LUXEMBOURG_NCSS.pdf,4,"20 ENISA, National Cyber Security Strategies, Checklist "
21,LUXEMBOURG_NCSS.pdf,4, The Dutch Strategy 
22,LUXEMBOURG_NCSS.pdf,4,"20 Findings of the Comparison Cybersecurity Strategy II, 23 Definition of Cybersecurity Objectives of the Cybersecurity Strategy II"
23,LUXEMBOURG_NCSS.pdf,4," Objective 1 Strengthen National Cooperation, "
24,LUXEMBOURG_NCSS.pdf,4,"23 Action Plan, Objective 1, Objective 2, Strengthen International Cooperation, "
25,LUXEMBOURG_NCSS.pdf,4,"26 Action Plan, Objective 2, Objective 3, Increase the resilience of the digital infrastructure; "
26,LUXEMBOURG_NCSS.pdf,4,"28 Action Plan, Objective 3, Objective 4 Fight, cybercriminality "
27,LUXEMBOURG_NCSS.pdf,4,"31 Action Plan, Objective 4, Objective 5, Inform train and raise Awareness of the risks involved, "
28,LUXEMBOURG_NCSS.pdf,4,"33 Action Plan, Objective 5, Objective 6, Implement norms, standards, certificates, labels and frames of reference for requirements for the government and critical infrastructures"
29,LUXEMBOURG_NCSS.pdf,4,"36 Action Plan, Objective 6, Objective 7, Strengthen cooperation with the academic and research sphere; "
30,LUXEMBOURG_NCSS.pdf,4,"37 Action Plan, Objective: 7 Implementation, 38, Glossary, "
31,LUXEMBOURG_NCSS.pdf,5,Introduction The 2013 government programme emphasises the importance of cybersecuri- ty for the well-being of society
32,LUXEMBOURG_NCSS.pdf,5,", Aware of the risks associated with information and communication technologies, ( ICTs ), the Cyber Security Board, ( CSB ) devel- oped, a national strategy on cybersecurity in 2012"
33,LUXEMBOURG_NCSS.pdf,5, On 11th March 2014
34,LUXEMBOURG_NCSS.pdf,5," The Cyber Security Board established a task force composed of representatives of the States, Information Technology Centre, the government CERT the Department of Media and Communications, the Ministry of Economy, the Government, Communications Centre, the Intelligence Service, the Grand Ducal Police Force and the Army operating under the authority Of the HCPN to develop a new version of the said strategy, Cybersecurity has become a critical asset for the attractiveness of our econ- omy"
35,LUXEMBOURG_NCSS.pdf,5," For this reason, the government is determined to review its strategy on a recurring basis, update its governance tools and ensure to remain sovereign"
36,LUXEMBOURG_NCSS.pdf,5," With respect to certain critical services related to security, The government understands that information security is a societal challenge that needs to be addressed jointly by engaging in appropriate behaviours and implementing effective and efficient organisational and technical measures while complying with principles of proportionality and necessity"
37,LUXEMBOURG_NCSS.pdf,5," The government promotes national and international cooperation and is determined to democratise information security by identifying potential synergies, while reducing the costs and complexity of procedures for all stake- holders"
38,LUXEMBOURG_NCSS.pdf,5, At quatest I pulled up Quodii WHAT QUATECAT
39,LUXEMBOURG_NCSS.pdf,6,10 SITUATIONAL ANALYSIS OF THE CYBERSECURITY STRATEGY
40,LUXEMBOURG_NCSS.pdf,6,"Situational ANALYSIS OF THE CYBERSECURITY STRATEGY, I The cybersecurity strategy"
41,LUXEMBOURG_NCSS.pdf,6, I provides for a regular review of its procedures
42,LUXEMBOURG_NCSS.pdf,6, This chapter is dedicated to this task SITUATIONAL ANALYSIS OF THE CYBERSECURITY STRATEGY
43,LUXEMBOURG_NCSS.pdf,6, I The cybersecurity strategy
44,LUXEMBOURG_NCSS.pdf,6, I provides for a regular review of its procedures
45,LUXEMBOURG_NCSS.pdf,6," This chapter is dedicated to this task: Axis 1, Ensuring the Operational Protection of Communication and Information, Processing Infrastructures and Information Systems"
46,LUXEMBOURG_NCSS.pdf,6, Luxembourg has many initiatives under way in the field of prevention
47,LUXEMBOURG_NCSS.pdf,6," These initiatives are coordinated by the Cyber Security Board, ( CSB ) and most of them are executed by public actors"
48,LUXEMBOURG_NCSS.pdf,6," In the preventive field, priority was given to organisational security measures"
49,LUXEMBOURG_NCSS.pdf,6, The government has identified risk analysis as a priority
50,LUXEMBOURG_NCSS.pdf,6," Indeed, it is only after such an analysis that an entity may identify the organisational and technical measures required"
51,LUXEMBOURG_NCSS.pdf,6, This analysis ensures that the measures put in place comply with the principle of proportionality and necessity
52,LUXEMBOURG_NCSS.pdf,6," As a result, CASES developed an optimised approach to risk analysis based on a common taxonomy, taking advantage of the sectoral knowledge bases and offering great synergistic potential"
53,LUXEMBOURG_NCSS.pdf,6," The MONARC optimised risk analysis methodology, The CTIE, GOVCERT and CIRCL conducted internal risk analyses An inventory of databases dealing with personal data under the responsibil- ity of the State has been compiled by the CSBs Database working group"
54,LUXEMBOURG_NCSS.pdf,6, The CSB instructed a Mobile devices working group to prepare a proposal to equip members of the government with secure mobile communication devices
55,LUXEMBOURG_NCSS.pdf,6, The findings were presented to the CSB With regards to risk treatment
56,LUXEMBOURG_NCSS.pdf,6, Cases has developed several good practice guides that are made available to all the entities concerned
57,LUXEMBOURG_NCSS.pdf,6," As for the identification of threats, tools for exchanging information on indicators of compromise have been developed and made available to all parties concerned"
58,LUXEMBOURG_NCSS.pdf,7,"Situational ANALYSIS OF THE CYBERSECURITY STRATEGY, I SITUATIONAL ANALYSIS OF THE CYBERSECURITY STRATEGY"
59,LUXEMBOURG_NCSS.pdf,7,"Several national actors - ( CSSF, ILR, NCDP, ILNAS and HCPN in the future, ) require, from their constituent a risk analysis according to specific criteria for the sectors and assigned missions"
60,LUXEMBOURG_NCSS.pdf,7,", The government must strive to improve the harmonisation of the approaches, as well as frames of reference for Require- ments in order to reduce the individual effort of regulated entities"
61,LUXEMBOURG_NCSS.pdf,7, Ambition is to turn risk analysis into a governance tool which complies with the principles of proportionality and necessity
62,LUXEMBOURG_NCSS.pdf,7," Defensive Operational Strand, "
63,LUXEMBOURG_NCSS.pdf,7,"Cyber plan On 19th March 2014, the government adapted the emergency inter- vention plan in the event of an attack against information systems or of a tech- nical fault of information systems, ( PIU Cyber )"
64,LUXEMBOURG_NCSS.pdf,7, This plan is regularly tweaked during European cyber exercises in which Luxembourg participates
65,LUXEMBOURG_NCSS.pdf,7, PIU Cyber developed under the authority of HCPN sets out government action in the event of significant issues with information systems of the public or private sector
66,LUXEMBOURG_NCSS.pdf,7," That may cause a major malfunction or the unavaila- bility of these systems, which would threaten the vital interests or the basic needs of the country or the Grand Duchys population in full or in part"
67,LUXEMBOURG_NCSS.pdf,7, It should be noted that routine incidents are managed by operational CERTs
68,LUXEMBOURG_NCSS.pdf,7," The plan first determines the crisis management bodies such as the crisis unit, the operational unit, the cyber risk assessment unit and the communi- cation/information unit"
69,LUXEMBOURG_NCSS.pdf,7," It then lays down the process to alert the author- ities and release information to the public emergency measures related actions, as well as the respective officials and actors"
70,LUXEMBOURG_NCSS.pdf,7," During the implemen- tation of the various measures of prevention and protection, ministries, administrations and services of the State can Be assisted by the government, CERT ( primarily focused on the public sector and critical infrastructures ) and, if necessary, by the CIRCL (, primarily focused on the private sector ), In addition to the CIRCL, which consists of a CERT dedicated to the private sector and communes, several Private and public sector CERTs were created, GOVCERT"
71,LUXEMBOURG_NCSS.pdf,7,"LU for government and critical infrastructures, RESTENA-CSIRT in charge of the education and research sector, as well as HealthNet-CSIRT, covering the health sector"
72,LUXEMBOURG_NCSS.pdf,7, It is up to these CERTs to support their respective constituent 1 http //circl
73,LUXEMBOURG_NCSS.pdf,7,lu/ projects/ # bgp-ranking 2 http //circl
74,LUXEMBOURG_NCSS.pdf,7,"Similarly, to increase the attractiveness of the economy, Luxembourg CERTs offer specialised services in the field of information security Tools to create health indicators of Luxembourg networks"
75,LUXEMBOURG_NCSS.pdf,7," These include BGP-Ranking1 and passive DNS2 projects which allow incident manage- ment to be more prompt and efficient Tools for the exchange of compromise indicators, specific to threats, con- sidered dangerous, including the MISP platform and the DMA dynamic analysis3 tool"
76,LUXEMBOURG_NCSS.pdf,7, These indicators allow all relevant entities to detect any incidents in their networks Tools to provide individual information to interested parties
77,LUXEMBOURG_NCSS.pdf,7,Vulnerabilities of products they use 
78,LUXEMBOURG_NCSS.pdf,7,"Axis 2: Modernising the legal framework, Legal monitoring, The legal framework has several levels, namely at national level:"
79,LUXEMBOURG_NCSS.pdf,7,"Regular meetings take place between the Prosecution service, the GOVCERT, the Grand Ducal Police, the CSIRT RESTENA, the CIRCL, the Ministry of the Economy, the SRE and the NCDP in order to discuss the evolution of threats and possible solutions"
