,Document,Page,Sentence
0,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,1,"Government OF THE REPUBLIC OF LITHUANIA, "
1,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,1,Of 29 June 2011 
2,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,1,"On THE APPROVAL OF THE PROGRAMME FOR THE DEVELOPMENT OF ELECTRONIC INFORMATION SECURITY, ( CYBER-SECURITY ) FOR 20112019 "
3,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,1,"For the purpose of implementing Measure No 65 of table 3 of the Implementation Measures of the Programme of the Government of the Republic of Lithuania for 20082012 approved by Resolution, No 189 of the Government of the Republic of Lithuania of 25 February 2009, ( Valstybs, inios ( Official Gazette ) No 33-1268 2009"
4,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,1," The Government of the Republic of Lithuania has been l v e d To approve the Programme for the Development of Electronic Information Security, ( Cyber-Security ) for 20112019 ( as appended ) "
5,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,1,"To propose that the State Security Department of the Republic of Lithuania and the Communications Regulatory Authority of the Republic of Lithuania participate in the implementation of the Programme for the Development of Electronic Information Security, ( Cyber-Security ) for 20112019 "
6,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,1,"Prime Minister, Minister of Justice, acting as Minister of the Interior Andrius Kubilius "
7,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,2,"Approved by Resolution No 796 of the Government of the Republic of Lithuania Of 29 June 2011, THE PROGRAMME FOR THE DEVELOPMENT OF ELECTRONIC INFORMATION SECURITY, ( CYBER-SECURITY ) FOR 20112019 "
8,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,2,"The Programme for the Development of Electronic Information Security, ( Cyber- Security ) for 20112019, has been developed, considering the increasing significance of electronic "
9,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,2,Transmitted by means of 
10,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,2,"Communication technologies, and also considering the fact that the newly emerged possibilities of electronic information processing fostered the development of national and global information societies and facilitated further modernization of national economies, as well as led to more efficient public administration"
11,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,2," While at the same time, with more and more information being converted into electronic format and various public administration and economic processes being automated, the global cyberspace and the public services delivered online have become an attractive target for individuals, criminal groups, political forces and other subjects"
12,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,2,"The purpose of the Programme is to determine the objectives and tasks for the development of electronic information in order to ensure the confidentiality, integrity and accessibility of electronic information and services provided in cyberspace"
13,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,2," Safeguarding of electronic communication networks, "
14,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,2,Information systems and critical 
15,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,2,"Infrastructure against incidents and cyber attacks, protection of personal data and privacy, as well as to set the tasks, implementation of which would allow total security of cyberspace and entities operating in this medium"
16,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,2,"The strategic objective of the Programme is the development of the security of electronic information in Lithuania, ensuring cyber security in order to achieve in the year 2019, a 98 per cent level of compliance of state-owned information resources with legislative requirements on electronic information security, ( cyber security ) reduction to 0"
17,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,2,"5 hour of the average time of response to critical information, infrastructure incidents and a 60 per cent level of the Lithuanian residents who feel secure in cyberspace"
18,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,2, The terms used in the Programme shall have the following meaning Information
19,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,2," Resources shall mean an aggregate of information which is managed by members of the information society and processed by means of information technology, as well as the information technology means used to process"
20,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,2," The said information Incident shall mean an event act or omission which gives rise or may give rise to an unauthorized access to an information system or electronic communications network disruption or change of the operation (, including takeover of control"
21,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3," ) of an information system, "
22,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3,"Or electronic communications network, destruction, damage deletion or the change of electronic information removal or limiting of the possibility to use electronic information and also which gives rise or may give rise to the appropriation publication dissemination or any other use of non-public electronic information by persons unauthorized"
23,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3," To do so, Critical information infrastructure shall mean an electronic communications network information system or a group of information systems where an incident that occurs causes or may cause grave damage to national security, national economy or social well-"
24,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3,"The Programme complies with the action steps presented in the Communication of the European Commission of 30 March 2009, Protecting Europe from large scale, cyber- attacks and disruptions enhancing preparedness, security and resilience COM, (, 2009, ), 149"
25,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3,"Objectives: TASKS, ASSESSMENT CRITERIA AND THEIR INDICATORS; "
26,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3,"For the purpose of Programme implementation, the following objectives shall be established:: "
27,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3,"To ensure the security of state-owned information resources, This objective is being addressed since no system for coordination of the management of electronic information security has yet been created, except in the public sector ( i"
28,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3," in the institutions accountable to the Government of the Republic of Lithuania, )"
29,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3," The Ministry of the Interior has no power to exercise a proper control and coordination for ensuring the security of electronic information ( cyber security, ), the governance and supervision structure at the level of state and public institutions is not hierarchical"
30,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3, The lack of cooperation among Lithuanian public and private sector entities prevents an efficient planning of the development of the sphere of electronic information security ( cyber security )
31,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3," The existing and regularly detected vulnerabilities of information technologies, if not removed on time, give rise to the disruption of the operation of information resources as well as critical information infrastructures"
32,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3," While the efficiency of detection and removal of these vulnerabilities increases through the centralization of said, activities"
33,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3, The compliance with the requirements on electronic information security ( cyber security ) ensures that information resources are managed in accordance with the requirements of international standards and examples of good practice
34,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3," However, Lithuania has no efficient compliance management structure"
35,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3," The information maturity model of an organization allows for a better awareness among information resources, managers of the need for information resources, security and a more efficient management thereof"
36,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3, The dependence of different state and public activity
37,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3," Areas on the use of information, resources and services varies"
38,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3," Therefore, in order to use funds efficiently, it is necessary to consolidate efforts and information resources in the areas where this dependence is stronger"
39,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3, The rate of criminal acts in cyberspace is rapidly increasing and large scale
40,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,3, Incidents in cyberspace can lead to a national crisis
41,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4,"There is no law on electronic information security (, cyber security, ) and the regulation thereof by legal acts of lower force is fragmentary and does not cover all members of the information society"
42,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4," At the same time, there is no legal basis to allow an efficient response to incidents in public electronic communications networks"
43,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4, The providers of electronic communications and Internet access services are not required to report the incidents to the National Electronic Communications Network and 
44,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4,"Investigation Service, CERT-LT, ( hereinafter referred to as CERT-LT )"
45,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4," Consequently, the instructions of the national CERT-LT for services providers regarding the elimination of incidents are not mandatory either"
46,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4," There is no legal basis to regulate the use of identification measures directed at reducing the risk of identity, falsification and theft in cyberspace"
47,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4, Often the services delivered by providers of Internet and other information infrastructure services do not ensure their users security
48,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4, During the period of economic hardship
49,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4, Electronic information security ( cyber security ) received neither sufficient attention nor information resources
50,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4," However, the application of the principle of collective security would allow for a more efficient use of information resources, no backup information resources or backup"
51,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4,The emergency operation of critical 
52,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4,Infrastructures and information resources have yet been developed
53,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4, Reliable identification reduces the risk of major threats related to cyberspace and increases users
54,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4," Confidence in cyberspace, "
55,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4," assurance of electronic information, security, ( cyberspace, ) security ) is the concern of all entities whose activities are related to the provision of services in cyberspace, (, public institutions, private economic entities, academic society and others"
56,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4," ), Electronic information, security, ( cyberspace security, ) projects implemented in cooperation, enable the achievement of protection of all stakeholders interests"
57,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4, Cyberspace is a global space which has no national boundaries
58,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4, Hence the rapid spread of threats across cyberspace
59,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4, The European Union and NATO devote much attention to the security of electronic information and critical information infrastructure
60,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4, It would be appropriate to apply the principle of collective security not only on a national but also on international level
61,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4, Cooperation among highly competent experts
62,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4, Exchange of available information and experience is a prerequisite for an efficient early warning and preventive 
63,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4,"To ensure an efficient functioning of critical information infrastructure, The objective is being pursued since currently the security of critical information infrastructure is ensured only on an institutional level"
64,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4, The coordination structure is not yet in place
65,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4, No analysis of relationship between objects of this infrastructure or the national impact of its failure has been done
66,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4, There is no planning of the continuity of activities
67,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4, Penetration test is the most objective method to evaluate the proper functioning of a security system
68,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,4," However, neither a regulatory framework for its application nor a practice of such testing exist"
69,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,5, Efficient monitoring system facilitates the prevention of incidents 
70,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,5,"To seek to ensure the cyber security of the Lithuanian residents and persons staying in Lithuania, "
71,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,5,"This objective is being pursued, since not all users of electronic information are concerned about electronic information security ( cyber security )"
72,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,5," There is a shortage and it is likely to be felt even more in the future of qualified electronic information, security experts, Basic knowledge and tools of electronic information security ("
73,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,5, Cyber security ) allow the users to avoid many threats facing them in cyberspace To ensure cyberspace security
74,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,5," It is necessary to establish a continuous and properly managed system covering all phases of incident management such as early warning, prevention, detection, elimination and investigation"
75,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,5,", An effective way to fight against malware spreading via remote control, computer networks or other malicious"
76,Lithuania_2011_EIS%28KS%29PP_796_2011-06-29_EN_PATAIS.pdf,5," Cyber activities is to block Internet access to persons, and/or equipment engaged in malicious activates"
