,Document,Page,Sentence
0,Malawi_2013_Malawi_ICT_Policy.pdf,2, TABLE OF CONTENTS 
1,Malawi_2013_Malawi_ICT_Policy.pdf,2,", Error, Bookmark, not defined"
2,Malawi_2013_Malawi_ICT_Policy.pdf,3,", LIST OF ACRONYMS AND ABBREVIATIONS iv; GLOSSARY OF TERMS, INTRODUCTION, BACKGROUND LINKAGES WITH OTHER RELATED POLICIES, Problem DEFINITION, PURPOSE OF THE POLICY, BROAD POLICY DIRECTION, OVERAL POLICY GOAL, OVERAL POLICY OUTCOMES, OVERAL POLICY OBJECTIVES, POLICY, PRIORITY AREAS, STRATEGIC ICT LEADERSHIP, Human CAPITAL, DEVELOPMENT, E-GOVERNMENT SERVICES, ICT IN INDUSTRIES, ICT INFRASTRUCTURE, DEVELOPMENT, ICT IN THE PRIORITY GROWTH SECTORS, RESPONSIVE ICT, LEGAL REGULATORY AND INSTITUTIONAL FRAMEWORK; PROMOTING NATIONAL SECURITY, INTERNATIONAL COOPERATION, UNIVERSAL ACCESS OF ICT AND ICT RELATED SERVICES, IMPLEMENTATION STRATEGY, INSTUTIONAL ARRANGEMENTS, OBLIGATIONS, RESPONSIBILITIES AND PERFORMANCE; ACCOUNTABILITY OF MITA IMPLEMENTATION Plan MONITORING AND EVALUATION 16"
3,Malawi_2013_Malawi_ICT_Policy.pdf,3," FOREWORD, The development of the Information and Communications Technology Policy is part of the process"
4,Malawi_2013_Malawi_ICT_Policy.pdf,3," Malawi, as a nation has had to go through in her efforts to build a knowledge-based economy and information-rich society"
5,Malawi_2013_Malawi_ICT_Policy.pdf,3, Malawi is convinced that her economy can rapidly grow and diversify through participation in the information society
6,Malawi_2013_Malawi_ICT_Policy.pdf,3," In order to fully benet from the information revolution, Malawi needs to modernize various sectors of her economy using Information and Communications Technology"
7,Malawi_2013_Malawi_ICT_Policy.pdf,3, The ICT Policy therefore aims at providing a direction as to how Malawi will turn the ICT potential into real benets for its people
8,Malawi_2013_Malawi_ICT_Policy.pdf,3," It also aims at putting into place appropriate institutional, regulatory and legal framework that should effectively support successful deployment and utilization of ICT in all sectors of the economy"
9,Malawi_2013_Malawi_ICT_Policy.pdf,3," The ICT Policy aims at mainstreaming ICT in all sectors of the economy to drive the implementation of the Malawi Growth and Development Strategy, ( MGDS ) II"
10,Malawi_2013_Malawi_ICT_Policy.pdf,3, It is crucial that strong public-private partnerships exist in implementation of this policy
11,Malawi_2013_Malawi_ICT_Policy.pdf,3, The government will therefore continue to provide a conducive environment for both public and private sector participation in the development deployment and utilization of ICT in both urban and rural communities
12,Malawi_2013_Malawi_ICT_Policy.pdf,3, I sincerely thank all the people that have been involved in the development of this ICT Policy and ask them to also support its implementation at various levels
13,Malawi_2013_Malawi_ICT_Policy.pdf,4," Joy e BandaK9, PRESIDENT F, THE REP MALAWI"
14,Malawi_2013_Malawi_ICT_Policy.pdf,4, PREFACE Information and Communications Technology
15,Malawi_2013_Malawi_ICT_Policy.pdf,4," ( ICT ) is essential for the sustainable development of Malawi, considering the profound impact it has at both economic and social levels all over the world"
16,Malawi_2013_Malawi_ICT_Policy.pdf,4," The ICT Policy aims at developing the ICT sector, promoting the development and use of 10' in all sectors and enhancing universal access to ICT services to achieve widespread socio-economic development, Implementation of the ICT Policy is encouraged by the prevalent political will existing in the country, which has Seen the ICT sector being recognized as one of the priority areas with potential of turning around the economy"
17,Malawi_2013_Malawi_ICT_Policy.pdf,4, Growth of the ICT industry in the world has created unprecedented demand for electronic goods and services
18,Malawi_2013_Malawi_ICT_Policy.pdf,4, Even within the country
19,Malawi_2013_Malawi_ICT_Policy.pdf,4," However, Government of Malawi recognizes that implementation of the Policy may be affected by low levels of ICT literacy and awareness dependency on imported goods and services and competition for nancial resources by other national priorities"
20,Malawi_2013_Malawi_ICT_Policy.pdf,4," The Policy was developed through a consultative process involving the private sector, government ministries and departments, the academia, development partners, non-governmental organisations and other stakeholders"
21,Malawi_2013_Malawi_ICT_Policy.pdf,4, Implementation of this policy will require concerted team efforts of all partners concerned and especially those identied in the policy
22,Malawi_2013_Malawi_ICT_Policy.pdf,4," I therefore call upon all stakeholders to work with Government with dedication, as we all strive to achieve the goals set in this policy"
23,Malawi_2013_Malawi_ICT_Policy.pdf,4," Ndilowe (, Mrs ) "
