,Document,Page,Sentence
0,Malaysia_2006_NCSP-Policy2.pdf,2,"Ministry of Science, Technology And Innovation, "
1,Malaysia_2006_NCSP-Policy2.pdf,2,"Malaysians, Critical National Information Infrastructure will be secure, resilient and self-reliant"
2,Malaysia_2006_NCSP-Policy2.pdf,2, Infused with a culture of security
3,Malaysia_2006_NCSP-Policy2.pdf,2," It will promote stability, social well being and wealth creation, Ministry of Science, Technology And Innovation"
4,Malaysia_2006_NCSP-Policy2.pdf,3,"The alarming rise of premeditated attacks, with potentially catastrophic effects to interdependent networks and information systems across the globe has demanded that significant attention is paid to critical information infrastructure protection initiatives"
5,Malaysia_2006_NCSP-Policy2.pdf,3," For many years, Governments have been protecting strategically critical infrastructures"
6,Malaysia_2006_NCSP-Policy2.pdf,3," However, in recent times, the information revolution has transformed all areas of life"
7,Malaysia_2006_NCSP-Policy2.pdf,3, The way business is transacted government operates and national defence is conducted has changed
8,Malaysia_2006_NCSP-Policy2.pdf,3," These activities now rely on an interdependent network of information technology infrastructures, and this increases our risk to a wide range of new vulnerabilities and threats to the nations critical infrastructures"
9,Malaysia_2006_NCSP-Policy2.pdf,3," These new cyber threats are in many ways, significantly different from the more traditional risks that Governments have been used to"
10,Malaysia_2006_NCSP-Policy2.pdf,3," Exploiting security flaws appears now to be far easier, less expensive and more anonymous than ever before"
11,Malaysia_2006_NCSP-Policy2.pdf,3," The increasing pervasiveness connectivity and globalization of information technology, coupled with the rapidly changing dynamic nature of cyber threats and our commitment to the use of ICT for socio-economic development, brings about the critical need to protect the critical information infrastructures to provide greater control"
12,Malaysia_2006_NCSP-Policy2.pdf,4," This means that Governments, including the Malaysian government, must adopt an integrated approach to protect these infrastructures from cyber threats, Ministry of Science, Technology And Innovation, "
13,Malaysia_2006_NCSP-Policy2.pdf,4,The National Cyber Security Policy
14,Malaysia_2006_NCSP-Policy2.pdf,4,"This National Cyber Security Policy has been designed to facilitate Malaysias move towards a knowledge-based economy, ( K-economy )"
15,Malaysia_2006_NCSP-Policy2.pdf,4," The Policy was formulated based on a National Cyber Security Framework that comprises legislation and regulatory technology, public-private cooperation, institutional and international aspects"
16,Malaysia_2006_NCSP-Policy2.pdf,4," The National Cyber Security Policy seeks to address the risks to the Critical National Information Infrastructure, ( CNII ), which comprises the networked information systems of ten critical sectors"
17,Malaysia_2006_NCSP-Policy2.pdf,4," The CNII sectors are National Defence and Security, Information and Communications"
18,Malaysia_2006_NCSP-Policy2.pdf,4,"Banking and Finance Energy, Transportation, Water, Health Services, Government, Emergency services, Food and Agriculture"
19,Malaysia_2006_NCSP-Policy2.pdf,4, The Policy recognizes the critical and highly interdependent nature of the CNII and aims to develop and establish a comprehensive programme and a series of frameworks that will ensure the effectiveness of cyber security controls over vital assets
20,Malaysia_2006_NCSP-Policy2.pdf,4, It has been developed to ensure that the CNII are protected to a level that commensurate the risks faced
21,Malaysia_2006_NCSP-Policy2.pdf,4," Ministry of Science, Technology And Innovation"
22,Malaysia_2006_NCSP-Policy2.pdf,5,The Eight Policy Thrusts 
23,Malaysia_2006_NCSP-Policy2.pdf,5,"Thrust 1, Effective Governance, Centralise coordination of national cyber security initiatives, Promote effective cooperation between public and private sectors, Establish formal and encourage informal information, sharing exchanges, THRUST 2 Legislative & Regulatory Framework Review and enhance Malaysias cyber laws to address the dynamic nature of cyber security threats, Establish Progressive capacity building programmes for national law enforcement agencies Ensure that all applicable local legislation is complementary to and in harmony with international laws, treaties and conventions"
