,Document,Page,Sentence
0,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,3,Background Purpose and Scope: The Pre-Launch of the Strategy Part Two Overall Direction: 
1,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,3,"Prelude What is meant by Cyber security Guiding Principles Overall Vision, A Cyber Security Strategy Model Part Three, The Strategy "
2,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,3,"The Goals and accompanying Measures, The Goals, The Proposed Measures Goal Establish a governance framework Goal, Combat Cybercrime, Goal Strengthen National cyber defence Goal, Secure Cyberspace Goal, Cyber security, Awareness and Education Goal, National and International Cooperation Conclusion"
3,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,3,The Cyber Security Strategy Model Revisited The Way Forward
4,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,5,"In todays globalised world, the extensive and efficient use of Information and Communications Technologies ( ICTs ) is increasingly critical for the effective functioning and growth of our economy"
5,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,5," It is an increasingly essential means for the private sector to compete and prosper through its ability to connect to the local markets, as well as to those beyond our shores efficiently and cost"
6,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,5," Competitiveness in a digital economy, however, calls for resilience to the security challenges posed within the realm of cyber-space ICT and its constituent elements and its dependents"
7,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,5," This Strategy aims to establish the foundations to ensure effective cyber security within Government, the private sector and civil society"
8,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,5," It does not simply entail technology security controls, but involves measures related to regulation, legislation, awareness, education, expertise and foreign affairs"
9,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,5, Striving for cyber security is a continuous journey
10,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,5," Cyber security can never be fully attained, considering that the technology itself the day to day realities in technology adoption"
11,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,5, As well as the modes of cyber attack are in a continuous state of evolution
12,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,5,", Hence the Strategy is not seen as cast in stone, but it shall need to evolve in line with a national commitment and collective effort to adopt a cyber security culture Embracing security"
13,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,5," As a normal way of everyones, cyber lives is in the common interest"
14,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,5," Ultimately, cyber security needs to be seen as a key cornerstone to Maltas competitiveness within the digital world by positioning it as a secure online jurisdiction and potentially presenting opportunities for the development of centres of excellence in a number of local business sectors, interacting within the realm of Cyberspace Emmanuel Mallia Minister for Competitiveness and Digital Maritime and Services Economy; "
15,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6,"Malta, CYBER SECURITY STRATEGY, 2016"
16,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6,"Executive Summary Cyber-space, is far from perfect"
17,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6," It is at risk of vulnerabilities, some of which involve genuine human error, whilst others are exposed to malicious intent"
18,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6," Furthermore, global innovations within its realm are even faster than the ability to secure it"
19,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6," Hence the need for cyber security that is ensuring the safety, confidentiality, integrity and availability of cyber- space, understand their shared responsibility and thus commitment to collaboration and cooperation to ensure a safe, stable and secure environment"
20,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6, Adopt a risk based approach based upon the premise that it is impossible to guarantee immunity from any cyber attack
21,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6,"Launching cyber security on a national scale essentially calls for a planned collective and systemic approach, thus leading to the need of a National Cyber Security"
22,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6, The National Digital Strategy for Malta for the period 2014-2020 recognises and proposes the fulfilment of such need
23,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6," In the light of Maltas, increased dependence upon cyber-space in its day to day interactivity within and beyond its shores"
24,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6," Indeed, in 2015, the European Commissions e-Government Benchmark Report re-confirmed Malta as the leader in the delivery and performance of e-Government services amongst thirty-three countries"
25,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6, Malta is addressing such a need
26,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6, A Green Paper for a National Cyber Security Strategy was launched in October 2015 as a basis for consultation
27,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6, The Green Paper presented a high level strategic approach for cyber security on a national scale
28,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6," It intended to inculcate an awareness of cyber security, its extent and its implications, of which Malta as an integral part of cyber-space, needs to consider"
29,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6, The National Cyber Security Strategy being launched is a consolidation of the proposals presented by the Green Paper following online feedback and a number of consultation sessions held
30,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6, The National Cyber Security Strategy recognises that tackling cyber security entails the need to Safeguard the rule of law in line with Maltas Constitution and Maltas role
31,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6," As a European Union Member State Adopt a multi-disciplinary approach, Ensure that all stakeholders of cyber-space government, private sector and civil society, All of the above, constitute the fundamental principles upon which the overall vision is based"
32,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6," In essence, the Vision covers the need and expectations of three key national stakeholders: the public sector, the private sector and civil society to ensure cyber security"
33,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6, Five dimensions enable articulation of the vision into the strategy
34,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6," They are Policy Legislation, Risk Management, Awareness and Education upon which the subsequent proposed strategy is based"
35,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6," Prior to proposing the strategy, however, research and assessments have been made so as to enable a high level pragmatic approach towards cyber security within the local context"
36,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6," The ensuing strategic direction within the Green Paper is proposed to be attained by six goals, each of which carries a number of proposed measures as follows"
37,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6," Goal Establish a Governance Framework that is based upon the premise that a cyber security strategy needs to be established and, more importantly, be effectively implemented and maintained on a continuous basis"
38,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6," Hence the need to ensure the key coordination structures, processes, roles and practice, with particular focus on cyber risk management within the public and private sector Goal Combat Cybercrime, which aims to ensure and consolidate capabilities to tackle cybercrime, Goal Strengthen National Cyber Defence"
39,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,6,"Which aims to foster sharing of cyber security, knowledge and intelligence review, current legislation and regulations in line with cyber- space developments and ensure digital resilience on a national and organisation wide "
40,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,7,"Malta, CYBER SECURITY STRATEGY, 2016"
41,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,7," Launching cyber security on a national scale, essentially calls for a planned collective and systemic approach, thus leading to the need of a National Cyber Security Strategy"
42,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,7,"Increased recognition on a nation-wide scale of the importance to adopt cyber security measures in day to day, corporate and individual activities, Evolving maturity of overall cyber security capability, Technological developments and applicability, along with related cyber security challenges"
43,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,7," Evolution in cybercrime behaviour Developments on a national scale, in line with European Union direction, on cyber security to its Member States, of which Malta forms part"
44,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,7, Hence the Strategy would be expected to be periodically reviewed and updated
45,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,7," Ultimately, the Strategy is understood as a means for national cyber security investment that indicates Malta as a Secure online jurisdiction Centre of excellence in various business sectors, interacting within cyber-space "
46,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,7,"Scale of particular consideration are recent legal developments at EU level, notably legislation pertaining to data protection and that related to Network and Information Security Goal Secure, cyber-space "
47,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,7,"Which aims to foster self regulation and voluntary self commitment, bearing in mind that legislation is not a panacea to cyber security commitments"
48,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,7,", It also aims to stimulate use of standards and best practices that guarantee security whilst allowing for interoperability"
49,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,7," Special focus is also given to promote security And trust of online public services and to consolidate support to the private sector Goal Cyber security, Awareness and "
50,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,7,"Education, which aims to target academia, the public and private sector and citizens as a means to sensitize awareness knowledge, as well as capabilities and expertise in cyber security"
51,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,7, A national strategic approach towards an ongoing educational and awareness campaign is especially recommended Goal
52,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,7," National and International Cooperation, which aims to ensure effective consultation, cooperation and collaboration on a national level on a European and on a global basis, enabled by EU and international institutions and activities, based on the understanding that cyber security has no bounds"
53,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,7," All six goals aim to cover two key strategic outcomes expected of the Strategy, namely those of Defending and protecting the national information infrastructure from cyber threats"
54,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,7,", Ensuring the security, safety and protection of users of cyber-space"
55,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,7, The proposed strategic approach is by no means the end in itself
56,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,7," It is understood that the launch of the Strategy is only the start of a continuous process that calls for its implementation, evaluation and maintenance, so as to ensure its currency and effectiveness in line with:"
57,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,8,"Malta, CYBER SECURITY STRATEGY, 2016"
58,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,9,"Malta, CYBER SECURITY STRATEGY, 2016"
59,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,10,"Malta, CYBER SECURITY STRATEGY, 2016"
60,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,10,Part One Introduction BACKGROUND 
61,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,10,"Up to a few decades ago, a countrys security interests focussed on protecting its borders, its waters and its airspace"
62,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,10," Today, cyber-space forms an integral part of a countrys day to day reality, Information and Communications Technology"
63,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,10," ( ICT ) leads the way in interaction within and outside of a countrys territory, and its disruption may potentially affect life"
64,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,10, Hence cyber-space cannot be left out of a countrys span of protection
65,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,10, Malta is no island within the realm of cyber-space
66,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,10, Cyber-Space knows no boundaries
67,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,10," It transcends national borders, promoting online opportunities of dialogue, mutual cooperation and understanding beyond our shores"
68,Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,10," However, the cyber world makes no distinction between its users of good intent or not"
