,Document,Page,Sentence
0,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,1,"Islamic REPUBLIC OF MAURITANIA, "
1,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,1,"Ministry delegated to the Minister of State for Education, National Office for the Employment of Vocational Training and new technologies"
2,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,1,"Ministry of Public Service, Labor and Modernization of the Administration "
3,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,1,"Succeed, our society of knowledge and communication "
4,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,2,Automated Fingerprint Information System 
5,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,2,"Average Minute Per User ( Outgoing Average Minutes Per Subscriber ) National Agency of the Register of Populations and Secured Securities Telecommunication, Satellite ( Arab Satellite ) "
6,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,2,"Average Income Per User, ( Average monthly net income per subscriber ) Central Bank of Mauritania "
7,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,2,"Chamber of Commerce, Industry and Agriculture of Mauritania, Economic Community Of West African States, Benin, Burkina Faso, Cape Verde, Cte, Ivory Coast, Gambia, Ghana, Guinea, Guinea-Bissau, Liberia, Mali, Niger, Nigeria, Senegal, Sierra Leone, Togo, Training and Distance Exchange Center"
8,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,2,Telecommunications Operator ( Chinguitel ) 
9,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,2,"United Nations Conference on Trade and Development Office for the Promotion of Investment, Strategic Framework for Poverty Alleviation, "
10,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,2,"Electronic Administration ( eGovernment, ) "
11,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,2,"Electronic Administration ( eGovernment, ) "
12,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,2,Internet service provider - 
13,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,2,Group of Economic Interest - 
14,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,2,Interbank Banking Group and Electronic Transactions Global Law Information Network 
15,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,2,"Ministry of Foreign Affairs and Cooperation, Ministry of Economic Affairs and Development Ministry of Islamic Affairs and Original Education, Ministry of Social Affairs, Childhood and Family Mauritanian-Tunisian, Telecommunications, "
16,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,2,"Ministry of Commerce, Handicrafts and Tourism, Ministry of Culture, Youth and Sports Ministry of Communication and Relations with Parliament Model Driven Architecture"
17,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,2,Ministry of National Defence 
18,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,2,Delegate Ministry to the Prime Ministry in charge of African Affairs Ministry Delegate to the Prime Ministry in charge of Environment and Development durable 
19,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,2,Ministry of Rural Development 
