,Document,Page,Sentence
0,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,1,National CYBER SECURITY STRATEGY - 2014 2019 
1,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,1,"Foea REMENT ANDECURE MAURITIUS, "
2,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,1,"~ c J, a "
3,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,1,The time has come for the protection mindset to be broadened to embrace the broader concept of resilience
4,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,1," The aim is to build a more resilient nation, one where all Mauritians are better able to adapt to change where we can reduce exposure to risks and where we are all better able to bounce back from disaster"
5,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,2," Introduction Vision, Mission And Goals For Cyber Security, 6 Part 2 3"
6,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,2, Cyber Security Management And The Mauritian Approach 8 Part 3 4
7,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,2, Strategic Guidelines For Cyber Security Importance Of The National Cyber Security Strategy And Action Plan
8,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,2," 15 Part 4, 6"
9,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3," National Cyber Security, Strategic Action Plan, ZIPage"
10,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3," Republic of Mauritius, National Cyber Security Strategy, "
11,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3,"Aml Airports of Mauritius, Limited "
12,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3,"Bom 7 Bank of Mauritius, "
13,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3,Ceb 7 Central Electricity Board 
14,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3,"Cert-Mu Computer Emergency Response, Team of Mauritius, CIB 7 Central Informatics Bureau, CISD 7 Central Information Systems, Division, CWA, Central Water Authority; "
15,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3,"Dpo 7 Data Protection, Ofce "
16,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3,"Fsc 7 Financial Services, Commission, "
17,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3,Goc Government Online Centre 
18,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3,Iba 7 Independent Broadcasting Authority 
19,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3,"Icta Information and Communications Technologies, Authority, ISP, Internet Service Providers, ITSU 7, IT Security Unit, "
20,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3,"Mba Mauritius, Bankers, Association, "
21,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3,"Mcci Mauritius, Chambers of Commerce and Industry, MICCP Ministry of Industry, Commerce and Consumer Protection, MICT Ministry of Information & Communication Technology, MIH Mauritius, Institute of Health, MITIA 7 Mauritius, IT Industry Association, MOBEC, Ministry of Business, Enterpse and Cooperatives, MOE/HR, Ministry of Education and Human Resources"
22,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3," Mofariit 7 Ministry of Foreign Affairs, Regional Integration and International Trade, MOFED Ministry Of Finance and Economic Development, MOGECFW Ministry of Gender Equality, Child Development and Family Welfare; MPA 7 Mauritius, Ports Authority, MRA, Mauritius Revenue Authority, "
23,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3,"Msa Mauritius, Sugar Authority, "
24,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3,Msb 7 Mauritius Standards Bureau 
25,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3,"Mtpa Mauritius, Tourism Promotion Authority, "
26,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3,Ncb National Computer Board 
27,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3,"Ngo 7 NonGovernmenta ] Organisations, "
28,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3,"Otam Outsourcing & Telecommunications Association of Mauritius, PMO Prime Ministers, Ofce SIL 7 State Informatics, Limited "
29,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,3,Slo State Law Office 
30,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,4,"Smeda Small and Medium Entelprises Development Authority, TEC, 7, Tertiary Education, Commission, 3|Page"
31,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,4," Republic of Mauritius, National Cyber Security Strategy; "
32,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,4,"Vision, Mission And Goals For Cyber Security, "
33,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,5," Republic of Mauritius, National Cyber Security Strategy, "
34,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,5,Societies are becoming increasingly more dependent on information and communication technologies which are globally interconnected
35,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,5," With these growing dependencies, information systems and networks are extremely vulnerable to disturbances, which can affect their functioning"
36,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,5, Threats have become more sophisticated and have more serious repercussions than before
37,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,5, There is a growing misuse of electronic networks for criminal purposes or for objectives that can adversely affect the integrity of a nations
