,Document,Page,Sentence
0,Micronesia_2012_ict-policy2012.pdf,1,"The FEDERATED STATES OF MICRONESIA, THE FEDERATED STATES OF MICRONESIA, NATIONAL, ICT AND TELECOMMUNICATIONS, NATIONAL, ICT AND TEL ECOMMUNICATIONS "
1,Micronesia_2012_ict-policy2012.pdf,3,"Message FROM THE PRESIDENT OF THE FEDERATED STATES OF MICRONESIA Ran Annim Kaselehlie, Mogethin and Len Mwo IampleasedtopresentthefirstNationalInformationandCommunicationTechnology (, ICT ) and Telecommunications, PolicyfortheFederated States ofMicronesia"
2,Micronesia_2012_ict-policy2012.pdf,3," Thepolicyisanoverarching framework, which comprehensively addresses Information and Communication Technology and TelecommunicationpolicieswithintheFederatedStatesofMicronesiaandestablishesthedirectionfora secureandflourishingICTenvironmentforallcitizensinFSM"
3,Micronesia_2012_ict-policy2012.pdf,3,"Tothisextent Iampersonallycommitted totheimplementationofthispolicywhichbuildsonthemanyconsultationswiththeFSMleaders stakeholders, andinternationalandregionalorganizations"
4,Micronesia_2012_ict-policy2012.pdf,3," TheNationalICTPolicyhasbeenaworkinprogressandIwouldliketoexpressmyappreciationtothe, InternationalTelecommunicationsUnion, (, ITU ), thestakeholderswhoparticipatedintheconsultationson, thedevelopmentoftheplan, Thechiefexecutivescouncil ( CEC ) theStateandNationalLeadership Council (, SNLC ), theWorldBank, andmanyindividualsandorganizationswhohavecontributedtothe, developmentoftheNationalICTPolicy"
5,Micronesia_2012_ict-policy2012.pdf,3,", Whilewearevery, proudofourcommonMicronesianheritage, andwillcontinuetopreservetheage-oldwisdomsthathave beenpasseddownfromourforefathers, we thepeopleofthisnationmustnotbeisolatedfromtheglobal community"
6,Micronesia_2012_ict-policy2012.pdf,3,"Wecannotaffordtobeleftbehind, ifnotforus thenforourchildrenandtheirchildren, TelecommunicationsandICTarethemeanswhichconnectsuswithinourcommunities, betweenour, manyislands, andtotheglobalcommunity"
7,Micronesia_2012_ict-policy2012.pdf,3,", Wecannotdenythefactthatitisevidentinothercountries, thatchangesinICTandtelecommunicationspolicyhavechangedthewaywecommunicatewitheach, other conduct, government handle business and commerce educate our children provide health services, andpreserveourrichheritageandenvironment"
8,Micronesia_2012_ict-policy2012.pdf,3," Wearealsocognizantofthemanystudiesandrecommendationsbyconsultantstoregionaland, internationaleconomicdevelopmentorganizationssuchastheAsianDevelopmentBankandtheWorld, BankthatliberalizationandreformoftelecommunicationsintheFSMwillpositivelycontributeto, Economicdevelopment"
9,Micronesia_2012_ict-policy2012.pdf,3,"Thus in2007 IestablishedtheTelecommunicationsandSubmarineFiberOptics Task Force and directed the Task Force in 2011 to modernize the policy legal and regulatory infrastructurefortelecommunications andwork withinternational, fundingorganizations, tomove, forwardwithbroadbandcapacityforallstates "
