,Document,Page,Sentence
0,Moldova_2013_strateg_857_en.pdf,1,Approved by the Government Decision no
1,Moldova_2013_strateg_857_en.pdf,1,Ffoorr iinnffoorrmmaattiioonn ssoocciieettyy ddeevveellooppmmeenntt 
2,Moldova_2013_strateg_857_en.pdf,1,"`` `` DDiiggiittaall MMoollddoovvaa, 22002200 ``'' "
3,Moldova_2013_strateg_857_en.pdf,1,The Republic of Moldova achieved significant progress in the implementation of information society technologies
4,Moldova_2013_strateg_857_en.pdf,1, Ict contribution share to GDP in recent years has reached the level of almost 8-10 % every second citizen is an Internet user
5,Moldova_2013_strateg_857_en.pdf,1, More than half of households have at least one computer
6,Moldova_2013_strateg_857_en.pdf,1, The majority of connected households have access to broadband Internet and the country was placed among top 20 countries in the world
7,Moldova_2013_strateg_857_en.pdf,1," According to Internet access, speed, the biometric passport, the ID card with electronic signature, the e-Statements system and digital map were implemented"
8,Moldova_2013_strateg_857_en.pdf,1," Country joined the Open Government Data initiative, the e-Transformation Governance project is running, etc"
9,Moldova_2013_strateg_857_en.pdf,1,", However, in international classifications, the country is not placed among the advanced economies in this field and the level and speed of information society development do not meet the current international environment requirements in which The world is becoming even more hyperconnected1 ( references are presented in the Annex no 2 to the National Strategy for Information Society, Development, Digital Moldova, 2020, ) and more digitized"
10,Moldova_2013_strateg_857_en.pdf,1," The complex picture of today's digital world includes smart mobile devices and remote collaborative tools, cloud computing and tremendous change of the users' behavior, especially of the digital natives, who expect services to be available anytime anywhere and through any device"
11,Moldova_2013_strateg_857_en.pdf,1, These expectations require governments and public institutions to be prepared to provide and use informational services anytime anywhere and on any equipment in a safer and secured way with fewer resources
12,Moldova_2013_strateg_857_en.pdf,1, Advantages of digital 
13,Moldova_2013_strateg_857_en.pdf,1,"Individuals could benefit as citizens/consumers are reduced in many countries, including the Republic of Moldova, because of the security and privacy issues insufficient access to the Internet, a low degree of functionality, lack of required competences or service accessibility technologies, of which "
14,Moldova_2013_strateg_857_en.pdf,1,Building a countrys future is unthinkable without a digital strategy that shall create opportunities to innovate and develop based on ICT technologies
15,Moldova_2013_strateg_857_en.pdf,1, Yet contractors and government agencies to maximize the usage of government data services for the citizens benefit
16,Moldova_2013_strateg_857_en.pdf,1," The European Union adopted and implements Digital Agenda for Europe Strategy, adjusting its priorities to the new circumstances, ( in December 2012, defined 7 priorities, ) Countries which occupy first places in International rankings also approved digital strategies aiming to ensure an accelerated development, (, USA, UK Estonia and Qatar, for example, )"
17,Moldova_2013_strateg_857_en.pdf,1," The National Strategy for Information Society Development, Digital Moldova, 2020 ( hereinafter, referred to as Strategy ), is aimed to create conditions through minimum state intervention, but with maximum effect for information society"
18,Moldova_2013_strateg_857_en.pdf,2," Focusing efforts on three pillars: [ Draft ], "
19,Moldova_2013_strateg_857_en.pdf,2,1 ) Pillar I Access and infrastructure improvement of connectivity and network access
20,Moldova_2013_strateg_857_en.pdf,2,"2: ) Pillar II, Digital content and electronic services-, promoting digital content and generating services"
21,Moldova_2013_strateg_857_en.pdf,2,3 ) Pillar II Capacities and utilization- strengthening literacy and digital skills to enable innovation and stimulate usage
22,Moldova_2013_strateg_857_en.pdf,2,These three dimensions have a major favorable impact on the following three components of society:: 
