,Document,Page,Sentence
0,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,1,"National CYBER SECURITY STRATEGY FOR MONTENEGRO, 2013-2017 "
1,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,2,Cyber SECURITY STRATEGY FOR MONTENEGRO 
2,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,2,"Cyber SECURITY MANAGEMENT SYSTEM, "
3,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,2,"1 METHOD OF MONITORING, STARTEGY LIFE CYCLE 2 CHALLENGES RISKS, THREATS TO CYBERSPACE, SECURITY IN MONTENEGRO, INSTITUTIONAL AND LEGISLATIVE FRAMEWORK OF MONTENEGRO, Analysis of Montenegrin and EU legislation Accountable institutions for Montenegrin Cyber Security System, MAIN OBJECTIVES OF CYBER SECURITY STRATEGY FOR MONTENEGRO, 1 ), Defining institutional and organisational Structure in the field of cyber security in the country - 2 ) Protection of critical information structures in Montenegro, 3 ), Strengthening capacities of state law enforcement authorities, 4 ) Incident Response, "
4,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,2,"5 ) The role of Ministry of Defence and Military of Montenegro in cyberspace, 6 ) Public-private partnership, "
5,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,2,"7 ) Raising public awareness and protection on the Internet ANNEX I ACTION PLAN FOR STRATEGY IMPLEMENTATION, 2013-2015"
6,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,3,Cyber SECURITY STRATEGY FOR MONTENEGRO 
7,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,3,Information and communications technology present an irreplaceable part of modern life
8,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,3, Integration of ICT in performing daily activities and tasks has become more and more evident
9,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,3," Therefore, threats to information and communications infrastructure that may threaten the availability, privacy and integrity of them may also affect the functioning of society as a "
10,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,3,"The adoption of national cyber strategy is a complex task, given the different aspects and stakeholders who should be included in this process"
11,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,3," Here we can discuss about political, legislative, economic, military and similar aspects when adopting the strategy, as well as about integration of public and private sectors"
12,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,3," As infrastructure owners Montenegros strategic objective is to build an integrated, functional and efficient cyberspace in accordance with international standards and principles, Every country is obliged to protect their national information infrastructure, as well as their cyberspace that national domain is covering In order to respond to cyber threats"
13,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,3," From the environment, which are constantly changing, the country must have flexible and dynamic cyber security"
14,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,3, The cross border nature of threats makes it necessary for the countries to focus on strong international cooperation
15,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,3, Comprehensive national cyber security strategies make the first step in this direction
16,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,3," The Strategy should have clearly defined objectives and priorities, and the practice is that they are defined within a period of 5 years"
17,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,3,", Along with text of the Strategy which presents a vision of a state against the concept of cyber security and its guaranty"
18,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,3," The corresponding annual action plans are also defined Internet and information and communications technology that the Internet is based on present, a vital resource for socio-economic growth and development of a country"
19,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,3, As more and more services have been offered via the Internet
20,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,3," There is a growing number of reported cyber security incidents, the attacks known as distributed denial of service attacks, DDoS attacks up to attacks on websites with the aim of unauthorised modification of their content"
21,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,3, Special type of threat is also an unauthorised access to developed information systems of State authorities and their databases
22,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,3, Cyber-attacks are also directed against infrastructure of Internet service providers
23,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,3," ( ISPs ), however, there is no coordinated response which would be "
24,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,4,Cyber SECURITY STRATEGY FOR MONTENEGRO 
25,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,4,"Conducted through safe communication channels at the national level in order to address such situations, One of the problems is the lack of necessary skills for successful defence from the incidents, as well as the need for amendments or for adopting new laws under which it would be possible To successfully detect and prosecute people involved in any form of cybercrime, Another important problem is that in Montenegro there is no a defined way to monitor or record the malicious traffic entering the country"
26,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,4," There are no adequate monitoring systems installed on communication nodes, ( gateways ) towards abroad or at ISPs level, except for detection and prevention of attacks directed towards denial of service, (, DoS-DDoS, ), Coordinated construction of organisational, institutional and management capacities, improvement of laws and by-laws are important Items of information security existence in Montenegro, "
27,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,4,Recognising its foreign policy priorities through full membership in NATO and EU provision of mandated safety criteria at the national level has become priority of the entire information society of Montenegro
28,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,4,"At the same time, economic and industrial espionage directed against the leading companies and governments is getting importance with development and progress in the field of information technology"
29,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,4," Finally, illegal entry, data, manipulation and destruction of critical resources also threaten integrity and resilience of critical infrastructure In cyberspace, malicious programmes in the service of states designate the present and in the future it will be one major threats to the national security of a country"
30,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,4," The above mentioned supports the fact that the Internet and related global networks have significantly increased the global dependence on ICT, but also the level of potential damage that can be caused when the infrastructure is under attack"
31,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,4, Information Security Strategy relies on a document adopted by the Government of Montenegro titled Study with defined responsibilities of state authorities in their fight against cyber ( computer ) crime
32,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,4,"Therefore, the adoption of Strategy with a clear vision in terms of implementing specific activities in the field of cyber security is crucial"
33,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,5,Cyber SECURITY STRATEGY FOR MONTENEGRO 
34,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,5,"The analysis of Cyber Security Strategy in great number of countries has found that there is no agreed definition of terms such as information security, cyberspace, cyber security, cybercrime etc"
35,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,5," Whereas some strategies define these terms precisely and concisely, for example, by closely linking them to computer systems"
36,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,5," Others have a more general approach, and definitions include not only matters relating to computers and computer systems, but to any other factor that may interact with them, such as human factor"
37,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,5, In this chapter will be presented
38,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,5," Definitions of specific terms existing in our country, which are also compliant with basic meaning of the terms in EU countries, Cyber is defined as anything relating to or involving computers or computer networks"
39,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,5," ( such as Internet ), Cyberspace is more than Internet"
40,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,5, It includes not only hardware
41,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,5," Software and information systems, but also the people, social interaction within these networks"
42,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,5," International Telecommunication Union (, ITU ), uses this term to describe systems and services connected either directly to or indirectly to the Internet, telecommunications and computer networks"
43,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,5," ( ISO ) uses a slightly different definition of the term and describes cyber as complex environment resulting from the interaction of people, software and services on the Internet by means of technology devices and networks connected to it, which does not exist in any physical form"
44,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,5," Each country, when formulating national strategy uses their own terms and definitions"
45,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,5," The United Kingdom, defines cyberspace as all forms of networked digital activities"
46,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,5," This includes the content of and actions conducted through digital networks, Information security includes the state of confidentiality, integrity and availability of information"
47,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,5," Security is focused on data, regardless of their form"
48,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,5, Electronic printed and other forms of data
49,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,5, Computer security usually seeks to ensure availability and proper functioning of the computer and computer system
50,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,5,"The above-mentioned terms are often, alternatively, used, although they are related to slightly different aspects in the field of cyber security"
51,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,6,Cyber SECURITY STRATEGY FOR MONTENEGRO 
52,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,6,"Internet security in technical context refers to protection of Internet service and related ICT systems and networks, as extension of network security in organisations and homes, and to ensure the security purpose"
53,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,6, Internet security also provides availability and reliability of Internet service
54,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,6," However, in political context, Internet security is often equated with what is also known as safe use of the Internet"
55,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,6," According to some definitions, Internet security includes a global regime dealing with stability of Internet code and hardware, as well as with agreements on prosecuting illegal content"
56,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,6, Is also important for critical infrastructures that are often not directly connected to the Internet
57,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,6," Cyber security, International Standardisation Organisation, ( ISO ) defines cyber security as preservation of confidentiality, integrity and availability of information in cyberspace"
58,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,6, Netherlands have offered a little broader definition
59,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,6," Freedom from danger or damage caused by disruption, failure or abuse of ICT systems Danger or damage caused by disruption, failure or abuse may consist of a limitation in the availability or reliability of ICT systems, a breach of the confidentiality stored in them or damage to the integrity Of the information also defines broadly the cyber security collection of tools, policies, security, concepts, security, safeguards, guidelines, risk management, approaches, actions, training, best practices, assurance and technologies that can be used to protect the cyber environment and organisation and users assets"
60,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,6, Cyber security seeks to ensure the attainment and maintenance of the security properties of the organisation and users assets against relevant security risks in the cyber environment
61,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,6, General security objectives comprise the following: availability: 
62,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,6,Include authenticity and non-repudiation and 
63,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,6,"Cyber defence is mainly used in military context, but it may be also related to criminal and espionage activities"
64,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,6,"Nato uses the following definition when referring to cyber defence, the ability to safeguard the delivery and management of services in an operational Communications and Information Systems, ( CIS ) in response to potential and imminent, as well as actual malicious actions that originate in cyberspace"
65,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,6,"Cybercrime or e-crime or high-tech crime includes criminal activities in which computers and other IT equipment and computer network are subject, tool, target or place of crime"
66,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,7,Cyber SECURITY STRATEGY FOR MONTENEGRO 
67,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,7,Cyberspace is identified as environment with the fastest growing crime rate
