,Document,Page,Sentence
0,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,1,National Cyber Security Strategy - 2 
1,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,1,From awareness to capability2 
2,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3,"Fill in the brochure here, 1 Ministry of Health Welfare and Sport, "
3,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3," 2 | National Cyber Security Strategy, ( NCSS, ) 2 From awareness to capability "
4,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3,The digital domain has been a part of Dutch society for more than two decades
5,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3, Information and communications technology has proven to be an important factor in productivity growth and innovative power
6,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3, The Netherlands is the European leader in responding to technological trends and the effective use of ICT tools and skills
7,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3, The Netherlands is also an international internet hub has the worlds most competitive internet market and has one of the highest number of internet users
8,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3," Safeguarding digital security and freedom, and maintaining an open and innovative digital domain are preconditions for the proper functioning of our society"
9,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3," Therefore, we published the first National Cyber Security Strategy, ( NCSS1 ) in 2011"
10,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3," The purpose of the NCSS1 was to realise a secure, reliable and resilient digital domain through an integral cyber security approach, based on public-private partnerships, as well as to seize the ensuing opportunities for society"
11,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3," Developments in the digital domain, both national and international, are taking place at a rapid rate"
12,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3, The potential and actual impact of cyber security threats have become clearer due to a number of highly publicised incidents
13,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3," These threats may not only disrupt our digital infrastructure, but may also compromise the integrity, availability and confidentiality of the information we document analyse and exchange in the digital domain"
14,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3," In order to be able to continue to respond to these threats, the Netherlands plans to further strengthen and extend their alliances with public and private parties, both national and international"
15,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3," This involves not viewing cyber security as an isolated element, but rather in correlation with human rights"
16,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3," Internet freedom, privacy, social-economic benefits and innovation"
17,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3," The National Cyber Security Strategy, 2 ( NCSS2 ) explains this broader government vision on cyber security and states responsibilities and concrete steps"
18,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3," Furthermore, extensive consultations were held with the wider ICT community"
19,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3, At the request of the government
20,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3," The Cyber Security Board, consisting of representatives from public and private parties, as well as the world of academia, gave recommendations about the course of the new strategy"
21,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,3," With this strategy, the Netherlands wants to continue to be the world leader in the area of cyber security"
