,Document,Page,Sentence
0,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,2,Foreword BY THE NATIONAL SECURITY ADVISER 
1,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,2,"The emergence of cyberspace, a virtual global domain, is increasingly impacting almost every aspect of our lives"
2,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,2," The domain is transforming our economy and security posture more than ever before, creating opportunities for innovations and the means to improve general welfare of the citizens"
3,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,2," It is transforming many countries, growth, dismantling barriers to commerce and allowing people across the globe to communicate collaborate and exchange ideas"
4,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,2," However, behind this increasing dependence on cyberspace lies new risks that threaten the national economy and security"
5,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,2," Sensitive data networks and systems that we now trust can be compromised or impaired in a fashion that detection or defence can be hard, thus undermining our confidence in a connected economy"
6,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,2, The Federal government is not unmindful of the diversity of implications of the nations risk exposure in cyberspace
7,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,2, Hence we have put in place cohesive measures towards addressing national risks effectively now and in the immediate future
8,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,2," Furthermore, the government has recognized that, for Nigeria and its citizens to continue to benefit from the full potential of information and communication technology revolution, we must take the cyber-risks seriously"
9,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,2," It is on this premise that we are determined to confront the threats, uphold and support the openness of the cyberspace, as well as balance security with respect to privacy and fundamental rights"
10,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,2," If we fail to prepare now and act appropriately, we may be faced with future challenges that will be more complex to manage"
11,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,2," In this context, government has developed a National Cybersecurity Strategy as cohesive national measures towards addressing the challenges"
12,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,2," These measures contain strategic initiatives and programs that are aligned with the national doctrines principles, vision, goals and objectives, as enshrined in the National Cybersecurity"
13,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,2,", The strategy recognizes three key approaches to a successful national cybersecurity: engagement, public private sector partnership, stakeholders, collaborations and international cooperation"
14,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,2," Our commitment is to ensure continuity of government in the advent of cyber threat, emergency safeguard critical infrastructure and nurture national cybersecurity readiness through the engagement of all stakeholders, information "
15,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,3,"It is in the light of the above that my office, in collaboration with other agencies of "
16,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,3,Government and key actors from the private sector are championing the urgent need for comprehensive national cybersecurity programmes
17,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,3, It is my hope that the synergy already developed between from different backgrounds will be sustained through all the implementation stages
18,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,3, My office will continue to explore common grounds around which we can sustain this collaboration on cybersecurity
