,Document,Page,Sentence
0,Norway_2012_Cyber_Security_Strategy_Norway.pdf,1,"Cyber Security Strategy for Norway, "
1,Norway_2012_Cyber_Security_Strategy_Norway.pdf,3,"Cyber Security Strategy for Norway, "
2,Norway_2012_Cyber_Security_Strategy_Norway.pdf,5,"Foreword 6 Introduction: 8, 1"
3,Norway_2012_Cyber_Security_Strategy_Norway.pdf,5,"2 Background 11 2 Security Challenges and Trends, 12 3 Roles and Responsibilities of Ministries for Cyber Security, 15, 4, Overarching Goals and Strategic Priorities"
4,Norway_2012_Cyber_Security_Strategy_Norway.pdf,5," A More Comprehensive and Systematic Approach to Cyber Security; 2, Improve ICT Infrastructure; "
5,Norway_2012_Cyber_Security_Strategy_Norway.pdf,5,"3, A Common Approach to Information Security in Public Administration, 20 4 Safeguard Societys Ability to Detect, Alert and Handle Serious ICT Incidents"
6,Norway_2012_Cyber_Security_Strategy_Norway.pdf,5," 21 5 Safeguard Societys Ability to Prevent, Detect and Investigate cyber Crime"
7,Norway_2012_Cyber_Security_Strategy_Norway.pdf,5, 22 6 Continuous Efforts to Raise Awareness and Competence
8,Norway_2012_Cyber_Security_Strategy_Norway.pdf,5," 23: 7 High Quality, National Research and Development within Information and Communications Security"
9,Norway_2012_Cyber_Security_Strategy_Norway.pdf,5,"5, Responsibility for Implementation, 6, Economic and Administrative Implications; 27 Appendix A Terms and Expressions 28, Appendix B Selected National Contacts for Information Security, "
10,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6,Information and communications technology ( ICT ) has caused major changes to society
11,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6, Over the past decades
12,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6,", There have been significant improvements for individuals, businesses and society as a whole"
13,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6, Ict systems have become increasingly integrated into all aspects of society
14,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6, People have access to better and more diverse services
15,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6, Technology is now the foundation for all interaction across sectors
16,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6, Making ICT a strategic security challenge
17,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6, The infrastructure for these services has become critical for society to function
18,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6, An increased use of ICT has made society more vulnerable
19,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6, Threats to ICT systems are on the rise and attacks are increasingly more sophisticated
20,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6," Therefore, good preventive information security is increasingly important for national security"
21,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6," By information security, we mean that information is protected against unauthorised access, that it is available when needed and that it is protected against unauthorised changes"
22,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6, Our networks and systems must be secure and stable at all
23,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6," Industry government and the general public must all feel confident that the digital services, our society, relies on work"
24,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6, By publishing a national cyber security strategy
25,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6, The Government is setting the direction and priorities on which public authorities should base their information security efforts
26,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6, The strategy describes current and future security challenges and points to where we should focus our efforts in order to meet those challenges
27,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6," Information security requires transboundary initiatives and encompasses technology policies, attitudes and culture"
28,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6, This strategy has been developed jointly by the Ministry of Defence
29,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6," The Ministry of Justice and Public Security, the Ministry of Transport and Communications and the Ministry of Government, Administration Reform and Church Affairs"
30,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6," - An advisory group with representatives from the public and private sectors has assisted the ministries in formulating this strategy To achieve a comprehensive approach to current Chal- lenges, the National Security Authoritys 2009"
31,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6, Cyber Security Strategy and related hearings were used as important background material for this cyber security strategy and accompanying action plan
32,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6, Ict is a very dynamic field and security challenges are constantly changing
33,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6," Therefore, this cyber security strategy will be revised accordingly"
34,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6, 17 December 2012 
35,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6,"Minister of Justice and Public Security, Grete Faremo, Minister of Defence, Anne-Grete Strm-Erichsen, Minister of Transport and Communications, Marit, Arnstad, Minister of Government, Administration Reform and Church Affairs, Rigmor, Aasrud, P, H, O t O "
36,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6,"O a v H, e g g, P, H, O t O "
37,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6,"J o h, n n y S y v e r s, e n, P, H, O t O "
38,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6,"T o r g e, i r H a u g, a a r d, P H, O t O "
39,Norway_2012_Cyber_Security_Strategy_Norway.pdf,6,"T o r g e, i r H a u g, a a r d"
40,Norway_2012_Cyber_Security_Strategy_Norway.pdf,8,"In recent decades, developments in information and communications technology ( ICT ) have caused significant changes to society"
41,Norway_2012_Cyber_Security_Strategy_Norway.pdf,8, The Internet has brought great social gains to Norway
42,Norway_2012_Cyber_Security_Strategy_Norway.pdf,8," These gains have been significant for individuals, businesses and society as a whole"
43,Norway_2012_Cyber_Security_Strategy_Norway.pdf,8, Ict systems are increasingly important integrated into all aspects of society and critical for society to function
44,Norway_2012_Cyber_Security_Strategy_Norway.pdf,8, Technology is an integral part of our work and everyday life
45,Norway_2012_Cyber_Security_Strategy_Norway.pdf,8," In many cases, the population is dependent on ICT"
46,Norway_2012_Cyber_Security_Strategy_Norway.pdf,8, In order to receive a service
47,Norway_2012_Cyber_Security_Strategy_Norway.pdf,8,", ICT has become the foundation for all interaction across sectors and can be considered a fundamental social infrastructure"
48,Norway_2012_Cyber_Security_Strategy_Norway.pdf,8, The increased dissemination of ICT is a natural consequence of these social gains
49,Norway_2012_Cyber_Security_Strategy_Norway.pdf,8," However, this has also made ICT a strategic security challenge"
50,Norway_2012_Cyber_Security_Strategy_Norway.pdf,8, Society will continue to develop through more extensive use of ICT
51,Norway_2012_Cyber_Security_Strategy_Norway.pdf,8, This means that we need to protect information and ensure that our networks and systems are secure and stable at all
52,Norway_2012_Cyber_Security_Strategy_Norway.pdf,8, The general public industry and public administration must all feel confident that digital services are reliable
53,Norway_2012_Cyber_Security_Strategy_Norway.pdf,8, The object of ICT security efforts is that Norway should be characterised by All
54,Norway_2012_Cyber_Security_Strategy_Norway.pdf,8, Stakeholders are familiar with risks and secure their systems and networks
55,Norway_2012_Cyber_Security_Strategy_Norway.pdf,8,"Public authorities work actively to ensure that national ICT infrastructure is secure through proper organisation, resource allocation, good general conditions and effective measures"
56,Norway_2012_Cyber_Security_Strategy_Norway.pdf,8, Private and public organisations integrate security and robustness into their information infrastructure to protect their operations and safeguard their customers and users
57,Norway_2012_Cyber_Security_Strategy_Norway.pdf,8," Individuals take the initiative to protect their identity, their privacy and their economic assets online "
58,Norway_2012_Cyber_Security_Strategy_Norway.pdf,10,1 Target Audience Public authorities play a central role in facilitating and influencing how ICT is developed and applied in society
59,Norway_2012_Cyber_Security_Strategy_Norway.pdf,10, This is also true for information security
