,Document,Page,Sentence
0,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1,Philippine National Cyber Security Plan 2005 EXECUTIVE SUMMARY The initiative to formulate a National Cyber Security Plan is part and parcel of the current national effort to address critical infrastructure protection concerns
1,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1," It forms part of the National Critical Infrastructure Protection Plan, ( NCIPP ), which outlines the strategies and programs to be pursued in protecting the nations critical infrastructures"
2,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1, This Plan addresses the cyber aspect of critical infrastructure
3,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1," While it focuses on the nature and characteristics of information and communication technology, it takes into account important physical aspects and dimensions of critical infrastructure protection"
4,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1, To achieve more effective measures to respond to the challenges of cyber threats
5,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1," In formulating this Plan, it was deemed necessary to determine the nature and characteristics of the Philippine Cyberspace"
6,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1, Here it is defined as the total apparatus ( elements and systems ) that enables people and network/computer systems to communicate with each other
7,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1," It is the space where information is posted, exploited, manipulated, traded accessed and created by the interaction communication and collaboration of people and organizations via the network of information and communication system"
8,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1,", The components of the Philippine Cyberspace include ( 1 ) Enterprise, Networks/ Intranets, (, 2 )"
9,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1," Local Internet Service Provider, ( ISP, ), (, 3 ) Regional Network Providers, ( RNP, ), (, 4, ) Internet Backbone, ( 5 ) User Services, ( 6 ) Online Content, ( 7 ) Source of Online Content, ( 8 ) End-Users and ( 9 ) Telecommunication, Services"
10,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1,", The Cyberspace continues to face a myriad of challenges"
11,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1," These challenges include threats in the form of events, situations and conditions that tend to disrupt degrade and destroy cyber infrastructures"
12,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1," Generally, threats originate either from accidental and deliberate sources, such as ( 1 ) accidents and malfunctions, (, 2 ) hacktivism, (, 3 ) cyberterrorism, ( 4 ) information warfare, ( 5 ), foreign intelligence, (, 6, ) technoterrorism and ( 7 ) cybercrimes"
13,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1," This plan is also consistent with our existing international commitment with the United Nations APEC and the ASEAN, where each member state or economy agreed to jumpstart collective efforts to secure the cyberspace against terrorism"
14,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1," The primary goals of this Plan include ( 1 ) assuring the continuous operation of our nations critical cyber infrastructures, ( 2 ) implementing capacity-building measures to enhance our ability to respond to threats before, during and after attacks, ( 3 ), effective law enforcement and administration of justice And ( 4 ), a cyber security-conscious society"
15,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1," There are four ( 4 ) strategies identified which are necessary to protect critical cyber infrastructures, namely ( 1 ) Understanding the Risk ( 2 ) Controlling the Risk, ( 3 ), Organizing and Mobilizing for Cybersecurity and ( 4 ) Institutional and Policy Build-Up"
16,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1, Each strategy has specific programs to be implemented
17,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1, This Plan seeks to institutionalize the necessary capabilities in the government and in the private sector to adequately meet and respond to challenges and threats against cyber infrastructures that are critical to the national way of life and well-being
18,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1, Protecting the future is the primary responsibility of each and every Filipino today
19,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1," If the Philippines intends to join the ranks of nations that have become information-based societies, security of the of the nations digital infrastructures, cyberspace must be pursued with urgency"
20,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,1," It should be made a vital component of the over-all strategic, operational and tactical priorities of our national security"
21,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2,"Strategy INTRODUCTION Consistent with the Presidents agenda of national development through the utilization and development of information and communication technology is the protection of digital infrastructures, which should be pursued"
22,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2, The importance of information and communications technology ( ICT ) is underwritten in the fact that it has been identified as the `` foundation of the Philippines future economic development
23,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2, Ict has become an integral component in the operation and management of the economy and government
24,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2," Ict is important to our nations capacity to carry out information-based, public and private enterprises"
25,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2," Most of these information-based enterprises, like those telecommunication companies, banks, transportation and government agencies, among others, are considered as critical infrastructures"
26,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2, The importance of ICT is also underscored by the fact that mutual dependencies and interconnectedness among the various critical infrastructures are enabled through ICT or sometimes referred to as digital or cyber infrastructures
27,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2, Digital infrastructures are the platforms through which the Philippine cyberspace spans
28,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2,", It is utilized by economic enterprises to improve productivity, hasten delivery of products and services and increase competitiveness"
29,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2," They are also used extensively not only to facilitate the exchange and delivery of information such as those spanning a wide range of resources for research, education, entertainment, etc"
30,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2,", but also those that involve crucial public services and government functions"
31,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2," Our dependence on ICT, however, has opened up vulnerabilities that can be exploited by criminals and terrorist organizations and other forms of malicious exploitations and lawless activities"
32,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2," The successful exploitation of these vulnerabilities can cause tremendous damages and major disruptions to the normal operation of the economy and government, thereby posing serious implications to national security and to the welfare of our people"
33,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2," While ICT provides opportunities for national development, it also brought along new kinds of threats that challenge national interest and security"
34,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2, Ict has also become a weapon or new ways and means to wage wars and perpetrate crimes and terrorism
35,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2, This plan is a response to these challenges
36,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2," It shall be called the National Cyber Security Plan, ( NCSP ), and will form part of the National Critical Infrastructure Protection Plan, ( NCIPP ) to protect our critical cyber or digital infrastructures referred to in this volume"
37,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2, As the cyber aspect of critical infrastructure protection
38,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2,", It will serve as the guide upon which our actions will be based to help assure the resiliency of our critical infrastructures"
39,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2," While it can stand as a separate program, the NCSP shall support and enhance the physical aspect of critical infrastructure"
40,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2, It will address the information and communication technology security or cyber security requirements of critical infrastructures
41,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2, The NCSP outlines the strategies and programs necessary to protect the nations critical cyber infrastructures
42,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2," It highlights the necessary and specific cyber security measures in accordance with the strategies, guiding principles and basic framework set and defined in the NCIPP"
43,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2,", As recognized in the NCIPP"
44,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,2," The protection of critical cyber infrastructures necessitates the need to implement the concept of shared responsibility that requires coordination, cooperation and collaboration between the private and the public sectors"
45,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3," Nonetheless, it still falls to the government "
46,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3,the primary task of creating a conducive environment for the protection of critical cyber infrastructures
47,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3," PART, ONE DEFINING THE CYBERSPACE"
48,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3, The formulation of plans and strategies to secure the cyberspace is hinged upon the proper understanding of the nature and characteristics of our cyber or digital infrastructures
49,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3, Thus this section shall provide an brief description and importance of the cyberspace
50,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3," At present, the term cyberspace is conventionally described as the non-physical terrain created by computer systems"
51,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3," In technical terms, cyberspace consists of computer networks, as well as the worldwide network of computer networks that use the Transmission Control/Internet network protocols to facilitate data"
52,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3, Cyberspace is differentiated from physical space such that the latter refers to an aspect of reality visible to the naked eye
53,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3, While the former refers to an ethereal reality in which information in the form of communicated messages coexist and are transmitted
54,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3," Cyberspace, therefore, should not be confused as being imaginary"
55,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3," It is real and exhibit physical reality through servers, routers cables, switches, computers and electronic messages"
56,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3," For the purposes of this Plan, cyberspace is the consequence of the operation of the total apparatus, ( elements and systems ) that enables people and network/computer systems to communicate with each other"
57,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3, These apparatus are called information and communication system infrastructures
58,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3, Hence the protection of cyberspace requires securing this total apparatus
59,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3," Cyberspace resides in the information and communication system, infrastructures of Internet Service Providers, ( ISPs, ) gateways, independent networks of corporations and telecommunication companies represented by domain names, Internet Protocol (, IP ) addresses MAC, addresses e-mail addresses and telephone numbers"
60,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3," These stress the inextricable importance of the physical components, ( hardware ) in the protection of the Philippine Cyberspace"
61,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3," The Philippine Cyberspace is therefore the space where information is posted, exploited, manipulated, traded and accessed created by the interaction communication and collaboration of people and organizations via the network of information and communication system infrastructures"
62,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3, It is a consequence of the use of these networks of physical infrastructures
63,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3, Today they are now called digital or cyber infrastructures
64,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3, SIGNIFICANCE OF THE DIGITAL INFRASTRUCTURES
65,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3," Digital infrastructures are the platforms to the Philippine Cyberspace, which are critical for key social, political, military and economic functions such as the managing and operating of the countrys power plants and dams"
66,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3," The electric power grid, the transportation and air traffic control systems, including financial institutions"
67,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3, They are also vital in the day-to-day operations of business government and non-government institutions
68,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3," Large and small rely on them to manage communication and payroll track inventory and sales, as well as perform"
69,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3, Research and development functions generate food production and many others
70,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3," Digital infrastructures are keys to our nations capacity to carry out information-based, public and private enterprises"
71,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,3, Most of these information-based enterprises are considered critical infrastructures vital to the operation of the government and the economy
72,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4, Critical infrastructures have been revolutionized by advances in information technology in the form of digital infrastructures
73,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4,", Taking advantage of the speed, efficiency and effectiveness of computers and digital communications"
74,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4, All critical infrastructures are now increasingly being connected and interdependent
75,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4," Over the years, the reliance of critical infrastructures on digital infrastructures has tremendously increased to cope with the demand for better business processes and competitiveness"
76,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4, Aside from better public service and national security
77,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4," Today, digital infrastructures are crucial for banking, local and international communication, services, generation and distribution of water and power, production and distribution of good and services, transportation and travel, entertainment, security, education and many other applications that have changed the way we do things as individuals or organizations"
78,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4,", With The rapid increase of digital infrastructures - they are now considered as strategic resources and assets that play an important role in the nations"
79,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4," Economic development and competitiveness, security and well-being"
80,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4, Their disruption or destruction will have debilitating impacts to national security
81,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4, COMPONENTS OF THE PHILIPPINE CYBERSPACE
82,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4," Basically, the components of the countrys cyberspace are those digital infrastructures that interconnect national, regional and global information and communications networks"
83,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4, These components are identified as follows: 1
84,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4," Enterprise, Networks/, Intranets, Enterprise Networks or intranets pertain to independent networks, local area networks, ( LAN, ) and wide area networks"
85,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4, ( WAN ) that are connected through the telecommunication channels
86,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4,", Said: networks cater to their organizations, business applications, critical infrastructures, included"
87,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4," Local Internet Service Provider, ( ISP )"
88,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4," These are organizations that provide gateways between packet-switching networks and Public Switching Telephone Networks, ( PSTN )"
89,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4, These are networks through which most customers gain access to the Internet using telephone lines
90,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4, They are sometimes referred to as second level ISPs
91,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4, Examples of these are Infocom Mozcom and Pacific Internet
92,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4," Regional Network Providers, ( RNP )"
93,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4, These entities provide WANs across large geographic areas
94,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4," They function as client/server systems, integrator, value-added reseller, and/or provider of Internet services to a wide geographic market"
95,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4," Internet Backbone, Composed of organizations that provide major interconnection between different networks"
96,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4," They consist of Network Service Providers, ( NSP )"
97,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,4," These are organizations that provide the foundation of the Internet backbone, which is largely based upon the architecture of the Internets precursors"
98,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,5," Considered as peering centers NSP offers national and international interconnecting Internet services to wholesale level, RNPs and large ISPs through so-called priority Network Access Points, ( NAP ) "
99,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,5," Network Access Points, ( NAP, ) Network Access Points, offer a mechanism for NSPs and ISPs to interconnect"
100,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,5, Collectively they operate as the Public Internet Backbone that connects to ISPs POP and hosts
101,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,5, They supply a national network of communication channels for the Internet and long distance voice and data communications
102,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,5," The NAPs contract, the long distance carriers for the channels needed for their backbone"
103,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,5," These are organizations that provide domain names, email hosting newsgroups, telnet, FTP and storage"
104,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,5, These are information resources that are published in websites and stored in databases of ISPs and and organizations that own them
105,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,5, Source of Online Content Sources of Online content are materials where information or data are generated and transformed into digital form
106,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,5," They include books, files, pictures recordings, video, financial data and etc"
107,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,5, End-Users pertain to people and organizations that utilize the network for their personal and business purposes
108,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,5, These are comprised of the facilities that provide connection of communication channels to ISPs independent networks and individual subscribers and users
109,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,5, PART TWO CHALLENGES IN CRITICAL CYBER INFRASTRUCTURE PROTECTION
