,Document,Page,Sentence
0,Poland_2013_copy_of_PO_NCSS.pdf,1,"Ministry of Administration and Digitisation, "
1,Poland_2013_copy_of_PO_NCSS.pdf,1,"Of THE REPUBLIC OF POLAND, "
2,Poland_2013_copy_of_PO_NCSS.pdf,2,"Ministry of Administration and Digitisation, "
3,Poland_2013_copy_of_PO_NCSS.pdf,2,"Of THE REPUBLIC OF POLAND, "
4,Poland_2013_copy_of_PO_NCSS.pdf,3,"Table OF CONTENTS, THE MAIN PREREQUISITES AND ASSUMPTIONS OF THE CYBERSPACE PROTECTION POLICY OF 1"
5,Poland_2013_copy_of_PO_NCSS.pdf,3,", THE REPUBLIC OF POLAND, DEFINITIONS, STRATEGIC OBJECTIVE, SPECIFIC OBJECTIVES, ADDRESSEES AND EXTENT OF IMPACT"
6,Poland_2013_copy_of_PO_NCSS.pdf,3, ESTABLISHING RESPONSIBILITY FOR THE SECURITY OF CRP
7,Poland_2013_copy_of_PO_NCSS.pdf,3," Compliance OF THE POLICY WITH LEGAL ACTS, 8 CONDITIONS AND PROBLEMS OF THE CYBERSPACE AREA, THE MAIN LINES OF ACTION; "
8,Poland_2013_copy_of_PO_NCSS.pdf,3,"2; THE SECURITY OF GOVERNMENT ADMINISTRATION, PORTALS "
9,Poland_2013_copy_of_PO_NCSS.pdf,3,"3 PRINCIPLES OF LEGISLATIVE ACTIONS, "
10,Poland_2013_copy_of_PO_NCSS.pdf,3,4 PRINCIPLES OF PROCEDURAL AND ORGANIZATIONAL ACTIONS; 
11,Poland_2013_copy_of_PO_NCSS.pdf,3,1 Management of the cyberspace security of The Republic of Poland 
12,Poland_2013_copy_of_PO_NCSS.pdf,3,"2, The safety management system in organizational unit "
13,Poland_2013_copy_of_PO_NCSS.pdf,3,"3, The role of plenipotentiaries for cyberspace, security, "
14,Poland_2013_copy_of_PO_NCSS.pdf,3,"5 PRINCIPLES OF EDUCATION, TRAINING AND AWARENESS-RAISING IN THE FIELD OF SECURITY, "
15,Poland_2013_copy_of_PO_NCSS.pdf,3,"1, Training of plenipotentiaries for cyberspace security, "
16,Poland_2013_copy_of_PO_NCSS.pdf,3, Introduction of ICT security topics as a permanent element of higher education; 
17,Poland_2013_copy_of_PO_NCSS.pdf,3,"3 Education of clerical staff in government, administration, "
18,Poland_2013_copy_of_PO_NCSS.pdf,3,"4 Social campaign of education and prevention, nature, "
19,Poland_2013_copy_of_PO_NCSS.pdf,3,6 PRINCIPLES OF TECHNICAL ACTIONS; 
20,Poland_2013_copy_of_PO_NCSS.pdf,3,2; Expansion of ICT security incident response teams in government administration; 
21,Poland_2013_copy_of_PO_NCSS.pdf,3,"3 Development Of an early warning system and implementation and maintenance of preventive solutions, "
22,Poland_2013_copy_of_PO_NCSS.pdf,3,"4 Testing, the level of security and the continuity of actions"
23,Poland_2013_copy_of_PO_NCSS.pdf,3,"5 Development, of security teams, 16 IMPLEMENTATION AND DELIVERY MECHANISMS OF THE PROVISIONS OF THE DOCUMENT, "
24,Poland_2013_copy_of_PO_NCSS.pdf,3,1 SUPERVISION AND COORDINATION OF THE IMPLEMENTATION
25,Poland_2013_copy_of_PO_NCSS.pdf,3, The NATIONAL RESPONSE SYSTEM FOR COMPUTER SECURITY INCIDENTS IN CRP 
26,Poland_2013_copy_of_PO_NCSS.pdf,3,"3 INFORMATION EXCHANGE MECHANISM, "
27,Poland_2013_copy_of_PO_NCSS.pdf,3,"4 METHODS AND FORMS OF COOPERATION, 19 COOPERATION WITH ENTREPRENEURS, "
28,Poland_2013_copy_of_PO_NCSS.pdf,3,1 Cooperation with manufacturers of ICT equipment and systems; 
29,Poland_2013_copy_of_PO_NCSS.pdf,3,"2 Cooperation with telecommunication entrepreneurs, "
30,Poland_2013_copy_of_PO_NCSS.pdf,3,"6 INTERNATIONAL COOPERATION, FINANCING, ASSESSMENT OF EFFECTIVENESS OF THE POLICY 22 Expected EFFECTS OF THE POLICY "
31,Poland_2013_copy_of_PO_NCSS.pdf,3,2 EFFECTIVENESS OF ACTIONS; 
32,Poland_2013_copy_of_PO_NCSS.pdf,3,"3 MONITORING THE EFFECTIVENESS OF ACTIONS AS A PART OF THE ADOPTED POLICY, "
33,Poland_2013_copy_of_PO_NCSS.pdf,3,4 CONSEQUENCES OF VIOLATING THE PROVISIONS OF THE POLICY
34,Poland_2013_copy_of_PO_NCSS.pdf,4,This document has been drawn up in the Ministry of Administration and Digitization 
35,Poland_2013_copy_of_PO_NCSS.pdf,4,"In cooperation with the Internal Security Agency, based on the document discussed on 9 March 2009 by the Standing Committee of the Council of Ministers, The Government Cyberspace Protection Programme of the Republic of Poland for 2009-2011 Principles"
36,Poland_2013_copy_of_PO_NCSS.pdf,4, The periodic reports on the security status of the gov
37,Poland_2013_copy_of_PO_NCSS.pdf,4,"pl area, published by the Governmental Computer Security Incident Response Team CERT"
38,Poland_2013_copy_of_PO_NCSS.pdf,4, The decision of the Chairman of the Committee of the Council of Ministers for Digitization No
39,Poland_2013_copy_of_PO_NCSS.pdf,4, 1/2012 of 24 January 2012
40,Poland_2013_copy_of_PO_NCSS.pdf,4," With regard to the creation of a Task force for the protection of governmental portals, Page 3 of 24 "
41,Poland_2013_copy_of_PO_NCSS.pdf,5,"Ministry of Administration and Digitisation, Internal Security, Agency"
42,Poland_2013_copy_of_PO_NCSS.pdf,5,", The main prerequisites and assumptions of the Cyberspace Protection Policy of the Republic of Poland"
43,Poland_2013_copy_of_PO_NCSS.pdf,5," In the face of globalization, the cyberspace security has become one of the key strategic objectives in the area of security of each country"
44,Poland_2013_copy_of_PO_NCSS.pdf,5," At a time of free movement of people, goods, information and capital, the security of a democratic country depends on the development of mechanisms which allow preventing and combating threats to the cyberspace security"
45,Poland_2013_copy_of_PO_NCSS.pdf,5," Due to the increase in threats to the ICT systems, from which the total separation is not possible and the fact that the responsibility for ICT security is distributed, it is necessary to coordinate actions which will allow for a fast and effective response to attacks directed against ICT Systems and services offered by them The ICT systems operated by the government administration, the legislative authorities, the judiciary, local government, as well as the strategic systems from the point of view of the security of the State, as well as entrepreneurs and natural persons, are covered by this Cyberspace Protection Policy of the Republic of Poland, hereinafter referred to as the Policy By this Policy"
46,Poland_2013_copy_of_PO_NCSS.pdf,5," The Government of the Republic of Poland accepts that by its representatives, it takes an active role in ensuring the security of information assets of the State, its citizens and it executes its constitutional duties"
47,Poland_2013_copy_of_PO_NCSS.pdf,5, A part of the Policy includes the support for social initiatives aimed at implementing the tasks coinciding with this document
48,Poland_2013_copy_of_PO_NCSS.pdf,5," The Government of the Republic of Poland in fulfilling the constitutional obligations implemented by cyberspace, consults organized groups of society, in particular the representatives of telecommunications entrepreneurs and purveyors providing services by electronic means to agree on an acceptable level of security of execution of obligations in question"
49,Poland_2013_copy_of_PO_NCSS.pdf,5," Accepting the status of the Policy for this document, it should be noted that, under the current system of governmental strategic documents, a Policy is in the group of strategic documents detailing the courses of action identified in the strategies, development programmes and other programme documents which do not Specify new priorities and activities"
50,Poland_2013_copy_of_PO_NCSS.pdf,5,", They set the vision of development for a given sector and the way for its implementation"
51,Poland_2013_copy_of_PO_NCSS.pdf,5," Based on the provisions of the relevant documents, The Policy does not cover with its task area the classified ICT systems"
52,Poland_2013_copy_of_PO_NCSS.pdf,5, It should be emphasized that the area of protection of classified information has its own regulations and appropriate protective mechanisms
53,Poland_2013_copy_of_PO_NCSS.pdf,5," It has the organizational structures dedicated to the protection of classified information produced, processed and stored in separate ICT systems"
54,Poland_2013_copy_of_PO_NCSS.pdf,5," The main legislative act is the Act of 5 August 2010 on the protection of classified information, ( OJ No"
55,Poland_2013_copy_of_PO_NCSS.pdf,6," 182 item 1228 ), Page 4 of 24 Ministry of Administration and Digitisation, Internal Security, Agency"
56,Poland_2013_copy_of_PO_NCSS.pdf,6," Definitions, The meaning of terms and abbreviations used in this document Abuse a Common name of a security department of an internet service provider who manages the computer security incident response process and the examination of complaints of abuse, cyberspace security, a set of organizational and legal technical, physical and educational projects aimed at ensuring the uninterrupted functioning of cyberspace, CERT ( Computer Emergency Response Team, ), CSIRT, ( Computer Security Incident Response Team ), a team set up to respond to incidents violating security on the Internet, cyber attack, an intentional disruption of the proper functioning of cyberspace cybercrime, an offence committed in cyberspace, cyberspace, a space of processing and Exchanging information created by the ICT systems, as defined in Article 3, point 3 of the Act of 17 February 2005 on the informatization of entities performing public tasks, ( OJ No"
57,Poland_2013_copy_of_PO_NCSS.pdf,6," 64 item 565, as amended ), together with links between them and the relations with users in Accordance with Article 2, paragraph 1b of the Act of 29 August 2002 on martial law and the powers of the Supreme Commander of the Armed Forces, as well as the Commanders subordination to the constitutional authorities of the Republic of Poland, ( OJ No"
58,Poland_2013_copy_of_PO_NCSS.pdf,6," As amended ) Article 2, paragraph 1a of the Act of 21 June 2002 on the state of emergency ( OJ No"
59,Poland_2013_copy_of_PO_NCSS.pdf,6," 113 item 985, as amended ) and Article 3"
60,Poland_2013_copy_of_PO_NCSS.pdf,6," Paragraph 1, point 4 of the Act of 18 April 2002 on the state of natural disaster"
61,Poland_2013_copy_of_PO_NCSS.pdf,6," 62 item 558 as amended ) cyberspace of the Republic of Poland, ( hereinafter, referred to as CRP ) cyberspace within the territory of the Polish state and beyond in places where the representatives of the RP are functioning"
62,Poland_2013_copy_of_PO_NCSS.pdf,6," ( diplomatic agencies, military levies, ) cyberterrorism, an offence of a terrorist nature committed in cyberspace, computer security incident, a single event or a series of adverse events related to information security which pose a significant likelihood of disruption of business operations and jeopardize the security of information ("
63,Poland_2013_copy_of_PO_NCSS.pdf,6," According to the PN-ISO/IEC 27000 norm, series ) organizational unit an organizational unit within the meaning of the Act of 23 April 1964"
64,Poland_2013_copy_of_PO_NCSS.pdf,6, Civil Code ( OJ No
65,Poland_2013_copy_of_PO_NCSS.pdf,6," 16 item 93 as amended ) PCS, a plenipotentiary for cyberspace security in organizational units of public administration entrepreneur, an entrepreneur within the meaning of Article 4 of the Act of 2 July 2004 on freedom of economic activity, ( OJ of 2010 No"
66,Poland_2013_copy_of_PO_NCSS.pdf,6," 220 item 1447, as amended, ) or any other organizational unit, regardless of the form of ownership"
67,Poland_2013_copy_of_PO_NCSS.pdf,7," Risk assessment means the total risk analysis, which consists of risk identification, Page 5 of 24 Ministry of Administration and Digitisation, Internal Security, Agency"
68,Poland_2013_copy_of_PO_NCSS.pdf,7,"and determination of extent of risks, as well as the risk assessment process, cyberspace user, each organizational unit, an office supporting a public administration authority, an Entrepreneur and a natural person who uses the resources of cyberspace, Strategic Objective "
69,Poland_2013_copy_of_PO_NCSS.pdf,7,The strategic objective of the Policy is to achieve an acceptable level of cyberspace security of the State 
70,Poland_2013_copy_of_PO_NCSS.pdf,7,The achievement of the strategic objective is accomplished by creating a legal and organizational framework and a system for effective coordination and exchange of information between the users of CRP Actions undertaken to achieve the strategic objective are the result of risk assessments conducted by the qualified entities
71,Poland_2013_copy_of_PO_NCSS.pdf,7," With respect to threats occurring in cyberspace, At the same time, the Policy is in line with the objectives of 1 ), the Digital Agenda for Europe of the European Council, [ COM, (, 2010, ), 245, ] 2 )"
72,Poland_2013_copy_of_PO_NCSS.pdf,7," The Strategy for Development of Information Society, 3 )"
