,Document,Page,Sentence
0,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,2,"Society, the economy and the state depend on information and communications technology"
1,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,2,We have witnessed the accelerated development of an information society and the growing dependency on ICT in areas vital to the functioning of the nation
2,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,2," The definition of a digital agenda allows the provision of economic and social benefits, stimulates job creation, sustainability and social inclusion"
3,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,2, Maximising the benefits new technologies have to offer and to improve the structure of the national framework
4,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,2," These technologies are vulnerable, however, and create social and material risks"
5,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,2," If, on the one hand, they bring clear benefits to society on the other, they significantly increase the risks resulting from dependency and the quantity of stored and circulating information that exposes the state, business and citizens"
6,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,2, Cyberspace transposes real life to a virtual world with unique characteristics that require new forms of interaction and relationships
7,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,2," In terms of legal issues of a personal nature, there has been an exponential increase in sex crimes against minors, facilitated by the Internet, with this phenomenon, often involving a criminal, transnational dimension and highly sophisticated methods which demands firm, determined and effective intervention"
8,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,2,"This networked world engenders new and unique criminal activities such as cybercrime, in particular, organised cybercrime associated with bank fraud and identity theft linked to the former, the many forms of political hacktivism (, such as the leaking of sensitive or classified information and information sabotage ), as well As an increase of state and industrial espionage, "
9,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,2,There is evidence of the ability of political and religious activists with criminal and terrorist motivations to engage nationally and internationally in activities that have an impact on the security of vital information infrastructures
10,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,2," These pose serious threats to the survival of the rule of law and to a space for freedom, security and justice"
11,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,2," The need to protect those areas embodying national sovereignty, ensuring the nations political and strategic autonomy, as well as the growing number of malicious incidents and attacks mean the security of cyberspace should be considered a national priority"
12,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,2," Therefore, it is important that the state has a National Cyberspace Security Strategy that establishes goals and lines of action that seek to ensure effective crisis management, the coordination of operational responses to cyber-attacks, the development of national synergies and improved national European and international cooperation in this area"
13,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,2,"National Cyberspace Security Strategy, Portugal, "
14,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,3,"Efforts to reduce weaknesses in the security of information networks and to increase the resilience of their critical infrastructures are also essential, both within the framework of the Cybersecurity Strategy of the European Union ( EU ) and the North Atlantic Treaty Organisations ( NATO ) cyber defence policies"
15,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,3," It is essential to invest in strengthening this cooperation, which will result in an exponentially improved effectiveness in protecting the "
16,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,3,"In this context, it is important to outline a vision and a strategic, logical and coherent framework"
17,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,3,"National Cyberspace Security Strategy, Portugal, "
18,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,4,"Presidency OF THE COUNCIL OF MINISTERS Resolution of the Council of Ministers 36/2015 In accordance to with articles 199 ( d, ), (, f, ), ( g ) and 200 ( 1a ) of the Portuguese Constitution"
19,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,4, The Council of Ministers resolves to: 
20,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,4,"1 Approve the National Cyberspace Security Strategy, which is appended to and forms part of this current resolution"
21,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,4,"2 Establish that the current resolution takes effect on the date of its approval, NATIONAL CYBERSPACE SECURITY STRATEGY"
22,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,4,The National Cyberspace Security Strategy
