,Document,Page,Sentence
0,Qatar_2014_national_cyber_security_strategy.pdf,1,"Qatar, National Cyber Security Strategy, "
1,Qatar_2014_national_cyber_security_strategy.pdf,2,"Qatar, NATIONAL CYBER SECURITY, STRATEGY"
2,Qatar_2014_national_cyber_security_strategy.pdf,3,"Qatar, NATIONAL CYBER SECURITY, STRATEGY"
3,Qatar_2014_national_cyber_security_strategy.pdf,3,"TABLE OF CONTENTS, FOREWORD "
4,Qatar_2014_national_cyber_security_strategy.pdf,3,"The IMPORTANCE OF CYBER SECURITY TO QATAR, 1 Threats, "
5,Qatar_2014_national_cyber_security_strategy.pdf,3,"3; Existing Capabilities to Meet the Threats; andChallenges, QATARS, NEW APPROACH TO CYBER SECURITY, 1 Vision, "
6,Qatar_2014_national_cyber_security_strategy.pdf,3,"3 Strategic Initiatives, ACTION PLAN FOR 20142018; "
7,Qatar_2014_national_cyber_security_strategy.pdf,3,"3 Performance Measurement, MOVING FORWARD; "
8,Qatar_2014_national_cyber_security_strategy.pdf,4,"Qatar, NATIONAL CYBER SECURITY, STRATEGY"
9,Qatar_2014_national_cyber_security_strategy.pdf,5,"Qatar, NATIONAL CYBER SECURITY, STRATEGY"
10,Qatar_2014_national_cyber_security_strategy.pdf,5,The Internet has connected us to people all over the globe in ways that were unimaginable a decade ago
11,Qatar_2014_national_cyber_security_strategy.pdf,5, Reducing barriers to communication and promoting cooperation in every area of our personal and professional lives
12,Qatar_2014_national_cyber_security_strategy.pdf,5, Cyberspace has become a dynamic and integral part of our society
13,Qatar_2014_national_cyber_security_strategy.pdf,5," Propelling economic growth and innovation and enriching our lives in countless waysand, it will continue to expand and afford us even more opportunity in the future"
14,Qatar_2014_national_cyber_security_strategy.pdf,5," However, with these great rewards come new risks to the very infrastructure that underpins our ability to use the Internet safely and securely"
15,Qatar_2014_national_cyber_security_strategy.pdf,5," Cyberspace, with its unlimited borders, provides those who would do harm with unparalleled opportunities to interfere with individuals and businesses"
16,Qatar_2014_national_cyber_security_strategy.pdf,5," Luckily, we do not have to face this formidable task of cyber security alone"
17,Qatar_2014_national_cyber_security_strategy.pdf,5," In this era of increasingand, increasingly maliciouscyber attacks of all sorts keeping our networks and our people safe, is one of the greatest global challenges facing allnations"
18,Qatar_2014_national_cyber_security_strategy.pdf,5," To address those challenges, Qatar is ramping up Its cyber security efforts, as well as working with our counterparts across the globe to ensure an open and secure cyberspace"
19,Qatar_2014_national_cyber_security_strategy.pdf,5," In 2013, the Prime Minister established the National Cyber Security Committee to address the cyber agenda at the national level and to ensure that all public and private entities are adopting the right cyber agenda"
20,Qatar_2014_national_cyber_security_strategy.pdf,5, And we have developed a National Cyber Security Strategy which is outlined
21,Qatar_2014_national_cyber_security_strategy.pdf,5, In the pages of this document
22,Qatar_2014_national_cyber_security_strategy.pdf,5,", The objectives are very clear: safeguard the nations critical information infrastructure, respond to and recover from cyber attacks, establish a legal framework and regulations to establish a safe and secure cyberspace, foster a culture of cyber security that promotes safe and appropriate use Of cyberspace and enhance our national cyber security capabilities"
23,Qatar_2014_national_cyber_security_strategy.pdf,5,", While the government will lead the effort to safeguard government systems and networks to succeed, cyber security must be a shared responsibility of government businesses, institutions and individuals, and stakeholder coordination is essential"
24,Qatar_2014_national_cyber_security_strategy.pdf,5, As new complex and global
25,Qatar_2014_national_cyber_security_strategy.pdf,5, Cyber security challenges emerge
26,Qatar_2014_national_cyber_security_strategy.pdf,5, Qatar is well positioned to be vigilant in enhancing the countrys cyber readiness and resilience and protecting cyberspace for future generations
27,Qatar_2014_national_cyber_security_strategy.pdf,5," Inspired by the leaders of our nation, as envisioned in the Qatar National Vision 2030, we will continue to harness the power of information and communications technology to ensure a prosperous future for all of our people"
28,Qatar_2014_national_cyber_security_strategy.pdf,5," Hessa Al-Jaber, Minister of Information and Communications Technology, "
29,Qatar_2014_national_cyber_security_strategy.pdf,6,"Qatar, NATIONAL CYBER SECURITY, STRATEGY"
30,Qatar_2014_national_cyber_security_strategy.pdf,6,"EXECUTIVE SUMMARY: The Internet has been an unprecedented engine for development, social progress and inno- vation"
31,Qatar_2014_national_cyber_security_strategy.pdf,6," However, it is also used by cyber criminals, hackers, hacktivists and foreign intelligence services who want to harm us by compromising or damaging our digital infrastructure"
32,Qatar_2014_national_cyber_security_strategy.pdf,6," The unlimited borders of cyberspace have provided them with an unparalleled opportunity to interfere with individuals, businesses, government and other institutions, and they use some of the most malicious and advanced techniques"
33,Qatar_2014_national_cyber_security_strategy.pdf,6, One of the greatest global and strategic chal- lenges of our time is how to sustain a safe environment while continuing to expand the benefits of a free and open cyberspace
34,Qatar_2014_national_cyber_security_strategy.pdf,6, Developing economy is using information and communications technology
35,Qatar_2014_national_cyber_security_strategy.pdf,6, ( ICT ) as a platform for innovation and prosperity
36,Qatar_2014_national_cyber_security_strategy.pdf,6, Resilience and security in cyberspace are vital to Qatars continued success and growth
37,Qatar_2014_national_cyber_security_strategy.pdf,6," Therefore, a comprehensive national strategy is required to address current and emerging threats and risks"
38,Qatar_2014_national_cyber_security_strategy.pdf,6," In 2013, Qatar established the National Cyber Security Committee, ( Committee, ), to provide a governance structure for collaboratively addressing cyber security at the highest levels of its government"
39,Qatar_2014_national_cyber_security_strategy.pdf,6," The Committee developed Qatars National Cyber Security Strategy, ( NCSS ), which represents a blueprint for moving forward to improve Qatars cyber security"
40,Qatar_2014_national_cyber_security_strategy.pdf,6," The NCSS combines good governance with a set of cyber security initiatives, measures and awareness programs that will result in an efficient protective strategy in the long term"
41,Qatar_2014_national_cyber_security_strategy.pdf,6, The NCSS is based on a deep understanding of the threats and challenges
42,Qatar_2014_national_cyber_security_strategy.pdf,6, Qatar is facingfrom malicious actors to a shortage of workers with the necessary cyber security skills and a lack of reliable local providers of cyber security
43,Qatar_2014_national_cyber_security_strategy.pdf,6, Servicesand is divided into several sections
44,Qatar_2014_national_cyber_security_strategy.pdf,6, Chapter 2 describes the threats and Qatars existing capabilities in detail
45,Qatar_2014_national_cyber_security_strategy.pdf,6," Qatars, current capabilities to respond to the threatsfrom policy instruments such as the National Information Assurance Policy and the Banking Supervision Rules to the technical and operational expertise in Qatars Computer Emergency Response, Team, (, Q-CERT ) a Trusted authority that promotes the identifi-, cation and prevention of cyber attacks for the government and critical sectorsprovide a strong foundation for continuing to improve Qatars cyber security"
46,Qatar_2014_national_cyber_security_strategy.pdf,6, Chapter 3 describes Qatars strategic approach to national cyber security
47,Qatar_2014_national_cyber_security_strategy.pdf,6, Qatars vision is to establish and maintain a secure cyberspace to safeguard national interests and preserve the fundamental rights and values of our society
48,Qatar_2014_national_cyber_security_strategy.pdf,6, The vision is supported by five objectives that determine where action will be taken to deliver benefit and improve Qatars
49,Qatar_2014_national_cyber_security_strategy.pdf,6," Cyber security, Objective 1 Safeguard the national critical information infrastructure, Objective 2, Respond to resolve and recover from cyber incidents and attacks through timely information, sharing collaboration and action"
50,Qatar_2014_national_cyber_security_strategy.pdf,7, Objective 3 Establish a legal and regulatory framework to enable a safe and vibrant cyberspace
51,Qatar_2014_national_cyber_security_strategy.pdf,7,Objective 4 Foster a culture of cyber security that promotes safe and appropriate use of cyberspace and 
52,Qatar_2014_national_cyber_security_strategy.pdf,7,Objective 5 Develop and cultivate national cyber security capabilities
53,Qatar_2014_national_cyber_security_strategy.pdf,7," These objectives provide the foundation for protecting against preparing for detecting, responding to and recovering from, cyber incidents and attacks"
54,Qatar_2014_national_cyber_security_strategy.pdf,7, Each objective is supported by initiatives that will drive action
55,Qatar_2014_national_cyber_security_strategy.pdf,7, Chapter 4 provides details on the Qatari Governments Action Plan to achieve Qatars cyber security vision
56,Qatar_2014_national_cyber_security_strategy.pdf,7, The Action Plan is organized by objective
57,Qatar_2014_national_cyber_security_strategy.pdf,7, The delivery of these projects will take considerable time and coordination between all stakeholders
