,Document,Page,Sentence
0,Romania_2013_Orig_Ro_StrategiaDeSecuritateCiberneticaARomaniei.pdf,1,The Government of Romania 
1,Romania_2013_Orig_Ro_StrategiaDeSecuritateCiberneticaARomaniei.pdf,1,"271/2013 for the approval of the Cyber Security Strategy, a Romania and the National Implementation Action Plan, National Cyber Security System"
2,Romania_2013_Orig_Ro_StrategiaDeSecuritateCiberneticaARomaniei.pdf,1,"Published in the Official Gazette Part, I no"
3,Romania_2013_Orig_Ro_StrategiaDeSecuritateCiberneticaARomaniei.pdf,1,296 of 23 Decision on the approval of Romania's Cyber Security Strategy and the Plan action at national level on the implementation of the National Cyber Security System
4,Romania_2013_Orig_Ro_StrategiaDeSecuritateCiberneticaARomaniei.pdf,1,"108 of the Constitution of Romania, republished and art"
5,Romania_2013_Orig_Ro_StrategiaDeSecuritateCiberneticaARomaniei.pdf,1,"f ) of Law, no"
6,Romania_2013_Orig_Ro_StrategiaDeSecuritateCiberneticaARomaniei.pdf,1,"90/2001 on the organization and functioning of the Romanian Government and of the Ministries as amended and further additions, The Government of Romania adopts this judgment"
7,Romania_2013_Orig_Ro_StrategiaDeSecuritateCiberneticaARomaniei.pdf,1," The Romanian Cyber Security Strategy, as set out in Annex no The National Action Plan on the Implementation of the National System, is approved, of cyber security set out in Annex no Ministry of Information"
8,Romania_2013_Orig_Ro_StrategiaDeSecuritateCiberneticaARomaniei.pdf,1, Society and other responsible public authorities have the obligation to carry out the objectives and directions of action set out in the cyber security of Romania and in the National Implementation Action Plan
9,Romania_2013_Orig_Ro_StrategiaDeSecuritateCiberneticaARomaniei.pdf,1," The National Cyber Security System, in compliance with the legal provisions in force, Annexes no"
10,Romania_2013_Orig_Ro_StrategiaDeSecuritateCiberneticaARomaniei.pdf,1,1 and 2 form an integral part of this judgment
11,Romania_2013_Orig_Ro_StrategiaDeSecuritateCiberneticaARomaniei.pdf,1,"Minister for Information Society, 1 * ) Annex no"
12,Romania_2013_Orig_Ro_StrategiaDeSecuritateCiberneticaARomaniei.pdf,1,2 shall be communicated to the institutions concerned being classified according to the law
13,Romania_2013_Orig_Ro_StrategiaDeSecuritateCiberneticaARomaniei.pdf,2,"Minister of Public Finance, "
14,Romania_2013_Orig_Ro_StrategiaDeSecuritateCiberneticaARomaniei.pdf,2,"The Deputy Minister for the Budget, Liviu Voinea "
