,Document,Page,Sentence
0,Russia_2014_Orig_Draft_41d4b3dfbdb25cea8a73.pdf,1,"The CONCEPT OF CYBER SECURITY STRATEGY, RUSSIAN FEDERATION "
1,Russia_2014_Orig_Draft_41d4b3dfbdb25cea8a73.pdf,1,"This Concept justifies the necessity and timeliness development of the Cybersecurity Strategy of the Russian Federation ( hereinafter Strategy ) defines its principles and directions, as well as its place in the system normative acts of the state"
2,Russia_2014_Orig_Draft_41d4b3dfbdb25cea8a73.pdf,1," The urgency of developing the Strategy, Information and communication technologies"
3,Russia_2014_Orig_Draft_41d4b3dfbdb25cea8a73.pdf,1," ( ICT ) are rapidly developing, develop, strengthening their influence on all key areas of activity, citizen organizations and the state in the Russian Federation"
4,Russia_2014_Orig_Draft_41d4b3dfbdb25cea8a73.pdf,1,Internet and other components of cyberspace have established themselves as economic system-forming factor and modernization
5,Russia_2014_Orig_Draft_41d4b3dfbdb25cea8a73.pdf,1,Introduction of ICT in the processes
6,Russia_2014_Orig_Draft_41d4b3dfbdb25cea8a73.pdf,1, Government controlled is the basis for building an effective and socially responsible democratic state in the 21st century
7,Russia_2014_Orig_Draft_41d4b3dfbdb25cea8a73.pdf,1," This regard, it is purposeful development of national sector of application of information technologies, state "
8,Russia_2014_Orig_Draft_41d4b3dfbdb25cea8a73.pdf,1,"At the same time, with a significant increase in capacity, penetration of ICT into all spheres of life causes the emergence of a number of new and development of some existing threats to the individual society and the state"
9,Russia_2014_Orig_Draft_41d4b3dfbdb25cea8a73.pdf,1," The transboundary nature of cyberspace, its dependence on complex information technologies, active use of sites and services, cyberspace by all citizens of Russia determine new opportunities, but at the same time, they develop new threats for groups of "
10,Russia_2014_Orig_Draft_41d4b3dfbdb25cea8a73.pdf,1,"Damage to the rights interests and life of the individual organization, state bodies, "
11,Russia_2014_Orig_Draft_41d4b3dfbdb25cea8a73.pdf,1,"Cyber attacks against the protected information resources, the parties of cybercriminals and cyber-terrorists, The use of cyber weapons in special operations and cyberwar, including those accompanying traditional hostilities, "
12,Russia_2014_Orig_Draft_41d4b3dfbdb25cea8a73.pdf,1,"At present, the Russian Federation has adopted a number of documents: the national directed by information, security"
