,Document,Page,Sentence
0,SaudiArabia_NISS_Draft_7_EN.pdf,1,"Developing National Information Security Strategy for the Kingdom of Saudi Arabia, NISS DRAFT 7 "
1,SaudiArabia_NISS_Draft_7_EN.pdf,2,"National Information Security Strategy, "
2,SaudiArabia_NISS_Draft_7_EN.pdf,2,"1: The NISS Project, 2 NISS Vision, "
3,SaudiArabia_NISS_Draft_7_EN.pdf,2,4 Approach to the NISS 
4,SaudiArabia_NISS_Draft_7_EN.pdf,2,"Summary of Findings of KSA's Current Information, Security, Posture and Activities, 0 NISS GENERAL OBJECTIVES, "
5,SaudiArabia_NISS_Draft_7_EN.pdf,2,"1 Information, Security, Environment, "
6,SaudiArabia_NISS_Draft_7_EN.pdf,2,2 Relationship to Kingdom's Top ICT Objectives
7,SaudiArabia_NISS_Draft_7_EN.pdf,2,"1, Objective, G-1 Work towards having a Secure and Effective National Information Security Environment, (, NISE, ), 19 4"
8,SaudiArabia_NISS_Draft_7_EN.pdf,2,2 Objective G-2 Establish a National IS Policy and Directive Issuance System 
9,SaudiArabia_NISS_Draft_7_EN.pdf,2,"3 Objective G-3 Establish NISE IS Compliance, Function, "
10,SaudiArabia_NISS_Draft_7_EN.pdf,2,"4, Objective, G-4, Establish and Expand Programs for Development of the IS Human Resource, ( HR, ) "
11,SaudiArabia_NISS_Draft_7_EN.pdf,2,5 Objective G-5 Establish NISE Outreach and Awareness Function and All Remaining Functions
12,SaudiArabia_NISS_Draft_7_EN.pdf,2,2 Policy and Regulation 
13,SaudiArabia_NISS_Draft_7_EN.pdf,2,2 Relationship to Kingdom's Top ICT Objectives
14,SaudiArabia_NISS_Draft_7_EN.pdf,2,"1, Objective, P-1, National Policy, Framework, "
15,SaudiArabia_NISS_Draft_7_EN.pdf,2,"2, Objective, P-2 Policy, Maintenance, "
16,SaudiArabia_NISS_Draft_7_EN.pdf,2,"3, Objective, P-3 Gap, Analysis, "
17,SaudiArabia_NISS_Draft_7_EN.pdf,2,"3, Risk Management and Assessment; "
18,SaudiArabia_NISS_Draft_7_EN.pdf,2,2 Relationship to Kingdom's Top
19,SaudiArabia_NISS_Draft_7_EN.pdf,2,"1, Objective, K-1 Establish the National, IS Risk Assessment Function, (, NRAF, ), "
20,SaudiArabia_NISS_Draft_7_EN.pdf,2,"2, Objective K-2, Establish the National Risk Process Management System, (, RPMS, ), "
21,SaudiArabia_NISS_Draft_7_EN.pdf,2,3 Objective K-3 Conduct IS Risk Assessments of Major ICT Systems for a Kingdom Baseline 
22,SaudiArabia_NISS_Draft_7_EN.pdf,2,2 Relationship to Kingdom's Top ICT Objectives
23,SaudiArabia_NISS_Draft_7_EN.pdf,2,"1, Objective, T-1, ICT Infrastructure, Evolution, Architecture, Implementation Management and Operations; 43 4"
24,SaudiArabia_NISS_Draft_7_EN.pdf,2,"2, Objective, T-2, Technical Frameworks for ICT Infrastructures and Information Systems; "
25,SaudiArabia_NISS_Draft_7_EN.pdf,2,"3, Objective, T-3, Government, ICT Infrastructures, "
26,SaudiArabia_NISS_Draft_7_EN.pdf,2,2 Relationship To Kingdom's Top ICT Objectives
27,SaudiArabia_NISS_Draft_7_EN.pdf,3,I | P a g e 
28,SaudiArabia_NISS_Draft_7_EN.pdf,3,1 Objective H-1 Increase Number of Saudi IS Practitioners and Managers 
29,SaudiArabia_NISS_Draft_7_EN.pdf,3,"2 Objective H-2 Increase and Improve Information Security, Education, "
30,SaudiArabia_NISS_Draft_7_EN.pdf,3,"3, Objective H-3 Increase and Improve Information Security, Training, "
31,SaudiArabia_NISS_Draft_7_EN.pdf,3,"4 Objective H-4, Expand and Improve Information Security, Awareness, "
32,SaudiArabia_NISS_Draft_7_EN.pdf,3,"5, Objective, H-5, Promote and Emphasize the Concept of Shared Responsibility"
33,SaudiArabia_NISS_Draft_7_EN.pdf,3,"6, Re-assessment and Audit "
34,SaudiArabia_NISS_Draft_7_EN.pdf,3,2 Relationship to Kingdom's Top ICT Objectives
35,SaudiArabia_NISS_Draft_7_EN.pdf,3,"1, Objective, A-1 Assessment and Audit Methodology, "
36,SaudiArabia_NISS_Draft_7_EN.pdf,3,"2 Objective, A-2, Baseline Security Standards, "
37,SaudiArabia_NISS_Draft_7_EN.pdf,3,"3 Objective, A-3 Assessment and Audit Framework "
38,SaudiArabia_NISS_Draft_7_EN.pdf,3," National Cooperation and Sharing for Information Security, "
39,SaudiArabia_NISS_Draft_7_EN.pdf,3,2 Relationship to Kingdom's Top ICT Objectives
40,SaudiArabia_NISS_Draft_7_EN.pdf,3,"1 Objective N-1 Enhance Information, Sharing, Capabilities, "
41,SaudiArabia_NISS_Draft_7_EN.pdf,3,"2, Objective, N-2 Focus, National Cooperation and Coordination, "
42,SaudiArabia_NISS_Draft_7_EN.pdf,3,"3 Objective N-3 Create a National IS, and Cyber Exercise Program, 62 International Cooperation and Sharing for Information Security, "
43,SaudiArabia_NISS_Draft_7_EN.pdf,3,2 Relationship to Kingdom's Top ICT Objectives
44,SaudiArabia_NISS_Draft_7_EN.pdf,3,"1, Objective, I-1, Strengthen the Kingdom's National Technical Capabilities, "
45,SaudiArabia_NISS_Draft_7_EN.pdf,3,"2 Objective I-2, Combat Cybercrime, "
46,SaudiArabia_NISS_Draft_7_EN.pdf,3,"3, Objective I-3, Expand Research and Innovation Through International Cooperation, "
47,SaudiArabia_NISS_Draft_7_EN.pdf,3,"9 Research and Innovation, "
48,SaudiArabia_NISS_Draft_7_EN.pdf,3,2 Relationship to Kingdom's Top ICT Objectives
49,SaudiArabia_NISS_Draft_7_EN.pdf,3,"1, Objective, R-1, Expand and Integrate IS Research, Infrastructure, "
50,SaudiArabia_NISS_Draft_7_EN.pdf,3,"2, Objective R-2, Develop a Review Process for Proposals, "
51,SaudiArabia_NISS_Draft_7_EN.pdf,3,"3, Objective R-3 Support and Encourage Researchers and Entrepreneurs; "
52,SaudiArabia_NISS_Draft_7_EN.pdf,3,"4 Objective R-4, Adopt Project Planning and Tracking Tools; "
53,SaudiArabia_NISS_Draft_7_EN.pdf,3,5 Objective R-5 Develop a Strong Marketing Capability; 
54,SaudiArabia_NISS_Draft_7_EN.pdf,3,1 NISS Elements and Human Attributes; 
55,SaudiArabia_NISS_Draft_7_EN.pdf,3,"1 NISS Five-Year Implementation, Schedule; "
56,SaudiArabia_NISS_Draft_7_EN.pdf,3,"2, Top Level; NISS Recommendations: "
57,SaudiArabia_NISS_Draft_7_EN.pdf,3,"1 Information, Security, Environment, "
58,SaudiArabia_NISS_Draft_7_EN.pdf,3,4 Risk Assessment and Management; 
59,SaudiArabia_NISS_Draft_7_EN.pdf,3,"5, National, ICT Infrastructure, "
60,SaudiArabia_NISS_Draft_7_EN.pdf,3,"6, National and International Cooperation, "
61,SaudiArabia_NISS_Draft_7_EN.pdf,3,8 Research and Innovation; 
62,SaudiArabia_NISS_Draft_7_EN.pdf,3,"2 Recommendations Outside the NISS Scope, But NISS Related "
63,SaudiArabia_NISS_Draft_7_EN.pdf,3,1 NISS and Cybersecurity and Critical Infrastructure Protection
64,SaudiArabia_NISS_Draft_7_EN.pdf,4,"Ii, | P a g e "
65,SaudiArabia_NISS_Draft_7_EN.pdf,4,"National Information Security Strategy, "
66,SaudiArabia_NISS_Draft_7_EN.pdf,4,"4 Critical Infrastructure Protection, APPENDICES "
67,SaudiArabia_NISS_Draft_7_EN.pdf,4,Glossary OF NISS TERMS AND ACRONYMS 
68,SaudiArabia_NISS_Draft_7_EN.pdf,4,1 TABLE OF FIGURES Figure 2
69,SaudiArabia_NISS_Draft_7_EN.pdf,4,"2-1 Achieving the Kingdoms, Future Vision, Figure, 3"
70,SaudiArabia_NISS_Draft_7_EN.pdf,4,"0-1, NISS, General Objectives; "
71,SaudiArabia_NISS_Draft_7_EN.pdf,4,0-2 Relationship of Each NISS General Objective to the Objectives of Each NISS Element: 
72,SaudiArabia_NISS_Draft_7_EN.pdf,4,1-1 NISE and Functions 
73,SaudiArabia_NISS_Draft_7_EN.pdf,4,"1-2 Sample of Countries With National IS Environment, Figure, 4"
74,SaudiArabia_NISS_Draft_7_EN.pdf,4,"2-1 High-level Gap, Analysis of National Level Policies, Laws and Regulations, Figure 4"
75,SaudiArabia_NISS_Draft_7_EN.pdf,4," The Risk Assessment and Management Cycle Figure, 4"
76,SaudiArabia_NISS_Draft_7_EN.pdf,4,"4-1 Design Implement, Operate and Manage Figure 4"
77,SaudiArabia_NISS_Draft_7_EN.pdf,4,8-1 International Organizations Involved in Information Security and Cybersecurity
78,SaudiArabia_NISS_Draft_7_EN.pdf,4,"1-1 Elements of the National Information Security Strategy, Figure; 5"
79,SaudiArabia_NISS_Draft_7_EN.pdf,4,"1-2 NISS Implementation, Five-Year Timeline, Figure, 5"
80,SaudiArabia_NISS_Draft_7_EN.pdf,4,"2-1, NISS Cybersecurity, CIP Relationships, Figure, 5"
81,SaudiArabia_NISS_Draft_7_EN.pdf,4,"2-2, Examples of Unique and Overlapping Areas for Individual Domains"
82,SaudiArabia_NISS_Draft_7_EN.pdf,5,"Iii, | P: a g e "
83,SaudiArabia_NISS_Draft_7_EN.pdf,5,National Information Security Strategy; 
84,SaudiArabia_NISS_Draft_7_EN.pdf,5,"0 EXECUTIVE SUMMARY: This National Information Security Strategy, ( NISS ) for the Kingdom of Saudi Arabia, (, KSA, / Kingdom ) is in response to a Request for Proposal"
