,Document,Page,Sentence
0,Slovenia_2016_Cyber_Security_Strategy.pdf,1,Establishing A SYSTEM TO ENSURE A HIGH LEVEL OF CYBER SECURITY 
1,Slovenia_2016_Cyber_Security_Strategy.pdf,2,Participants in document preparation: 
2,Slovenia_2016_Cyber_Security_Strategy.pdf,2,"Agency for Communication Networks and Services of the Republic of Slovenia, "
3,Slovenia_2016_Cyber_Security_Strategy.pdf,2,"Energy Agency of the Republic of Slovenia, Ministry of Defence "
4,Slovenia_2016_Cyber_Security_Strategy.pdf,2,"Ministry of Economic Development and Technology, Ministry of Education, Science and Sport, Ministry of Finance, "
5,Slovenia_2016_Cyber_Security_Strategy.pdf,2,Ministry of Foreign Affairs 
6,Slovenia_2016_Cyber_Security_Strategy.pdf,2,Ministry of Public Administration 
7,Slovenia_2016_Cyber_Security_Strategy.pdf,2,Ministry of the Interior 
8,Slovenia_2016_Cyber_Security_Strategy.pdf,2,"Ministry of the Interior, The Police, National Security Council Office of the Government of the Republic of Slovenia for the Protection of Classified Information"
9,Slovenia_2016_Cyber_Security_Strategy.pdf,2,"Slovenian Computer Emergency Response Team, (, SI-CERT ) "
10,Slovenia_2016_Cyber_Security_Strategy.pdf,2,Slovenian Intelligence and Security Agency 
11,Slovenia_2016_Cyber_Security_Strategy.pdf,3,Analysis of the present situation - 
12,Slovenia_2016_Cyber_Security_Strategy.pdf,3,"5, Changes of the security environment "
13,Slovenia_2016_Cyber_Security_Strategy.pdf,3,"The establishment of a comprehensive cyber security system and clear governance structure, The areas of strategy implementation, "
14,Slovenia_2016_Cyber_Security_Strategy.pdf,3,"Strategy objectives and measures for their achievement: 1, Strengthening and systemic regulation of the national cyber security assurance system; 2, The safety of citizens in cyberspace, 3; Cyber security in the economy 4, Providing the operation of critical infrastructure in the sector of ICT support; 5"
15,Slovenia_2016_Cyber_Security_Strategy.pdf,3," Cyber security assurance to ensure public security and combat cyber crime, 6 Development of defensive cyber capabilities; 7, Ensuring safe operation and availability of key ICT systems in the event of major natural and other disasters"
16,Slovenia_2016_Cyber_Security_Strategy.pdf,3,"8, Strengthening national cyber security through international cooperation Strategy implementation risks, "
