,Document,Page,Sentence
0,SouthAfrica_2010_100219cybersecurity.pdf,1,4: 5 Vxnn February Vol
1,SouthAfrica_2010_100219cybersecurity.pdf,1,"536, Pretoria, 19, Februarie, 2010 No"
2,SouthAfrica_2010_100219cybersecurity.pdf,1," The Government Printing Works will E t not be held responsible for the quality of S, Hard Copies or ``"
3,SouthAfrica_2010_100219cybersecurity.pdf,1, Elecfronic Files 3 submitted for publication purposes: 3
4,SouthAfrica_2010_100219cybersecurity.pdf,1,Aids HELPLINE 0800-0123-22 Prevention is the cure
5,SouthAfrica_2010_100219cybersecurity.pdf,2, 32963 GOVERNMENT GAZETTE 19 FEBRUARY 2010
6,SouthAfrica_2010_100219cybersecurity.pdf,2,"The Government Printing Works will not be held responsible for faxed documents not received due to errors on the fax machine or faxes received, which are unclear or incomplete"
7,SouthAfrica_2010_100219cybersecurity.pdf,2, Please be advised that an OK'' slip received from a fax machine will not be accepted as proof that documents were received by the GPW for printing
8,SouthAfrica_2010_100219cybersecurity.pdf,2," If documents are faxed to the GPW, it will be the senders, respon- sibility to phone and confirm that the documents were received in good order"
9,SouthAfrica_2010_100219cybersecurity.pdf,2," Furthermore, the Government Printing Works will also not be held responsible for cancellations and amendments which have not been done on original documents received from clients"
10,SouthAfrica_2010_100219cybersecurity.pdf,2,"Government Notice 118 Electronic Communications Act, ( 36/2005 ) Notice of intention to make South African National Cybersecurity Policy"
11,SouthAfrica_2010_100219cybersecurity.pdf,3, GOVERNMENT COURT 19 FEBRUARY 2010 No
12,SouthAfrica_2010_100219cybersecurity.pdf,3, 32963 3 GOVERNMENT NOTICE
13,SouthAfrica_2010_100219cybersecurity.pdf,3," 118, 19 February 2010 NOTICE OF INTENTION TO MAKE SOUTH AFRICAN NATIONAL CYBERSECURITY POLICY"
14,SouthAfrica_2010_100219cybersecurity.pdf,3," L, Gen, (, Rel, ), Siphiwe Nyanda Minister of Communications, hereby give notice of the intention to make South African National Cybersecurity Policy in the schedule"
15,SouthAfrica_2010_100219cybersecurity.pdf,3, In terms of section 3
16,SouthAfrica_2010_100219cybersecurity.pdf,3, ( 1 ) of the Electronic Communications Act
17,SouthAfrica_2010_100219cybersecurity.pdf,3, ( Act No of 2005 ) 
18,SouthAfrica_2010_100219cybersecurity.pdf,3,Interested persons are hereby invited to furnish written submissions on the proposed Cybersecurity Policy within 30 calendar days of the date of publication of this notice at any of following addresses For attention
