,Document,Page,Sentence
0,Spain_2013_NCSS_ESen.pdf,1,"National CYBER SECURITY STRATEGY, "
1,Spain_2013_NCSS_ESen.pdf,2,"National CYBER SECURITY STRATEGY, "
2,Spain_2013_NCSS_ESen.pdf,3,The use of Information and Communications Technologies has become wide spread in daily life in our country
3,Spain_2013_NCSS_ESen.pdf,3," This new scenario of possibilities offers un precedented development in the exchange of information and communications, but at the same time, it entails serious risks and threats which can affect Na tional Security"
4,Spain_2013_NCSS_ESen.pdf,3," Several factors contribute to the proliferation of criminal actions in cyberspace, the profitability of exploiting it in economic, political or other terms"
5,Spain_2013_NCSS_ESen.pdf,3," The ease and low cost of employing the tools used to stage attacks and the ease with which attackers can hide, make it possible to carry out these activities anonymously and from anywhere in the world, with cross-cutting impacts on the public and private sectors and on citizens themselves"
6,Spain_2013_NCSS_ESen.pdf,3," The different attacker profiles exploit technological vulnerabilities in order to glean information, steal, highly valuable assets and threaten basic services that are essential to our countrys, normal functioning"
7,Spain_2013_NCSS_ESen.pdf,3, The peaceful enjoyment of certain fundamental rights enshrined in our Constitution and in international law can be seriously compromised
8,Spain_2013_NCSS_ESen.pdf,3," As a result of actions of this kind, Fully conscious of the importance of the matter and committed to the devel opment of the Digital Society, the National Security Council has promoted the drafting of the National Cyber Security Strategy in order to provide a response to the huge Challenge entailed by protecting cyberspace from the risks and threats hovering over it"
9,Spain_2013_NCSS_ESen.pdf,3," The National Cyber Security Strategy is adopted under and aligned with the National Security Strategy of 2013, which includes cyber security in its twelve areas of action"
10,Spain_2013_NCSS_ESen.pdf,3, The adoption of the present strategic document highlights the collective capa bilities and the commitment of a nation determined to guarantee its security in cyberspace
11,Spain_2013_NCSS_ESen.pdf,3, For Spain advances in the field of cyber security
12,Spain_2013_NCSS_ESen.pdf,3," Furthermore, con- tribute to enhancing our economic potential as they promote a more secure environment for investment, job creation and competitiveness"
13,Spain_2013_NCSS_ESen.pdf,4,"The National Cyber Security Strategy is the frame of reference of a comprehen sive model based on the involvement, coordination and harmonisation of all the State actors and resources, and on public-private collaboration and citizen par ticipation"
14,Spain_2013_NCSS_ESen.pdf,4," Likewise, as cyber security is transnational cooperation with the Eu, ropean Union and other international organizations with responsibilities in this field is an essential part of this model"
15,Spain_2013_NCSS_ESen.pdf,4,"To achieve its objectives, the Strategy establishes an organisational structure that is integrated into the framework of the National Security System"
16,Spain_2013_NCSS_ESen.pdf,4, This structure will underpin the single action of the State in accordance with princi ples shared by the actors concerned and in an appropriate institutional frame work
17,Spain_2013_NCSS_ESen.pdf,4, This dependence on cyberspace requires us to devote all the necessary means to placing our capabilities at the service of cyber security
18,Spain_2013_NCSS_ESen.pdf,4, The environment is dynamic and we face many uncertainties and challenges
19,Spain_2013_NCSS_ESen.pdf,4, Only if we are firmly committed to the security of cyberspace will the competitiveness of our econo
20,Spain_2013_NCSS_ESen.pdf,4, My and Spains prosperity be a possibility
21,Spain_2013_NCSS_ESen.pdf,4," Mariano Rajoy, Brey "
22,Spain_2013_NCSS_ESen.pdf,4,"Prime Minister of Spain, "
23,Spain_2013_NCSS_ESen.pdf,5,"Executive Summary, 1 Chapter 1 Cyberspace and security, "
24,Spain_2013_NCSS_ESen.pdf,5,7 Chapter 2 Purpose and guiding principles of cyber security in Spain
25,Spain_2013_NCSS_ESen.pdf,5,"Objectives of cyber security, "
26,Spain_2013_NCSS_ESen.pdf,5,Lines of action of National cyber security - Chapter 5 - 
27,Spain_2013_NCSS_ESen.pdf,5,"Cyber security in the National Security System, NATIONAL CYBER SECURITY STRATEGY, 2013 PRESIDENCY OF THE GOVERNMENT "
28,Spain_2013_NCSS_ESen.pdf,7,The National Cyber Security 
29,Spain_2013_NCSS_ESen.pdf,7,"Strategy is the strategic document that provides the Spanish Government with a basis for developing the provisions of the National Security Strategy on the protection of cyberspace in order to im plement cyber threat prevention, defence detection response and recovery actions against cyber threats"
30,Spain_2013_NCSS_ESen.pdf,7,The Strategy consists of five chap 
31,Spain_2013_NCSS_ESen.pdf,7,"The first entitled Cyberspace and its security outlines the characteristics that define cyberspace, the opportunities it provides and the security implications of, depending on it"
32,Spain_2013_NCSS_ESen.pdf,7," This chapter shows how the particular characteristics, which are common to cyber threats and the high de pendence of the economy and essential services on cyberspace result in an in- crease in risks and threats with a poten tially serious impact on National Security"
33,Spain_2013_NCSS_ESen.pdf,7, The second chapter deals with the Purpose and guiding principles of cyber secu rity in Spain
34,Spain_2013_NCSS_ESen.pdf,7," It establishes as a purpose the setting of general guidelines for the secure use of cyberspace through a comprehen sive vision that involves the coordination of the Public Authorities, the private sec, tor and citizens and channels international initiatives in this field, respecting domestic and international law, and in Line with other national and international strategic docu ments "
35,Spain_2013_NCSS_ESen.pdf,7,"The guiding principles of cyber security are national leadership and the coordination of efforts, shared responsibility, proportionali ty, rationality and efficiency, and international cooperation as an extension of the basic principles of the National Security"
36,Spain_2013_NCSS_ESen.pdf,7,These principles underline the need for development planning of the current con text
37,Spain_2013_NCSS_ESen.pdf,7, With special emphasis on protecting the constitutional values as an element common to all four principles: 
38,Spain_2013_NCSS_ESen.pdf,7,"In the third chapter, the Strategy ex amines the Cyber security objectives in great er detail"
39,Spain_2013_NCSS_ESen.pdf,7,", An overall objective, is to ensure that Spain makes secure use of the Informa tion Systems, strengthening cyber-attack prevention, de- and Telecommunications"
40,Spain_2013_NCSS_ESen.pdf,7,"National CYBER SECURITY STRATEGY, 2013 PRESIDENCY OF THE GOVERNMENT "
41,Spain_2013_NCSS_ESen.pdf,8,"Fence detection analysis, investigation, recov-, ery and response capabilities"
42,Spain_2013_NCSS_ESen.pdf,8, The National Cyber Security Policy must serve this pur- pose
43,Spain_2013_NCSS_ESen.pdf,8," The Strategy goes on to set up six spe- cific objectives: 1 ) for the Public Authori- ties to ensure that the Information and Tel- ecommunications Systems used by them have the appropriate level of security and resilience 2 ) for companies and critical infra- structures to foster the Security and resil- ience of the networks and information sys- tems used by the business sector in general and by operators of critical infrastructures, in particular 3 ) in the judicial and police field operations to enhance prevention, detec-, tion response investigation and coordina- tion capabilities vis -- vis Terrorist activities and crime in cyberspace, 4 ) in the field of sensitisation to raise the awareness of citi-, zens professionals, companies and Spanish Public Authorities about the risks derived from cyberspace, 5 ) in capacity building to gain and maintain the knowledge, skills, ex-, perience and technological capabilities"
44,Spain_2013_NCSS_ESen.pdf,8," Spain needs to underpin all the cyber secu- rity objectives and 6 ) with respect to inter- national collaboration, to contribute to im-, proving cyber security, supporting the development of a coordinated cyber secu- rity policy in the European Union and in international organisations and to collabo- rate in The capacity building of States that so require through the development, coop- eration policy Chapter four lays down the Lines of Action of National Cyber Security"
45,Spain_2013_NCSS_ESen.pdf,8,", Interde- pendently and in connection with the ob- jectives established in the previous chapter"
46,Spain_2013_NCSS_ESen.pdf,8, The Strategy guides the action aimed at achieving the objectives set out
47,Spain_2013_NCSS_ESen.pdf,8," The fifth and last chapter is devot- ed to Cyber security in the National Se- curity System, and establishes the organi- sational structure at the service of cyber security"
48,Spain_2013_NCSS_ESen.pdf,8, Under the direction of the Prime Minister
49,Spain_2013_NCSS_ESen.pdf,8, The structure is comprised of three bodies
50,Spain_2013_NCSS_ESen.pdf,8," One already exists: the National Security Council, as the Government Delegated Commission for National Security and two are new: the Specialised Cyber Security Com- mittee, which will support the National Security Council by assisting the direction and coordination of the National Security Policy in cyber security matters and by Fostering coordination, cooperation and collaboration among Public Authorities and between them and the private sec- tor and the Specialised Situation Committee, which, with the support of the Situation Centre of the National Se- curity Department, will manage cyber se- curity crisis situations which, on account of their cross-cutting nature Or extent, "
51,Spain_2013_NCSS_ESen.pdf,9,"National CYBER SECURITY STRATEGY, 2013 PRESIDENCY OF THE GOVERNMENT "
52,Spain_2013_NCSS_ESen.pdf,9,exceed the response capabilities of the usual mechanisms
53,Spain_2013_NCSS_ESen.pdf,9,", The two Specialised manner - "
54,Spain_2013_NCSS_ESen.pdf,9,Committees will act in a complementary NATIONAL CYBER SECURITY STRATEGY
55,Spain_2013_NCSS_ESen.pdf,9, 2013 PRESIDENCY OF THE GOVERNMENT 
56,Spain_2013_NCSS_ESen.pdf,10,Cyberspace and its security 
57,Spain_2013_NCSS_ESen.pdf,11,"Chapter 1 Cyberspace and its security, "
58,Spain_2013_NCSS_ESen.pdf,11,Chapter 1 Cyberspace and its security T he development of Information and Communications Technologies
59,Spain_2013_NCSS_ESen.pdf,11, ( ICT ) has given rise to a new space in which relations are conducted and in which the speed and ease with which information and communications are exchanged have overcome the barriers of distance and time
60,Spain_2013_NCSS_ESen.pdf,11," The name given to the global and dynamic domain com posed of the infrastructures of information technology, including the Internet networks and information and telecommunications systems, has blurred borders involving their users in an unprecedented globalisation that provides new opportunities, but also entails new challenges, risks and threats"
61,Spain_2013_NCSS_ESen.pdf,11, Our societys degree of reliance on ICT and cyberspace is growing daily
62,Spain_2013_NCSS_ESen.pdf,11," Knowledge of its threats, managing the risks and building an appropriate prevention"
63,Spain_2013_NCSS_ESen.pdf,11," Defence detection analysis, investigation, recovery and response capability are essential elements of the Na tional Cyber Security Policy"
64,Spain_2013_NCSS_ESen.pdf,11,The development of ICT has given rise to a new space in which relations are conducted and in which the speed and ease with which information and communications are exchanged have overcome the barriers of distance and time
65,Spain_2013_NCSS_ESen.pdf,11,"National CYBER SECURITY STRATEGY, 2013 PRESIDENCY OF THE GOVERNMENT "
66,Spain_2013_NCSS_ESen.pdf,12,"The attacks derived from these threats, known as cyber attacks, generally share a number "
67,Spain_2013_NCSS_ESen.pdf,12,Characteristics of cyber attacks - 
68,Spain_2013_NCSS_ESen.pdf,12,"Many of the tools used by attackers can be obtained free of charge or at a very low cost, Ubiquity and ease of execution"
69,Spain_2013_NCSS_ESen.pdf,12,"The execution of attacks is independent of the location of the aggressors and, in many cases, considerable technical knowledge is not necessary"
70,Spain_2013_NCSS_ESen.pdf,12,"If the attack is well designed, it may achieve its desired objectives"
71,Spain_2013_NCSS_ESen.pdf,12,"The absence of cyber security policies, insufficient resources and lack of awareness and skills can facilitate this adverse outcome"
72,Spain_2013_NCSS_ESen.pdf,12,Reduced risk for the attacker 
73,Spain_2013_NCSS_ESen.pdf,12,Ease of concealment means that it is not easy to attribute a cyber attack to its real perpetrator or perpetrators
74,Spain_2013_NCSS_ESen.pdf,12,"This, coupled with a disparate or non-existent legal framework, makes it difficult to prosecute the action"
75,Spain_2013_NCSS_ESen.pdf,12,The host of potential attackers increases the risks and threats that can seriously jeopard ise the services provided by the Public Authorities and the Critical Infrastructures and the activities of companies and citizens
76,Spain_2013_NCSS_ESen.pdf,12," Furthermore, there is evidence that certain countries have military and intelligence capabilities to carry out cyber attacks that place National Se curity at risk"
77,Spain_2013_NCSS_ESen.pdf,12, Cyber security is a necessity of our society and our economic model
78,Spain_2013_NCSS_ESen.pdf,12,", Given the influence of Information and Telecommunications Sys- tems on the economy and public services"
79,Spain_2013_NCSS_ESen.pdf,12, Cyber security is a necessity
80,Spain_2013_NCSS_ESen.pdf,12,"Of our society and our economic model, "
81,Spain_2013_NCSS_ESen.pdf,12,"National CYBER SECURITY STRATEGY, 2013 PRESIDENCY OF THE GOVERNMENT "
82,Spain_2013_NCSS_ESen.pdf,13,"Spains stability and prosperity largely depend on the security and reliability of cyber space, qualities which can be jeopardised by technical causes, natural phenomena or deliberate aggressions Risks and threats to national Cyber Security"
83,Spain_2013_NCSS_ESen.pdf,14,"National CYBER SECURITY STRATEGY, 2013 PRESIDENCY OF THE GOVERNMENT - 11 "
84,Spain_2013_NCSS_ESen.pdf,14,"Purpose and guiding principles of cyber security in Spain, "
85,Spain_2013_NCSS_ESen.pdf,15,"And guiding principles of cyber security in Spain, "
86,Spain_2013_NCSS_ESen.pdf,15,Chapter 2 Purpose and guiding principles of cyber security in Spain
