,Document,Page,Sentence
0,Sweden.pdf,1,"National strategy for society, information and cyber security, 2016/17:213 "
1,Sweden.pdf,2,Government letter 2016/17 213 
2,Sweden.pdf,2,National strategy for society's information and cyber security 
3,Sweden.pdf,2,The government passes this letter to the Riksdag
4,Sweden.pdf,2,"Anders Ygeman ( Ministry of Justice, ) "
5,Sweden.pdf,2,The main content of the letter to form a platform 
6,Sweden.pdf,2,There is a great need to develop society's information and information
7,Sweden.pdf,2,This national strategy for society's information and cyber security is an expression of the government's overall priorities and aims
8,Sweden.pdf,2, Further development work in the area
9,Sweden.pdf,2,"The main purposes of the strategy are to contribute to create long-term conditions for community actors to work effective with, as well as to raise awareness and knowledge throughout society"
10,Sweden.pdf,2,The government wants to go through
11,Sweden.pdf,2, The strategy also supports the efforts and commitment that already exists society to strengthen information and cyber security
12,Sweden.pdf,2,"strategy, thus encompassing the entire community, that is, government agencies, municipalities and county councils, companies, organizations and individuals, information and cyber security"
13,Sweden.pdf,3,A comprehensive strategy for society's information and cyber security
14,Sweden.pdf,3,1 The need for a strategy
15,Sweden.pdf,3,"2 Starting points for Sweden's information and cyber security, Strategic priorities"
16,Sweden.pdf,3,Ensure a systematic and collective approach in work on information and cyber security
17,Sweden.pdf,3,"9 Increase security in networks, products and systems"
18,Sweden.pdf,3,"14 Strengthen the ability to prevent, detect and manage cyber attacks and other IT incidents"
19,Sweden.pdf,3,19 Increase the possibilities of preventing and combating IT- related crime
20,Sweden.pdf,3,"21, Raise knowledge and promote skills"
21,Sweden.pdf,3,25 Strengthen international cooperation; 
22,Sweden.pdf,3,"3, Follow-up of the strategy"
23,Sweden.pdf,3,"33 Extract from minutes at the government meeting on June 22, 2017"
24,Sweden.pdf,4,"A comprehensive strategy for society, information and cyber security "
25,Sweden.pdf,4,The need for a strategy 
26,Sweden.pdf,4,Digitization is a global phenomenon and affects virtually all parts of our society
27,Sweden.pdf,4,"It brings great opportunities, but also risks"
28,Sweden.pdf,4," We handling the risks arising from digitization is of great importance to ours, Ability to maintain and strengthen both our prosperity and our security"
29,Sweden.pdf,4,Information and cyber security is today an issue that concerns the whole information and society
30,Sweden.pdf,4, Issues to ensure efficient and safe handling of information
31,Sweden.pdf,4,"Nobody can solve the security challenges alone and when There are many different actors working in different ways and in different contexts, it is particularly important for cooperation and a common direction"
32,Sweden.pdf,4,The need of public sector and industry
33,Sweden.pdf,4," Growth is growing, especially in importance"
34,Sweden.pdf,4, Development is essentially governed by Private actors in the market and private actors own and operate as well major parts of the socially important business
35,Sweden.pdf,4, The challenges in the information and cyber security area are shared with other countries
36,Sweden.pdf,4," The strategic solutions must also developed through international cooperation and dialogue on prevention actions, both within the EU and in other international bodies"
37,Sweden.pdf,4," The demands on society's information and cyber security are increasing in everything, faster pace"
38,Sweden.pdf,4,The development and the changing use of new technology and new innovations mean that threats become more difficult to detect that the risks become more difficult and the dependence becomes more difficult
39,Sweden.pdf,4,The regulatory changes that are now being implemented nationally and within the EU is a way of raising security requirements and strengthening the forms and and cyber security informations- 
40,Sweden.pdf,4,Digitization is one of today's biggest changes and the fastest
41,Sweden.pdf,4," The development of information and communication technology is great impact on ours in technology, development"
42,Sweden.pdf,4,"The, ongoing expansion of fiber networks and increased Mobile coverage upgrades the electronic communications networks"
43,Sweden.pdf,4," Digital development can thus to employment, innovation, efficiency and growth"
44,Sweden.pdf,4, In Sweden increasingly contribute 
45,Sweden.pdf,4,"Through structured and risk-based work with information and cyber security, we can ensure the continued digitization of society, while also asserting Sweden's security and security"
46,Sweden.pdf,4," National interests such as human rights and freedoms and society, functionality"
47,Sweden.pdf,4,"A, structured and risk-based work with information and cyber security is also an important prerequisite for Swedish growth and competitiveness and a necessity for business to be able to "
48,Sweden.pdf,5,Develop and provide competitive goods and services
49,Sweden.pdf,5,In order to raising information and cyber security
50,Sweden.pdf,5, There is a need for everyone
51,Sweden.pdf,5, Interested parties increasingly cooperate with common objectives
52,Sweden.pdf,5," Against this background, the government has decided to produce a national one strategy for society's information, and cyber security"
53,Sweden.pdf,5,The strategy is one expressing the government's overall priorities and aiming for provide a platform for Sweden's continued development work
54,Sweden.pdf,5,"The main objectives of the strategy are to help create long-term conditions for community actors to work effectively with information, and cyber security, as well as raising awareness and knowledge throughout society"
55,Sweden.pdf,5,The government also wants to support the strategy
56,Sweden.pdf,5, The efforts and commitment already in society to strengthen information and cyber security
