,Document,Page,Sentence
0,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,1,"Federal Department of Defence, Civil Protection and Sport DDPS "
1,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,1,"National strategy for the protection of Switzerland against cyber risks, "
2,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,2,"Table OF CONTENTS, SUMMARY 3, 1 INTRODUCTION, 5, 2; CYBER RISKS, "
3,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,2,"2 Players and motives: 10 3, EXISTING STRUCTURES, "
4,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,2,"1 Private sector and operators of critical infrastructure, "
5,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,2, Conclusion 26 4 SYSTEM FOR PROTECTING AGAINST CYBER RISKS; 
6,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,2,2 Framework conditions and prerequisites; 
7,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,2,3 Spheres of action and measures; 
8,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,2,"1 Sphere of action; 1 Research and development, "
9,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,2,"2 Sphere of action, 2 Risk and vulnerability"
10,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,2,"3 Sphere of action; 3 Analysis of the threat situation, "
11,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,2,4 Sphere of action; 4 Competence; building; 
12,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,2,5 Sphere of action; 5; International relations and initiatives; 
13,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,2,"6 Sphere of action; 6 Continuity and crisis management, "
14,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,2,"7 Sphere of action; 7 Legal basis, "
15,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,2,"8 Coordination unit for implementing the Strategy, "
16,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3,Summary Information and communication infrastructure has fundamentally changed the private sector state and society
17,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3," The use of cyberspace, (, e"
18,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3, Internet and mobile networks
19,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3, ) has brought many advantages and opportunities
20,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3," However, digital networking also exposes information and communication infrastructure to criminal intelligence, politico-military or terrorist abuse or functional impairment"
21,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3, Manipulation and specific attacks carried out via electronic networks are the risks that an information society entails
22,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3, It is to be expected that these risks will tend to increase in the future
23,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3, As the protection of information and communication infrastructure from cyber threats is in Switzerland's national interest
24,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3, The Federal Council commissioned the national strategy for the protection of Switzerland against cyber risks
25,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3," The Federal Council is pursuing the following strategic goals: Early identification of threats and dangers in the cyber field; Improvement of the resilience of critical infrastructure, Effective reduction of cyber risks, especially cyber crime, and cyber sabotage"
26,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3," This strategy also takes account of several parliamentary proposals, calling for stronger measures against cyber risks"
27,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3,", Essential basic conditions and prerequisites for reducing cyber risks are and remain acting with personal responsibility, national cooperation between the private and public sector and cooperation with foreign countries"
28,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3, The mutual exchange of information on a permanent basis is to create transparency and trust
29,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3, The state should intervene only if public interests are at stake or if acting in accordance with the principle of subsidiarity
30,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3," Dealing with cyber risks is to be understood as part of an integrated business production and administration process, in which all players from the administrative and technical levels up to top management must be included"
31,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3," An effective approach for handling cyber risks is founded on the principle that a great many existing tasks and responsibilities of authorities, the private sector and the population exhibit cyber-specific aspects"
32,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3," The rationale underlying the national strategy is that every organisational unit, be it political, economic or social - bears responsibility for identifying these cyber aspects, addressing the risks entailed in their particular processes and reducing them insofar as possible"
33,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3, The decentralised structures in the public and private sector are to Be strengthened for these tasks and existing resources and processes are to be used
34,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3, The ongoing combination of technical and non-technical information is necessary to analyse and assess cyber risks comprehensively in order for it to be possible to disseminate the findings from the investigations
35,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3," A crisis situation is characterised by a successful attack with considerable consequences and requires a specific form of crisis management from the players involved, including criminal prosecution"
36,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,3," Against this background, this strategy proposes a series of concrete measures with seven spheres of action: "
37,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,4,"Sphere of action, 1 Research and development, Sphere of action, 2 Risk and vulnerability; analysis Sphere of action; 3; Analysis of the threat; landscape, Sphere of action; 4; Competence; building, Sphere of action; 5; International relations and initiatives, Sphere of action; 6; Continuity and crisis management Sphere of action; 7, Legal foundations Measures "
38,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,4,1 New risks in connection with cyber crime are to be researched Measures
39,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,4,"2, Independent evaluation of systems "
40,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,4,"Risk analyses to minimise risks in collaboration with authorities, ICT service providers and system suppliers, 3 Testing of ICT infrastructure for systemic organisational and technical vulnerabilities"
41,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,4,"4, Establishment of a picture of the situation and its development 5 Review of incidents for the further development of measures, 6 Case overview and coordination of inter-cantonal clusters of cases, Measures "
42,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,4,"7, Establishment of an overview of the competence building offering and identification of gaps"
43,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,4,"8, Filling of gaps in competence building and increased use of high-quality offerings"
44,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,4,"9 Active participation of Switzerland in the area of Internet governance, 10 Cooperation at the international security policy level, 11 Coordination of those involved in initiatives and best practices relating to security and assurance processes"
45,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,4,"Measures 12 Strengthening and improving resilience to disturbances and incidents; 13 Coordination of activities, primarily with those directly involved and support of decision-making processes with the relevant expertise, 14 Active measures to identify the perpetrator and possible impairment of its infrastructure in the event of a specific threat"
46,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,4," 15, Establishment of a plan for management procedures and processes to ensure timely, problem-solving, "
47,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,4,"Measures: 16, Evaluation of existing legislation on the basis of measures and implementation, concepts and priorisation of immediate adjustment needs"
48,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,4, The designated federal agencies should implement the measures within the context of their existing mandate by the end of 2017
49,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,4, The private sector and society are to be involved in this implementation
50,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,4," A coordination unit will verify implementation of the measures, as well as the need for further provisions to minimise risk"
51,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,4, This coordination unit should be established in a federal agency
52,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,5,"1, Global digital networking has created unforeseen possibilities, both good and bad"
53,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,5," The state, the private sector and society make use of information and communication infrastructure and to cyberspace, ( Internet mobile networks and applications"
