,Document,Page,Sentence
0,TUR_NCSS.pdf,1,"Ministry of Transport, Maritime Affairs and Communications "
1,TUR_NCSS.pdf,1,"National Cyber Security Strategy, "
2,TUR_NCSS.pdf,2, [ The page intentionally left blank 
3,TUR_NCSS.pdf,2,National Cyber Security Strategy and 2013-2014 Action Plan 
4,TUR_NCSS.pdf,3,4 Update 2; Cyber Security Risks; 
5,TUR_NCSS.pdf,3,Strategic Cyber Security Actions 
6,TUR_NCSS.pdf,3,"5, National Cyber Security Action Plan for the Term 2013 -2014 Carrying out Legislative Activities, "
7,TUR_NCSS.pdf,3,"Creating the National Cyber Incidents Response Organization, Strengthening the National Cyber Security Infrastructure, Carrying Out the Activities That Will Help with Judicial Processes, 5 Human Resources, Education and Awareness-Raising Activities on Cyber Security, 5"
8,TUR_NCSS.pdf,3,6 Developing National Technologies in Cyber Security 5
9,TUR_NCSS.pdf,3, Extending the Scope of the National Security Mechanisms
10,TUR_NCSS.pdf,3,National Cyber Security Strategy and 2013-2014 Action Plan 
11,TUR_NCSS.pdf,4, [ The page intentionally left blank 
12,TUR_NCSS.pdf,4,National Cyber Security Strategy and 2013-2014 Action Plan 
13,TUR_NCSS.pdf,5,"In Turkey, the use of information and communication technologies, ( ICTs ) has been spreading rapidly and ICTs are playing important roles in all aspects of our"
14,TUR_NCSS.pdf,5," In addition to public sector organizations, organizations which provide services in critical infrastructure sectors like energy, water resources, health, transportation, communication and financial services have also been heavily using information and communication systems"
15,TUR_NCSS.pdf,5, These systems improve the quality and the speed of the services being provided
16,TUR_NCSS.pdf,5," Thus, helping organizations work more productively, contributing to the improvement of living standards, As our public sector organizations use ICTs to provide services at an increased rate, it has become an important aspect of our national security and competitiveness to ensure the security of information and communication technologies"
17,TUR_NCSS.pdf,5,", The Vulnerabilities inherent in ICTs may cause denial of service or abuse of service attacks, resulting in potential loss of lives, high scale, economic losses, disturbance of public order, and/or threats to national security"
18,TUR_NCSS.pdf,5, It is a fact that cyber space offers opportunities of anonymity and deniability for attacks on information systems and data
19,TUR_NCSS.pdf,5," The tools and knowledge required for attacks are often cheap and easy to get, and it has been observed that anyone or any systems across the world can participate in cyber-attacks either knowingly or unknowingly"
20,TUR_NCSS.pdf,5,", And it is deemed almost impossible to determine who finances and organizes these enduring And advanced cyber-attacks that target the National Cyber Security Strategy and 2013-2014 Action Plan"
21,TUR_NCSS.pdf,6,Information systems and data of critical infrastructures
22,TUR_NCSS.pdf,6,", These facts and conditions reveal the asymmetrical nature of the risks and threats in cyber space, making them even more difficult to tackle"
23,TUR_NCSS.pdf,6," In light of this context, the Decision made by the Council of Ministers on the Execution, Management and Coordination of National Cyber Security Activities was published in the Official Gazette dated 20th October 2012 numbered 28447 and came into force"
24,TUR_NCSS.pdf,6, Pursuant to this cabinet decision
25,TUR_NCSS.pdf,6," In order to determine the precautions to be taken for cyber security to approve and to ensure implementation and coordination of the plans, schedules, reports, procedures, principles and standards that have been prepared, a Cyber Security Council has been established, which is to be presided by the Minister of Transport Maritime Affairs and Communications, and which is to consist of the undersecretaries of the Ministries of Foreign Affairs, Interior, National Defense, Transport, Maritime Affairs and Communications, including the undersecretaries of Public Order and Security, National Intelligence Organization, Head of Communication, Electronic and Information Systems of Turkish General Staff Head of Information And Communication Technologies Authority Head of The Scientific And Technological Research Council Head of Financial Crimes, Investigation "
26,TUR_NCSS.pdf,6,Presidency and the top managers of the ministries and the public National Cyber Security Strategy and 2013-2014 Action Plan
27,TUR_NCSS.pdf,7,"Organizations, that are to be determined by the Minister of Transport, Maritime Affairs and Communications"
28,TUR_NCSS.pdf,7,"The cabinet decision has also assigned to the Ministry of Transport Maritime Affairs and Communications the duty to prepare policies, strategies and action plans on ensuring cyber security at the national level"
29,TUR_NCSS.pdf,7," All public organizations and agencies, natural and legal persons are obliged to perform the duties assigned in the framework of the policies, strategies and action plans determined by the Cyber Security Council and to comply with the procedures, principles and standards that were also determined by the Council"
30,TUR_NCSS.pdf,7," The action plan which was prepared pursuant to this decision, defines the activities intended to be carried out within the term 2013-2014, and it also includes the periodical activities beyond these terms, as well as the activities that should always be carried out, such as training and awareness-raising activities"
31,TUR_NCSS.pdf,7, National Cyber Security Strategy and 2013-2014 Action Plan 
32,TUR_NCSS.pdf,8,"The concepts used in this document refer to the following meanings: Information systems, The systems involved in providing services, processes and data by means of information and communication technologies"
33,TUR_NCSS.pdf,8," Cyber space, The environment, which consists of information systems that span across the world, including the networks that interconnect these systems, Information systems of public organizations, The information systems which belong to and/or, are operated by the public organizations and agencies of the Turkish Republic,"
34,TUR_NCSS.pdf,8,"Information systems of natural and legal persons, The information systems which belong to and/or are operated by the natural and legal persons subjected to the laws of the Turkish Republic"
35,TUR_NCSS.pdf,8," National cyber space, The environment, which consists of the information systems that belong to public organizations, natural and legal persons, Confidentiality Information systems and data can be accessed by authorized persons or systems only and the confidential information pertaining to information systems or confidential information in the system will Not be disclosed by unauthorized persons or systems, Integrity, Information systems and information can be changed by authorized persons or systems only, "
36,TUR_NCSS.pdf,8,National Cyber Security Strategy and 2013-2014 Action Plan 
37,TUR_NCSS.pdf,9,Accessibility Authorized persons and transactions can access information systems and the information therein within the required time and quality Critical infrastructures
38,TUR_NCSS.pdf,9," The infrastructures which host the information systems that can cause, "
39,TUR_NCSS.pdf,9,"Large scale economic damages,, "
40,TUR_NCSS.pdf,9,"Security vulnerabilities and disturbance of public order at national level when the confidentiality, integrity or accessibility of the information they process is compromised,"
41,TUR_NCSS.pdf,9,"Cyber security incident, Violation of confidentiality, integrity or accessibility of information systems, or of the information being processed by these systems"
42,TUR_NCSS.pdf,9," Cyber security, Protection of information systems that make up the cyber space from attacks, ensuring the confidentiality, integrity and accessibility of the information being processed in this space, detection of attacks and cyber security incidents"
43,TUR_NCSS.pdf,9," Putting into force the countermeasures against these incidents and then putting these systems back to their states previous to the cyber security incident, "
44,TUR_NCSS.pdf,9,"National Cyber Security, The cyber security of all services processes and data and the systems involved in provisioning of these-, provided by the information and communication technologies in the national cyber space"
45,TUR_NCSS.pdf,9, National Cyber Security Strategy and 2013-2014 Action Plan
46,TUR_NCSS.pdf,10,The objective of National Cyber Security Strategy and 2013-2014 Action Plan is to create an infrastructure towards achieving 
47,TUR_NCSS.pdf,10,"The cyber security all of services, processes and data and the systems involved in provisioning of these- provided by the public organizations and agencies using information, technologies, "
48,TUR_NCSS.pdf,10,"The cyber security of information systems of critical infrastructures, which are operated by both the public and private sectors, minimization of the effects of cyber security incidents, determination of strategic cyber security actions to put systems back to their regular operational states as soon as possible"
49,TUR_NCSS.pdf,10," Following the incidents and help with better investigation and prosecution of the incident by law enforcement and judicial authorities, "
50,TUR_NCSS.pdf,10,The National Cyber Security Strategy and 2013-2014 Action Plan includes the information systems of public organizations and the information systems that belong to critical infrastructures operated by both the public and private sectors
51,TUR_NCSS.pdf,10,"National Cyber Security Strategy and 2013-2014 Action Plan will be updated at least once a year, in a coordinated way at national level, taking into account the National Cyber Security Strategy and 2013-2014 Action Plan"
52,TUR_NCSS.pdf,11,Requests from the public and private sectors and considering also the changing conditions and needs 
53,TUR_NCSS.pdf,11,National Cyber Security Strategy and 2013-2014 Action Plan 
54,TUR_NCSS.pdf,12,2 Cyber Security Risks 
55,TUR_NCSS.pdf,12,The risks related to cyber security should realistically be determined in order for the strategic cyber-security actions to be determined in the best way
56,TUR_NCSS.pdf,12, With the current know-how
57,TUR_NCSS.pdf,12, The primary risk elements related to ICT systems in Turkey are listed below 
58,TUR_NCSS.pdf,12,"The threat is asymmetrical, as cyber space provides opportunities of anonymity and deniability for attacks on information systems and data, and the tools and knowledge required for attacks are often cheap and easy to get, and anyone or any systems across the world can participate in cyber-attacks, either knowingly Or unknowingly "
59,TUR_NCSS.pdf,12,Any information system can harm another due to the structure of the cyber space that is open to integrated and uninterrupted communication and due to the malware and other similar threat agents existing in the cyber space
60,TUR_NCSS.pdf,12,Most of the critical services to the populations today are provided and managed by information systems
