,Document,Page,Sentence
0,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,1,Government of the Republic of 
1,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,1,"National Cyber Security Strategy, "
2,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,1,"Prepared by the Inter-Ministerial Committee for Cyber Security December 2012, "
3,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,2,"1, What is Cyber Security "
4,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,2,"0, A Case for Action: "
5,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,2,"2, National Policy Considerations "
6,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,2,0 Operational Goals and Related Activities 0 Appendix 
7,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,3,"0 Executive Summary Governments, businesses and citizens are increasingly becoming large consumers of Information and Communication Technologies, ( ICTs, ) and electronic services, relying more on ICTs in the areas of management, communication, education, commerce, procurement and service provision"
8,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,3," The reality of the environment is that, for all the opportunities that ICTs bring security, risks are also present"
9,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,3," These, if not mitigated and managed, can have a deleterious effect on the reputation of the Government of Trinidad and Tobago domestically and internationally"
10,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,3, This Strategy seeks to guide all operations and initiatives related to cyber security in Trinidad and Tobago
11,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,3," It is based on the governments, Medium Term Policy Framework 2011-2014, which underscores the role of ICT in advancing national development"
12,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,3," Its main objectives are as follows: To create a secure digital environment that will enable all users to enjoy the full benefits of the Internet, To provide a governance framework for all cyber security matters by identifying the requisite organizational and administrative structures necessary"
13,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,3," Inclusive of human resources, training and capacity building and budgetary requirements"
14,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,3,"To protect the physical, virtual and intellectual assets of citizens, organizations and the State, through the development of an effective mechanism that addresses and responds to cyber threats, regardless of their origin, To facilitate the safety of all citizens by promoting awareness of cyber risks and developing effective and Appropriate protective measures to mitigate risks and attacks To help prevent cyber attacks against critical infrastructure and secure information networks by building competency among primary stakeholders and the general public"
15,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,4,To minimize damage and recovery times from cyber attacks through effective incident management measures and 
16,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,4,"To create a legal and regulatory framework to maintain order, protect the privacy of users and criminalize attacks in cyberspace"
17,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,4,"In order to achieve these objectives, five ( 5 ) key areas of focus have been identified"
18,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,4," The fundamental goal is the establishment of a Trinidad and Tobago Cyber Security Agency, ( TTCSA ) as the main body responsible for all cyber security matters and the coordinating centre for all cyber security operations"
19,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,4," Incident management, The establishment of Computer Security Incident Response Team, (, TT CSIRT ) as a national focal point for incident, reporting incident management and incident; response"
20,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,4," Collaboration, The establishment of public-private/civil society partnership, securing Trinidad and Tobagos cyber infrastructure, as well as the promotion of cooperation with international Organizations "
21,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,4,"Culture Awareness raising training and education in cyber security throughout the country, "
22,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,4,"Legislation, The drafting and enactment of relevant cybercrime to criminalise appropriate offences, prosecute legislation, offenders and protect citizens"
23,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,4,"Through this Strategy, the Government envisions the creation of a secure and resilient cyber environment based on collaboration among all key stakeholders, which allows for the exploitation of ICT for the benefit and prosperity of all "
24,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,5,0 Introduction Information and Communication Technology ( ICT ) provides the basis for the development of every modern and progressive society and allows for incorporation into the global information
25,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,5," Governments, businesses and citizens are increasingly becoming large consumers of ICTs and electronic services"
26,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,5," This growing reliance is demonstrated in education, ongoing enhancement of communication networks, facilitation of international trade, changes in management and procurement systems and advances in health care provision"
27,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,5," In the last twelve ( 12 ) years, ICT usage has increased by 1,310"
28,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,5,8 % in Latin America and the Caribbean1
29,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,5," The World Economic Forum, Global Information Technology Report shows that Trinidad and Tobagos readiness to leverage ICT for increasing competitiveness and development jumped upwards from 79 out of 133 countries in 20102 to 60 out of 142 countries in 20123"
30,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,5," The transformative potential of ICTs and the Internet has been recognised by the Government of the Republic of Trinidad and Tobago ( GoRTT ), which identified ICT and the establishment of a diversified knowledge economy as discrete development pillars within for Sustainable Development4"
31,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,5," The intent is to promote universal and equitable access to and use of, ICTs and the Internet so as to address the digital divide and provide for the inclusion of underserved and/or un-served communities"
32,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,5, Yet a corollary to the many opportunities offered by ICT is the presence of various risks in cyberspace
33,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,5," Thus, the countrys response to internal and external threats must include the deployment of technology to monitor and analyze, natural and man-made disasters"
34,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,5, The physical protection of the its Framework 
35,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,5,"1, World Internet Usage and Population Statistics June 2012, http //www"
36,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,5,"htm, 2 World Economic Forum, The Global Information Technology Report; 2009-2010, ICT for sustainability, 2010"
37,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,5,", 3, World Economic, Forum"
38,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,5,", Global Information Technology Report Living in a hyperconnected world 2012"
39,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,5,"pdf, 4 Government of Trinidad And Tobago Innovation for Lasting Prosperity, Medium Term Policy, Framework, 2011-2014 October 2011, "
40,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,6,Information infrastructure that supports the knowledge-based economy and the mitigation of threats that can result from the misuse of computer systems
41,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,6," In seeking to address these threats, there is a requirement to ensure the maintenance of effective communication among relevant stakeholders"
42,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,6," This is a key component in realizing and maintaining the general ICT security objectives of availability, confidentiality and integrity"
43,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,6, This Strategy seeks to guide all operations and initiatives related to cyber security in Trinidad and Tobago
44,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,6," It recognises the critical need for an overarching governance framework, appropriate cybercrime legislation and the establishment of a national Cyber Security Incident Response Team (, CSIRT )"
45,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,6," It also acknowledges the importance of building awareness among all stakeholders, ( government, business, academia, civil society and citizens ) of their roles and responsibilities in establishing a secure ICT environment"
46,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,6," What is Cyber Security, Although there is a lack of international consensus on the definition of cyber security, Trinidad International Telecommunications Unions, Telecommunication, Standardization Sector (, ITU-T, ) Recommendation, X"
47,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,6,"cso ), which states that and Tobago "
48,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,6,"Cybersecurity is the collection of tools, policies, security, concepts, security, safeguards, guidelines, risk management, approaches, actions, training, best practices, assurance and technologies that can be used to protect the cyber environment and organization and users"
