,Document,Page,Sentence
0,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,1,"National INFORMATION SECURITY FRAMEWORK, ( NISF, ) PUBLICATION, _______________________________________________________________, National Information, Security Policy, "
1,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,2,Initial draft for NITA-U consideration: 
2,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,2,"Updated after NITA-U Review, "
3,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,3,"2 Applicability of National Information, Security Policy, 6 Critical Infrastructure, ( CI, ), 6, Critical Information Infrastructure, (, CII, ), 7 Policy, Review Cycle 7 Structure of National Information Security Policy; 7 Adaptation of Security Controls, 7 Applicable Legislation; "
4,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,3,"1, National Information Security Strategy, "
5,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,3,"1, Top Leadership, Accountability, "
6,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,3,"6 Suitable, Trustworthy and Reliable Staff; "
7,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,3,7 Resilience; 4 Security Governance
8,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,3,"Introduction 12 Policy Statement on Information Security, 13 Issue Policy Statement on Information Security, 13, Articulate Information, Risk Appetite; 13 Information, Security Organisation, 14 Responsibilities of Boards & Accounting Officers; 14; Responsibilities of Information Risk Owner 15; Responsibilities of Information; Asset Owners, 15 Responsibilities of Security; Coordination; Group; 15 Responsibilities of Operational Security, team, "
9,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,3,"4 Risk Management, 16 Awareness, Education and Training, "
10,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,3,"5 Business Continuity & Disaster Recovery, "
11,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,3,"7 Incident Management, 18 Assurance & Compliance; "
12,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,3,"1 GoU information, security, commitment, 22 Applicability of information, security requirements; "
13,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,3,"2 Information, Security and Security, Governance, "
14,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,3,"3 Information, Security Policy, "
15,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,3,"3, Secure Information, Sharing, "
16,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,3,"4 Supply Chain Security, "
17,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,3,"7 Network Security Controls, "
