,Document,Page,Sentence
0,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,2,This PAGE LEFT INTENTIONALLY BLANK 
1,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,3,The DEPARTMENT OF DEFENSE 
2,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,4,This PAGE LEFT INTENTIONALLY BLANK 
3,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,6,This PAGE LEFT INTENTIONALLY BLANK 
4,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,7,"Build and maintain ready forces and capabilities to conduct cyberspace operations, Defend the DoD information network, secure DoD data and mitigate risks to DoD missions"
5,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,7,Be prepared to defend the U
6,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,7," vital interests from disruptive or destructive cyberattacks of significant consequence, Build and maintain viable cyber options and plan to use those options to control conflict escalation and to shape the conflict environment at all stages"
7,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,7, Build and maintain robust international alliances and partnerships to deter shared threats and increase international security and stability IMPLEMENTATION OBJECTIVES
8,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,7,Strategic GOAL II - 
9,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,7,Strategic GOAL: III - 
10,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,8,This PAGE LEFT INTENTIONALLY BLANK 
11,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9,"T h, e D e p, a r t m e n t, o f D, e, f e n s, e C y b e r S, t r, a t e g y"
12,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9," We live in a wired, world"
13,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9, Companies and countries rely on cyberspace for everything
14,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9, From financial transactions to the movement of military forces
15,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9, Computer code blurs the line between the cyber and physical world and connects millions of objects to the Internet or private networks
16,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9, Electric firms rely on industrial control systems to provide power to the grid
17,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9," Shipping managers, use satellites and the Internet to track freighters as they pass through global sea lanes, and the U"
18,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9, military relies on secure networks and data to carry out its missions
19,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9," The United States is committed to an open, secure, interoperable and reliable Internet that enables prosperity, public safety and the free flow of commerce and ideas"
20,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9," These qualities of the Internet reflect core American values of freedom of expression and privacy, creativity, opportunity and innovation"
21,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9,", And these qualities have allowed the Internet to provide social and economic value to billions of people"
22,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9," economy alone, anywhere from three to 13 percent of business Sector value-added is derived from Internet-related businesses"
23,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9, Over the last ten years
24,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9, Internet access increased by over two billion people across the globe
25,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9, Yet these same qualities of openness and dynamism that led to the Internets rapid expansion now provide dangerous state and non-state actors with a means to undermine U
26,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9,", We are vulnerable in this wired world"
27,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9," Today, our reliance on the confidentiality availability and integrity of data stands in stark contrast to the inadequacy of our cybersecurity"
28,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9," The Internet was not originally designed with security in mind, but as an open system to allow scientists and researchers to send data to one another quickly"
29,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9, Without strong investments in cybersecurity and cyber defenses data systems remain open and susceptible to rudimentary and dangerous forms of exploitation and Attack
30,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9,", Malicious actors use cyberspace to steal data and intellectual property for their own economic or political goals"
31,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9,", And an actor in one region of the globe can use cyber capabilities to strike directly at a network"
32,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9, Thousands of miles away destroying data disrupting businesses or shutting off critical systems
33,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,9," State and non-state actors conduct cyber operations to achieve a variety of political, economic or military objectives"
