,Document,Page,Sentence
0,Uruguay_2014_Orig_Esp_cons_min_827.pdf,1,"Ministry OF INTERIOR MINISTRY OF FOREIGN AFFAIRS, Ministry of Economy and Finance "
1,Uruguay_2014_Orig_Esp_cons_min_827.pdf,1,Ministry OF NATIONAL DEFENSE 
2,Uruguay_2014_Orig_Esp_cons_min_827.pdf,1,Ministry OF EDUCATION AND CULTURE 
3,Uruguay_2014_Orig_Esp_cons_min_827.pdf,1,"Ministry OF TRANSPORTATION AND PUBLIC WORKS, MINISTRY OF INDUSTRY, ENERGY AND MINING MINISTRY OF LABOR AND SOCIAL SECURITY MINISTRY OF PUBLIC HEALTH"
4,Uruguay_2014_Orig_Esp_cons_min_827.pdf,1,"Ministry of Livestock, Agriculture and Fisheries MINISTRY OF TOURISM AND SPORTS "
5,Uruguay_2014_Orig_Esp_cons_min_827.pdf,1,"Ministry OF HOUSING, TERRITORIAL ORDINANCE AND THE ENVIRONMENT MINISTRY OF SOCIAL DEVELOPMENT, Montevideo U7 APR 2014 "
6,Uruguay_2014_Orig_Esp_cons_min_827.pdf,1,Seen the provisions of article 149 of Law No
7,Uruguay_2014_Orig_Esp_cons_min_827.pdf,1,"719 of December 27, 2010 and by Decree No"
8,Uruguay_2014_Orig_Esp_cons_min_827.pdf,1," 452/009 of September 28 2009, RESULTING l ), that the aforementioned Decree determines the `` Security Policy of the Information for Organisms of the PLZIinca Administration"
9,Uruguay_2014_Orig_Esp_cons_min_827.pdf,1," With the purpose of develop, implement, maintain and continuously improve a `` Management System for Information Security, `` ll ) that in its article 1 ``, it is established that the Executing Units from lncisos 02 to 15 of the National Budget must be adopted in mandatory a Information Security Policy "
10,Uruguay_2014_Orig_Esp_cons_min_827.pdf,1,"Considering I ) that, in order to fully comply with the provisions of the referred standard, it is essential to standardize the domain names of the Central Administration in order to guarantee transparency and security"
11,Uruguay_2014_Orig_Esp_cons_min_827.pdf,2, _ ( 1 ?' \ :'''\ 
12,Uruguay_2014_Orig_Esp_cons_min_827.pdf,2," ll ) that it is essential to guarantee the citizens, the agencies and their officials, the existence of institutional e-mails insurance, which is why it is essential to establish the minimum guidelines, security for the exchange between them Ill ), that the Security of the information is fundamental for the development of the electronic government, for which it is necessary that the Administration have guidelines for the implementation and use of secure data"
13,Uruguay_2014_Orig_Esp_cons_min_827.pdf,2," Centers IV ) that the Agency for the Development of the Government of Management Electrnica and the Information and Knowledge Society ( AGESIC ) has inspection tasks in relation to information security being able to Appericate directly to organisms that do not comply with standards and standards in information Technology established by the regulations in force as regards security of information assets, access policies, interoperability and integrity of data, as it emerges from article 74 of Law No"
14,Uruguay_2014_Orig_Esp_cons_min_827.pdf,2,"362 of October 6 of 2008 V, ) that, in compliance with the related regulations with transparency, security, the relationship With citizenship in the minor As long as possible, it is considered convenient to elaborate action plans tending to an eloquent adaptation to the standards"
15,Uruguay_2014_Orig_Esp_cons_min_827.pdf,2, That will be indicated as pertinent ATTENTION to the foregoing and to the provisions of Article 168 ordinal 4 of the Constitution of the Republic
16,Uruguay_2014_Orig_Esp_cons_min_827.pdf,2," The PRESIDENT OF THE REPUBLIC, acting in the Council of Ministers DECREE Article 1"
17,Uruguay_2014_Orig_Esp_cons_min_827.pdf,2,"- Central Administration agencies, should use names of domain ``, gub"
18,Uruguay_2014_Orig_Esp_cons_min_827.pdf,2, This last for the Ministry of Defense and its dependencies for all the services linked to the Internet
19,Uruguay_2014_Orig_Esp_cons_min_827.pdf,3," Prohibiting Ia use of any other domain name in accordance with the `` Guidelines, "
20,Uruguay_2014_Orig_Esp_cons_min_827.pdf,3," @ Wma % % fl W / W for the management and use of Internet domain names, ``, which is annexed and forms part of of this Decree, ( Anexo, l, ) "
21,Uruguay_2014_Orig_Esp_cons_min_827.pdf,3,"-, The organisms of the Central Administration for the exercise of their functions, should use institutional e-mail systems with name Of domain `` "
22,Uruguay_2014_Orig_Esp_cons_min_827.pdf,3,"uy ``, prohibiting the use of any other name domain in accordance with the `` Guidelines for the implementation and use of Secure e-mail services ``, which is attached and is part of this Decree ( Annex II, ) "
23,Uruguay_2014_Orig_Esp_cons_min_827.pdf,3,Officials of the Central Administration bodies in the exercise of their functions shall be subject to the same prohibition: Article 3
24,Uruguay_2014_Orig_Esp_cons_min_827.pdf,3,"-, The computer systems, ( art"
25,Uruguay_2014_Orig_Esp_cons_min_827.pdf,3, 451/009 of 28 of September 2009
26,Uruguay_2014_Orig_Esp_cons_min_827.pdf,3," ) of the Central Administration should be housed in centers of secure data located in national territory, excepting those that do not constitute a risk to the agency, in accordance with the `` Guidelines for implementation and use of secure data"
27,Uruguay_2014_Orig_Esp_cons_min_827.pdf,3," Centers ``, which is attached and is part of the present Decree ( Annex III, ) "
28,Uruguay_2014_Orig_Esp_cons_min_827.pdf,3,"-, The organisms of the Central Administration, must present to AGESIC an Action Plan for compliance with the provisions of this Decree within 90 days of its publication"
29,Uruguay_2014_Orig_Esp_cons_min_827.pdf,3,#NAME?
30,Uruguay_2014_Orig_Esp_cons_min_827.pdf,5," @ mMW, MMXW "
31,Uruguay_2014_Orig_Esp_cons_min_827.pdf,5,"Annex l, Guidelines for the management and use of Internet domain names objective "
32,Uruguay_2014_Orig_Esp_cons_min_827.pdf,5,The objective of this regulation is to establish the guidelines for the use and management of domain names by the Central Administration in order to guarantee adequate use of domain names and the updating of the information of contact of those responsible
