,Document,Page,Sentence
0,Latvia_2014_LVA_CSS_2014-2018.pdf,5,"-Irity STRATEGY OF LATVIA, 20142018"
1,Latvia_2014_LVA_CSS_2014-2018.pdf,5," CYBER SECURITY STRATEGY OF LATVIA, 20142018"
2,Latvia_2014_LVA_CSS_2014-2018.pdf,5," CONTENTS, Introduction Aims and Basic Principles of the Policy Overview of Cyber Security in Latvia"
3,Latvia_2014_LVA_CSS_2014-2018.pdf,5," Key Areas of Action, "
4,Latvia_2014_LVA_CSS_2014-2018.pdf,5,"Governance and Resources of Cyber Security, National Cyber Security, 5 State Owned ICT 7, Critical Infrastructure, 8 Human Resources, Rule of Law in cyber space and Reduction, onyber Crime, "
5,Latvia_2014_LVA_CSS_2014-2018.pdf,5,"31 Crisis Management, Awareness raising Education and Research, International Cooperation, "
6,Latvia_2014_LVA_CSS_2014-2018.pdf,5,Link to Other Development Planning Documents - 
7,Latvia_2014_LVA_CSS_2014-2018.pdf,5,"Final Remarks, Acronyms and Denitions of Terms 18 Appendix No"
8,Latvia_2014_LVA_CSS_2014-2018.pdf,6," 1 Visualisation of National Cyber Security Policy Coordination, 21"
9,Latvia_2014_LVA_CSS_2014-2018.pdf,6," INTRODUCTION, Latvian state administration, society and economy depend on the opportunities and services ensured by information and communication technology"
10,Latvia_2014_LVA_CSS_2014-2018.pdf,6," ( hereinaer, ICT, ) and ICT determines the existence of information society in Latvia"
11,Latvia_2014_LVA_CSS_2014-2018.pdf,6, The Sustainable Development Strategy of Latvia denes the promotion of the further development of a modern and innovative society open for new ideas and the use of high technology as an asset for the economic development and global competitiveness of Latvia'
12,Latvia_2014_LVA_CSS_2014-2018.pdf,6," Due to the increasing use of ICT in society, state, ad-, ministration and the economy, its illegal use, damage, paralysis or destruction may cause threats to state and public security, public order and economic activity, as well as the hindrance of the further development of the national economy"
13,Latvia_2014_LVA_CSS_2014-2018.pdf,6," It is possible to intentionally and unintentionally, disturb or suspend the operation of the network of state information systems and electronic communications, as well as to encumber the functions of the political, economic and military decision-making mechanisms of the state cause material, damages, mis-, information of society and trigger Technogenic failures"
14,Latvia_2014_LVA_CSS_2014-2018.pdf,6, Insecurity in cyber space may impact the reliability of the use of ICT and thus prevent the development of a' Sustainable Development Strategy of Latvia until 2030
15,Latvia_2014_LVA_CSS_2014-2018.pdf,6," During politically so-, cially or economically sensitive developments"
16,Latvia_2014_LVA_CSS_2014-2018.pdf,6, Major cyber attacks may be directed against Latvia
17,Latvia_2014_LVA_CSS_2014-2018.pdf,6," A secure and reliable information society and e-government is not possible in a state without a national competence in cy bet, security and cryptography"
18,Latvia_2014_LVA_CSS_2014-2018.pdf,6," With the increasing trend of societys range and use of services in cyber space, the number of cyber attacks and methods in which attacks are carried out is increasing re < spectively To reduce and prevent the risks and threats in cyber space"
19,Latvia_2014_LVA_CSS_2014-2018.pdf,6, A unied and coordinated cyber security policy involving both the public and private sector is required
20,Latvia_2014_LVA_CSS_2014-2018.pdf,6," The Cyber Security Strategy of Latvia lays down strategic priorities in developing cyber security policy, and an accompanying action plan will be introduced in the rst half of 2014"
21,Latvia_2014_LVA_CSS_2014-2018.pdf,6," The Strategy has been developed in line with documents of in- ternational organisations, especially the EU and NATO, as well as, according to the measures specied in the National Security Concept and the State Defence Concept"
22,Latvia_2014_LVA_CSS_2014-2018.pdf,6, Symanlec Internet Security Threat Report 2013 about the increase of attacks and vulnerability
23,Latvia_2014_LVA_CSS_2014-2018.pdf,7," AIMS AND BASIC PRINCIPLES OF THE POLICY, The aim of the cyber security yolicy is a secure and reliable cyber space, which ensures a safe, reliable and continuous supply of services essential for the state and society In implementing the cyber security policy"
24,Latvia_2014_LVA_CSS_2014-2018.pdf,7," The following principles are being used: development cooperation, responsibility and openness Development"
25,Latvia_2014_LVA_CSS_2014-2018.pdf,7," It is possible to protect against rapidly growing threats in cyber space only by constantly and systematically developing and improving skills in the ICT sector and its security, specialisation Cooperation"
26,Latvia_2014_LVA_CSS_2014-2018.pdf,7," The effective protection against threats in cyber space, unrestricted by geographical boundaries of countries or administrative boundaries of institutions is only possible through cooperation at both the national and international level Responsibility"
27,Latvia_2014_LVA_CSS_2014-2018.pdf,7," It is possible to effectively reduce risks in cyber space only if all parties involved in cyber space, including individuals, state institutions and private busi- nesses, are informed about and aware of the effects of their activity or inactivity on their own security and the secu- rity of others"
28,Latvia_2014_LVA_CSS_2014-2018.pdf,7," Openness, the cyber security policy is to be imple- mented by facilitating the accessibility of information and communication technology, while respecting the rights and fundamental freedoms of an individual searching for a balance between freedom, privacy and security, as well as promoting good practices, ethics and standards in cyber Space"
29,Latvia_2014_LVA_CSS_2014-2018.pdf,8, OVERVIEW OF CYBER SECURITY IN LATVIA
30,Latvia_2014_LVA_CSS_2014-2018.pdf,8," Modern society uses ICT more extensivety by both direct 1y acquiring information and processing it and creating new and widely accessible tools for self-expression, Con-, venient and diverse mutual communication tools and platforms are being used to receive services"
31,Latvia_2014_LVA_CSS_2014-2018.pdf,8, A total of 75
32,Latvia_2014_LVA_CSS_2014-2018.pdf,8,8 36 of the inhabitants of Latvia have used the Internet
33,Latvia_2014_LVA_CSS_2014-2018.pdf,8,3 % use the Internet at least once a week'
34,Latvia_2014_LVA_CSS_2014-2018.pdf,8," The number of electronic transactions in the biggest banks in Latvia exceeds 90 96 of the total number of transactions Z, and more than 25 % of state institution services are avail- able"
35,Latvia_2014_LVA_CSS_2014-2018.pdf,8, Electronically Extensive use of ICT has changed the daily routine of society and a virtual environment
36,Latvia_2014_LVA_CSS_2014-2018.pdf,8, Where physical and dig- ital actions merge has been created
37,Latvia_2014_LVA_CSS_2014-2018.pdf,8," The idea that ICT is a matter of interest ofjust, a small group of professionals, has been gradually substituted by the understanding that the entire society is, to a greater or lesser extent linked with ICT and the range Of services provided and supported by ICT will increase in the following yams"
38,Latvia_2014_LVA_CSS_2014-2018.pdf,8,", Since ICT is widely used"
39,Latvia_2014_LVA_CSS_2014-2018.pdf,8," All members of society, from ICT users to man-, agers decision makers and legislators should have an understanding about the basic principles of the processes and security of cyber space"
40,Latvia_2014_LVA_CSS_2014-2018.pdf,8," Ict solutions and services have a complicated structure, but they are wider accessible"
41,Latvia_2014_LVA_CSS_2014-2018.pdf,8," It is easy to use cyber space to' Central Statistical Bureau Inhabitants using computer/Imernel at the beginning ofthe year, Latvian Internet Asochuion"
42,Latvia_2014_LVA_CSS_2014-2018.pdf,8,", Study of Internet Banking in Lam, 2011"
43,Latvia_2014_LVA_CSS_2014-2018.pdf,8, 3 Ministry of Envimnmenlal Protection and Regonal Development
44,Latvia_2014_LVA_CSS_2014-2018.pdf,8," - Ree suhs of Assessment, Ind Qualialion, o ( a"
45,Latvia_2014_LVA_CSS_2014-2018.pdf,8," Public Services vaided By the State Summary ofnll Department, Servm Version 1 "
46,Latvia_2014_LVA_CSS_2014-2018.pdf,8,"Cause damage to an individual, a societal group or a coun- try as a whole"
47,Latvia_2014_LVA_CSS_2014-2018.pdf,8," Furthermore, the use of ICI tools can re strict the rights and fundamental freedoms of an individual or violate the right to privacy and personal data protection"
48,Latvia_2014_LVA_CSS_2014-2018.pdf,8," The situation in Latvian cyber space is characterised by a considerable number of ICT security incidents from several incidents of high signicance to hundreds of in- cidents of low signicance, a'ecting state and municipal institutions, private businesses and individuals"
49,Latvia_2014_LVA_CSS_2014-2018.pdf,8,", According to an overview by CERTLV 4964 high priority incidents And over 200 thousand low priority incidents have been registered in 2013"
50,Latvia_2014_LVA_CSS_2014-2018.pdf,8,", The trend of politically socially or economically sensitive developments being accompanied by intentionally organised cyber attacks in is increasing"
51,Latvia_2014_LVA_CSS_2014-2018.pdf,8, Latvia may be subject to an increased risk during its 2015 Presidency of the Council of the EU
52,Latvia_2014_LVA_CSS_2014-2018.pdf,8," In order to reduce the number of cases when, with the help of ICT damage to society is caused, it is important to de- velop a set of comprehensive measures that would protect cyber space and its services"
53,Latvia_2014_LVA_CSS_2014-2018.pdf,8," The strategy sets ve priority areas of action, Governance and Resources"
54,Latvia_2014_LVA_CSS_2014-2018.pdf,8,Awareness raising education and research 
55,Latvia_2014_LVA_CSS_2014-2018.pdf,9," KEY AREAS OF ACTION, GOVERNANCE AND RESOURCES OF CYBER SECURITY, ICT solutions and services are developed, improved and maintained in both the public and the private sector"
56,Latvia_2014_LVA_CSS_2014-2018.pdf,9," For the solutions and services to be reliable, safe and continu- ous, it is necessary to apply information, security, require-, ments standards and good practices throughout their entire life cycle, by including risk analysis based security planning and assessing political, economic, social, legal and personal data protection"
57,Latvia_2014_LVA_CSS_2014-2018.pdf,9," Cyber security policy implementation in Latvia involves a broad, comprehensive range of interested parties"
58,Latvia_2014_LVA_CSS_2014-2018.pdf,9," Therefore, it is necessary to create an effective cyber security governance model"
59,Latvia_2014_LVA_CSS_2014-2018.pdf,9, National Cyber Security 
60,Latvia_2014_LVA_CSS_2014-2018.pdf,9,"National cyber security should be viewed in three di- mensions k, infrastructure services and processes # where the provision of information safety is required"
61,Latvia_2014_LVA_CSS_2014-2018.pdf,9," At the moment, cyber security governance is organised in a partially centralised model where the leading insti- tutions (, according to the respective authority, ) perform the function of handling the strategy, methodology and coordination of cyber security, whereas supervisors of specic ICT solutions and services constantly ensure practical Implementation and execution of the estab lished requirements"
62,Latvia_2014_LVA_CSS_2014-2018.pdf,9," National cyber security is based on mutual cooperation, where each state authority performs its functions, including in cyber space and cooperates with other involved parties directly or through the Na- tional Information Technology, Security, Council, (, here-, inafter, Council ), The Council has been established by the Law on the Security of Information Technolo- gy, which determines the development of cyber security policy at a national level"
63,Latvia_2014_LVA_CSS_2014-2018.pdf,9," According to the Law, the Council coordinates the development of cyber security policy and planning and implementation of objectives and measures"
64,Latvia_2014_LVA_CSS_2014-2018.pdf,9," The Council is the central national au- thority for the exchange of information and cooperation between the public and private sector, and its operation is ensured by the National Cyber Security Policy"
65,Latvia_2014_LVA_CSS_2014-2018.pdf,9," Coordi- nation, Section of the Ministry of Defence National cyber security policy is developed by ( Visualisation"
66,Latvia_2014_LVA_CSS_2014-2018.pdf,9, In Appendix No 
67,Latvia_2014_LVA_CSS_2014-2018.pdf,9,"Ministry of Defence ( MOD ) coordinates develop- ment and implementation of infnnnation technology security and protection policy, as well as cooperates in the provision of international cooperation"
68,Latvia_2014_LVA_CSS_2014-2018.pdf,10," The Na- tional Cyber Security Policy Coordination Section of the MOD organises and provides support for the im- plementation ofcyber security policy, MinistryofForeignAairHMFA ) coordinatesintet-, national coopeiam and Iatvias participation in vari-, ousiutemaonaliniavarelntcdmthecybasecurity, FinancialandCapttalMarket, Commission, (, FCMC ) regulates and supervises activities in cyber space of members of the Nancial and capital market cyber space, the Bank of Latvia, ( BoL ), promotes secure and smooth operation of payment systems, while credit institutions are responsible for secure availability of electronic services in their sector Ministry of Economics, ( MOE ) develops economic policy and promotes the development of Competitive- ness and innovation, Ministry of the Interior, ( M01 ) State Police, (, SP, ) and Security, Polite ( Se ) implement the policies for com-, bating crime, public order, security protection and le"
69,Latvia_2014_LVA_CSS_2014-2018.pdf,10," protection of rights and legal interests of individuals as well as coordinates the settlement Of crisis situations, Information Technology, Security Incident, Re-, sponse Institution, CERTLV, monitors and analy ses developments in cyber space reacts to incidents and coordinates their prevention"
70,Latvia_2014_LVA_CSS_2014-2018.pdf,10," Re search organises, educational events and training"
71,Latvia_2014_LVA_CSS_2014-2018.pdf,10, as well as supervises the implementation of obligations specied in the Law on the Security of Information
72,Latvia_2014_LVA_CSS_2014-2018.pdf,10," CERIZLV provides support for Latvian and foreign state and municipal institutions, entre- preneurs and individuals, Ministry of Education and Science, ( MoES, ), pro-, motes knowledge and understanding of cyber space and its secure use"
73,Latvia_2014_LVA_CSS_2014-2018.pdf,10, ( MOW ) implements the so- cial policy and the policy for the protection of chil- drens rights
74,Latvia_2014_LVA_CSS_2014-2018.pdf,10," Operation of the Safer Internet Centre of Latvia, Net- Safz, Latvia, is ensured by the Latvian Internet, Associ ation, educates society about possible risks and threats online and promotes the use of secure internet content, National Armed Forces, ( NAP ) and Cyber Defence Unit"
75,Latvia_2014_LVA_CSS_2014-2018.pdf,10, ( CDU ) provide support in crisis situations
76,Latvia_2014_LVA_CSS_2014-2018.pdf,10," Nongovernmental organisations in the IT sector provide support, consult and cooperate with the Council in developing and implementing the cyber security policy' Ministry of Transport"
77,Latvia_2014_LVA_CSS_2014-2018.pdf,10," ( MoT ) organises the imple- mentation of communication policy' Existing partners of the Council association, ISACA, Latvia, Chap- ter'', Latvian, Open Technology, Association, Latvian Information and Communication Technology, Association"
78,Latvia_2014_LVA_CSS_2014-2018.pdf,10,", Asociation of Commercial Banks of Latvia, Latvian Chamber of Com- merce and Industry"
79,Latvia_2014_LVA_CSS_2014-2018.pdf,10,"Constitution Protection Bureau, ( CPB ) oversees the critical infrastructure Ministry of Justice, ( M01 ) and Data State Inspec-, torate, (, DSI ), develop, organise and coordinate the policy on rights in the eld of personal data, pro-, tection, freedom of information and supervision of electronic documents"
80,Latvia_2014_LVA_CSS_2014-2018.pdf,10," State ) olnt Stock Company, Latvian State Radio and Television Centre, ( LSRTC ), the only provider of reliable certication services which ensures the infrastructure of electronic identity cards and elec- tronic signatures Ministry of Environmental Protection and Region- al Development"
81,Latvia_2014_LVA_CSS_2014-2018.pdf,10," ( MEPRD ) organises the gover- nance of state ICT and coordinates the electrisation of public services, whereas State Regional, Devel-, opment Agency, ( SRDA ), ensures the operation and development of solutions for shared use of state ICT"
82,Latvia_2014_LVA_CSS_2014-2018.pdf,10," The Law on the Security of Information Technology and related Cabinet regulations determine basic security requirements for state and municipal institutions and providers of public electronic communications services, as well as supervisors of the critical infrastructure of ICT"
83,Latvia_2014_LVA_CSS_2014-2018.pdf,10, In cases of incidents
84,Latvia_2014_LVA_CSS_2014-2018.pdf,10, A set of de nite procedures for state and municipal institutions and owners and legal managers of the critical infrastructure are established In the private sector
85,Latvia_2014_LVA_CSS_2014-2018.pdf,10, The governance of information securi~ ty is based on the sustainability of business and secure and reliable provision ofservices
86,Latvia_2014_LVA_CSS_2014-2018.pdf,10," There are laws and regulations which, for example, apply to credit, institu, tions providers of electronic services or personal data, pro-, tection, but good practices and standards for the security of ICT solutions are not widely used"
87,Latvia_2014_LVA_CSS_2014-2018.pdf,11, The market of electronic communication operators is scattered and a part of service
88,Latvia_2014_LVA_CSS_2014-2018.pdf,11," providers do not full the requirements specied in the leg- islation, thus causing security risks to both clients and other users of ICT infrastructure in Latvia and abroad"
89,Latvia_2014_LVA_CSS_2014-2018.pdf,11," According to the Law on the Security of Information Technology, a national Information Technology Security Incident Response Institution CER'ELV has been created"
90,Latvia_2014_LVA_CSS_2014-2018.pdf,11," Certlv maintains common monitoring of cyber space, provides support for Latvian and foreign state and mu- nicipal institutions, entrepreneurs and individuals in preventing IT security incidents, as well as coordinates the prevention of security incidents"
91,Latvia_2014_LVA_CSS_2014-2018.pdf,11," As activity in cyber space increases CERTLV, together with institutions from the public and Private sectors must develup resources which would allow the summarization of technical infor- mation about incidents in cyber space and storage of this information for analysis and evaluation Required actions: "
92,Latvia_2014_LVA_CSS_2014-2018.pdf,11,"Improve coordinated development, implementation and evaluation of the national cyber security policy within the framework of the National IT Security Council, through cooperation of representatives of pub- lic, non-governmental and private sectors"
93,Latvia_2014_LVA_CSS_2014-2018.pdf,11,", Strengthen the leading position of the Ministry of Defence in a coordinated development and implementation of the Cyber security policy Create an information exchange, medium ( platform ) by promoting the exchange of information among en < trepreneurs about topical cyber security threats, prob- lems solutions, good practices and their application Implement the assessment of risks to national cyber security, Promote the standards and practices of Good security management in the public and private sector by creat, ing understanding about ICT security in the business environment and organising regular training for lead- ing employers, Improve the mechanism of implementation and monitoring of security requirements for electronic communication operators"
94,Latvia_2014_LVA_CSS_2014-2018.pdf,11, Improve the ability of CERT
95,Latvia_2014_LVA_CSS_2014-2018.pdf,11,"LV to observe, analyse and prevent IT security incidents and cooperate with NATO and EU partners on information exchange, Develop CERT"
96,Latvia_2014_LVA_CSS_2014-2018.pdf,11,LV resources and competences to per- form
97,Latvia_2014_LVA_CSS_2014-2018.pdf,11, Centralised security tests State owned ICT 
98,Latvia_2014_LVA_CSS_2014-2018.pdf,11,"Cyber security at a national level is closely connected to the state ICT governance system, which is now partially regulated by the Law on State Information"
99,Latvia_2014_LVA_CSS_2014-2018.pdf,11,", Its fur- ther development has been outlined in the concept of the organisational model of state ICT management"
100,Latvia_2014_LVA_CSS_2014-2018.pdf,11, The con- cept sets many tasks for the optimisation of state ICT and the improvement of management processes of state ICI
101,Latvia_2014_LVA_CSS_2014-2018.pdf,11," Fullment of necessary tasks would allow reaching a ho mogenous more shared and professionally and rationally maintained state ICT infrastructure, which would attract better motivated human resources"
102,Latvia_2014_LVA_CSS_2014-2018.pdf,11," With a higher degree of specialisation and higher professional competences, thus increasing the overall level of state ICT security"
103,Latvia_2014_LVA_CSS_2014-2018.pdf,11,", The op- timisation of state ICT would"
104,Latvia_2014_LVA_CSS_2014-2018.pdf,11,", inter aha, allow focusing of resources for the improvement of the technological security of state ICT solutions, for example, by creating shared solu Tions for the continuity of operations, etc"
105,Latvia_2014_LVA_CSS_2014-2018.pdf,11," Mth, respect to the management of state ICT"
106,Latvia_2014_LVA_CSS_2014-2018.pdf,11,", the concept provides for the development and implementation of standards and guide- lines for the continuity, reliability and security of electronic state"
107,Latvia_2014_LVA_CSS_2014-2018.pdf,11, Administrative processes Currently used state ICT solutions and especially state infor- mation systems
108,Latvia_2014_LVA_CSS_2014-2018.pdf,12," ( SIS ) contain information, illegal exposure"
109,Latvia_2014_LVA_CSS_2014-2018.pdf,12," or acquisition, distortion or deletion of which can cause signicant damage to a specic person, society or state"
110,Latvia_2014_LVA_CSS_2014-2018.pdf,12, Denying access to SIS or interrupting the operation of sup- port systems can completely or partially paralyse the work of the public administration
111,Latvia_2014_LVA_CSS_2014-2018.pdf,12," Therefore, it is important that the development, introduction and operation of state ICT solutions, including security management, is carried out in a rational, effective, transparent and mutually harmonised manner, by using best practices of the sector and guidelines to minimise to the occurrence of ICT security threats due to Mistakes as well as deliberate actions, The Law on State Information Systems provides for a single level of technical and organisational requirements for all registered systems, irrespective of their functionality, value of the collected information and inuence on the execu- tion of functions of the public administration, both within The institution and outside of it"
