,Document,Page,Sentence
0,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,1,"National Plan to Address Cybercrime, "
1,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,1,"Improving our ability to prevent, "
2,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,1,"Investigate and respond to cybercrime, "
3,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,2,Purpose of the Plan 
4,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,2,The nature of the cybercrime problem and the challenges for New Zealand PRINCIPLES TO UNDERPIN OUR APPROACH
5,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,2,Build capability to address cybercrime: 
6,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,2,"Adapt New Zealands policy and legislative settings for the digital age Enhance New Zealands operational response to cybercrime, Use New Zealands international connections to combat cybercrime"
7,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,2,"A secure, resilient and prosperous online New Zealand "
8,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,3,"National Plan to Address Cybercrime, 2015"
9,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,3,INTRODUCTION New Zealanders live in a connected world
10,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,3, The Internet and information communications technologies
11,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,3," ( ICT ) have broken down geographical barriers, brought people together and created opportunities for economic growth and innovation"
12,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,3," New Zealanders, private and professional lives are underpinned by digital technologies"
13,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,3," Government, business, non-governmental organisations and individuals are seizing the opportunity to deliver services, transact business and communicate in cyberspace"
14,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,3, The cyber environment also provides opportunities for those with criminal or hostile objectives
15,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,3," The scale, speed and global nature of cybercrime present a challenge to traditional law enforcement methods and skills and to confidence in our online world Purpose of the National Plan to Address Cybercrime"
16,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,3," New Zealands Cyber Security Strategy 2015 has four goals: Cyber Resilience, Cyber Capability Addressing Cybercrime and International Cooperation"
17,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,3,"; The National Plan to Address Cybercrime ( the Plan ) has been developed to support the cybercrime goal and contribute to the delivery of the Strategys vision, A secure, resilient and Prosperous online New Zealand CYBER RESILIENCE, "
18,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,3,New Zealands information infrastructures can resist cyber threats and we have the tools to protect our national interests
19,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,3,"New Zealand improves its ability to prevent, investigate and respond to cybercrime"
20,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,3,New Zealanders businesses and government agencies understand cyber threats and have the capability to protect themselves
21,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,3,New Zealand protects and advances its interests on cyberspace issues internationally
22,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,3," The Plan sets out the New Zealand governments, understanding of the cybercrime issue, principles and actions to improve our ability to prevent, investigate and respond to cybercrime and reduce harm to New Zealanders"
23,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,3," It will ensure New Zealands response to cybercrime is coordinated at a national and international level, while also providing individuals and businesses with the tools to protect themselves"
24,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4,National Plan to Address Cybercrime - 2015
25,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4, Cybercrime is part of a continuum of activity that ranges from cyber safety challenges to threats to national security
26,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4, Cybercrime can encompass criminal activity from cyberbullying to state-sponsored theft of intellectual property
27,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4," Cybercrime can be devastating to individuals, communities and business"
28,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4," At both ends of the scale For the purposes of this Plan, the definition of cybercrime has two elements: A criminal act that can only be committed through the use of ICT or the Internet and where the computer or network is the target of the offence"
29,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4," This is regardless of what the criminal goal is, whether political or financial, gain espionage or any other reason"
30,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4," Examples of cybercrime include producing malicious software network intrusions, denial of service attacks and phishing"
31,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4," Cyber-Enabled crime is any criminal act that could be committed without ICT or the Internet, but is assisted, facilitated or escalated in scale by the use of technology"
32,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4," This includes a vast amount of serious and organised crime, such as cyber-enabled fraud or the distribution of child exploitation material"
33,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4," However, cybercrime is a subset of general crime, and the boundaries will not always be hard and fast"
34,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4," The nature of the cybercrime problem and the challenges for New Zealand, THE COSTS OF CYBERCRIME ARE DIFFICULT TO CALCULATE RELIABLY"
35,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4, The extent of the cybercrime problem is not well understood
36,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4, Worldwide many instances of cybercrime go unreported
37,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4," In some instances, victims will be unaware"
38,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4, They have been affected
39,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4, Other victims are too embarrassed to report
40,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4, The crime do not know to whom to report whether a crime has been committed or do not believe law enforcement can provide a remedy
41,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4, If victims receive a remedy from a supplier or financial institution
42,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4, They may not also report a crime
43,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4," Finally, businesses can be reluctant to disclose losses or breaches for fear of reputational damage"
44,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4," According to the UK Home Office survey, data suggests that in 2012, businesses reported only 2 % of online crime incidents"
45,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4," As a result, the economic cost of cybercrime is notoriously difficult to calculate reliably"
46,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4, What we do know is that survey and anecdotal evidence indicates a high level of experience with cybercrime
47,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4, One recent report estimated the annual cost to the global economy at more than US $ 400 billion
48,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4," The indirect costs from cybercrime are equally difficult to quantify, including the opportunity costs"
49,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4, For many small-to-medium enterprises
50,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4, Cybercrime may result in denial of business
51,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4," Nothing may be stolen, but an attack can reduce their ability to"
52,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4," Businesses and individuals also face costs to protect against cybercrime and for remediation (, if required"
53,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4," ) Overseas, well-known losses include the theft of personal and financial information for 70 million customers of US retailer Target in 2013 and the theft of data related to 56 million credit cards from Home Depot in 2014"
54,new zealand-cyber-security-cybercrime-plan-december-2015.pdf,4," Cybercrime can also enable the organisation and perpetration of physical crime, for example, fraud, extortion, disorder, sexual and other violent assaults, 1 New Zealand, Police Prevention; First, National Cybercrime, Operating Strategy, 2014-2017 (, Wellington, 2014, ), 2 M McGuire and S Dowling Cyber crime"
